date,close,open,high,low,volume
2024-05-03,12880.0,14900.0,16000.0,12350.0,29116370
2024-05-07,11280.0,12140.0,12200.0,11130.0,4980311
2024-05-08,11320.0,11290.0,11560.0,10730.0,4253776
2024-05-09,10640.0,11130.0,11400.0,10640.0,2211540
2024-05-10,10150.0,10600.0,10820.0,10140.0,1537923
2024-05-13,10370.0,10080.0,11270.0,10080.0,5029025
2024-05-14,11150.0,10410.0,12070.0,10320.0,11096615
2024-05-16,11120.0,12130.0,12500.0,11100.0,5688075
2024-05-17,10520.0,10860.0,10930.0,10500.0,1140268
2024-05-20,10140.0,10530.0,10580.0,10090.0,710179
2024-05-21,10120.0,10090.0,10380.0,10060.0,519920
2024-05-22,9970.0,10180.0,10250.0,9950.0,511186
2024-05-23,9620.0,9970.0,10000.0,9610.0,528463
2024-05-24,9160.0,9580.0,9600.0,9150.0,535163
2024-05-27,9230.0,9180.0,10000.0,8770.0,1459789
2024-05-28,9000.0,9230.0,9330.0,8970.0,341830
2024-05-29,9090.0,8940.0,9430.0,8850.0,542610
2024-05-30,9370.0,8930.0,9800.0,8930.0,1183258
2024-05-31,9050.0,9240.0,9470.0,9050.0,371338
2024-06-03,8570.0,9050.0,9100.0,8540.0,841333
2024-06-04,8450.0,8580.0,8670.0,8390.0,357756
2024-06-05,8510.0,8350.0,9180.0,8350.0,895977
2024-06-07,8460.0,8460.0,8660.0,8390.0,259047
2024-06-10,8520.0,8470.0,8630.0,8410.0,210177
2024-06-11,8660.0,8620.0,9050.0,8540.0,645022
2024-06-12,8750.0,8690.0,9550.0,8620.0,1820083
2024-06-13,8840.0,8850.0,9160.0,8750.0,585189
2024-06-14,10590.0,9490.0,11130.0,9310.0,27098175
2024-06-17,9990.0,10220.0,10430.0,9800.0,2607543
2024-06-18,10070.0,9960.0,10350.0,9810.0,3255884
2024-06-19,9460.0,9940.0,10040.0,9320.0,1460025
2024-06-20,9310.0,9560.0,9880.0,9300.0,1260186
2024-06-21,9220.0,9520.0,9790.0,9200.0,872666
2024-06-24,8800.0,9220.0,9270.0,8780.0,616213
2024-06-25,8970.0,8790.0,9440.0,8780.0,1118968
2024-06-26,8980.0,8990.0,9190.0,8900.0,424118
2024-06-27,9010.0,9100.0,9400.0,8960.0,665554
2024-06-28,8650.0,8960.0,9010.0,8650.0,479241
2024-07-01,8790.0,8700.0,8850.0,8510.0,266310
2024-07-02,8530.0,8820.0,8830.0,8490.0,296096
2024-07-03,8520.0,8540.0,9040.0,8480.0,519792
2024-07-04,8410.0,8560.0,8630.0,8410.0,217632
2024-07-05,8900.0,8490.0,9420.0,8450.0,3021847
2024-07-08,8950.0,8780.0,9050.0,8770.0,587235
2024-07-09,8850.0,9000.0,9280.0,8850.0,568524
2024-07-10,9290.0,8980.0,9860.0,8970.0,5311797
2024-07-11,9580.0,9290.0,9840.0,9150.0,2582815
2024-07-12,8980.0,9350.0,9490.0,8980.0,734868
2024-07-15,8810.0,8980.0,9040.0,8750.0,337139
2024-07-16,8520.0,8760.0,8810.0,8510.0,370675
2024-07-17,8500.0,8730.0,8840.0,8490.0,323223
2024-07-18,8110.0,8430.0,8450.0,8000.0,446331
2024-07-19,8150.0,8050.0,8250.0,8020.0,195846
2024-07-22,7830.0,8160.0,8170.0,7800.0,187622
2024-07-23,7610.0,7850.0,7940.0,7550.0,230674
2024-07-24,7510.0,7570.0,7670.0,7510.0,124538
2024-07-25,7240.0,7300.0,7450.0,7080.0,214356
2024-07-26,7220.0,7280.0,7370.0,7200.0,96355
2024-07-29,7570.0,7280.0,7680.0,7220.0,162167
2024-07-30,7390.0,7570.0,7700.0,7390.0,91732
2024-07-31,7250.0,7370.0,7400.0,7130.0,91612
2024-08-01,7500.0,7250.0,8100.0,7250.0,499206
2024-08-02,7210.0,7300.0,7360.0,7200.0,112479
2024-08-05,6180.0,6930.0,7000.0,5770.0,377993
2024-08-06,6530.0,6220.0,6620.0,6220.0,138658
2024-08-07,6480.0,6360.0,6690.0,6360.0,132999
2024-08-08,6560.0,6280.0,6970.0,6280.0,287336
2024-08-09,7400.0,6650.0,8020.0,6650.0,2701723
2024-08-12,9450.0,7530.0,9600.0,7200.0,14976055
2024-08-13,8990.0,9740.0,10250.0,8620.0,14681218
2024-08-14,8910.0,8900.0,9800.0,8780.0,6734466
2024-08-16,8900.0,8920.0,9360.0,8850.0,2973428
2024-08-19,9200.0,9320.0,9500.0,8520.0,2912486
2024-08-20,9380.0,8910.0,9940.0,8880.0,10198380
2024-08-21,9800.0,9200.0,10110.0,9010.0,11513187
