date,close,open,high,low,volume
2024-01-24,21200.0,21200.0,21200.0,21200.0,465647
2024-01-25,27550.0,27550.0,27550.0,27550.0,176226
2024-01-26,31000.0,35800.0,35800.0,30300.0,8121697
2024-01-29,21700.0,28200.0,28850.0,21700.0,2404063
2024-01-30,19680.0,21650.0,25600.0,19400.0,2868188
2024-01-31,16330.0,20250.0,20600.0,16300.0,966517
2024-02-01,21200.0,15800.0,21200.0,14760.0,2114953
2024-02-02,25300.0,22550.0,27200.0,22500.0,9165363
2024-02-05,27650.0,27700.0,31450.0,27300.0,4093219
2024-02-06,26850.0,26700.0,29800.0,25500.0,2612402
2024-02-07,34900.0,28300.0,34900.0,28050.0,7117464
2024-02-08,31750.0,34450.0,38250.0,31500.0,4743144
2024-02-13,29650.0,31650.0,32200.0,29350.0,798515
2024-02-14,30100.0,29550.0,30700.0,28300.0,712370
2024-02-15,29050.0,29300.0,31400.0,28700.0,754068
2024-02-16,27500.0,28950.0,30200.0,27350.0,418788
2024-02-19,26900.0,27300.0,28350.0,26550.0,331874
2024-02-20,25900.0,27000.0,27050.0,24350.0,385898
2024-02-21,24550.0,25900.0,26400.0,24400.0,212499
2024-02-22,27400.0,24250.0,30900.0,23700.0,2561255
2024-02-23,25550.0,26850.0,26900.0,24600.0,515130
2024-02-26,22750.0,25400.0,27900.0,22600.0,2019529
2024-02-27,20300.0,22400.0,22400.0,20000.0,593760
2024-02-28,20350.0,20100.0,20950.0,19550.0,297751
2024-02-29,20050.0,19810.0,20500.0,19600.0,209350
2024-03-04,20000.0,20700.0,20950.0,20000.0,269340
2024-03-05,20600.0,20050.0,21450.0,19360.0,655446
2024-03-06,19950.0,20100.0,20800.0,19740.0,219267
2024-03-07,18830.0,20050.0,20200.0,18710.0,259544
2024-03-08,18350.0,19000.0,19500.0,18230.0,148910
2024-03-11,23850.0,18380.0,23850.0,18350.0,4482416
2024-03-12,22400.0,23100.0,24500.0,22050.0,1850774
2024-03-13,25150.0,22900.0,26650.0,22450.0,3667813
2024-03-14,25200.0,25950.0,29800.0,24600.0,4883313
2024-03-15,23900.0,25700.0,26000.0,23500.0,807514
2024-03-18,25200.0,24700.0,26200.0,24350.0,1241966
2024-03-19,25650.0,27000.0,29700.0,25350.0,4247747
2024-03-20,26600.0,24850.0,27050.0,24850.0,1112455
2024-03-21,27200.0,26600.0,27500.0,25600.0,1079527
2024-03-22,25800.0,27300.0,28000.0,25650.0,865475
2024-03-25,24950.0,25400.0,26750.0,24650.0,337989
2024-03-26,23750.0,25200.0,25200.0,23350.0,472073
2024-03-27,24950.0,23650.0,26250.0,23250.0,774918
2024-03-28,25550.0,26950.0,27450.0,25100.0,1343454
2024-03-29,25900.0,25350.0,26150.0,24600.0,351624
2024-04-01,28050.0,25950.0,28300.0,25600.0,1440606
2024-04-02,27000.0,27550.0,27800.0,26800.0,504097
2024-04-03,25800.0,27400.0,28200.0,25200.0,592469
2024-04-04,27800.0,26450.0,28150.0,26200.0,799492
2024-04-05,30850.0,26950.0,34750.0,26700.0,7805992
2024-04-08,31100.0,30600.0,32400.0,29900.0,1838572
2024-04-09,28700.0,31450.0,32800.0,28150.0,1611646
2024-04-11,27000.0,27500.0,27950.0,26650.0,617244
2024-04-12,25750.0,27100.0,27300.0,25000.0,716362
2024-04-15,26050.0,25100.0,26250.0,24050.0,377481
2024-04-16,24600.0,25400.0,26400.0,24600.0,443255
2024-04-17,25050.0,24600.0,26200.0,24550.0,403205
2024-04-18,25550.0,25500.0,26800.0,25450.0,591299
2024-04-19,25500.0,25750.0,26050.0,24600.0,240973
2024-04-22,27300.0,26450.0,27700.0,26400.0,845527
2024-04-23,28100.0,27100.0,28100.0,26700.0,534738
2024-04-24,27800.0,27500.0,28500.0,27200.0,705492
2024-04-25,28800.0,27700.0,29450.0,27500.0,955540
2024-04-26,28750.0,28800.0,29400.0,28200.0,513082
2024-04-29,29800.0,29450.0,30700.0,28800.0,787346
2024-04-30,28450.0,29800.0,30050.0,27850.0,408844
2024-05-02,28300.0,28600.0,29300.0,28050.0,237342
2024-05-03,28850.0,28450.0,29500.0,28250.0,228128
2024-05-07,30700.0,29250.0,30700.0,28900.0,568915
2024-05-08,30500.0,31600.0,33200.0,30400.0,1242637
2024-05-09,30100.0,29950.0,31250.0,29800.0,349122
2024-05-10,28700.0,30350.0,31300.0,28550.0,506927
2024-05-13,29500.0,28950.0,30300.0,28400.0,535282
2024-05-14,30350.0,29600.0,30500.0,29150.0,357233
2024-05-16,31300.0,31000.0,31650.0,30400.0,449525
2024-05-17,31250.0,30950.0,32100.0,30100.0,443795
2024-05-20,31700.0,32000.0,33300.0,31500.0,934565
2024-05-21,32050.0,31600.0,32900.0,30750.0,556804
2024-05-22,32950.0,32200.0,34600.0,32000.0,1214597
2024-05-23,32600.0,33650.0,35500.0,32350.0,2199474
2024-05-24,33700.0,32000.0,33950.0,31300.0,598817
2024-05-27,43800.0,36900.0,43800.0,36550.0,7239491
2024-05-28,47550.0,47250.0,48500.0,44250.0,7589905
2024-05-29,44100.0,46550.0,48100.0,44100.0,1994228
2024-05-30,46100.0,43700.0,46100.0,41900.0,2165602
2024-05-31,44000.0,45450.0,51300.0,44000.0,4499225
2024-06-03,43700.0,44750.0,45400.0,41650.0,965710
2024-06-04,39350.0,42550.0,43000.0,38500.0,1249629
2024-06-05,39000.0,39000.0,40000.0,37900.0,880155
2024-06-07,39050.0,39600.0,40500.0,38650.0,700678
2024-06-10,40800.0,39550.0,41650.0,39350.0,1061696
2024-06-11,38300.0,41800.0,41900.0,38000.0,615791
2024-06-12,39550.0,39050.0,40750.0,38600.0,625059
2024-06-13,38550.0,39750.0,40050.0,38350.0,340998
2024-06-14,37050.0,38850.0,40100.0,36450.0,559318
2024-06-17,37650.0,37050.0,38550.0,36500.0,294359
