date,close,open,high,low,volume
2024-02-02,9220.0,11180.0,11180.0,8240.0,13988066
2024-02-05,8840.0,9000.0,9800.0,8720.0,3933646
2024-02-06,8230.0,8820.0,9750.0,8040.0,8522334
2024-02-07,7760.0,8120.0,8430.0,7750.0,1760253
2024-02-08,8240.0,8100.0,9400.0,7820.0,12294100
2024-02-13,7650.0,8130.0,8290.0,7650.0,1482959
2024-02-14,7360.0,7570.0,7790.0,7290.0,795049
2024-02-15,7310.0,7320.0,7850.0,7200.0,1901418
2024-02-16,7330.0,7450.0,7560.0,7300.0,796449
2024-02-19,7040.0,7320.0,7360.0,7040.0,477345
2024-02-20,6970.0,7040.0,7170.0,6860.0,438839
2024-02-21,7230.0,6950.0,8210.0,6930.0,4829727
2024-02-22,7710.0,7260.0,8070.0,7230.0,2044489
2024-02-23,7730.0,7600.0,8180.0,7400.0,962095
2024-02-26,7570.0,7710.0,8060.0,7560.0,580326
2024-02-27,7990.0,7560.0,8090.0,7360.0,1280974
2024-02-28,7610.0,7860.0,8360.0,7500.0,817767
2024-02-29,7300.0,7530.0,7740.0,7300.0,295566
2024-03-04,7010.0,7310.0,7450.0,6960.0,391254
2024-03-05,6830.0,6990.0,6990.0,6760.0,316194
2024-03-06,6720.0,6780.0,6960.0,6710.0,228114
2024-03-07,6430.0,6800.0,6800.0,6420.0,335756
2024-03-08,6410.0,6460.0,6540.0,6300.0,190991
2024-03-11,6330.0,6400.0,6540.0,6270.0,200425
2024-03-12,6330.0,6350.0,6410.0,6250.0,187878
2024-03-13,6220.0,6340.0,6410.0,6120.0,278236
2024-03-14,6360.0,6200.0,6700.0,6140.0,365304
2024-03-15,6220.0,6300.0,6370.0,6220.0,120641
2024-03-18,6380.0,6250.0,6470.0,6210.0,169415
2024-03-19,6190.0,6400.0,6420.0,6170.0,197647
2024-03-20,6150.0,6270.0,6270.0,6130.0,113279
2024-03-21,6160.0,6200.0,6250.0,6150.0,82288
2024-03-22,6290.0,6140.0,6310.0,6120.0,113085
2024-03-25,6200.0,6290.0,6460.0,6190.0,202854
2024-03-26,6140.0,6190.0,6220.0,6130.0,106425
2024-03-27,6130.0,6140.0,6230.0,6040.0,162103
2024-03-28,6100.0,6140.0,6260.0,6090.0,158828
2024-03-29,5950.0,6110.0,6170.0,5930.0,157896
2024-04-01,6060.0,5950.0,6090.0,5920.0,86134
2024-04-02,6020.0,6090.0,6110.0,5910.0,94943
2024-04-03,5830.0,5990.0,5990.0,5830.0,109604
2024-04-04,5750.0,5850.0,5900.0,5720.0,130949
2024-04-05,5740.0,5700.0,5840.0,5660.0,84615
2024-04-08,5620.0,5840.0,5840.0,5590.0,91973
2024-04-09,5550.0,5650.0,5650.0,5490.0,87833
2024-04-11,5480.0,5520.0,5550.0,5400.0,60326
2024-04-12,5490.0,5430.0,5510.0,5410.0,55160
2024-04-15,5400.0,5490.0,5490.0,5300.0,81389
2024-04-16,5260.0,5350.0,5480.0,5260.0,105354
2024-04-17,5340.0,5260.0,5450.0,5260.0,106228
2024-04-18,5580.0,5300.0,5650.0,5300.0,66535
2024-04-19,5400.0,5570.0,5630.0,5370.0,36579
2024-04-22,5410.0,5400.0,5550.0,5380.0,41976
2024-04-23,5420.0,5420.0,5520.0,5350.0,22256
2024-04-24,5590.0,5520.0,5660.0,5440.0,50781
2024-04-25,5550.0,5640.0,5640.0,5450.0,39935
2024-04-26,5540.0,5560.0,5620.0,5510.0,18441
2024-04-29,5660.0,5670.0,5670.0,5540.0,30748
2024-04-30,6000.0,5870.0,6180.0,5710.0,315851
2024-05-02,6210.0,6000.0,6300.0,5940.0,282351
2024-05-03,6510.0,6350.0,6930.0,6210.0,952932
2024-05-07,6580.0,6540.0,6700.0,6400.0,290986
2024-05-08,6510.0,6580.0,6680.0,6450.0,128789
2024-05-09,6470.0,6500.0,6540.0,6340.0,81931
2024-05-10,6310.0,6480.0,6480.0,6270.0,116166
