date,close,open,high,low,volume
2024-11-19,5860.0,7800.0,8410.0,5810.0,18066059
2024-11-20,6540.0,5750.0,6800.0,5550.0,14219738
2024-11-21,5780.0,6170.0,6280.0,5780.0,2516168
2024-11-22,5140.0,5850.0,5990.0,5120.0,1912575
2024-11-25,4705.0,5060.0,5150.0,4640.0,1202368
2024-11-26,4755.0,4700.0,5340.0,4410.0,4624875
2024-11-27,4880.0,4685.0,5350.0,4670.0,2345032
2024-11-28,4885.0,4960.0,5310.0,4830.0,1279658
2024-11-29,5800.0,4960.0,6190.0,4840.0,13766514
2024-12-02,5690.0,5610.0,6270.0,5450.0,6801057
2024-12-03,5510.0,5620.0,6020.0,5450.0,2381264
2024-12-04,5460.0,5510.0,5890.0,5210.0,2990397
2024-12-05,4850.0,5460.0,5560.0,4835.0,877282
2024-12-06,4280.0,4875.0,4970.0,4195.0,795163
2024-12-09,3605.0,4160.0,4160.0,3600.0,502210
2024-12-10,3850.0,3635.0,4030.0,3620.0,320358
2024-12-11,3930.0,3920.0,4065.0,3855.0,161252
2024-12-12,4020.0,3930.0,4080.0,3890.0,203326
2024-12-13,4000.0,3990.0,4095.0,3955.0,137232
2024-12-16,4315.0,4170.0,4360.0,4095.0,679184
2024-12-17,4365.0,4340.0,4770.0,4120.0,1317448
2024-12-18,4700.0,4495.0,4720.0,4315.0,968887
2024-12-19,4330.0,4505.0,4535.0,4325.0,751734
2024-12-20,4010.0,4330.0,4335.0,3995.0,251571
2024-12-23,4125.0,4055.0,4210.0,4025.0,156683
2024-12-24,4035.0,4155.0,4205.0,4030.0,104650
2024-12-26,3855.0,4050.0,4070.0,3835.0,160759
2024-12-27,3660.0,3875.0,3875.0,3650.0,128450
2024-12-30,3905.0,3620.0,3950.0,3595.0,102557
2025-01-02,4100.0,3925.0,4115.0,3915.0,149803
2025-01-03,4045.0,4060.0,4175.0,3985.0,138211
2025-01-06,4025.0,4010.0,4050.0,3970.0,117980
2025-01-07,4000.0,4030.0,4090.0,3995.0,129002
2025-01-08,3890.0,3915.0,3980.0,3870.0,128414
2025-01-09,3850.0,3855.0,3875.0,3715.0,147238
2025-01-10,3865.0,3850.0,3925.0,3795.0,64101
2025-01-13,3800.0,3865.0,3865.0,3730.0,86336
2025-01-14,3770.0,3800.0,3880.0,3740.0,61950
2025-01-15,3825.0,3775.0,3845.0,3750.0,83995
2025-01-16,3825.0,3860.0,3860.0,3775.0,56641
