date,close,open,high,low,volume
2025-06-10,26250.0,30000.0,37600.0,25600.0,14173687
2025-06-11,22900.0,25350.0,25750.0,22650.0,1881971
2025-06-12,22400.0,23000.0,23550.0,21750.0,919602
2025-06-13,20450.0,22250.0,22800.0,20050.0,791154
2025-06-16,21050.0,20250.0,22550.0,19970.0,1594532
2025-06-17,20150.0,21050.0,21900.0,20050.0,571376
2025-06-18,20200.0,20450.0,21000.0,20100.0,408033
2025-06-19,20250.0,20250.0,20850.0,20100.0,252313
2025-06-20,21000.0,20200.0,21700.0,20100.0,532612
2025-06-23,20250.0,20600.0,21000.0,20100.0,225931
2025-06-24,20250.0,20550.0,20800.0,20000.0,179509
2025-06-25,19160.0,20250.0,20350.0,19160.0,278939
2025-06-26,18560.0,19200.0,19410.0,18490.0,138007
2025-06-27,17600.0,18540.0,18790.0,17600.0,169892
2025-06-30,16960.0,17530.0,17840.0,16800.0,175888
2025-07-01,17880.0,17210.0,18050.0,17060.0,95218
2025-07-02,18320.0,18140.0,18350.0,17070.0,92329
2025-07-03,18310.0,18320.0,18650.0,18180.0,39502
2025-07-04,17740.0,18310.0,18320.0,17730.0,33828
2025-07-07,17280.0,17740.0,17750.0,17240.0,25188
2025-07-08,17310.0,17450.0,17450.0,17120.0,25366
2025-07-09,18150.0,17530.0,18560.0,17390.0,89450
2025-07-10,17630.0,18000.0,18020.0,16630.0,565482
2025-07-11,18920.0,17860.0,19310.0,17740.0,230956
2025-07-14,18080.0,19130.0,19880.0,17910.0,163763
