date,close,open,high,low,volume
2024-10-24,23100.0,35600.0,37450.0,22150.0,21914077
2024-10-25,19850.0,22200.0,22750.0,19520.0,4864475
2024-10-28,18750.0,20400.0,21600.0,18630.0,2808400
2024-10-29,17480.0,18710.0,18970.0,17350.0,1701199
2024-10-30,17070.0,17640.0,17800.0,16980.0,1173201
2024-10-31,17320.0,17130.0,17320.0,16500.0,806228
2024-11-01,16220.0,16730.0,16880.0,16050.0,621533
2024-11-04,16090.0,16240.0,16590.0,15850.0,540698
2024-11-05,15660.0,16050.0,16470.0,15660.0,593719
2024-11-06,14930.0,15880.0,16400.0,14880.0,736070
2024-11-07,15160.0,15070.0,15500.0,14670.0,488630
2024-11-08,16200.0,15180.0,16500.0,15140.0,1050911
2024-11-11,16200.0,16060.0,16480.0,15060.0,724575
2024-11-12,16710.0,16850.0,18200.0,16360.0,3348756
2024-11-13,17850.0,17390.0,20300.0,16940.0,9559926
2024-11-14,16530.0,18350.0,18600.0,15820.0,1780536
2024-11-15,15960.0,16330.0,17190.0,15880.0,984399
2024-11-18,14760.0,15360.0,15510.0,14760.0,533572
2024-11-19,15300.0,15020.0,16000.0,14980.0,902063
2024-11-20,15880.0,15200.0,16620.0,15130.0,909645
2024-11-21,16200.0,15910.0,17840.0,15910.0,1460648
2024-11-22,15500.0,16530.0,16900.0,15500.0,448688
2024-11-25,16690.0,15600.0,16900.0,15600.0,408447
2024-11-26,16420.0,16550.0,16700.0,16070.0,292479
2024-11-27,19110.0,16600.0,19270.0,16530.0,4251870
2024-11-28,19270.0,18910.0,20900.0,18570.0,2939950
2024-11-29,19900.0,19350.0,20500.0,19130.0,2072453
2024-12-02,21050.0,20850.0,21450.0,19400.0,2976438
2024-12-03,19900.0,20850.0,21050.0,19510.0,1442902
2024-12-04,18320.0,19070.0,19790.0,18010.0,921394
2024-12-05,19370.0,18350.0,19640.0,17590.0,1102253
2024-12-06,18680.0,19090.0,19350.0,17290.0,686184
2024-12-09,17870.0,17950.0,18600.0,17620.0,480472
2024-12-10,18650.0,18300.0,18900.0,18250.0,366216
2024-12-11,18000.0,18900.0,19360.0,17800.0,842978
2024-12-12,19620.0,18350.0,19680.0,18110.0,1269297
2024-12-13,19680.0,20650.0,21400.0,19650.0,1927234
2024-12-16,21200.0,19940.0,21200.0,19860.0,948951
2024-12-17,22600.0,21000.0,22600.0,20200.0,1517622
2024-12-18,21600.0,22050.0,23600.0,21600.0,1205826
2024-12-19,21600.0,20500.0,21850.0,20300.0,642544
2024-12-20,21100.0,21950.0,23100.0,20750.0,1267342
2024-12-23,20800.0,21650.0,22050.0,20650.0,565107
