date,close,open,high,low,volume
2024-12-19,17300.0,18000.0,26100.0,16750.0,33939536
2024-12-20,21400.0,16330.0,22000.0,16200.0,20293845
2024-12-23,21400.0,20850.0,22200.0,19810.0,5916277
2024-12-24,18100.0,20550.0,20650.0,18100.0,2853036
2024-12-26,16480.0,17790.0,18790.0,16480.0,1800576
2024-12-27,15710.0,16700.0,18060.0,15480.0,1944397
2024-12-30,16340.0,15410.0,16940.0,15410.0,1105477
2025-01-02,15600.0,16340.0,16510.0,15590.0,686339
2025-01-03,15700.0,15530.0,16200.0,14900.0,1631415
2025-01-06,16280.0,16050.0,17190.0,16020.0,1469679
2025-01-07,18380.0,16760.0,19440.0,16710.0,5317879
2025-01-08,19060.0,18630.0,20650.0,18490.0,6415822
2025-01-09,19000.0,18700.0,19820.0,18670.0,1791746
2025-01-10,18240.0,19230.0,19640.0,17940.0,1081613
2025-01-13,17620.0,18160.0,18920.0,17580.0,675817
2025-01-14,16670.0,17600.0,18070.0,16500.0,675309
2025-01-15,15610.0,16310.0,16750.0,15600.0,469714
2025-01-16,16080.0,15810.0,16430.0,15450.0,485491
2025-01-17,15150.0,15710.0,15820.0,15080.0,373612
2025-01-20,14750.0,14980.0,15520.0,14700.0,336174
2025-01-21,13230.0,14740.0,14750.0,13230.0,580939
2025-01-22,13690.0,13240.0,14220.0,13240.0,551700
2025-01-23,13710.0,14000.0,14350.0,13420.0,539418
2025-01-24,14430.0,14200.0,16760.0,14190.0,4685646
2025-01-31,14550.0,14820.0,14940.0,14370.0,796577
2025-02-03,14260.0,14550.0,14870.0,14240.0,671908
2025-02-04,14030.0,14260.0,14830.0,13990.0,592725
2025-02-05,14330.0,13960.0,14400.0,13960.0,258804
2025-02-06,15390.0,14300.0,15600.0,14300.0,1700568
2025-02-07,15060.0,16460.0,16460.0,14950.0,1001685
2025-02-10,16040.0,14860.0,16440.0,14830.0,960680
2025-02-11,16020.0,16200.0,16210.0,15670.0,567453
2025-02-12,15460.0,16110.0,16570.0,15210.0,727099
2025-02-13,15970.0,15630.0,16150.0,15080.0,433824
2025-02-14,15320.0,15970.0,16050.0,15150.0,343693
2025-02-17,15510.0,15290.0,15900.0,15120.0,503129
2025-02-18,16260.0,15510.0,16350.0,15370.0,874899
2025-02-19,15360.0,16050.0,16190.0,15340.0,440348
2025-02-20,15400.0,15430.0,16240.0,15300.0,810307
2025-02-21,15380.0,15500.0,16040.0,15380.0,439173
2025-02-24,15390.0,15310.0,15630.0,15110.0,257505
2025-02-25,14870.0,15440.0,15440.0,14850.0,208331
2025-02-26,14620.0,15100.0,15220.0,14600.0,239162
2025-02-27,14890.0,14610.0,14960.0,14130.0,177433
2025-02-28,14530.0,15060.0,15580.0,14430.0,437666
2025-03-04,14460.0,14540.0,15000.0,14300.0,214957
2025-03-05,14300.0,14690.0,15060.0,14250.0,208515
2025-03-06,14100.0,14560.0,14780.0,14100.0,147309
2025-03-07,13520.0,14000.0,14000.0,13500.0,131977
2025-03-10,13700.0,13530.0,13910.0,13520.0,65441
2025-03-11,13170.0,13310.0,13400.0,12550.0,153314
2025-03-12,13050.0,13190.0,13470.0,13050.0,91372
2025-03-13,13440.0,13110.0,13780.0,13110.0,169296
2025-03-14,13890.0,13380.0,14230.0,13080.0,250809
2025-03-17,13880.0,14310.0,14530.0,13760.0,165868
2025-03-18,18040.0,15190.0,18040.0,14970.0,9169726
2025-03-19,17160.0,18830.0,18870.0,16880.0,4060574
2025-03-20,17400.0,17150.0,17510.0,17020.0,1966887
2025-03-21,15910.0,16490.0,16750.0,15900.0,1108860
2025-03-24,15690.0,15950.0,17010.0,15510.0,1777434
2025-03-25,19180.0,16470.0,19600.0,16140.0,16763450
2025-03-26,18260.0,18450.0,18720.0,17450.0,3106115
2025-03-27,17710.0,19350.0,20400.0,17470.0,6964108
2025-03-28,19980.0,17770.0,20500.0,17770.0,13759700
2025-03-31,25950.0,21800.0,25950.0,19630.0,9635417
2025-04-01,25250.0,26300.0,26350.0,24650.0,3629452
2025-04-02,25850.0,24950.0,28950.0,24200.0,6765897
2025-04-03,26050.0,25100.0,27400.0,24700.0,2649938
2025-04-04,24500.0,25500.0,25700.0,23850.0,1152333
2025-04-07,21500.0,22550.0,22900.0,20700.0,1252906
2025-04-08,20900.0,22700.0,23150.0,20600.0,1730072
2025-04-09,20350.0,20150.0,21750.0,19970.0,1015406
2025-04-10,21050.0,21650.0,21700.0,20850.0,640520
2025-04-11,24150.0,22600.0,25000.0,22050.0,3828486
2025-04-14,24200.0,23950.0,25400.0,23300.0,1323723
2025-04-15,24250.0,25400.0,25850.0,23900.0,861006
2025-04-16,22750.0,23800.0,24300.0,22700.0,546125
2025-04-17,23700.0,24250.0,24900.0,23200.0,891337
2025-04-18,23750.0,24050.0,24500.0,23250.0,732220
2025-04-21,27850.0,24250.0,28650.0,23850.0,3588959
2025-04-22,26200.0,26350.0,26600.0,25500.0,1062057
2025-04-23,26100.0,26300.0,26400.0,24750.0,773154
2025-04-24,24200.0,27050.0,29350.0,24050.0,3009810
2025-04-25,24400.0,24750.0,25150.0,24100.0,445625
2025-04-28,21100.0,23700.0,23900.0,20550.0,706556
2025-04-29,21150.0,21600.0,21850.0,20900.0,268096
2025-04-30,22850.0,23250.0,25400.0,22300.0,3926332
2025-05-02,22500.0,23400.0,23650.0,21750.0,531375
2025-05-07,22150.0,21750.0,23750.0,20800.0,1157029
2025-05-08,22200.0,22150.0,22800.0,22050.0,315589
2025-05-09,21050.0,22500.0,22750.0,21050.0,298263
2025-05-12,22150.0,21250.0,22250.0,20900.0,327530
2025-05-13,23000.0,21900.0,24400.0,21400.0,1540750
2025-05-14,22250.0,22900.0,23000.0,22100.0,227369
2025-05-15,21800.0,22050.0,22350.0,21400.0,183326
2025-05-16,21050.0,21800.0,22200.0,21000.0,210496
2025-05-19,21350.0,20900.0,21900.0,20800.0,199970
2025-05-20,21200.0,21400.0,21550.0,20950.0,135473
2025-05-21,21500.0,21100.0,21800.0,21100.0,143334
2025-05-22,21600.0,21600.0,21950.0,21200.0,140764
2025-05-23,20100.0,20450.0,20750.0,20050.0,196185
2025-05-26,20700.0,20000.0,20950.0,20000.0,169074
2025-05-27,21700.0,21500.0,22000.0,21150.0,263605
2025-05-28,22350.0,22550.0,22650.0,21800.0,359659
2025-05-29,22450.0,22650.0,22650.0,22100.0,171217
2025-05-30,22000.0,22550.0,22850.0,21800.0,192583
2025-06-02,21900.0,21850.0,22400.0,21350.0,146839
2025-06-04,21100.0,21850.0,21850.0,20600.0,196918
2025-06-05,21100.0,20950.0,21300.0,20800.0,123992
2025-06-09,22400.0,21550.0,22750.0,21450.0,303851
2025-06-10,21900.0,22200.0,22300.0,21600.0,152793
2025-06-11,23600.0,22350.0,24450.0,21750.0,1253106
2025-06-12,23650.0,23450.0,24000.0,23100.0,338915
2025-06-13,24700.0,24000.0,24950.0,23600.0,702704
2025-06-16,25300.0,24100.0,25600.0,23650.0,413785
2025-06-17,24150.0,25100.0,26600.0,24000.0,607331
2025-06-18,23850.0,24400.0,25050.0,23700.0,269341
2025-06-19,23650.0,24150.0,24150.0,23200.0,192743
2025-06-20,23400.0,23950.0,24000.0,23150.0,239833
2025-06-23,23300.0,22950.0,23500.0,22350.0,154880
2025-06-24,23000.0,24350.0,24450.0,22900.0,268809
2025-06-25,21950.0,23000.0,23100.0,21400.0,263855
2025-06-26,21450.0,22000.0,22100.0,21200.0,126048
2025-06-27,21250.0,21500.0,21650.0,20900.0,121675
2025-06-30,21000.0,21550.0,21600.0,20950.0,114802
2025-07-01,21350.0,21050.0,21450.0,20800.0,98034
