date,open,high,low,close,volume
2024-12-23,2365.0,2500.0,1903.0,1903.0,16752650
2024-12-24,1911.0,1921.0,1905.0,1915.0,693715
2024-12-26,1916.0,1918.0,1913.0,1914.0,229425
2024-12-27,1914.0,1932.0,1912.0,1925.0,347253
2024-12-30,1925.0,1926.0,1918.0,1924.0,75144
2025-01-02,1921.0,1929.0,1921.0,1928.0,44976
2025-01-03,1925.0,1933.0,1925.0,1932.0,60237
2025-01-06,1932.0,1938.0,1930.0,1936.0,63532
2025-01-07,1936.0,1945.0,1936.0,1944.0,77085
2025-01-08,1944.0,1947.0,1940.0,1943.0,41589
2025-01-09,1943.0,1961.0,1941.0,1954.0,151795
2025-01-10,1956.0,1961.0,1944.0,1944.0,152789
2025-01-13,1944.0,1951.0,1941.0,1950.0,38261
2025-01-14,1950.0,1961.0,1944.0,1958.0,108728
2025-01-15,1958.0,1967.0,1952.0,1966.0,86871
2025-01-16,1968.0,1969.0,1959.0,1968.0,54015
2025-01-17,1968.0,1969.0,1961.0,1964.0,10904
2025-01-20,1962.0,1963.0,1945.0,1945.0,31232
2025-01-21,1952.0,1955.0,1945.0,1953.0,24833
2025-01-22,1957.0,1957.0,1940.0,1949.0,34270
2025-01-23,1944.0,1953.0,1941.0,1944.0,18368
2025-01-24,1944.0,1960.0,1937.0,1959.0,47277
2025-01-31,1959.0,1967.0,1955.0,1961.0,40471
2025-02-03,1962.0,1962.0,1955.0,1957.0,39681
2025-02-04,1963.0,1966.0,1951.0,1966.0,33211
2025-02-05,1956.0,1968.0,1954.0,1960.0,15828
2025-02-06,1960.0,1969.0,1957.0,1968.0,23608
2025-02-07,1968.0,1971.0,1966.0,1970.0,34363
2025-02-10,1968.0,1976.0,1968.0,1976.0,17478
2025-02-11,1976.0,1978.0,1975.0,1976.0,30605
2025-02-12,1978.0,1985.0,1976.0,1985.0,75238
2025-02-13,1988.0,1988.0,1983.0,1985.0,20799
2025-02-14,1986.0,1986.0,1980.0,1986.0,12960
2025-02-17,1986.0,1989.0,1984.0,1985.0,48451
2025-02-18,1990.0,1990.0,1985.0,1987.0,14220
2025-02-19,1990.0,1994.0,1987.0,1991.0,31459
2025-02-20,1993.0,1993.0,1989.0,1991.0,39383
2025-02-21,1993.0,1994.0,1991.0,1993.0,29130
2025-02-24,1993.0,1997.0,1993.0,1993.0,45619
2025-02-25,1994.0,1996.0,1992.0,1995.0,21886
2025-02-26,1995.0,1997.0,1995.0,1996.0,17408
2025-02-27,1996.0,1999.0,1996.0,1998.0,14982
2025-02-28,1998.0,1999.0,1997.0,1997.0,21523
2025-03-04,1998.0,2000.0,1997.0,1998.0,35027
2025-03-05,2000.0,2007.0,1999.0,2005.0,28733
2025-03-06,2000.0,2005.0,2000.0,2005.0,6035
2025-03-07,2000.0,2005.0,2000.0,2005.0,3642
2025-03-10,2005.0,2005.0,2000.0,2000.0,2729
2025-03-11,1998.0,2000.0,1995.0,2000.0,14428
2025-03-12,2000.0,2005.0,1997.0,1997.0,13973
2025-03-13,1997.0,2000.0,1992.0,1999.0,6937
2025-03-14,2000.0,2000.0,1994.0,1998.0,3301
2025-03-17,2000.0,2000.0,1994.0,1999.0,16186
2025-03-18,1998.0,1999.0,1995.0,1998.0,5551
2025-03-19,1998.0,1998.0,1993.0,1997.0,13161
2025-03-20,1995.0,1999.0,1992.0,1994.0,14348
2025-03-21,1994.0,1994.0,1990.0,1994.0,2936
2025-03-24,1999.0,1999.0,1993.0,1994.0,2993
2025-03-25,1995.0,1997.0,1993.0,1995.0,2453
2025-03-26,1995.0,1998.0,1995.0,1996.0,5357
2025-03-27,1997.0,1998.0,1995.0,1997.0,1811
2025-03-28,1997.0,2005.0,1995.0,1999.0,14984
2025-03-31,1999.0,2000.0,1993.0,1998.0,10640
2025-04-01,1998.0,2000.0,1998.0,1999.0,5808
2025-04-02,1998.0,2005.0,1996.0,1998.0,2909
2025-04-03,1996.0,2002.0,1996.0,2000.0,5534
2025-04-04,1999.0,2000.0,1996.0,1996.0,5705
2025-04-07,1999.0,1999.0,1991.0,1995.0,7783
2025-04-08,1995.0,1995.0,1993.0,1994.0,20986
2025-04-09,1996.0,2005.0,1995.0,1995.0,15795
2025-04-10,1995.0,2000.0,1993.0,1995.0,2624
2025-04-11,1998.0,2002.0,1995.0,2000.0,20287
2025-04-14,1999.0,2010.0,1999.0,2000.0,43164
2025-04-15,1995.0,2005.0,1995.0,2002.0,12788
2025-04-16,1997.0,2005.0,1997.0,2000.0,6552
2025-04-17,2000.0,2005.0,1997.0,2000.0,19750
2025-04-18,2000.0,2005.0,1995.0,1999.0,6011
2025-04-21,2005.0,2005.0,2000.0,2005.0,11434
2025-04-22,2005.0,2010.0,1996.0,2005.0,5319
2025-04-23,2005.0,2005.0,1996.0,2005.0,3108
2025-04-24,2000.0,2005.0,1999.0,2005.0,21156
2025-04-25,1999.0,2010.0,1996.0,2010.0,45344
2025-04-28,2005.0,2020.0,1999.0,2020.0,15099
2025-04-29,2010.0,2025.0,2005.0,2020.0,14248
2025-04-30,2005.0,2040.0,2005.0,2040.0,30479
2025-05-02,2020.0,2050.0,2020.0,2050.0,12546
2025-05-07,2025.0,2050.0,2025.0,2040.0,5232
2025-05-08,2030.0,2050.0,2030.0,2040.0,13823
2025-05-09,2030.0,2050.0,2030.0,2040.0,51407
2025-05-12,2030.0,2050.0,2030.0,2040.0,19905
2025-05-13,2030.0,2055.0,2030.0,2055.0,16072
2025-05-14,2040.0,2055.0,2035.0,2055.0,46920
2025-05-15,2050.0,2060.0,2045.0,2060.0,2199
2025-05-16,2050.0,2055.0,2045.0,2055.0,1123
2025-05-19,2055.0,2065.0,2045.0,2060.0,7053
2025-05-20,2050.0,2067.0,2045.0,2060.0,9438
2025-05-21,2055.0,2065.0,2050.0,2050.0,6057
2025-05-22,2050.0,2055.0,2040.0,2050.0,8708
2025-05-23,2050.0,2055.0,2045.0,2050.0,14291
2025-05-26,2050.0,2065.0,2045.0,2060.0,6744
2025-05-27,2050.0,2060.0,2045.0,2050.0,1423
2025-05-28,2060.0,2070.0,2045.0,2065.0,7982
2025-05-29,2050.0,2070.0,2045.0,2060.0,11295
2025-05-30,2050.0,2065.0,2050.0,2055.0,2930
2025-06-02,2050.0,2060.0,2040.0,2055.0,4422
2025-06-04,2050.0,2060.0,2050.0,2055.0,371
2025-06-05,2050.0,2060.0,2050.0,2055.0,1467
2025-06-09,2055.0,2070.0,2050.0,2070.0,7060
2025-06-10,2060.0,2070.0,2055.0,2070.0,3107
2025-06-11,2075.0,2075.0,2060.0,2075.0,3752
2025-06-12,2060.0,2075.0,2055.0,2065.0,6343
2025-06-13,2055.0,2070.0,2050.0,2055.0,1707
2025-06-16,2055.0,2065.0,2040.0,2065.0,6819
2025-06-17,2045.0,2065.0,2045.0,2065.0,3193
2025-06-18,2050.0,2065.0,2050.0,2065.0,2239
2025-06-19,2050.0,2057.0,2050.0,2055.0,4062
2025-06-20,2050.0,2055.0,2040.0,2050.0,11474
2025-06-23,2050.0,2060.0,2042.0,2055.0,7628
2025-06-24,2045.0,2050.0,2035.0,2045.0,5875
2025-06-25,2040.0,2045.0,2040.0,2045.0,906
2025-06-26,2040.0,2045.0,2035.0,2045.0,1960
2025-06-27,2040.0,2055.0,2040.0,2055.0,10127
2025-06-30,2050.0,2060.0,2040.0,2060.0,11963
2025-07-01,2060.0,2065.0,2060.0,2060.0,9296
2025-07-02,2055.0,2055.0,2055.0,2055.0,1036
2025-07-03,2050.0,2055.0,2050.0,2055.0,821
2025-07-04,2040.0,2050.0,2020.0,2050.0,44356
