date,close,open,high,low,volume
2025-05-20,18380.0,23000.0,26500.0,17950.0,32347508
2025-05-21,19910.0,20000.0,21200.0,19190.0,12260582
2025-05-22,18460.0,19520.0,19720.0,18320.0,2462613
2025-05-23,16530.0,18880.0,19280.0,16050.0,2611911
2025-05-26,17490.0,16300.0,18440.0,16110.0,7185687
2025-05-27,18670.0,18390.0,20450.0,18170.0,8096277
2025-05-28,17530.0,19100.0,19450.0,17260.0,2962544
2025-05-29,17760.0,17610.0,18430.0,17450.0,1466592
2025-05-30,16690.0,17930.0,18090.0,16530.0,847455
2025-06-02,19490.0,16890.0,20250.0,16880.0,12946147
2025-06-04,19350.0,19250.0,19790.0,18450.0,2733221
2025-06-05,18040.0,19260.0,19700.0,18040.0,1621932
2025-06-09,18400.0,18120.0,18570.0,17530.0,870022
2025-06-10,17490.0,18280.0,18280.0,17470.0,594820
2025-06-11,18220.0,17570.0,19270.0,17570.0,2360893
2025-06-12,17780.0,18100.0,18240.0,17610.0,511865
2025-06-13,17490.0,18070.0,18300.0,17480.0,591877
2025-06-16,17300.0,17190.0,17320.0,16500.0,372239
2025-06-17,17390.0,17670.0,18100.0,16980.0,555500
2025-06-18,17950.0,17420.0,18290.0,17070.0,637910
2025-06-19,16950.0,18000.0,18030.0,16950.0,586825
2025-06-20,17290.0,17000.0,17730.0,16820.0,1325584
2025-06-23,16900.0,16900.0,17130.0,16600.0,426952
2025-06-24,17520.0,17280.0,17730.0,17010.0,493224
2025-06-25,18470.0,17520.0,18820.0,17310.0,1463261
2025-06-26,18700.0,18670.0,19120.0,18410.0,1136484
2025-06-27,18150.0,18720.0,18780.0,17660.0,867822
2025-06-30,19550.0,18360.0,19830.0,18285.0,1741840
2025-07-01,18950.0,20100.0,20550.0,18770.0,622270
2025-07-02,18870.0,19150.0,19450.0,18310.0,334735
2025-07-03,18710.0,18810.0,18980.0,18420.0,200905
2025-07-04,19000.0,18710.0,19285.0,18640.0,292577
2025-07-07,18850.0,18820.0,19100.0,18500.0,147391
2025-07-08,19200.0,19100.0,19380.0,18950.0,283941
2025-07-09,19340.0,19200.0,19380.0,18800.0,227995
2025-07-10,19970.0,19560.0,20200.0,19130.0,500257
2025-07-11,19820.0,19950.0,20050.0,19550.0,240765
2025-07-14,20750.0,20550.0,22300.0,20100.0,1549640
