date,open,high,low,close,volume
2025-03-20,2030.0,2100.0,1960.0,1971.0,8587228
2025-03-21,1972.0,1985.0,1967.0,1980.0,602398
2025-03-24,1980.0,1981.0,1974.0,1977.0,136952
2025-03-25,1978.0,1982.0,1977.0,1978.0,97094
2025-03-26,1978.0,1983.0,1977.0,1979.0,117114
2025-03-27,1979.0,1980.0,1978.0,1979.0,43298
2025-03-28,1979.0,1987.0,1978.0,1984.0,114549
2025-03-31,1985.0,1988.0,1982.0,1983.0,38537
2025-04-01,1986.0,1990.0,1981.0,1989.0,101205
2025-04-02,1989.0,1991.0,1984.0,1989.0,29335
2025-04-03,1985.0,1991.0,1985.0,1985.0,19828
2025-04-04,1985.0,1990.0,1980.0,1987.0,99437
2025-04-07,1987.0,1987.0,1978.0,1978.0,61611
2025-04-08,1979.0,1985.0,1979.0,1981.0,40816
2025-04-09,1985.0,1986.0,1980.0,1986.0,73384
2025-04-10,1986.0,1986.0,1982.0,1986.0,33205
2025-04-11,1978.0,1990.0,1978.0,1990.0,92985
2025-04-14,1990.0,1991.0,1982.0,1985.0,44054
2025-04-15,1990.0,1990.0,1985.0,1986.0,11610
2025-04-16,1990.0,1990.0,1984.0,1986.0,23553
2025-04-17,1986.0,1989.0,1983.0,1986.0,27232
2025-04-18,1990.0,1990.0,1986.0,1986.0,17919
2025-04-21,1986.0,1989.0,1985.0,1986.0,55045
2025-04-22,1990.0,1990.0,1987.0,1987.0,24420
2025-04-23,1988.0,1989.0,1988.0,1988.0,4757
2025-04-24,1988.0,1989.0,1988.0,1989.0,3754
2025-04-25,1988.0,1990.0,1987.0,1987.0,14570
2025-04-28,1990.0,1990.0,1987.0,1990.0,8199
2025-04-29,1990.0,1990.0,1987.0,1988.0,60023
2025-04-30,1990.0,1996.0,1990.0,1991.0,25467
2025-05-02,1991.0,2000.0,1991.0,1997.0,60384
2025-05-07,1993.0,2000.0,1993.0,1999.0,21585
2025-05-08,1999.0,1999.0,1995.0,1998.0,30128
2025-05-09,1998.0,2000.0,1996.0,2000.0,48654
2025-05-12,2000.0,2000.0,1998.0,1999.0,6362
2025-05-13,1998.0,2000.0,1997.0,2000.0,27814
2025-05-14,1999.0,2005.0,1998.0,1999.0,152777
2025-05-15,2000.0,2005.0,1977.0,1999.0,63140
2025-05-16,1992.0,2005.0,1992.0,2005.0,13077
2025-05-19,2005.0,2010.0,2000.0,2005.0,43845
2025-05-20,2005.0,2005.0,2000.0,2005.0,14629
2025-05-21,2010.0,2025.0,2005.0,2025.0,96513
2025-05-22,2020.0,2025.0,2010.0,2015.0,27900
2025-05-23,2010.0,2025.0,2010.0,2025.0,32595
2025-05-26,2020.0,2025.0,2015.0,2020.0,15554
2025-05-27,2020.0,2030.0,2020.0,2025.0,23073
2025-05-28,2020.0,2025.0,2015.0,2015.0,6260
2025-05-29,2015.0,2020.0,2010.0,2020.0,26349
2025-05-30,2015.0,2025.0,2010.0,2015.0,13120
2025-06-02,2015.0,2020.0,2010.0,2015.0,5453
2025-06-04,2015.0,2020.0,2010.0,2015.0,3324
2025-06-05,2015.0,2025.0,2010.0,2025.0,16405
2025-06-09,2020.0,2025.0,2010.0,2015.0,18048
2025-06-10,2015.0,2020.0,2015.0,2020.0,3705
2025-06-11,2025.0,2025.0,2005.0,2015.0,42179
2025-06-12,2010.0,2020.0,2010.0,2015.0,15065
2025-06-13,2020.0,2020.0,2005.0,2020.0,30737
2025-06-16,2020.0,2020.0,2010.0,2015.0,21451
2025-06-17,2015.0,2015.0,2000.0,2010.0,105092
2025-06-18,2010.0,2010.0,2000.0,2010.0,124642
2025-06-19,2007.0,2015.0,2005.0,2015.0,31870
2025-06-20,2015.0,2030.0,2005.0,2020.0,49095
2025-06-23,2020.0,2020.0,2005.0,2010.0,6972
2025-06-24,2015.0,2015.0,2000.0,2005.0,18162
2025-06-25,2005.0,2010.0,2000.0,2005.0,13816
2025-06-26,2005.0,2015.0,2005.0,2010.0,5529
2025-06-27,2010.0,2015.0,2000.0,2015.0,5460
2025-06-30,2015.0,2015.0,2005.0,2015.0,9246
2025-07-01,2015.0,2025.0,2010.0,2010.0,10404
2025-07-02,2015.0,2015.0,2005.0,2015.0,4205
2025-07-03,2015.0,2015.0,2005.0,2015.0,2403
2025-07-04,2015.0,2015.0,2005.0,2010.0,218
