date,close,open,high,low,volume
2018-11-30,2340.0,1800.0,2340.0,1640.0,24648855
2018-12-03,2035.0,2655.0,2690.0,2005.0,28210144
2018-12-04,1945.0,2070.0,2170.0,1890.0,12522713
2018-12-05,1940.0,1925.0,2015.0,1895.0,6807667
2018-12-06,1805.0,1950.0,1950.0,1790.0,5484652
2018-12-07,1725.0,1835.0,1855.0,1715.0,5407842
2018-12-10,1740.0,1710.0,1765.0,1650.0,2607595
2018-12-11,1695.0,1740.0,1880.0,1690.0,8383473
2018-12-12,1715.0,1710.0,1800.0,1675.0,3863936
2018-12-13,1735.0,1710.0,1775.0,1705.0,2405718
2018-12-14,1610.0,1760.0,1765.0,1605.0,2438320
2018-12-17,1510.0,1585.0,1595.0,1485.0,2105216
2018-12-18,1425.0,1490.0,1545.0,1405.0,2747327
2018-12-19,1360.0,1420.0,1430.0,1350.0,1622357
2018-12-20,1465.0,1365.0,1585.0,1350.0,9791637
2018-12-21,1440.0,1455.0,1520.0,1430.0,2744919
2018-12-24,1410.0,1440.0,1515.0,1400.0,2063876
2018-12-26,1440.0,1385.0,1470.0,1355.0,2175678
2018-12-27,1395.0,1420.0,1435.0,1380.0,1229641
2018-12-28,1395.0,1400.0,1450.0,1385.0,1914906
2019-01-02,1385.0,1395.0,1425.0,1370.0,1016640
2019-01-03,1465.0,1430.0,1610.0,1420.0,10895263
2019-01-04,1500.0,1470.0,1500.0,1405.0,2964231
2019-01-07,1480.0,1510.0,1520.0,1460.0,1629472
2019-01-08,1450.0,1490.0,1505.0,1425.0,2075943
2019-01-09,1515.0,1535.0,1640.0,1495.0,10615769
2019-01-10,1505.0,1535.0,1560.0,1485.0,2646896
2019-01-11,1505.0,1560.0,1560.0,1490.0,4122753
2019-01-14,1510.0,1510.0,1525.0,1500.0,1421121
2019-01-15,1480.0,1510.0,1510.0,1465.0,1078516
2019-01-16,1445.0,1485.0,1495.0,1445.0,863298
2019-01-17,1440.0,1455.0,1475.0,1435.0,623291
2019-01-18,1440.0,1440.0,1460.0,1430.0,670559
2019-01-21,1490.0,1460.0,1505.0,1455.0,1149893
2019-01-22,1510.0,1490.0,1520.0,1480.0,796869
2019-01-23,1510.0,1505.0,1535.0,1485.0,667870
2019-01-24,1555.0,1525.0,1570.0,1515.0,2158140
2019-01-25,1550.0,1540.0,1570.0,1530.0,848987
2019-01-28,1535.0,1560.0,1575.0,1535.0,822737
2019-01-29,1525.0,1535.0,1555.0,1520.0,668004
2019-01-30,1580.0,1525.0,1580.0,1525.0,1163355
2019-01-31,1535.0,1585.0,1610.0,1535.0,732693
2019-02-01,1535.0,1535.0,1565.0,1530.0,543819
2019-02-07,1535.0,1540.0,1545.0,1510.0,476112
2019-02-08,1515.0,1530.0,1535.0,1505.0,436232
2019-02-11,1500.0,1525.0,1525.0,1490.0,427304
2019-02-12,1525.0,1500.0,1535.0,1500.0,406641
2019-02-13,1525.0,1520.0,1535.0,1510.0,334294
2019-02-14,1590.0,1525.0,1590.0,1515.0,948899
2019-02-15,1585.0,1605.0,1640.0,1555.0,1359616
2019-02-18,1620.0,1580.0,1625.0,1550.0,1660508
2019-02-19,1630.0,1620.0,1655.0,1600.0,1185008
2019-02-20,1685.0,1645.0,1790.0,1620.0,4842584
2019-02-21,1735.0,1690.0,1750.0,1660.0,2346403
