date,close,open,high,low,volume
1990-01-03,17585.0,16424.0,17585.0,16424.0,20400
1990-01-04,18049.0,17527.0,18223.0,17410.0,127250
1990-01-05,17643.0,17585.0,18049.0,17585.0,28660
1990-01-06,17353.0,17643.0,17701.0,17352.0,15310
1990-01-08,17411.0,17178.0,17527.0,17178.0,25110
1990-01-09,17179.0,17410.0,17410.0,17178.0,9380
1990-01-10,16947.0,17352.0,17352.0,16946.0,16200
1990-01-11,16831.0,16830.0,17062.0,16714.0,26420
1990-01-12,16831.0,16714.0,16946.0,16540.0,20230
1990-01-13,16715.0,16714.0,16830.0,16656.0,17500
1990-01-15,16424.0,16598.0,16656.0,16424.0,8600
1990-01-16,16366.0,16308.0,16424.0,16076.0,26290
1990-01-17,16308.0,16250.0,16366.0,16250.0,12810
1990-01-18,16308.0,16308.0,16424.0,16250.0,10160
1990-01-19,16134.0,16250.0,16250.0,16076.0,4860
1990-01-20,16366.0,16076.0,16540.0,16018.0,10580
1990-01-22,16656.0,16482.0,16946.0,16482.0,40650
1990-01-23,16831.0,16714.0,16946.0,16656.0,49240
1990-01-24,17063.0,17120.0,17120.0,17004.0,57930
1990-01-25,17005.0,17120.0,17236.0,16946.0,68190
1990-01-29,17005.0,16830.0,17004.0,16830.0,27030
1990-01-30,16540.0,16830.0,16830.0,16482.0,23010
1990-01-31,16482.0,16540.0,16540.0,16424.0,14360
1990-02-01,16482.0,16598.0,16598.0,16366.0,9240
1990-02-02,16308.0,16366.0,16424.0,16192.0,11820
1990-02-03,16250.0,16250.0,16366.0,16250.0,7020
1990-02-05,16366.0,16482.0,16482.0,16308.0,3070
1990-02-06,16598.0,16424.0,16598.0,16424.0,10470
1990-02-07,16656.0,16830.0,16830.0,16598.0,149140
1990-02-08,16656.0,16076.0,16656.0,16076.0,8980
1990-02-09,16656.0,16714.0,16714.0,16598.0,14360
1990-02-10,16482.0,16656.0,16714.0,16482.0,8080
1990-02-12,16308.0,16424.0,16482.0,16308.0,5140
1990-02-13,16250.0,16250.0,16250.0,16192.0,8900
1990-02-14,16250.0,16134.0,16308.0,16134.0,8970
1990-02-15,16250.0,16366.0,16424.0,16134.0,7250
1990-02-16,16424.0,16308.0,16424.0,16250.0,10760
1990-02-17,16366.0,16424.0,16424.0,16250.0,6840
1990-02-19,16250.0,16308.0,16308.0,16250.0,4750
1990-02-20,16192.0,16308.0,16366.0,16192.0,9300
