date,close,open,high,low,volume
1990-01-03,2600.0,2520.0,2600.0,2510.0,27900
1990-01-04,2700.0,2600.0,2700.0,2600.0,26200
1990-01-05,2650.0,2600.0,2680.0,2600.0,20100
1990-01-06,2650.0,2630.0,2650.0,2620.0,36900
1990-01-08,2670.0,2660.0,2700.0,2660.0,21800
1990-01-09,2670.0,2680.0,2680.0,2670.0,52300
1990-01-10,2650.0,2650.0,2700.0,2650.0,21600
1990-01-11,2610.0,2650.0,2650.0,2610.0,12200
1990-01-12,2610.0,2600.0,2640.0,2600.0,58100
1990-01-13,2600.0,2610.0,2620.0,2600.0,18300
1990-01-15,2560.0,2560.0,2570.0,2560.0,39100
1990-01-16,2550.0,2540.0,2560.0,2500.0,75500
1990-01-17,2630.0,2550.0,2650.0,2520.0,294900
1990-01-18,2560.0,2620.0,2620.0,2560.0,40100
1990-01-19,2530.0,2560.0,2560.0,2530.0,46100
1990-01-20,2530.0,2530.0,2530.0,2490.0,34500
1990-01-22,2570.0,2600.0,2600.0,2560.0,64300
1990-01-23,2570.0,2580.0,2600.0,2500.0,109900
1990-01-24,2630.0,2600.0,2640.0,2590.0,179800
1990-01-25,2680.0,2650.0,2700.0,2640.0,324000
1990-01-29,2660.0,2700.0,2700.0,2660.0,120700
1990-01-30,2740.0,2660.0,2750.0,2660.0,366900
1990-01-31,2810.0,2740.0,2810.0,2680.0,609400
1990-02-01,2710.0,2760.0,2790.0,2710.0,121500
1990-02-02,2630.0,2650.0,2680.0,2630.0,229600
1990-02-03,2610.0,2580.0,2630.0,2580.0,70300
1990-02-05,2610.0,2610.0,2610.0,2580.0,51800
1990-02-06,2620.0,2620.0,2620.0,2600.0,61200
1990-02-07,2600.0,2620.0,2620.0,2570.0,65400
1990-02-08,2700.0,2600.0,2700.0,2600.0,54000
1990-02-09,2680.0,2680.0,2680.0,2650.0,40400
1990-02-10,2660.0,2650.0,2670.0,2650.0,14600
1990-02-12,2660.0,2640.0,2660.0,2610.0,87500
1990-02-13,2650.0,2660.0,2660.0,2600.0,51000
1990-02-14,2640.0,2650.0,2650.0,2620.0,47300
1990-02-15,2710.0,2640.0,2720.0,2640.0,319100
1990-02-16,2730.0,2700.0,2750.0,2680.0,252700
1990-02-17,2710.0,2740.0,2750.0,2700.0,150100
1990-02-19,2700.0,2720.0,2740.0,2690.0,115100
1990-02-20,2700.0,2710.0,2730.0,2700.0,70200
1990-02-21,2680.0,2700.0,2720.0,2680.0,156100
1990-02-22,2700.0,2680.0,2720.0,2680.0,104900
1990-02-23,2720.0,2720.0,2730.0,2700.0,68100
1990-02-24,2690.0,2700.0,2700.0,2690.0,31500
1990-02-26,2670.0,2660.0,2670.0,2650.0,48900
1990-02-27,2700.0,2680.0,2700.0,2650.0,38200
1990-02-28,2680.0,2700.0,2700.0,2680.0,30400
1990-03-02,528.0,526.0,531.0,524.0,97100
1990-03-03,528.0,526.0,528.0,522.0,46900
1990-03-05,516.0,524.0,526.0,516.0,24000
1990-03-06,512.0,520.0,520.0,512.0,18500
1990-03-07,520.0,514.0,520.0,508.0,45600
1990-03-08,507.0,516.0,516.0,506.0,47800
1990-03-09,522.0,510.0,522.0,506.0,59700
1990-03-12,518.0,520.0,522.0,512.0,70800
1990-03-13,514.0,516.0,516.0,508.0,58700
1990-03-14,512.0,510.0,516.0,510.0,53200
1990-03-15,516.0,512.0,516.0,510.0,69100
1990-03-16,520.0,526.0,526.0,520.0,161200
1990-03-17,518.0,516.0,520.0,504.0,33000
1990-03-19,522.0,524.0,524.0,518.0,25200
1990-03-20,524.0,522.0,526.0,522.0,119100
1990-03-21,524.0,526.0,526.0,522.0,75300
1990-03-22,524.0,524.0,524.0,524.0,100
1990-03-23,518.0,526.0,526.0,516.0,28600
1990-03-24,512.0,516.0,518.0,512.0,12900
1990-03-26,514.0,506.0,514.0,506.0,14100
1990-03-27,510.0,514.0,514.0,510.0,47800
1990-03-28,507.0,508.0,508.0,502.0,15300
1990-03-29,510.0,508.0,512.0,503.0,156700
1990-03-30,518.0,510.0,522.0,510.0,31900
1990-03-31,518.0,520.0,522.0,518.0,87100
1990-04-02,518.0,516.0,522.0,516.0,60200
1990-04-03,510.0,516.0,516.0,510.0,64600
1990-04-04,518.0,510.0,518.0,510.0,133700
1990-04-06,514.0,520.0,522.0,514.0,34300
1990-04-07,510.0,510.0,510.0,510.0,2000
1990-04-09,507.0,510.0,516.0,506.0,32800
1990-04-10,509.0,509.0,512.0,507.0,41200
1990-04-11,509.0,509.0,512.0,509.0,47200
1990-04-12,526.0,510.0,526.0,510.0,367900
1990-04-13,518.0,526.0,532.0,516.0,204200
1990-04-14,510.0,516.0,516.0,510.0,6700
1990-04-16,499.0,506.0,506.0,496.0,59000
1990-04-17,507.0,494.0,512.0,494.0,43700
1990-04-18,493.0,506.0,506.0,492.0,12600
1990-04-19,487.0,502.0,502.0,479.0,24300
1990-04-20,479.0,489.0,489.0,479.0,52000
1990-04-21,487.0,487.0,491.0,487.0,18700
1990-04-23,487.0,489.0,489.0,487.0,12100
1990-04-24,479.0,487.0,487.0,479.0,2400
1990-04-25,475.0,477.0,477.0,475.0,22400
1990-04-26,458.0,467.0,467.0,456.0,10900
1990-04-27,468.0,456.0,467.0,448.0,22900
1990-04-28,452.0,452.0,452.0,452.0,800
1990-04-30,433.0,432.0,432.0,432.0,35100
1990-05-01,452.0,429.0,452.0,419.0,35800
1990-05-03,472.0,465.0,471.0,460.0,14200
1990-05-04,491.0,481.0,491.0,475.0,48600
1990-05-07,489.0,491.0,496.0,489.0,38900
1990-05-08,475.0,469.0,487.0,469.0,41000
1990-05-09,462.0,477.0,477.0,462.0,19500
1990-05-10,448.0,458.0,467.0,448.0,35500
1990-05-11,448.0,448.0,448.0,444.0,12500
1990-05-12,448.0,440.0,448.0,440.0,3300
1990-05-14,438.0,438.0,440.0,438.0,8700
1990-05-15,431.0,421.0,431.0,421.0,15500
1990-05-16,450.0,438.0,450.0,429.0,32000
1990-05-17,448.0,448.0,458.0,448.0,122500
1990-05-18,448.0,442.0,458.0,442.0,31100
1990-05-19,444.0,448.0,458.0,442.0,13200
1990-05-21,458.0,458.0,458.0,444.0,10200
1990-05-22,456.0,460.0,463.0,456.0,40400
1990-05-23,462.0,458.0,463.0,458.0,62900
1990-05-24,470.0,463.0,469.0,463.0,90300
1990-05-25,481.0,467.0,483.0,467.0,92800
1990-05-26,477.0,483.0,483.0,477.0,12600
1990-05-28,481.0,477.0,485.0,477.0,85700
1990-05-29,481.0,483.0,483.0,477.0,70500
1990-05-30,481.0,481.0,485.0,481.0,60700
1990-05-31,477.0,481.0,483.0,471.0,27900
1990-06-01,479.0,477.0,483.0,475.0,34200
1990-06-02,479.0,481.0,481.0,479.0,600
1990-06-04,485.0,479.0,491.0,479.0,94800
1990-06-05,481.0,487.0,487.0,477.0,50000
1990-06-07,485.0,481.0,485.0,477.0,63400
1990-06-08,477.0,483.0,483.0,477.0,11600
1990-06-09,473.0,473.0,473.0,473.0,100
1990-06-11,470.0,465.0,469.0,465.0,8000
1990-06-12,464.0,465.0,467.0,463.0,13900
1990-06-13,458.0,458.0,458.0,458.0,5100
1990-06-14,456.0,452.0,456.0,452.0,21900
1990-06-15,458.0,460.0,460.0,456.0,10200
1990-06-16,454.0,458.0,458.0,454.0,15500
1990-06-18,444.0,450.0,450.0,444.0,45200
1990-06-19,446.0,440.0,448.0,440.0,80400
1990-06-20,438.0,442.0,442.0,438.0,18400
1990-06-21,438.0,434.0,444.0,434.0,7000
1990-06-22,446.0,438.0,446.0,438.0,19900
1990-06-23,450.0,440.0,450.0,440.0,31900
1990-06-25,440.0,448.0,448.0,438.0,11700
1990-06-26,442.0,438.0,446.0,438.0,11600
1990-06-27,442.0,438.0,448.0,438.0,15400
1990-06-28,438.0,442.0,442.0,438.0,14300
1990-06-29,429.0,429.0,429.0,429.0,0
1990-06-30,427.0,427.0,427.0,427.0,100
1990-07-02,429.0,429.0,431.0,429.0,54300
1990-07-03,448.0,431.0,448.0,431.0,23100
1990-07-04,433.0,448.0,448.0,432.0,16200
1990-07-05,438.0,427.0,446.0,427.0,93100
1990-07-06,442.0,438.0,442.0,432.0,79300
1990-07-07,444.0,444.0,446.0,444.0,34200
1990-07-09,433.0,446.0,446.0,432.0,50400
1990-07-10,436.0,436.0,436.0,434.0,2900
1990-07-11,440.0,440.0,440.0,440.0,200
1990-07-12,440.0,440.0,440.0,421.0,105100
1990-07-13,442.0,442.0,442.0,442.0,20000
1990-07-14,438.0,438.0,438.0,438.0,0
1990-07-16,423.0,431.0,438.0,423.0,21700
1990-07-18,434.0,423.0,434.0,423.0,300
1990-07-19,429.0,415.0,431.0,415.0,6300
1990-07-20,433.0,429.0,432.0,429.0,30400
1990-07-21,425.0,429.0,429.0,425.0,9400
1990-07-23,411.0,415.0,417.0,409.0,14200
1990-07-24,409.0,409.0,409.0,409.0,0
1990-07-25,411.0,403.0,419.0,403.0,76900
1990-07-26,413.0,411.0,413.0,411.0,16300
1990-07-27,415.0,415.0,415.0,409.0,28600
1990-07-28,415.0,409.0,415.0,409.0,7500
1990-07-30,419.0,419.0,419.0,419.0,100
1990-07-31,421.0,421.0,421.0,421.0,20000
1990-08-01,429.0,421.0,429.0,419.0,47300
1990-08-02,429.0,429.0,429.0,429.0,10000
1990-08-03,427.0,429.0,429.0,427.0,13800
1990-08-04,419.0,423.0,423.0,419.0,9800
1990-08-06,419.0,413.0,419.0,413.0,9900
1990-08-07,419.0,419.0,419.0,409.0,78700
1990-08-08,419.0,409.0,419.0,409.0,55000
1990-08-09,421.0,419.0,421.0,415.0,56000
1990-08-10,427.0,427.0,431.0,427.0,21200
1990-08-11,429.0,425.0,429.0,425.0,3900
1990-08-13,429.0,429.0,429.0,417.0,142500
1990-08-14,419.0,429.0,429.0,417.0,31100
1990-08-16,419.0,419.0,419.0,409.0,30500
1990-08-17,425.0,409.0,425.0,409.0,56400
1990-08-18,427.0,427.0,427.0,427.0,11300
1990-08-20,411.0,411.0,411.0,411.0,1600
1990-08-21,415.0,409.0,418.0,409.0,85600
1990-08-22,419.0,417.0,419.0,417.0,53700
1990-08-23,423.0,421.0,423.0,400.0,132200
1990-08-24,427.0,425.0,427.0,421.0,152900
1990-08-25,425.0,425.0,425.0,425.0,0
1990-08-27,442.0,440.0,442.0,438.0,44000
1990-08-28,462.0,452.0,462.0,448.0,113600
1990-08-29,450.0,442.0,450.0,442.0,9400
1990-08-30,431.0,431.0,431.0,431.0,1000
1990-08-31,427.0,431.0,431.0,411.0,52000
1990-09-01,429.0,425.0,429.0,425.0,14800
1990-09-03,444.0,428.0,448.0,424.0,44500
1990-09-04,436.0,425.0,436.0,425.0,25900
1990-09-05,429.0,425.0,429.0,423.0,6900
1990-09-06,431.0,431.0,431.0,431.0,20000
1990-09-07,431.0,427.0,431.0,427.0,22700
1990-09-08,427.0,427.0,427.0,427.0,0
1990-09-10,427.0,411.0,427.0,409.0,4000
1990-09-11,425.0,407.0,425.0,407.0,5200
1990-09-12,421.0,413.0,421.0,411.0,3500
1990-09-13,423.0,421.0,423.0,413.0,44400
1990-09-14,413.0,424.0,424.0,413.0,30800
1990-09-15,415.0,415.0,415.0,415.0,30000
1990-09-17,397.0,397.0,397.0,397.0,1800
1990-09-18,417.0,389.0,416.0,389.0,3600
1990-09-19,415.0,397.0,416.0,397.0,78800
1990-09-20,415.0,415.0,416.0,415.0,101000
1990-09-21,415.0,415.0,415.0,401.0,90200
1990-09-22,413.0,413.0,413.0,413.0,6500
1990-09-24,415.0,415.0,415.0,415.0,30000
1990-09-25,419.0,415.0,419.0,415.0,4500
1990-09-26,429.0,429.0,429.0,429.0,500
1990-09-27,429.0,429.0,429.0,411.0,81000
1990-09-28,429.0,429.0,429.0,429.0,76200
1990-09-29,433.0,431.0,432.0,431.0,54700
1990-10-05,448.0,448.0,448.0,448.0,100
1990-10-06,440.0,428.0,442.0,428.0,30100
1990-10-08,436.0,421.0,436.0,421.0,900
1990-10-10,438.0,438.0,438.0,438.0,183900
1990-10-11,438.0,434.0,438.0,434.0,1100
1990-10-12,438.0,428.0,438.0,428.0,3000
1990-10-13,434.0,429.0,434.0,429.0,3900
1990-10-15,438.0,436.0,440.0,436.0,43000
1990-10-16,429.0,436.0,436.0,429.0,14800
1990-10-17,419.0,419.0,419.0,419.0,1000
1990-10-18,425.0,438.0,438.0,425.0,22200
1990-10-19,444.0,424.0,444.0,424.0,21100
1990-10-20,442.0,442.0,442.0,442.0,10000
1990-10-22,448.0,442.0,448.0,442.0,40700
1990-10-23,468.0,450.0,467.0,450.0,124300
1990-10-24,485.0,487.0,487.0,477.0,262900
1990-10-25,466.0,465.0,465.0,465.0,8000
1990-10-26,446.0,446.0,446.0,446.0,0
