date,close,open,high,low,volume
1990-01-03,14800.0,14800.0,14800.0,14800.0,200
1990-01-04,15400.0,15300.0,15400.0,15200.0,370
1990-01-05,16000.0,16000.0,16100.0,15800.0,2640
1990-01-06,16800.0,16300.0,16800.0,16300.0,710
1990-01-08,17600.0,17600.0,17600.0,17600.0,2540
1990-01-09,18400.0,18400.0,18400.0,17600.0,7070
1990-01-10,18000.0,18900.0,18900.0,18000.0,4490
1990-01-11,17600.0,17900.0,17900.0,17500.0,2840
1990-01-12,17500.0,17300.0,17500.0,17100.0,1100
1990-01-13,17600.0,17700.0,17700.0,17500.0,440
1990-01-15,17500.0,17600.0,17600.0,17500.0,640
1990-01-16,17500.0,17200.0,17500.0,17000.0,430
1990-01-17,17000.0,17000.0,17000.0,17000.0,90
1990-01-18,16800.0,16800.0,17000.0,16700.0,640
1990-01-19,16800.0,16800.0,16800.0,16800.0,0
1990-01-20,16800.0,16800.0,16800.0,16800.0,150
1990-01-22,17200.0,17200.0,17200.0,16900.0,1410
1990-01-23,17000.0,17200.0,17200.0,17000.0,1000
1990-01-24,17700.0,17100.0,17800.0,17000.0,3100
1990-01-25,18500.0,18000.0,18500.0,18000.0,6760
1990-01-29,19300.0,18800.0,19300.0,18600.0,6070
1990-01-30,20000.0,19800.0,20000.0,19300.0,17040
1990-01-31,19900.0,19000.0,20300.0,19000.0,15800
1990-02-01,20000.0,19900.0,20200.0,19900.0,13340
1990-02-02,19900.0,19500.0,20000.0,19500.0,4860
1990-02-03,20400.0,20000.0,20400.0,20000.0,14290
1990-02-05,20700.0,20400.0,20700.0,20200.0,19840
1990-02-06,20600.0,20800.0,20900.0,20300.0,18970
1990-02-07,20000.0,20500.0,20500.0,20000.0,9680
1990-02-08,20100.0,20200.0,20400.0,20100.0,9520
1990-02-09,20100.0,20300.0,20400.0,20100.0,7210
1990-02-10,20300.0,20200.0,20500.0,20100.0,3910
1990-02-12,20600.0,20300.0,20600.0,20300.0,8750
1990-02-13,21100.0,20700.0,21400.0,20700.0,20490
1990-02-14,21700.0,21300.0,21800.0,21300.0,25230
1990-02-15,22400.0,21900.0,22600.0,21700.0,34450
1990-02-16,22900.0,22400.0,23100.0,22400.0,28740
1990-02-17,22500.0,22900.0,22900.0,22100.0,4430
1990-02-19,22700.0,22300.0,22800.0,22300.0,3830
1990-02-20,22500.0,22700.0,22800.0,22500.0,5330
1990-02-21,23000.0,22500.0,23000.0,22500.0,10020
1990-02-22,22700.0,23000.0,23000.0,22700.0,8910
1990-02-23,22400.0,22700.0,22700.0,22400.0,1420
1990-02-24,22200.0,22500.0,22500.0,22100.0,1560
1990-02-26,22500.0,22200.0,22900.0,22000.0,9340
1990-02-27,22500.0,22300.0,22500.0,22300.0,6070
1990-02-28,22300.0,22700.0,22700.0,22300.0,1490
1990-03-02,12490.0,12491.0,12603.0,12491.0,3790
1990-03-03,12210.0,12210.0,12210.0,12210.0,750
1990-03-05,12098.0,12154.0,12154.0,12042.0,1420
1990-03-06,12266.0,12098.0,12322.0,12098.0,3070
1990-03-07,12210.0,12546.0,12546.0,12210.0,2230
1990-03-08,11986.0,12155.0,12155.0,11763.0,1480
1990-03-09,11818.0,11874.0,11986.0,11818.0,1780
1990-03-12,11650.0,11762.0,11818.0,11650.0,2640
1990-03-13,11370.0,11482.0,11651.0,11370.0,2450
1990-03-14,11426.0,11258.0,11482.0,11258.0,5740
1990-03-15,11538.0,11706.0,11706.0,11426.0,4230
1990-03-16,11818.0,11650.0,11930.0,11650.0,4670
1990-03-17,11706.0,11818.0,11818.0,11538.0,2170
1990-03-19,11762.0,11874.0,11874.0,11706.0,2820
1990-03-20,11874.0,11762.0,11930.0,11762.0,2760
1990-03-21,11762.0,11874.0,11930.0,11762.0,6270
1990-03-22,11874.0,11762.0,11874.0,11706.0,3500
1990-03-23,11538.0,11930.0,11930.0,11538.0,970
1990-03-24,11650.0,11650.0,11650.0,11538.0,5560
1990-03-26,11538.0,11706.0,11706.0,11482.0,2410
1990-03-27,11538.0,11538.0,11594.0,11538.0,3780
1990-03-28,11706.0,11482.0,11706.0,11426.0,1960
1990-03-29,11538.0,11538.0,11650.0,11482.0,2210
1990-03-30,11874.0,11034.0,12098.0,11034.0,7300
1990-03-31,11706.0,11874.0,11874.0,11706.0,1700
1990-04-02,11706.0,11706.0,11874.0,11706.0,8320
1990-04-03,12266.0,11706.0,12267.0,11706.0,22370
1990-04-04,12827.0,12545.0,12825.0,12433.0,56580
1990-04-06,13107.0,13049.0,13330.0,12882.0,51550
1990-04-07,13163.0,13105.0,13274.0,12993.0,22080
1990-04-09,13107.0,13106.0,13330.0,12882.0,16340
1990-04-10,12939.0,12993.0,13161.0,12881.0,8020
1990-04-11,13163.0,12937.0,13386.0,12881.0,26650
1990-04-12,13275.0,13217.0,13329.0,12994.0,10850
1990-04-13,13331.0,13385.0,13385.0,13161.0,13340
1990-04-14,13219.0,13106.0,13218.0,13106.0,1600
1990-04-16,12995.0,13218.0,13218.0,12770.0,1810
1990-04-17,12827.0,12993.0,13161.0,12825.0,2540
1990-04-18,12546.0,12826.0,12938.0,12546.0,1890
1990-04-19,12210.0,12490.0,12490.0,11986.0,5800
1990-04-20,11930.0,12210.0,12210.0,11874.0,3410
1990-04-21,12378.0,11930.0,12434.0,11930.0,5010
1990-04-23,12322.0,12490.0,12490.0,12098.0,5400
1990-04-24,12434.0,12322.0,12546.0,12322.0,6780
1990-04-25,12154.0,12322.0,12322.0,12042.0,3990
1990-04-26,11650.0,12042.0,12042.0,11594.0,7640
1990-04-27,11818.0,11482.0,11930.0,11482.0,3230
1990-04-28,11258.0,11651.0,11651.0,11258.0,2060
1990-04-30,10698.0,10698.0,10698.0,10698.0,2000
1990-05-01,11146.0,10978.0,11146.0,10978.0,1600
1990-05-03,11594.0,11594.0,11594.0,11594.0,40
1990-05-04,12154.0,12155.0,12155.0,11762.0,4920
1990-05-07,11986.0,11763.0,12491.0,11763.0,3910
1990-05-08,11762.0,11650.0,12098.0,11650.0,2460
1990-05-09,12042.0,11874.0,12154.0,11762.0,6210
1990-05-10,11762.0,12042.0,12042.0,11762.0,2280
1990-05-11,11482.0,11762.0,11762.0,11370.0,5460
1990-05-12,11370.0,11482.0,11594.0,11314.0,3570
1990-05-14,10866.0,11482.0,11482.0,10866.0,3020
1990-05-15,10866.0,10418.0,10866.0,10418.0,9860
1990-05-16,11314.0,10866.0,11314.0,10866.0,1780
1990-05-17,11706.0,11706.0,11874.0,11314.0,6820
1990-05-18,11762.0,11706.0,11818.0,11538.0,6020
1990-05-19,11762.0,11762.0,12042.0,11762.0,6350
1990-05-21,11930.0,11762.0,11986.0,11762.0,3940
1990-05-22,12210.0,12042.0,12322.0,12042.0,12610
1990-05-23,12154.0,12210.0,12322.0,12155.0,1080
1990-05-24,12210.0,12154.0,12266.0,12154.0,6760
1990-05-25,12266.0,12267.0,12378.0,12267.0,4270
1990-05-26,12210.0,12266.0,12266.0,12210.0,1750
1990-05-28,11986.0,12098.0,12210.0,11986.0,1780
1990-05-29,11930.0,11986.0,12098.0,11930.0,2480
1990-05-30,12098.0,12098.0,12322.0,11930.0,4920
1990-05-31,12042.0,12322.0,12322.0,12042.0,170
1990-06-01,12266.0,12267.0,12322.0,12098.0,4350
1990-06-02,12210.0,12210.0,12210.0,12210.0,0
1990-06-04,12771.0,12377.0,12770.0,12377.0,14780
1990-06-05,12603.0,12826.0,12826.0,12433.0,6200
1990-06-07,12546.0,12546.0,12714.0,12546.0,2460
1990-06-08,12378.0,12546.0,12546.0,12379.0,1100
1990-06-09,12322.0,12322.0,12322.0,12322.0,100
1990-06-11,12322.0,12098.0,12322.0,12098.0,160
1990-06-12,12098.0,12322.0,12322.0,11930.0,2070
1990-06-13,12098.0,12322.0,12322.0,11986.0,2570
1990-06-14,11762.0,12098.0,12098.0,11762.0,890
1990-06-15,11650.0,11762.0,11762.0,11594.0,2860
1990-06-16,11762.0,11930.0,11930.0,11762.0,110
1990-06-18,11818.0,11762.0,11930.0,11650.0,10390
1990-06-19,11482.0,11706.0,12042.0,11482.0,10060
1990-06-20,11314.0,11482.0,11482.0,11202.0,6390
1990-06-21,11482.0,11482.0,11482.0,11258.0,5640
1990-06-22,11370.0,11482.0,11482.0,11370.0,2100
1990-06-23,11482.0,11482.0,11538.0,11482.0,2510
1990-06-25,11314.0,11482.0,11482.0,11314.0,1800
1990-06-26,11258.0,11258.0,11258.0,11202.0,3740
1990-06-27,11258.0,11314.0,11314.0,11146.0,4930
1990-06-28,11090.0,11258.0,11370.0,11090.0,3760
1990-06-29,10754.0,11090.0,11090.0,10754.0,960
1990-06-30,10362.0,10642.0,10642.0,10362.0,910
1990-07-02,10530.0,10362.0,10530.0,10306.0,3130
1990-07-03,10978.0,10754.0,10978.0,10754.0,1030
1990-07-04,10810.0,11090.0,11314.0,10810.0,6540
1990-07-05,10642.0,10810.0,10810.0,10642.0,1780
1990-07-06,10306.0,10530.0,10698.0,10306.0,5640
1990-07-07,10138.0,10082.0,10474.0,10082.0,530
1990-07-09,10194.0,10362.0,10362.0,10194.0,670
1990-07-10,10306.0,10418.0,10418.0,10250.0,140
1990-07-11,10362.0,10418.0,10418.0,10362.0,20
1990-07-12,9970.0,10080.0,10249.0,9968.0,2020
1990-07-13,9578.0,9857.0,9857.0,9521.0,3430
1990-07-14,9298.0,9409.0,9689.0,9297.0,4160
1990-07-16,9018.0,9129.0,9129.0,8961.0,2020
1990-07-18,9298.0,9129.0,9465.0,9129.0,4950
1990-07-19,9298.0,9297.0,9521.0,9241.0,1380
1990-07-20,9074.0,9297.0,9353.0,9073.0,1810
1990-07-21,9242.0,9016.0,9240.0,9016.0,460
1990-07-23,9130.0,9240.0,9240.0,9128.0,1310
1990-07-24,9074.0,9073.0,9129.0,9073.0,2540
1990-07-25,9186.0,9129.0,9297.0,9129.0,3200
1990-07-26,9074.0,9073.0,9073.0,9073.0,730
1990-07-27,8850.0,8960.0,9017.0,8793.0,2070
1990-07-28,8962.0,8960.0,9073.0,8960.0,750
1990-07-30,8962.0,8960.0,8960.0,8960.0,1400
1990-07-31,9130.0,8960.0,9128.0,8960.0,710
1990-08-01,9522.0,9129.0,9577.0,9129.0,3610
1990-08-02,9690.0,9745.0,9801.0,9576.0,8130
1990-08-03,9522.0,9521.0,9801.0,9521.0,6540
1990-08-04,9466.0,9409.0,9521.0,9352.0,2550
1990-08-06,9522.0,9577.0,9577.0,9465.0,3700
1990-08-07,9410.0,9409.0,9409.0,9241.0,2860
1990-08-08,9354.0,9297.0,9409.0,9297.0,1720
1990-08-09,9410.0,9353.0,9521.0,9241.0,3480
1990-08-10,9858.0,9464.0,9856.0,9464.0,6400
1990-08-11,10194.0,10082.0,10250.0,9914.0,15060
1990-08-13,9802.0,9969.0,10305.0,9745.0,2020
1990-08-14,9802.0,9689.0,9801.0,9577.0,4640
1990-08-16,9858.0,9968.0,9968.0,9801.0,5860
