date,close,open,high,low,volume
1996-12-26,232871.0,232872.0,232872.0,232872.0,0
1996-12-27,232871.0,232872.0,232872.0,232872.0,0
1997-01-03,232871.0,232872.0,234036.0,232872.0,145680
1997-01-04,232871.0,232872.0,232872.0,232872.0,277690
1997-01-06,232871.0,232872.0,232872.0,232872.0,436190
1997-01-07,232871.0,232872.0,232872.0,232872.0,283480
1997-01-08,232871.0,232872.0,232872.0,232872.0,206320
1997-01-09,232871.0,232872.0,234036.0,232872.0,203650
1997-01-10,232871.0,232872.0,234036.0,232872.0,2144420
1997-01-11,232871.0,234036.0,234036.0,232872.0,69610
1997-01-13,232871.0,232872.0,234036.0,232872.0,94400
1997-01-14,243350.0,234036.0,244515.0,232872.0,399790
1997-01-15,243350.0,243351.0,250337.0,238694.0,271740
1997-01-16,243350.0,243351.0,253830.0,234036.0,1924710
1997-01-17,239857.0,244515.0,248008.0,238694.0,218270
1997-01-18,244515.0,244515.0,246844.0,242187.0,156910
1997-01-20,263145.0,245680.0,263145.0,245680.0,323750
1997-01-21,271295.0,273624.0,284104.0,265474.0,1605450
1997-01-22,265473.0,267803.0,278282.0,263145.0,330030
1997-01-23,260816.0,265474.0,270131.0,253830.0,318170
1997-01-24,260816.0,256159.0,265474.0,251501.0,167620
1997-01-25,272459.0,264309.0,278282.0,264309.0,143710
1997-01-27,266638.0,275953.0,277117.0,261981.0,866050
1997-01-28,286432.0,264309.0,287597.0,261981.0,428950
1997-01-29,286432.0,282939.0,294583.0,281775.0,311330
1997-01-30,285267.0,286432.0,289925.0,279446.0,175260
1997-01-31,284103.0,285268.0,288761.0,282939.0,245510
1997-02-01,279446.0,284104.0,284104.0,278282.0,53990
1997-02-03,279446.0,279446.0,285268.0,277117.0,78740
1997-02-04,289925.0,280610.0,296911.0,279446.0,187610
1997-02-05,287596.0,292254.0,294583.0,285268.0,171560
1997-02-06,285267.0,287597.0,287597.0,280610.0,48480
1997-02-10,293418.0,285268.0,293418.0,285268.0,145300
1997-02-11,291089.0,288761.0,291090.0,286432.0,70900
1997-02-12,302733.0,285268.0,302733.0,285268.0,255650
1997-02-13,326020.0,302733.0,326020.0,292254.0,219730
1997-02-14,351636.0,330678.0,351636.0,328349.0,397910
1997-02-15,379580.0,360951.0,379581.0,358622.0,82580
1997-02-17,379580.0,379581.0,404032.0,366773.0,339280
1997-02-18,349307.0,379581.0,381910.0,349308.0,219600
1997-02-19,377252.0,355129.0,377252.0,345815.0,170980
1997-02-20,377252.0,383074.0,386567.0,363280.0,182190
1997-02-21,349307.0,372595.0,377252.0,349308.0,233010
1997-02-22,356293.0,345815.0,359787.0,333007.0,107900
1997-02-24,367937.0,358622.0,376088.0,356294.0,51980
1997-02-25,397046.0,360951.0,397046.0,360951.0,212510
1997-02-26,422662.0,384238.0,428484.0,384238.0,237410
1997-02-27,430812.0,419169.0,431977.0,408690.0,202320
1997-02-28,419169.0,434306.0,440128.0,419169.0,1494980
1997-03-03,421497.0,423827.0,433141.0,420334.0,53530
1997-03-04,406361.0,421498.0,423827.0,398211.0,65530
1997-03-05,384238.0,407526.0,408690.0,380745.0,126580
1997-03-06,386567.0,384238.0,395882.0,381910.0,90540
1997-03-07,386567.0,390060.0,398211.0,384238.0,65740
1997-03-08,378416.0,387731.0,392389.0,378417.0,21410
1997-03-10,376087.0,367937.0,381910.0,367937.0,187070
1997-03-11,372594.0,376088.0,376088.0,367937.0,29490
