date,close,open,high,low,volume
1990-01-03,7090.0,7090.0,7090.0,7090.0,0
1990-01-04,7190.0,7190.0,7190.0,7190.0,0
1990-01-05,7290.0,7290.0,7290.0,7290.0,110
1990-01-06,7390.0,7390.0,7390.0,7390.0,80
1990-01-08,7490.0,7490.0,7490.0,7490.0,120
1990-01-09,7590.0,7590.0,7590.0,7590.0,0
1990-01-10,7690.0,7690.0,7690.0,7690.0,0
1990-01-11,7790.0,7790.0,7790.0,7790.0,580
1990-01-12,7890.0,7890.0,7890.0,7890.0,1360
1990-01-13,7990.0,7990.0,7990.0,7990.0,2190
1990-01-15,8090.0,8090.0,8090.0,8090.0,13400
1990-01-16,8090.0,8090.0,8090.0,8090.0,0
1990-01-17,8090.0,8090.0,8090.0,8090.0,0
1990-01-18,8090.0,8090.0,8090.0,8090.0,0
1990-01-19,7990.0,7990.0,7990.0,7990.0,7760
1990-01-20,7890.0,7890.0,7890.0,7890.0,2790
1990-01-22,7990.0,7990.0,7990.0,7990.0,970
1990-01-23,8090.0,8090.0,8090.0,8090.0,1170
1990-01-24,8190.0,8190.0,8190.0,8190.0,1100
1990-01-25,8290.0,8290.0,8290.0,8290.0,1050
1990-01-29,8390.0,8390.0,8390.0,8390.0,2040
1990-01-30,8490.0,8490.0,8490.0,8490.0,3360
1990-01-31,8590.0,8590.0,8590.0,8590.0,2500
1990-02-01,8690.0,8690.0,8690.0,8690.0,860
1990-02-02,8790.0,8790.0,8790.0,8790.0,2140
1990-02-03,8890.0,8890.0,8890.0,8890.0,1950
1990-02-05,8990.0,8990.0,8990.0,8990.0,1690
1990-02-06,8990.0,8990.0,8990.0,8990.0,0
1990-02-07,8990.0,8990.0,8990.0,8990.0,0
1990-02-08,8990.0,8990.0,8990.0,8990.0,0
1990-02-09,9090.0,9090.0,9090.0,9090.0,1400
1990-02-10,9190.0,9190.0,9190.0,9190.0,580
1990-02-12,9290.0,9290.0,9290.0,9290.0,280
1990-02-13,9390.0,9390.0,9390.0,9390.0,1390
1990-02-14,9490.0,9490.0,9490.0,9490.0,8730
1990-02-15,9390.0,9590.0,9590.0,9390.0,9060
1990-02-16,9290.0,9290.0,9290.0,9290.0,480
1990-02-17,9190.0,9190.0,9190.0,9190.0,300
1990-02-19,9090.0,9090.0,9090.0,9090.0,990
1990-02-20,8990.0,8990.0,8990.0,8990.0,5750
1990-02-21,9090.0,9090.0,9090.0,9090.0,4990
1990-02-22,9000.0,9190.0,9190.0,9000.0,4910
1990-02-23,8900.0,8900.0,8900.0,8900.0,1980
1990-02-24,8800.0,8800.0,8800.0,8800.0,100
1990-02-26,8700.0,8700.0,8700.0,8700.0,2230
