date,close,open,high,low,volume
1990-01-03,5350.0,5210.0,5350.0,5200.0,9700
1990-01-04,5350.0,5450.0,5460.0,5300.0,37600
1990-01-05,5160.0,5300.0,5320.0,5160.0,4500
1990-01-06,5300.0,5360.0,5360.0,5300.0,20100
1990-01-08,5300.0,5300.0,5300.0,5160.0,19600
1990-01-09,5250.0,5250.0,5250.0,5210.0,1300
1990-01-10,5190.0,5250.0,5250.0,5190.0,17400
1990-01-11,5200.0,5190.0,5250.0,5170.0,22400
1990-01-12,5160.0,5220.0,5220.0,5160.0,16700
1990-01-13,5050.0,5200.0,5200.0,5050.0,21100
1990-01-15,5050.0,5150.0,5150.0,5050.0,7400
1990-01-16,5050.0,5050.0,5070.0,5040.0,29300
1990-01-17,5000.0,5050.0,5050.0,5000.0,19200
1990-01-18,5000.0,5000.0,5040.0,5000.0,14200
1990-01-19,4950.0,5000.0,5000.0,4920.0,23100
1990-01-20,4980.0,4950.0,5000.0,4950.0,16900
1990-01-22,5130.0,5080.0,5130.0,5050.0,18700
1990-01-23,5050.0,5100.0,5150.0,5050.0,40800
1990-01-24,5070.0,5100.0,5150.0,5050.0,21300
1990-01-25,5080.0,5070.0,5100.0,5070.0,40000
1990-01-29,5000.0,4880.0,5080.0,4880.0,12800
1990-01-30,4960.0,5000.0,5000.0,4950.0,57100
1990-01-31,4960.0,4950.0,4960.0,4950.0,22200
1990-02-01,4960.0,4950.0,4960.0,4950.0,16800
1990-02-02,5000.0,4930.0,5000.0,4930.0,33000
1990-02-03,4950.0,4960.0,4960.0,4950.0,2600
1990-02-05,4860.0,4950.0,5000.0,4860.0,41000
1990-02-06,4940.0,4900.0,4950.0,4900.0,26600
1990-02-07,4950.0,4960.0,4960.0,4900.0,46000
1990-02-08,4950.0,4960.0,4960.0,4950.0,57600
1990-02-09,3880.0,3900.0,3900.0,3880.0,35800
1990-02-10,3850.0,3850.0,3900.0,3850.0,4700
1990-02-12,3750.0,3800.0,3850.0,3750.0,9500
1990-02-13,3740.0,3730.0,3800.0,3730.0,14100
1990-02-14,3750.0,3750.0,3770.0,3750.0,18600
1990-02-15,3780.0,3780.0,3780.0,3760.0,14300
1990-02-16,3760.0,3780.0,3780.0,3750.0,9200
1990-02-17,3730.0,3750.0,3750.0,3730.0,4400
1990-02-19,3690.0,3650.0,3700.0,3650.0,12500
1990-02-20,3580.0,3560.0,3670.0,3560.0,9000
1990-02-21,3520.0,3550.0,3550.0,3520.0,20700
1990-02-22,3470.0,3490.0,3500.0,3460.0,21100
1990-02-23,3500.0,3480.0,3600.0,3480.0,13600
1990-02-24,3450.0,3520.0,3520.0,3450.0,17400
1990-02-26,3390.0,3450.0,3450.0,3390.0,28400
1990-02-27,3520.0,3500.0,3520.0,3390.0,22200
1990-02-28,3550.0,3520.0,3610.0,3520.0,51600
1990-03-02,2614.0,2593.0,2615.0,2593.0,35800
1990-03-03,2643.0,2636.0,2686.0,2615.0,63100
1990-03-05,2600.0,2629.0,2629.0,2600.0,1600
1990-03-06,2522.0,2565.0,2572.0,2522.0,2900
1990-03-07,2451.0,2451.0,2487.0,2451.0,10000
1990-03-08,2465.0,2423.0,2522.0,2423.0,25200
1990-03-09,2508.0,2458.0,2508.0,2451.0,117500
1990-03-12,2515.0,2515.0,2544.0,2515.0,52500
1990-03-13,2486.0,2529.0,2529.0,2487.0,18900
1990-03-14,2486.0,2501.0,2515.0,2487.0,23800
1990-03-15,2479.0,2494.0,2494.0,2473.0,11200
1990-03-16,2529.0,2508.0,2529.0,2508.0,31800
1990-03-17,2536.0,2551.0,2572.0,2529.0,24600
1990-03-19,2557.0,2572.0,2572.0,2558.0,7900
1990-03-20,2557.0,2572.0,2572.0,2522.0,32300
1990-03-21,2564.0,2558.0,2572.0,2558.0,39500
1990-03-22,2564.0,2558.0,2572.0,2558.0,10400
1990-03-23,2593.0,2558.0,2615.0,2558.0,28000
1990-03-24,2593.0,2608.0,2608.0,2558.0,10800
1990-03-26,2579.0,2593.0,2593.0,2572.0,19300
1990-03-27,2557.0,2593.0,2608.0,2558.0,34900
1990-03-28,2529.0,2558.0,2558.0,2508.0,10900
1990-03-29,2515.0,2508.0,2551.0,2508.0,12700
1990-03-30,2273.0,2217.0,2274.0,2203.0,29100
