date,close,open,high,low,volume
1990-01-03,11531.0,10696.0,11531.0,10696.0,518
1990-01-04,11862.0,11199.0,12021.0,11199.0,3724
1990-01-05,11531.0,11862.0,11862.0,11451.0,2229
1990-01-06,11942.0,11519.0,12009.0,11347.0,15554
1990-01-08,12445.0,12113.0,12445.0,12113.0,16149
1990-01-09,13108.0,12856.0,13108.0,12685.0,36978
1990-01-10,13520.0,13428.0,13758.0,13257.0,47947
1990-01-11,12937.0,13175.0,13427.0,12845.0,11117
1990-01-12,13360.0,13108.0,13360.0,13028.0,17304
1990-01-13,13188.0,13255.0,13426.0,13096.0,7136
1990-01-15,12697.0,13188.0,13188.0,12696.0,2409
1990-01-16,12525.0,12262.0,12513.0,12262.0,9800
1990-01-17,12194.0,12432.0,12432.0,12182.0,2953
1990-01-18,12354.0,12182.0,12354.0,12182.0,1024
1990-01-19,12354.0,12354.0,12354.0,12102.0,1941
1990-01-20,12445.0,12524.0,12524.0,12113.0,2651
1990-01-22,12777.0,12777.0,12936.0,12194.0,7111
1990-01-23,12777.0,12856.0,12856.0,12445.0,4844
1990-01-24,12857.0,12765.0,13015.0,12765.0,10283
1990-01-25,12937.0,13095.0,13095.0,12765.0,13312
1990-01-29,13108.0,13028.0,13108.0,12856.0,7846
1990-01-30,13108.0,13267.0,13267.0,12936.0,13137
1990-01-31,13520.0,12925.0,13678.0,12925.0,31574
1990-02-01,13691.0,13599.0,13691.0,13359.0,22149
1990-02-02,13691.0,13599.0,13850.0,13439.0,15859
1990-02-03,13600.0,13508.0,13758.0,13508.0,6318
1990-02-05,13691.0,13518.0,13691.0,13359.0,4193
1990-02-06,13691.0,13691.0,13691.0,13439.0,6724
1990-02-07,13600.0,13678.0,13678.0,13348.0,8790
1990-02-08,13520.0,13428.0,13587.0,13177.0,5123
1990-02-09,13520.0,13587.0,13587.0,13257.0,1759
1990-02-10,13360.0,13268.0,13440.0,13268.0,493
1990-02-12,13520.0,13097.0,13838.0,13097.0,6401
1990-02-13,13360.0,13520.0,13691.0,13360.0,1904
1990-02-14,13360.0,13520.0,13520.0,13268.0,1650
1990-02-15,13520.0,13257.0,13508.0,13257.0,4424
1990-02-16,13771.0,13519.0,13850.0,13268.0,16610
1990-02-17,13771.0,13850.0,13850.0,13599.0,7593
1990-02-19,13771.0,13770.0,13770.0,13599.0,2651
1990-02-20,13600.0,13588.0,13678.0,13588.0,5353
1990-02-21,14102.0,13679.0,14090.0,13679.0,18214
1990-02-22,14102.0,14090.0,14090.0,13839.0,4495
1990-02-23,14022.0,14022.0,14181.0,13930.0,7158
1990-02-24,14022.0,14101.0,14101.0,13598.0,1699
1990-02-26,13360.0,13600.0,13691.0,13360.0,7254
1990-02-27,13440.0,13268.0,13440.0,13108.0,8376
1990-02-28,13268.0,13426.0,13426.0,13016.0,1012
1990-03-02,13360.0,13440.0,13600.0,13268.0,3808
1990-03-03,13268.0,13346.0,13346.0,13266.0,939
1990-03-05,13108.0,13279.0,13279.0,13108.0,3241
