date,close,open,high,low,volume
1990-01-03,5493.0,5215.0,5493.0,5215.0,3784
1990-01-04,5632.0,5493.0,5655.0,5493.0,13010
1990-01-05,5447.0,5400.0,5609.0,5400.0,8685
1990-01-06,5401.0,5400.0,5493.0,5400.0,3032
1990-01-08,5401.0,5447.0,5470.0,5331.0,4207
1990-01-09,5447.0,5447.0,5493.0,5400.0,7945
1990-01-10,5679.0,5516.0,5678.0,5423.0,42380
1990-01-11,5470.0,5655.0,5655.0,5470.0,23646
1990-01-12,5447.0,5470.0,5516.0,5400.0,11165
1990-01-13,5424.0,5470.0,5470.0,5400.0,6640
1990-01-15,5331.0,5377.0,5377.0,5284.0,6323
1990-01-16,5331.0,5307.0,5331.0,5261.0,10613
1990-01-17,5262.0,5284.0,5331.0,5215.0,8603
1990-01-18,5308.0,5215.0,5307.0,5215.0,3138
1990-01-19,5169.0,5238.0,5238.0,5168.0,2915
1990-01-20,5169.0,5192.0,5215.0,5145.0,3326
1990-01-22,5285.0,5215.0,5377.0,5215.0,10201
1990-01-23,5192.0,5238.0,5331.0,5192.0,8532
1990-01-24,5331.0,5284.0,5331.0,5238.0,12505
1990-01-25,5331.0,5400.0,5423.0,5331.0,23834
1990-01-29,5401.0,5261.0,5400.0,5261.0,16759
1990-01-30,5424.0,5423.0,5447.0,5331.0,18698
1990-01-31,5401.0,5331.0,5423.0,5331.0,6194
1990-02-01,5447.0,5400.0,5447.0,5331.0,37385
1990-02-02,5493.0,5423.0,5493.0,5377.0,23611
1990-02-03,5517.0,5447.0,5516.0,5423.0,16324
1990-02-05,5493.0,5516.0,5562.0,5400.0,12035
1990-02-06,5517.0,5493.0,5539.0,5470.0,11329
1990-02-07,5447.0,5516.0,5516.0,5447.0,6311
1990-02-08,5378.0,5215.0,5470.0,5215.0,11964
1990-02-09,5401.0,5423.0,5447.0,5377.0,4819
1990-02-10,5401.0,5400.0,5423.0,5400.0,4184
1990-02-12,5331.0,5331.0,5447.0,5331.0,4290
1990-02-13,5285.0,5331.0,5377.0,5284.0,6123
1990-02-14,5354.0,5284.0,5377.0,5284.0,6875
1990-02-15,5447.0,5377.0,5447.0,5377.0,11424
1990-02-16,5401.0,5447.0,5539.0,5400.0,18475
1990-02-17,5447.0,5400.0,5516.0,5400.0,11235
1990-02-19,5424.0,5493.0,5493.0,5400.0,5359
1990-02-20,5378.0,5447.0,5470.0,5331.0,4619
1990-02-21,5378.0,5331.0,5447.0,5331.0,5771
1990-02-22,5378.0,5400.0,5400.0,5377.0,5665
1990-02-23,5401.0,5377.0,5400.0,5331.0,6593
1990-02-24,5378.0,5400.0,5400.0,5307.0,4301
1990-02-26,5285.0,5331.0,5331.0,5284.0,3067
1990-02-27,5401.0,5215.0,5400.0,5099.0,5418
1990-02-28,5401.0,5354.0,5447.0,5354.0,17605
1990-03-02,5401.0,5447.0,5493.0,5330.0,35547
1990-03-03,5401.0,5400.0,5400.0,5377.0,29552
1990-03-05,5332.0,5330.0,5377.0,5307.0,16092
1990-03-06,5332.0,5330.0,5354.0,5330.0,37186
1990-03-07,5239.0,5330.0,5330.0,5237.0,3193
1990-03-08,5239.0,5191.0,5307.0,5191.0,13244
1990-03-09,5262.0,5215.0,5262.0,5192.0,15229
1990-03-12,5192.0,5215.0,5238.0,5192.0,18636
1990-03-13,5192.0,5192.0,5215.0,5169.0,30543
1990-03-14,5215.0,5191.0,5214.0,5168.0,31707
1990-03-15,5262.0,5192.0,5262.0,5192.0,25108
1990-03-16,5308.0,5238.0,5308.0,5238.0,34426
1990-03-17,5239.0,5330.0,5330.0,5237.0,2588
1990-03-19,5285.0,5215.0,5285.0,5169.0,16738
1990-03-20,5332.0,5237.0,5330.0,5237.0,23555
1990-03-21,5332.0,5330.0,5400.0,5307.0,190721
1990-03-22,5285.0,5331.0,5331.0,5285.0,19757
1990-03-23,5262.0,5238.0,5262.0,5192.0,10526
1990-03-24,5239.0,5261.0,5261.0,5214.0,11776
1990-03-26,5239.0,5191.0,5237.0,5191.0,11260
1990-03-27,5192.0,5215.0,5238.0,5192.0,20620
1990-03-28,5192.0,5192.0,5192.0,5169.0,32226
1990-03-29,5169.0,5170.0,5216.0,5147.0,15055
1990-03-30,5285.0,5285.0,5331.0,5146.0,24073
1990-03-31,5308.0,5238.0,5308.0,5238.0,81318
1990-04-02,5332.0,5307.0,5354.0,5261.0,54830
1990-04-03,5448.0,5262.0,5448.0,5262.0,105606
1990-04-04,5494.0,5447.0,5563.0,5354.0,229676
1990-04-06,5355.0,5447.0,5447.0,5354.0,52027
1990-04-07,5378.0,5354.0,5377.0,5307.0,144993
1990-04-09,5378.0,5330.0,5400.0,5330.0,36065
1990-04-10,5332.0,5377.0,5377.0,5284.0,17040
1990-04-11,5355.0,5215.0,5354.0,5215.0,45253
1990-04-12,5285.0,5331.0,5331.0,5238.0,14409
1990-04-13,5262.0,5238.0,5285.0,5238.0,26444
1990-04-14,5239.0,5237.0,5261.0,5237.0,37014
1990-04-16,5146.0,5216.0,5216.0,5124.0,30759
1990-04-17,5215.0,5145.0,5214.0,5145.0,48791
1990-04-18,5123.0,5262.0,5262.0,5124.0,10569
1990-04-19,4891.0,5100.0,5147.0,4891.0,16825
1990-04-20,4821.0,4983.0,4983.0,4821.0,21311
1990-04-21,4868.0,4798.0,4868.0,4775.0,29336
1990-04-23,4821.0,4867.0,4867.0,4705.0,19499
1990-04-24,4868.0,4775.0,4891.0,4775.0,12769
1990-04-25,4821.0,4867.0,4867.0,4798.0,23899
1990-04-26,4636.0,4821.0,4821.0,4635.0,30370
1990-04-27,4775.0,4658.0,4774.0,4519.0,33002
1990-04-28,4659.0,4566.0,4704.0,4566.0,7334
1990-04-30,4428.0,4450.0,4450.0,4427.0,27566
1990-05-01,4613.0,4473.0,4612.0,4473.0,41370
1990-05-03,4798.0,4751.0,4798.0,4751.0,7204
1990-05-04,5030.0,4984.0,5030.0,4868.0,37403
1990-05-07,5030.0,5030.0,5169.0,4960.0,39947
1990-05-08,5030.0,5030.0,5100.0,4914.0,27178
1990-05-09,4984.0,5076.0,5076.0,4937.0,21225
1990-05-10,4798.0,4867.0,4867.0,4774.0,2761
1990-05-11,4752.0,4797.0,4868.0,4682.0,34166
1990-05-12,4636.0,4751.0,4751.0,4612.0,8887
1990-05-14,4636.0,4635.0,4635.0,4520.0,27696
1990-05-15,4497.0,4635.0,4635.0,4427.0,4529
1990-05-16,4682.0,4495.0,4681.0,4495.0,12511
1990-05-17,4775.0,4774.0,4821.0,4681.0,75235
1990-05-18,4798.0,4774.0,4844.0,4751.0,82095
1990-05-19,4798.0,4774.0,4867.0,4774.0,25064
1990-05-21,4845.0,4798.0,4845.0,4752.0,7894
1990-05-22,4960.0,4913.0,4983.0,4913.0,30845
1990-05-23,4960.0,4959.0,4983.0,4913.0,38653
1990-05-24,5030.0,4960.0,5030.0,4960.0,43355
1990-05-25,5076.0,5006.0,5076.0,4867.0,46591
1990-05-26,5099.0,5099.0,5099.0,5076.0,37403
1990-05-28,5123.0,5100.0,5124.0,5100.0,76487
1990-05-29,5146.0,4984.0,5170.0,4984.0,70575
1990-05-30,5146.0,5007.0,5147.0,5007.0,32398
1990-05-31,5099.0,5192.0,5192.0,5099.0,24805
1990-06-01,5146.0,5124.0,5193.0,5124.0,26919
