date,close,open,high,low,volume
1990-01-03,29300.0,27800.0,29300.0,27500.0,12720
1990-01-04,30300.0,30000.0,30300.0,29800.0,25240
1990-01-05,29600.0,30000.0,30300.0,29300.0,32020
1990-01-06,29200.0,28800.0,29600.0,28800.0,23430
1990-01-08,29300.0,28800.0,29500.0,28800.0,17320
1990-01-09,28700.0,29000.0,29100.0,28700.0,21000
1990-01-10,27900.0,28500.0,28500.0,27900.0,13080
1990-01-11,27900.0,28000.0,28500.0,27700.0,17020
1990-01-12,27800.0,27900.0,28000.0,27700.0,12960
1990-01-13,27300.0,27800.0,27800.0,27200.0,8820
1990-01-15,26900.0,27300.0,27500.0,26900.0,13560
1990-01-16,27000.0,26700.0,27200.0,26500.0,16260
1990-01-17,26800.0,27000.0,27000.0,26700.0,11050
1990-01-18,26900.0,26800.0,27200.0,26500.0,10030
1990-01-19,26200.0,26700.0,26800.0,26000.0,3830
1990-01-20,26400.0,26200.0,26400.0,26100.0,4080
1990-01-22,27400.0,26900.0,27400.0,26800.0,18580
1990-01-23,26700.0,27900.0,27900.0,26700.0,15320
1990-01-24,26900.0,27000.0,27400.0,26800.0,11340
1990-01-25,26700.0,26800.0,26900.0,26700.0,17350
1990-01-29,26500.0,26700.0,26700.0,26500.0,5350
1990-01-30,25900.0,26600.0,26600.0,25800.0,12810
1990-01-31,26400.0,25700.0,26400.0,25300.0,14420
1990-02-01,25700.0,26400.0,26400.0,25600.0,9570
1990-02-02,25500.0,25300.0,26200.0,25300.0,10990
1990-02-03,25700.0,25300.0,26000.0,25300.0,4340
1990-02-05,26000.0,25700.0,26000.0,25700.0,4850
1990-02-06,26000.0,25800.0,26200.0,25800.0,14150
1990-02-07,25500.0,26000.0,26100.0,25500.0,4690
1990-02-08,25400.0,25700.0,25700.0,25200.0,6680
1990-02-09,25200.0,25500.0,25500.0,25200.0,6940
1990-02-10,24800.0,25000.0,25000.0,24800.0,3310
1990-02-12,24400.0,24800.0,24800.0,24300.0,11580
1990-02-13,24300.0,24300.0,25000.0,24000.0,11000
1990-02-14,24400.0,24300.0,24700.0,24300.0,6390
1990-02-15,24200.0,24400.0,24500.0,24200.0,5690
1990-02-16,23900.0,24000.0,24200.0,23700.0,8300
1990-02-17,23500.0,23900.0,23900.0,23500.0,4330
1990-02-19,23000.0,23000.0,23200.0,22900.0,24380
1990-02-20,22800.0,22800.0,23400.0,22800.0,19120
1990-02-21,22700.0,22600.0,23000.0,22600.0,19330
1990-02-22,22800.0,22700.0,22800.0,22300.0,12280
1990-02-23,22700.0,23000.0,23000.0,22600.0,5490
1990-02-24,22300.0,22500.0,22600.0,22000.0,3980
1990-02-26,21600.0,22200.0,22300.0,21600.0,8670
1990-02-27,22600.0,21400.0,22600.0,21400.0,15460
1990-02-28,23600.0,23000.0,23600.0,22700.0,49330
1990-03-02,20723.0,20724.0,20724.0,20724.0,4890
1990-03-03,21566.0,21566.0,21566.0,21061.0,42070
1990-03-05,20807.0,21313.0,21398.0,20724.0,37360
1990-03-06,20134.0,20471.0,20640.0,19966.0,30400
1990-03-07,19544.0,20134.0,20134.0,19376.0,10310
1990-03-08,19712.0,19123.0,20218.0,19123.0,30890
1990-03-09,20302.0,20050.0,20303.0,19713.0,28080
1990-03-12,20471.0,20471.0,20471.0,20134.0,13570
1990-03-13,20218.0,20471.0,20640.0,20050.0,23720
1990-03-14,19965.0,20218.0,20471.0,19881.0,11640
1990-03-15,19881.0,20050.0,20050.0,19376.0,13230
1990-03-16,19881.0,20134.0,20218.0,19123.0,12310
1990-03-17,19291.0,19460.0,19881.0,19292.0,5130
1990-03-19,19375.0,19292.0,19544.0,19292.0,6570
1990-03-20,19207.0,18955.0,19629.0,18955.0,7890
1990-03-21,19544.0,19207.0,19629.0,19207.0,14040
1990-03-22,19375.0,19797.0,19797.0,19376.0,6980
1990-03-23,19123.0,18533.0,19376.0,18533.0,7650
1990-03-24,18954.0,19123.0,19123.0,18955.0,3910
1990-03-26,18701.0,18955.0,18955.0,18702.0,8620
1990-03-27,18449.0,18702.0,18702.0,18449.0,7200
1990-03-28,18364.0,18281.0,18365.0,18028.0,12580
1990-03-29,18617.0,18112.0,18786.0,18112.0,22560
1990-03-30,18112.0,17859.0,18196.0,17607.0,11270
1990-03-31,17943.0,17859.0,18112.0,17859.0,8350
1990-04-02,18027.0,17101.0,18281.0,17101.0,11880
1990-04-03,17691.0,18028.0,18028.0,17691.0,7510
1990-04-04,17269.0,17607.0,17775.0,17270.0,9450
1990-04-06,17943.0,17101.0,17944.0,16849.0,21560
1990-04-07,17269.0,17691.0,17691.0,17186.0,6450
1990-04-09,17269.0,17270.0,17438.0,17186.0,13440
1990-04-10,17185.0,17101.0,17354.0,17101.0,12450
1990-04-11,17438.0,17186.0,17523.0,17101.0,5400
1990-04-12,17269.0,17438.0,17438.0,17017.0,8310
1990-04-13,17101.0,17186.0,17523.0,17017.0,10300
1990-04-14,16764.0,17101.0,17101.0,16764.0,7760
1990-04-16,16595.0,16764.0,16764.0,16427.0,10910
1990-04-17,17269.0,16512.0,17270.0,16427.0,21950
1990-04-18,16932.0,17270.0,17607.0,16933.0,29550
1990-04-19,16764.0,16680.0,17186.0,16680.0,14200
1990-04-20,16764.0,16680.0,17017.0,16680.0,14630
1990-04-21,16932.0,16764.0,17017.0,16764.0,5680
1990-04-23,16680.0,17017.0,17017.0,16680.0,4580
1990-04-24,16511.0,16849.0,16849.0,16512.0,3790
1990-04-25,16174.0,16512.0,16512.0,16175.0,4700
1990-04-26,15500.0,15669.0,15838.0,15501.0,7770
1990-04-27,16006.0,15248.0,16090.0,15164.0,16210
1990-04-28,15332.0,15585.0,15585.0,15332.0,6700
1990-04-30,14658.0,14911.0,14911.0,14658.0,2170
1990-05-01,15332.0,14658.0,15332.0,14658.0,16740
1990-05-03,16006.0,16006.0,16006.0,16006.0,1720
1990-05-04,16680.0,16680.0,16680.0,16680.0,14050
1990-05-07,17101.0,17270.0,17354.0,16933.0,38920
1990-05-08,17185.0,16933.0,17607.0,16933.0,35800
1990-05-09,16848.0,17270.0,17523.0,16849.0,20930
1990-05-10,16258.0,16512.0,16680.0,16175.0,17590
1990-05-11,16090.0,16175.0,16512.0,15753.0,18520
1990-05-12,15669.0,16006.0,16175.0,15669.0,5530
1990-05-14,15332.0,15501.0,15922.0,15332.0,16260
1990-05-15,14995.0,15079.0,15164.0,14658.0,9300
1990-05-16,15669.0,15164.0,15669.0,15164.0,6330
1990-05-17,16006.0,16343.0,16343.0,15669.0,21210
1990-05-18,15921.0,16006.0,16006.0,15585.0,13090
1990-05-19,15753.0,15753.0,16090.0,15753.0,7130
1990-05-21,15753.0,15922.0,16006.0,15753.0,4930
1990-05-22,16258.0,15753.0,16259.0,15753.0,12770
1990-05-23,16343.0,16343.0,16427.0,16006.0,8040
1990-05-24,16174.0,16343.0,16343.0,16006.0,3430
1990-05-25,16258.0,16006.0,16427.0,16006.0,17240
1990-05-26,16006.0,16090.0,16175.0,16006.0,4800
1990-05-28,15753.0,15922.0,15922.0,15753.0,7780
1990-05-29,15921.0,15753.0,16090.0,15753.0,13940
1990-05-30,16174.0,16006.0,16427.0,15753.0,6790
1990-05-31,16090.0,15753.0,16427.0,15753.0,10020
1990-06-01,16090.0,16343.0,16427.0,16090.0,8900
1990-06-02,15921.0,16090.0,16175.0,15922.0,7110
1990-06-04,16090.0,15922.0,16090.0,15922.0,7350
1990-06-05,16006.0,16259.0,16259.0,15922.0,18510
1990-06-07,15837.0,15922.0,16006.0,15838.0,6480
1990-06-08,15837.0,15753.0,16090.0,15669.0,12380
1990-06-09,15753.0,15838.0,15838.0,15669.0,1890
1990-06-11,15247.0,15585.0,15669.0,15164.0,6850
1990-06-12,15163.0,15164.0,15332.0,15079.0,9200
1990-06-13,15332.0,15164.0,15332.0,15079.0,11970
1990-06-14,14910.0,15332.0,15332.0,14911.0,3560
1990-06-15,14742.0,14743.0,14911.0,14658.0,10680
1990-06-16,14742.0,14743.0,14911.0,14743.0,3660
1990-06-18,14321.0,14490.0,14490.0,14321.0,4580
1990-06-19,14068.0,13732.0,14490.0,13732.0,9180
1990-06-20,13815.0,13900.0,14153.0,13816.0,6330
1990-06-21,13647.0,13563.0,13900.0,13563.0,7370
1990-06-22,13731.0,13647.0,13816.0,13647.0,5950
1990-06-23,13647.0,13732.0,13816.0,13647.0,2480
1990-06-25,13310.0,13647.0,13647.0,13310.0,3300
1990-06-26,13478.0,13310.0,13479.0,13058.0,11520
1990-06-27,13563.0,13310.0,13647.0,13310.0,9440
1990-06-28,13310.0,13563.0,13563.0,13310.0,2780
1990-06-29,13478.0,13310.0,13479.0,12889.0,17300
1990-06-30,13563.0,13647.0,13647.0,12805.0,10920
1990-07-02,13731.0,13395.0,13900.0,13226.0,17470
1990-07-03,14405.0,13900.0,14406.0,13900.0,5450
1990-07-04,14574.0,14574.0,14743.0,14153.0,20760
1990-07-05,14068.0,14237.0,14574.0,13984.0,13650
1990-07-06,13563.0,13816.0,14153.0,13395.0,7720
1990-07-07,13310.0,13647.0,13647.0,13226.0,5440
1990-07-09,13478.0,13310.0,13479.0,13142.0,11520
1990-07-10,13563.0,13563.0,13816.0,13563.0,11610
1990-07-11,13226.0,13226.0,13563.0,13226.0,11000
1990-07-12,13394.0,13142.0,13395.0,13058.0,34730
1990-07-13,13141.0,13479.0,13479.0,13058.0,9220
1990-07-14,13310.0,13142.0,13395.0,13142.0,2780
1990-07-16,13226.0,13142.0,13226.0,12973.0,6960
1990-07-18,13647.0,13310.0,13816.0,13310.0,13260
1990-07-19,13563.0,13563.0,13816.0,13395.0,9760
1990-07-20,13731.0,13732.0,13732.0,13479.0,10880
1990-07-21,13478.0,13563.0,13563.0,13310.0,2240
1990-07-23,13310.0,13479.0,13479.0,13310.0,4890
1990-07-24,13394.0,13226.0,13395.0,13226.0,7140
1990-07-25,13563.0,13395.0,13647.0,13395.0,8240
1990-07-26,13394.0,13395.0,13647.0,13310.0,7850
1990-07-27,13057.0,13479.0,13479.0,13058.0,11370
1990-07-28,13226.0,13142.0,13395.0,12973.0,5300
1990-07-30,13057.0,13142.0,13142.0,13058.0,2760
1990-07-31,13226.0,12973.0,13226.0,12889.0,3800
1990-08-01,13310.0,13226.0,13647.0,13226.0,9480
1990-08-02,13141.0,13479.0,13479.0,13058.0,1740
1990-08-03,12804.0,12973.0,12973.0,12805.0,8330
1990-08-04,12383.0,12468.0,12636.0,12384.0,1520
1990-08-06,11962.0,12047.0,12131.0,11962.0,9440
1990-08-07,11794.0,11710.0,11794.0,11457.0,14260
1990-08-08,11288.0,11626.0,11710.0,11289.0,6470
1990-08-09,11457.0,11036.0,11710.0,10867.0,29370
1990-08-10,11457.0,11289.0,11794.0,11289.0,9160
1990-08-11,11457.0,11457.0,11541.0,11457.0,2710
1990-08-13,11541.0,11120.0,11626.0,11120.0,8350
1990-08-14,11541.0,11373.0,11541.0,11036.0,21390
1990-08-16,11625.0,11289.0,11710.0,11289.0,28560
1990-08-17,11878.0,11373.0,11878.0,11373.0,21310
1990-08-18,12046.0,11710.0,12131.0,11710.0,5380
1990-08-20,12046.0,11626.0,12131.0,11626.0,15550
1990-08-21,11794.0,11878.0,12131.0,11794.0,25850
1990-08-22,11541.0,11626.0,11878.0,11541.0,12360
1990-08-23,11794.0,11710.0,11794.0,11373.0,27630
1990-08-24,11794.0,11794.0,11794.0,11289.0,25860
1990-08-25,11372.0,11373.0,11541.0,11289.0,2880
1990-08-27,11878.0,11541.0,11878.0,11541.0,2900
1990-08-28,12383.0,12299.0,12384.0,12299.0,2780
1990-08-29,12720.0,12889.0,12889.0,11878.0,12130
1990-08-30,12046.0,12552.0,12805.0,12047.0,14060
1990-08-31,11541.0,11541.0,11794.0,11541.0,15320
1990-09-01,11541.0,11541.0,11626.0,11541.0,6870
1990-09-03,12046.0,11626.0,12047.0,11626.0,6630
1990-09-04,11878.0,11962.0,12299.0,11710.0,10530
1990-09-05,11962.0,11457.0,11962.0,11457.0,16220
1990-09-06,11962.0,11710.0,11962.0,11710.0,17780
1990-09-07,11794.0,11710.0,11794.0,11541.0,8250
1990-09-08,11625.0,11541.0,11710.0,11541.0,1930
1990-09-10,11794.0,11457.0,11794.0,11457.0,5030
1990-09-11,11878.0,11710.0,11878.0,11626.0,10100
1990-09-12,11878.0,11710.0,11878.0,11541.0,7640
1990-09-13,11962.0,11794.0,11962.0,11794.0,19140
1990-09-14,12046.0,11794.0,12047.0,11710.0,22920
1990-09-15,11541.0,11710.0,11794.0,11541.0,3650
1990-09-17,11035.0,11289.0,11289.0,11036.0,1620
1990-09-18,11541.0,11036.0,11541.0,10867.0,13540
1990-09-19,11709.0,11794.0,11794.0,11457.0,18200
1990-09-20,11457.0,11457.0,11710.0,11457.0,8280
1990-09-21,11457.0,11289.0,11794.0,11036.0,9850
1990-09-22,11288.0,11289.0,11373.0,11204.0,4210
1990-09-24,11457.0,11036.0,11457.0,11036.0,9620
1990-09-25,11541.0,11289.0,11541.0,11289.0,10370
1990-09-26,11541.0,11373.0,11626.0,11373.0,9280
1990-09-27,11625.0,11457.0,11626.0,11457.0,10050
1990-09-28,11709.0,11457.0,11710.0,11457.0,6590
1990-09-29,11878.0,11794.0,11962.0,11794.0,8820
1990-10-05,12299.0,11794.0,12299.0,11794.0,2040
1990-10-06,12046.0,11794.0,12299.0,11794.0,6240
1990-10-08,12046.0,11878.0,12215.0,11878.0,25260
1990-10-10,11962.0,12131.0,12131.0,11710.0,22080
1990-10-11,12215.0,11710.0,12215.0,11710.0,6760
1990-10-12,12467.0,12215.0,12552.0,12131.0,6790
1990-10-13,12467.0,12468.0,12468.0,12299.0,3990
1990-10-15,12720.0,12384.0,12973.0,12384.0,7100
1990-10-16,12299.0,12721.0,12973.0,12299.0,8610
1990-10-17,12804.0,12299.0,12805.0,12299.0,8680
1990-10-18,13478.0,13058.0,13479.0,12889.0,32170
1990-10-19,14152.0,13647.0,14153.0,13479.0,29280
1990-10-20,14826.0,14406.0,14827.0,14321.0,20830
1990-10-22,15500.0,14827.0,15501.0,14827.0,30180
1990-10-23,16174.0,16175.0,16175.0,16175.0,3350
1990-10-24,16848.0,16849.0,16849.0,16849.0,5830
1990-10-25,16090.0,16175.0,17101.0,16006.0,61000
1990-10-26,15416.0,15669.0,15669.0,15416.0,14260
1990-10-27,15921.0,15164.0,16090.0,15079.0,16650
1990-10-29,15247.0,16596.0,16596.0,15248.0,16800
1990-10-30,14742.0,14658.0,15416.0,14574.0,24210
1990-10-31,14068.0,14406.0,14658.0,14069.0,17800
1990-11-01,14742.0,14321.0,14743.0,14237.0,16450
1990-11-02,14995.0,14995.0,15416.0,14490.0,26920
1990-11-03,15247.0,14995.0,15669.0,14995.0,10630
1990-11-05,15332.0,14995.0,15585.0,14911.0,26980
1990-11-06,14995.0,15164.0,15501.0,14995.0,9170
1990-11-07,15669.0,15164.0,15669.0,14574.0,19690
1990-11-08,15163.0,15669.0,16006.0,14995.0,26230
1990-11-09,14995.0,15164.0,15416.0,14995.0,8750
1990-11-10,14742.0,14827.0,15079.0,14658.0,5440
1990-11-12,14910.0,14743.0,14995.0,14743.0,7380
1990-11-13,15247.0,15079.0,15332.0,15079.0,17450
1990-11-14,14995.0,15416.0,15416.0,14911.0,12560
1990-11-15,14910.0,14827.0,14995.0,14827.0,9270
1990-11-16,14826.0,14743.0,14911.0,14743.0,8020
1990-11-17,14574.0,14827.0,14911.0,14574.0,6610
1990-11-19,14068.0,14069.0,14406.0,13984.0,11060
1990-11-20,13984.0,13900.0,13984.0,13647.0,6970
1990-11-21,13900.0,13984.0,14069.0,13732.0,7870
1990-11-22,14321.0,13816.0,14574.0,13816.0,17070
1990-11-23,14321.0,14321.0,14406.0,14321.0,9580
1990-11-24,14068.0,14153.0,14321.0,14069.0,4500
1990-11-26,13984.0,13563.0,14237.0,13563.0,6240
1990-11-27,13984.0,13984.0,14069.0,13900.0,5480
1990-11-28,14574.0,13984.0,14574.0,13984.0,7840
1990-11-29,14574.0,14658.0,15079.0,14574.0,27240
1990-11-30,14658.0,14321.0,14743.0,14321.0,14820
1990-12-01,14995.0,14911.0,15164.0,14911.0,7370
1990-12-03,14995.0,15416.0,15416.0,14827.0,12640
1990-12-04,14658.0,14995.0,14995.0,14658.0,6320
1990-12-05,14995.0,14827.0,14995.0,14743.0,15010
1990-12-06,15163.0,15332.0,15332.0,14995.0,14750
1990-12-07,15500.0,15669.0,15669.0,15332.0,15650
1990-12-08,16174.0,15585.0,16175.0,15501.0,32190
1990-12-10,16848.0,16849.0,16849.0,16427.0,123010
1990-12-11,16511.0,17101.0,17101.0,16427.0,78330
1990-12-12,16848.0,16680.0,16849.0,16512.0,55240
1990-12-13,16511.0,16933.0,16933.0,16512.0,34110
1990-12-14,16680.0,16343.0,16933.0,16343.0,51620
1990-12-15,16848.0,16680.0,16849.0,16680.0,20990
1990-12-17,17101.0,16849.0,17101.0,16849.0,37180
1990-12-18,16932.0,17270.0,17354.0,16933.0,31230
1990-12-19,16764.0,16933.0,16933.0,16680.0,37250
1990-12-20,16848.0,16680.0,16933.0,16596.0,31820
1990-12-21,17017.0,16849.0,17186.0,16849.0,26010
1990-12-22,16764.0,17101.0,17186.0,16680.0,11880
1990-12-24,16174.0,16596.0,16596.0,16175.0,14560
1990-12-26,15669.0,16175.0,16427.0,15669.0,27930
1991-01-03,15584.0,15416.0,16175.0,15416.0,9100
1991-01-04,16258.0,15838.0,16259.0,15838.0,9100
1991-01-05,16427.0,16427.0,16512.0,15753.0,5990
1991-01-07,15753.0,16175.0,16175.0,15753.0,13930
1991-01-08,15163.0,15585.0,15753.0,15164.0,12830
1991-01-09,14910.0,15164.0,15332.0,14827.0,8300
1991-01-10,14237.0,14321.0,14490.0,14237.0,20410
1991-01-11,14068.0,13900.0,14153.0,13563.0,22780
1991-01-12,14742.0,14237.0,14743.0,14237.0,11720
1991-01-14,14995.0,14574.0,15079.0,14237.0,9650
1991-01-15,14321.0,14321.0,14574.0,14321.0,10150
1991-01-16,13815.0,13732.0,14153.0,13732.0,29730
1991-01-17,14489.0,13563.0,14490.0,13563.0,20290
1991-01-18,15163.0,15164.0,15164.0,14827.0,46440
1991-01-19,15247.0,14995.0,15332.0,14995.0,20630
1991-01-21,14574.0,14743.0,15079.0,14574.0,21960
1991-01-22,14489.0,14574.0,14743.0,14321.0,7240
1991-01-23,14237.0,14153.0,14321.0,14153.0,8310
1991-01-24,14574.0,14237.0,14574.0,14069.0,12770
1991-01-25,14489.0,14743.0,14911.0,14321.0,16380
1991-01-26,14405.0,14658.0,14658.0,14321.0,2590
1991-01-28,14321.0,14153.0,14490.0,14153.0,6570
1991-01-29,14489.0,14321.0,14574.0,14321.0,9060
1991-01-30,14489.0,14490.0,14658.0,14490.0,5430
1991-01-31,14489.0,14658.0,14658.0,14321.0,8270
1991-02-01,14321.0,14490.0,14490.0,14321.0,2680
1991-02-02,14321.0,14321.0,14490.0,14321.0,4630
1991-02-04,14321.0,14153.0,14406.0,14153.0,5390
1991-02-05,14152.0,14321.0,14321.0,14153.0,2280
1991-02-06,14321.0,14321.0,14321.0,14237.0,2560
1991-02-07,14237.0,14574.0,14574.0,14237.0,3000
1991-02-08,13984.0,14069.0,14153.0,13900.0,7510
1991-02-09,13900.0,13984.0,13984.0,13900.0,4080
1991-02-11,13984.0,13900.0,14069.0,13732.0,5070
1991-02-12,14574.0,14069.0,14658.0,14069.0,10410
1991-02-13,14321.0,14574.0,14574.0,14321.0,4360
1991-02-18,14995.0,14995.0,14995.0,14658.0,17310
1991-02-19,14742.0,15164.0,15164.0,14743.0,12900
1991-02-20,14574.0,14743.0,14911.0,14490.0,10010
1991-02-21,14574.0,14321.0,14658.0,14321.0,5430
1991-02-22,14574.0,15164.0,15164.0,14574.0,6870
1991-02-23,14658.0,14406.0,14658.0,14406.0,7220
1991-02-25,14826.0,14995.0,15164.0,14743.0,15670
1991-02-26,14574.0,14827.0,14827.0,14574.0,14570
1991-02-27,14237.0,14406.0,14574.0,14237.0,11210
1991-02-28,14237.0,14321.0,14490.0,14153.0,8550
1991-03-02,14321.0,14069.0,14321.0,14069.0,2720
1991-03-04,14068.0,14069.0,14153.0,13984.0,4250
1991-03-05,14152.0,14153.0,14237.0,14153.0,12260
1991-03-06,13984.0,13816.0,14153.0,13816.0,6030
1991-03-07,13984.0,14069.0,14069.0,13732.0,16400
1991-03-08,13984.0,13984.0,14069.0,13816.0,12930
1991-03-09,14489.0,13816.0,14490.0,13816.0,10280
1991-03-11,14574.0,14490.0,14574.0,14321.0,26220
1991-03-12,14742.0,14574.0,14911.0,14574.0,16020
1991-03-13,14405.0,14658.0,14743.0,14406.0,7460
1991-03-14,14068.0,14069.0,14406.0,14069.0,10910
1991-03-15,14237.0,14069.0,14321.0,14069.0,4320
1991-03-16,14068.0,14321.0,14321.0,14069.0,8710
1991-03-18,13984.0,13900.0,14153.0,13900.0,7770
1991-03-19,13900.0,13900.0,13984.0,13816.0,4000
1991-03-20,13815.0,13900.0,13900.0,13732.0,6240
1991-03-21,13731.0,13816.0,13900.0,13647.0,5040
1991-03-22,13563.0,13563.0,13732.0,13563.0,3350
1991-03-23,13647.0,13563.0,13647.0,13563.0,1990
1991-03-25,13647.0,13647.0,13816.0,13563.0,4490
1991-03-27,13394.0,13647.0,13647.0,13226.0,12090
1991-03-28,13394.0,13226.0,13395.0,13226.0,9560
1991-03-29,13394.0,13740.0,13740.0,13395.0,2420
1991-03-30,14085.0,13654.0,14086.0,13481.0,9360
1991-04-01,13826.0,13395.0,14259.0,13395.0,25800
1991-04-02,13481.0,13827.0,13827.0,13481.0,5430
1991-04-03,13740.0,13481.0,13827.0,13481.0,3900
1991-04-04,13999.0,13827.0,14000.0,13654.0,9550
1991-04-06,13826.0,14086.0,14086.0,13827.0,2920
1991-04-08,13567.0,13827.0,13827.0,13567.0,3830
1991-04-09,13567.0,13395.0,13740.0,13395.0,4410
1991-04-10,13567.0,13740.0,13740.0,13567.0,5330
1991-04-11,13308.0,13567.0,13567.0,13308.0,3220
1991-04-12,13308.0,13308.0,13308.0,13222.0,4300
1991-04-13,13394.0,13222.0,13395.0,13222.0,4260
1991-04-15,13221.0,13395.0,13395.0,13135.0,2680
1991-04-16,13221.0,13222.0,13308.0,13135.0,5820
1991-04-17,13221.0,13222.0,13308.0,13222.0,2060
1991-04-18,13048.0,13135.0,13135.0,12963.0,2230
1991-04-19,13135.0,13049.0,13222.0,13049.0,4000
1991-04-20,12962.0,13222.0,13222.0,12963.0,1760
1991-04-22,12962.0,12703.0,12963.0,12530.0,2650
1991-04-23,13653.0,12530.0,13654.0,12530.0,12860
1991-04-24,13653.0,13654.0,13913.0,13395.0,15880
1991-04-25,13394.0,13567.0,13567.0,13222.0,2180
1991-04-26,13653.0,13308.0,13827.0,13308.0,9930
1991-04-27,13653.0,13567.0,13827.0,13481.0,5780
1991-04-29,13653.0,13481.0,13827.0,13395.0,10270
1991-04-30,13653.0,13654.0,13913.0,13654.0,12820
1991-05-01,13653.0,13567.0,13654.0,13481.0,8090
1991-05-02,14085.0,14000.0,14345.0,14000.0,24320
1991-05-03,14172.0,14259.0,14259.0,14000.0,12500
1991-05-04,14085.0,14172.0,14345.0,14086.0,9780
1991-05-06,13913.0,13913.0,14086.0,13913.0,8640
1991-05-07,13653.0,13740.0,13827.0,13567.0,10770
1991-05-08,13481.0,13567.0,13567.0,13481.0,3000
1991-05-09,13567.0,13654.0,13654.0,13481.0,6760
1991-05-10,13394.0,13567.0,13567.0,13395.0,4570
1991-05-11,13394.0,13395.0,13481.0,13308.0,3820
1991-05-13,13481.0,13222.0,13481.0,13222.0,12430
1991-05-14,13826.0,13567.0,13827.0,13567.0,10990
1991-05-15,13567.0,13654.0,13654.0,13481.0,18510
1991-05-16,13567.0,13481.0,13654.0,13481.0,13530
1991-05-17,13481.0,13567.0,13567.0,13395.0,10690
1991-05-18,13567.0,13481.0,13567.0,13481.0,4530
1991-05-20,13221.0,13481.0,13481.0,13222.0,15720
1991-05-22,13048.0,13049.0,13222.0,12963.0,14690
1991-05-23,13221.0,13049.0,13222.0,12963.0,5880
1991-05-24,12962.0,12703.0,13135.0,12703.0,8130
1991-05-25,12876.0,12790.0,12963.0,12790.0,3270
1991-05-27,12789.0,12876.0,13049.0,12790.0,6640
1991-05-28,12616.0,12790.0,12876.0,12530.0,9600
1991-05-29,12616.0,12530.0,12703.0,12530.0,2800
1991-05-30,12703.0,12617.0,12790.0,12617.0,5070
1991-05-31,12703.0,12617.0,12703.0,12617.0,6980
1991-06-01,12616.0,12703.0,12703.0,12617.0,920
1991-06-03,12530.0,12530.0,12617.0,12530.0,3250
1991-06-04,12530.0,12444.0,12530.0,12444.0,3680
1991-06-05,12962.0,12703.0,13049.0,12703.0,10050
1991-06-07,12703.0,12790.0,12876.0,12703.0,11570
1991-06-08,12876.0,12617.0,12876.0,12617.0,7560
1991-06-10,12962.0,12790.0,12963.0,12790.0,3750
1991-06-11,12876.0,12790.0,12963.0,12790.0,2850
1991-06-12,13135.0,12963.0,13135.0,12876.0,6350
