date,close,open,high,low,volume
1990-01-03,15300.0,14500.0,15300.0,14500.0,9870
1990-01-04,16100.0,15500.0,16100.0,15400.0,15810
1990-01-05,15900.0,16100.0,16300.0,15900.0,14610
1990-01-06,16100.0,16100.0,16300.0,15900.0,9450
1990-01-08,16600.0,16300.0,16600.0,16200.0,20070
1990-01-09,16800.0,16800.0,16900.0,16500.0,18420
1990-01-10,16300.0,16700.0,16700.0,16300.0,13980
1990-01-11,15800.0,16000.0,16300.0,15800.0,8410
1990-01-12,15900.0,15800.0,16100.0,15800.0,19950
1990-01-13,15900.0,16000.0,16000.0,15700.0,8160
1990-01-15,15700.0,15800.0,15900.0,15700.0,15100
1990-01-16,15600.0,15600.0,15600.0,15500.0,8880
1990-01-17,15600.0,15600.0,15800.0,15500.0,6280
1990-01-18,15700.0,15600.0,15800.0,15600.0,2100
1990-01-19,15400.0,15700.0,15700.0,15300.0,9730
1990-01-20,15500.0,15500.0,15700.0,15500.0,8400
1990-01-22,15900.0,16000.0,16000.0,15700.0,17030
1990-01-23,15900.0,16000.0,16000.0,15800.0,26250
1990-01-24,16300.0,16100.0,16400.0,16100.0,32980
1990-01-25,16500.0,16500.0,16600.0,16400.0,48340
1990-01-29,16400.0,16000.0,16400.0,16000.0,21580
1990-01-30,16300.0,16500.0,16500.0,16100.0,19740
1990-01-31,16300.0,16300.0,16300.0,16100.0,43480
1990-02-01,16300.0,16300.0,16300.0,16000.0,25660
1990-02-02,16200.0,16100.0,16300.0,16100.0,10550
1990-02-03,16000.0,16000.0,16200.0,16000.0,8630
1990-02-05,16100.0,16100.0,16200.0,16100.0,18660
1990-02-06,16200.0,16100.0,16300.0,16100.0,19670
1990-02-07,16000.0,16400.0,16400.0,16000.0,10620
1990-02-08,16200.0,16300.0,16300.0,16000.0,13470
1990-02-09,16400.0,16200.0,16500.0,16200.0,43970
1990-02-10,16700.0,16600.0,16700.0,16500.0,46280
1990-02-12,16700.0,16700.0,16900.0,16600.0,43840
1990-02-13,16300.0,16400.0,16400.0,16200.0,19030
1990-02-14,16400.0,16300.0,16400.0,16200.0,16240
1990-02-15,16600.0,16400.0,16600.0,16400.0,27550
1990-02-16,16800.0,16700.0,17000.0,16700.0,70890
1990-02-17,16900.0,16900.0,17000.0,16700.0,33080
1990-02-19,17300.0,16900.0,17700.0,16600.0,105060
1990-02-20,17700.0,17400.0,17700.0,17200.0,203270
1990-02-21,17500.0,17700.0,17800.0,17400.0,112190
1990-02-22,17300.0,17400.0,17400.0,17000.0,53780
1990-02-23,17300.0,17500.0,17500.0,17100.0,43750
1990-02-24,17300.0,17300.0,17300.0,17000.0,17320
1990-02-26,17000.0,17200.0,17200.0,17000.0,18490
1990-02-27,17300.0,16800.0,17300.0,16800.0,28910
1990-02-28,17200.0,17400.0,17500.0,17200.0,30890
1990-03-02,75936.0,76809.0,77245.0,75936.0,54700
1990-03-03,75500.0,75934.0,75934.0,75061.0,20260
1990-03-05,75936.0,75500.0,76809.0,75063.0,41130
1990-03-06,79427.0,75936.0,79427.0,75936.0,194260
1990-03-07,77682.0,79425.0,81171.0,76806.0,198040
1990-03-08,75936.0,77245.0,77245.0,75500.0,22450
1990-03-09,77245.0,75499.0,77245.0,75499.0,24820
1990-03-12,77682.0,77679.0,78552.0,76370.0,22910
1990-03-13,75500.0,77679.0,77679.0,75498.0,16310
1990-03-14,76373.0,76370.0,76370.0,75061.0,16670
1990-03-15,76373.0,76370.0,76370.0,75061.0,19670
1990-03-16,76809.0,76370.0,77243.0,75934.0,21080
1990-03-17,75936.0,76372.0,76809.0,75500.0,11730
1990-03-19,76373.0,76370.0,76806.0,75934.0,12450
1990-03-20,78118.0,76809.0,78554.0,76809.0,145870
1990-03-21,76809.0,78552.0,78552.0,76806.0,30990
1990-03-22,77245.0,77245.0,78118.0,77245.0,28700
1990-03-23,77245.0,77245.0,77681.0,76372.0,13020
1990-03-24,77245.0,77245.0,77245.0,76808.0,11370
1990-03-26,76809.0,76806.0,77243.0,76370.0,17220
1990-03-27,75936.0,76372.0,76809.0,75936.0,18260
1990-03-28,74627.0,75497.0,75934.0,74625.0,13070
1990-03-29,75500.0,74625.0,75934.0,74625.0,14970
1990-03-30,77245.0,75063.0,77245.0,75063.0,14670
1990-03-31,76809.0,76806.0,77243.0,75061.0,12510
1990-04-02,75500.0,76807.0,76807.0,75498.0,9150
1990-04-03,75063.0,75499.0,75499.0,75063.0,4190
1990-04-04,75500.0,75061.0,75498.0,74625.0,9550
1990-04-06,74627.0,75934.0,76370.0,74625.0,9420
1990-04-07,74190.0,74626.0,74626.0,73317.0,5430
1990-04-09,74190.0,73317.0,75063.0,73317.0,9230
1990-04-10,73318.0,73752.0,73752.0,73315.0,17630
1990-04-11,73318.0,73315.0,73752.0,73315.0,6380
1990-04-12,74627.0,73315.0,75934.0,73315.0,33850
1990-04-13,73754.0,75063.0,75499.0,73754.0,12240
1990-04-14,73318.0,73752.0,74188.0,73315.0,10310
1990-04-16,71136.0,72006.0,72006.0,69824.0,3470
1990-04-17,73754.0,71135.0,73754.0,70262.0,19640
1990-04-18,72008.0,72881.0,73317.0,72008.0,3700
1990-04-19,68953.0,71572.0,71572.0,68953.0,5750
1990-04-20,68081.0,69387.0,69824.0,68078.0,6620
1990-04-21,71572.0,67642.0,71569.0,67642.0,2710
1990-04-23,68953.0,69826.0,69826.0,68953.0,2150
1990-04-24,69390.0,69388.0,70260.0,68078.0,3140
1990-04-25,67644.0,68517.0,68517.0,67644.0,6560
1990-04-26,64153.0,66333.0,66333.0,64151.0,17580
1990-04-27,65462.0,64152.0,66334.0,62407.0,7980
1990-04-28,61971.0,64587.0,64587.0,61968.0,1940
1990-04-30,59352.0,59352.0,59352.0,59352.0,520
1990-05-01,61971.0,57168.0,61968.0,57168.0,8550
1990-05-03,64589.0,63716.0,64589.0,63716.0,2280
1990-05-04,67208.0,66769.0,67205.0,65023.0,28570
1990-05-07,67208.0,67205.0,68515.0,65896.0,13050
1990-05-08,65899.0,67205.0,67642.0,65460.0,15080
1990-05-09,65462.0,65898.0,66334.0,65025.0,12820
1990-05-10,61971.0,64587.0,64587.0,61968.0,4450
1990-05-11,60662.0,61096.0,62841.0,60223.0,15570
1990-05-12,59789.0,61095.0,61095.0,59350.0,5890
1990-05-14,57607.0,59787.0,59787.0,57605.0,12460
1990-05-15,56297.0,56733.0,56733.0,54988.0,21320
1990-05-16,58916.0,57604.0,58913.0,57168.0,11000
1990-05-17,61098.0,61098.0,61534.0,60225.0,28060
1990-05-18,60225.0,58916.0,61534.0,58916.0,10470
1990-05-19,61098.0,59788.0,61971.0,59788.0,7030
1990-05-21,63280.0,61971.0,63280.0,61971.0,9580
1990-05-22,65026.0,63714.0,65460.0,63714.0,22640
1990-05-23,65026.0,65023.0,66332.0,64587.0,23600
1990-05-24,64589.0,65025.0,65025.0,64589.0,9250
1990-05-25,65026.0,64587.0,65460.0,64587.0,4340
1990-05-26,65026.0,65460.0,65460.0,65023.0,5240
1990-05-28,63280.0,64589.0,64589.0,63280.0,4050
1990-05-29,63717.0,63278.0,64151.0,63278.0,3970
1990-05-30,65026.0,64587.0,66332.0,63278.0,14210
1990-05-31,67208.0,65460.0,67642.0,65460.0,22910
1990-06-01,66771.0,66771.0,68517.0,65898.0,31820
1990-06-02,65462.0,65898.0,66334.0,65025.0,2640
1990-06-04,66771.0,66771.0,67207.0,65462.0,19380
1990-06-05,65899.0,67642.0,67642.0,65460.0,11430
1990-06-07,65462.0,65462.0,66771.0,65025.0,6620
1990-06-08,65462.0,65462.0,66334.0,65462.0,12120
1990-06-09,65462.0,65462.0,65462.0,65025.0,3390
1990-06-11,64589.0,65025.0,65025.0,64152.0,4360
1990-06-12,64589.0,64152.0,65025.0,64152.0,11340
1990-06-13,63717.0,64587.0,64587.0,63714.0,3440
1990-06-14,62844.0,63714.0,63714.0,62405.0,4780
1990-06-15,61971.0,62405.0,62405.0,61968.0,5110
1990-06-16,61971.0,62405.0,62405.0,61968.0,2360
1990-06-18,59789.0,61968.0,61968.0,59786.0,8920
1990-06-19,60225.0,58916.0,62407.0,58916.0,9580
1990-06-20,60662.0,59786.0,61532.0,59786.0,5570
1990-06-21,61098.0,59788.0,61098.0,59788.0,6610
1990-06-22,60662.0,61532.0,61532.0,60659.0,4440
1990-06-23,61534.0,61098.0,61534.0,61098.0,3710
1990-06-25,61098.0,61534.0,61534.0,60661.0,3420
1990-06-26,60225.0,60661.0,60661.0,59352.0,16140
1990-06-27,60225.0,60661.0,60661.0,59352.0,12130
1990-06-28,58916.0,60223.0,60659.0,58913.0,6830
1990-06-29,58480.0,58914.0,59350.0,58041.0,13940
1990-06-30,58916.0,57168.0,59350.0,56731.0,15400
1990-07-02,60225.0,58916.0,60225.0,58043.0,22250
1990-07-03,62844.0,61095.0,62841.0,60659.0,16540
1990-07-04,61098.0,63280.0,63716.0,61098.0,25210
1990-07-05,60225.0,60661.0,61098.0,59788.0,9050
1990-07-06,59789.0,59786.0,61532.0,58913.0,13530
1990-07-07,59789.0,58913.0,59786.0,58041.0,11890
1990-07-09,60662.0,59350.0,60659.0,59350.0,6800
1990-07-10,61534.0,60661.0,61534.0,58916.0,11430
1990-07-11,60662.0,60659.0,61532.0,59786.0,10350
1990-07-12,59352.0,58915.0,60661.0,58915.0,11080
1990-07-13,58480.0,58477.0,59787.0,58041.0,5720
1990-07-14,58480.0,58914.0,58914.0,58477.0,4100
1990-07-16,58916.0,58477.0,58913.0,56731.0,7660
1990-07-18,59789.0,61095.0,61095.0,58913.0,8190
1990-07-19,58480.0,58041.0,60223.0,58041.0,7240
1990-07-20,59352.0,58915.0,59352.0,58479.0,6390
