date,close,open,high,low,volume
1990-01-03,21600.0,20500.0,21600.0,20500.0,6130
1990-01-04,22600.0,22500.0,22600.0,22200.0,12780
1990-01-05,23200.0,22800.0,23500.0,22500.0,42790
1990-01-06,23100.0,23200.0,23700.0,23100.0,24220
1990-01-08,23100.0,23100.0,23400.0,22600.0,17510
1990-01-09,22800.0,22600.0,23000.0,22600.0,11550
1990-01-10,22800.0,23100.0,23200.0,22800.0,23010
1990-01-11,23300.0,22800.0,23500.0,22800.0,22610
1990-01-12,23400.0,23000.0,23500.0,22900.0,19320
1990-01-13,23000.0,23200.0,23300.0,22900.0,8120
1990-01-15,22600.0,22800.0,23000.0,22600.0,5350
1990-01-16,22300.0,22500.0,22600.0,22200.0,4760
1990-01-17,22000.0,22200.0,22200.0,22000.0,1850
1990-01-18,22400.0,22200.0,22500.0,22100.0,5990
1990-01-19,22400.0,22400.0,22400.0,22000.0,3300
1990-01-20,23300.0,22500.0,23400.0,22500.0,25180
1990-01-22,24300.0,23900.0,24300.0,23700.0,55310
1990-01-23,24600.0,24300.0,25300.0,24000.0,79550
1990-01-24,25600.0,25300.0,25600.0,25200.0,109830
1990-01-25,25500.0,25800.0,26300.0,25100.0,106000
1990-01-29,25600.0,25400.0,25800.0,25200.0,29260
1990-01-30,25600.0,25800.0,25900.0,25000.0,54950
1990-01-31,25500.0,25500.0,25600.0,25000.0,26750
1990-02-01,25200.0,25400.0,25600.0,25100.0,19940
1990-02-02,25000.0,25100.0,25400.0,25000.0,20530
1990-02-03,25200.0,25200.0,25400.0,25200.0,10440
1990-02-05,25500.0,25200.0,25600.0,25200.0,14540
1990-02-06,26300.0,25600.0,26500.0,25600.0,47620
1990-02-07,26800.0,26800.0,27100.0,26500.0,106360
1990-02-08,27100.0,27200.0,27300.0,26600.0,39720
1990-02-09,26500.0,27100.0,27200.0,26500.0,19440
1990-02-10,26100.0,26400.0,26400.0,26100.0,10780
1990-02-12,26200.0,26000.0,26500.0,26000.0,18190
1990-02-13,26200.0,26200.0,26600.0,26200.0,11650
1990-02-14,26300.0,26400.0,26500.0,26200.0,5440
1990-02-15,26200.0,26500.0,26600.0,26200.0,12470
1990-02-16,26400.0,26500.0,26500.0,26200.0,11300
1990-02-17,26300.0,26400.0,26400.0,26200.0,2940
1990-02-19,26100.0,26300.0,26400.0,26000.0,6990
1990-02-20,26100.0,26100.0,26300.0,26000.0,11250
1990-02-21,26300.0,26100.0,26400.0,26100.0,12570
1990-02-22,26900.0,26500.0,26900.0,26500.0,51510
1990-02-23,26300.0,26800.0,26800.0,26200.0,16350
1990-02-24,26000.0,25900.0,26100.0,25900.0,7540
1990-02-26,25600.0,25500.0,25900.0,25300.0,10030
1990-02-27,26400.0,25300.0,26500.0,25300.0,15020
1990-02-28,26000.0,26300.0,26300.0,25800.0,7620
1990-03-02,464752.0,459378.0,475307.0,459378.0,10210
1990-03-03,459478.0,464755.0,464755.0,447088.0,550
1990-03-05,450641.0,457688.0,457688.0,448870.0,3570
1990-03-06,452408.0,450637.0,464765.0,450637.0,9330
1990-03-07,461246.0,464753.0,468293.0,455903.0,28720
1990-03-08,457711.0,461218.0,462988.0,457678.0,8320
1990-03-09,457711.0,457678.0,457678.0,454138.0,5790
1990-03-12,455943.0,457712.0,459482.0,455943.0,1300
1990-03-13,459478.0,455905.0,459446.0,452398.0,11950
1990-03-14,455943.0,455943.0,459482.0,452435.0,13730
1990-03-15,463014.0,455901.0,468258.0,455901.0,44620
1990-03-16,461246.0,464753.0,466523.0,461213.0,19240
1990-03-17,454176.0,461255.0,461255.0,454175.0,1850
1990-03-19,457711.0,464758.0,464758.0,455908.0,6740
1990-03-20,463014.0,455901.0,464751.0,455901.0,16860
1990-03-21,463014.0,466520.0,466520.0,462981.0,16030
1990-03-22,454176.0,463025.0,463025.0,454175.0,5600
1990-03-23,452408.0,464765.0,464765.0,452408.0,6640
1990-03-24,455943.0,455943.0,455943.0,454173.0,3300
1990-03-26,455943.0,455943.0,455943.0,452435.0,6890
1990-03-27,454176.0,459485.0,459485.0,452437.0,10640
1990-03-28,443570.0,455895.0,455895.0,443538.0,10340
1990-03-29,448873.0,447102.0,452413.0,447102.0,11660
1990-03-30,464752.0,450592.0,466457.0,450592.0,10340
1990-03-31,468288.0,468222.0,469993.0,464683.0,21560
1990-04-02,482457.0,470066.0,485931.0,470066.0,118040
1990-04-03,500132.0,482464.0,500164.0,482464.0,93150
1990-04-04,505406.0,496556.0,510683.0,487706.0,61720
1990-04-06,498365.0,500166.0,505444.0,496626.0,26160
1990-04-07,493062.0,496633.0,496633.0,493094.0,15120
1990-04-09,494829.0,494861.0,503679.0,493091.0,46150
1990-04-10,503639.0,498328.0,508916.0,498328.0,49480
1990-04-11,517808.0,501909.0,517839.0,501909.0,54600
1990-04-12,528384.0,521304.0,530153.0,521304.0,87720
1990-04-13,523082.0,530161.0,535439.0,523081.0,20890
1990-04-14,519575.0,523147.0,526654.0,519606.0,6790
1990-04-16,508941.0,512416.0,517726.0,507106.0,8000
1990-04-17,516040.0,503681.0,516071.0,500173.0,12980
1990-04-18,512476.0,515983.0,517753.0,508903.0,7430
1990-04-19,498365.0,507214.0,508984.0,498396.0,9050
1990-04-20,489498.0,503593.0,508870.0,489433.0,5140
1990-04-21,491266.0,494741.0,494741.0,491201.0,8240
1990-04-23,491266.0,494741.0,494741.0,489431.0,9850
1990-04-24,491266.0,492971.0,501820.0,491201.0,10730
1990-04-25,485963.0,498288.0,498288.0,482390.0,10390
1990-04-26,468288.0,485890.0,485890.0,468222.0,12310
1990-04-27,477154.0,477185.0,477185.0,455946.0,13880
1990-04-28,420592.0,420559.0,427639.0,420559.0,4530
1990-04-30,402917.0,404718.0,406488.0,402948.0,1060
1990-05-01,420592.0,418789.0,420559.0,406400.0,16010
1990-05-03,438268.0,438235.0,438235.0,438235.0,530
1990-05-04,455943.0,455943.0,455943.0,452435.0,19440
1990-05-07,448873.0,464770.0,464770.0,438252.0,21830
1990-05-08,448873.0,450643.0,455952.0,443563.0,17660
1990-05-09,454176.0,448897.0,457715.0,448897.0,12450
1990-05-10,440035.0,450622.0,454162.0,440002.0,5170
1990-05-11,438268.0,443545.0,447084.0,434695.0,11230
1990-05-12,432965.0,441782.0,445322.0,432965.0,860
1990-05-14,424127.0,432977.0,432977.0,424159.0,8790
1990-05-15,415290.0,413455.0,415225.0,408177.0,5020
1990-05-16,432965.0,424114.0,432965.0,418805.0,5690
1990-05-17,441803.0,450619.0,450619.0,438229.0,12860
1990-05-18,443570.0,436458.0,447077.0,436458.0,4120
1990-05-19,450641.0,443560.0,461228.0,443560.0,11080
1990-05-21,455943.0,454173.0,455943.0,450665.0,3330
1990-05-22,457711.0,464758.0,464758.0,457678.0,13270
1990-05-23,459478.0,459446.0,461216.0,455905.0,7110
1990-05-24,455943.0,459482.0,459482.0,452435.0,9460
1990-05-25,459478.0,459446.0,461216.0,457675.0,13870
1990-05-26,459478.0,459446.0,464755.0,459446.0,7650
1990-05-28,455943.0,459482.0,459482.0,455943.0,16160
1990-05-29,468288.0,455865.0,468222.0,455865.0,14580
1990-05-30,482457.0,468297.0,485931.0,468297.0,28400
1990-05-31,485963.0,487668.0,494748.0,485898.0,13760
1990-06-01,477154.0,486003.0,491313.0,477185.0,7540
1990-06-02,475386.0,473648.0,477188.0,471878.0,7660
1990-06-04,478922.0,477183.0,482461.0,477183.0,32670
1990-06-05,417057.0,411714.0,417024.0,404667.0,20260
1990-06-07,409987.0,408184.0,417002.0,408184.0,8860
1990-06-08,402917.0,409996.0,409996.0,402948.0,3740
1990-06-09,401149.0,402951.0,402951.0,399411.0,4550
1990-06-11,395846.0,397551.0,397551.0,392242.0,3580
1990-06-12,387037.0,394052.0,399362.0,387004.0,5200
1990-06-13,388776.0,386941.0,392251.0,386941.0,4470
1990-06-14,390544.0,388709.0,392249.0,388709.0,2570
1990-06-15,387037.0,372877.0,394052.0,372877.0,1380
1990-06-16,388776.0,385204.0,390481.0,385204.0,3040
1990-06-18,379939.0,387018.0,387018.0,379970.0,2360
1990-06-19,374636.0,371095.0,383486.0,371095.0,4810
1990-06-20,369333.0,371038.0,376348.0,369268.0,1080
1990-06-21,369333.0,374578.0,374578.0,369268.0,3010
1990-06-22,372868.0,371033.0,372803.0,371033.0,3890
1990-06-23,378171.0,372860.0,379940.0,372860.0,3790
1990-06-25,378171.0,378170.0,378170.0,378170.0,100
1990-06-26,369333.0,371038.0,372808.0,369268.0,7830
1990-06-27,365827.0,369334.0,369334.0,362254.0,2950
1990-06-28,355193.0,367550.0,367550.0,355192.0,2920
1990-06-29,358728.0,355187.0,362235.0,355187.0,5610
1990-06-30,360495.0,360495.0,362265.0,349907.0,6020
1990-07-02,364059.0,362256.0,364026.0,360486.0,11650
1990-07-03,381706.0,367577.0,381738.0,367577.0,2690
1990-07-04,379939.0,379970.0,385248.0,378200.0,14090
1990-07-05,371101.0,381655.0,381655.0,371036.0,3680
1990-07-06,353425.0,353424.0,371092.0,353424.0,5210
1990-07-07,355193.0,353422.0,358732.0,353422.0,1800
1990-07-09,356960.0,355190.0,356960.0,353419.0,5190
1990-07-10,355193.0,360502.0,360502.0,353422.0,9050
1990-07-11,344616.0,355202.0,355202.0,344583.0,2550
1990-07-12,342848.0,335736.0,344585.0,335736.0,13610
1990-07-13,335750.0,342797.0,342797.0,335749.0,4650
1990-07-14,335750.0,335749.0,339257.0,335749.0,3650
1990-07-16,332215.0,332214.0,332214.0,326904.0,6450
1990-07-18,341081.0,342818.0,342818.0,341048.0,250
1990-07-19,339313.0,335740.0,342788.0,335740.0,2210
1990-07-20,333982.0,344569.0,344569.0,333982.0,100
1990-07-21,332215.0,326904.0,332214.0,326904.0,130
1990-07-23,321638.0,318065.0,333994.0,318065.0,5410
1990-07-24,321638.0,318065.0,321605.0,316295.0,4600
1990-07-25,325173.0,323434.0,328744.0,321664.0,2290
1990-07-26,318103.0,325117.0,325117.0,318038.0,920
1990-07-27,316307.0,309194.0,318012.0,309194.0,3860
1990-07-28,318103.0,316268.0,318038.0,302140.0,2940
1990-07-30,312771.0,312771.0,312771.0,312771.0,100
1990-07-31,318103.0,318038.0,318038.0,318038.0,3120
1990-08-01,323405.0,318063.0,326912.0,318063.0,3730
1990-08-02,323405.0,326912.0,330452.0,323373.0,3140
1990-08-03,325173.0,323434.0,325204.0,323434.0,3660
1990-08-04,326940.0,323432.0,326972.0,318122.0,3380
1990-08-06,323405.0,323373.0,323373.0,323373.0,0
1990-08-07,309265.0,309297.0,318114.0,309297.0,6350
1990-08-08,312771.0,295103.0,312771.0,295103.0,70
1990-08-09,302195.0,318092.0,318092.0,302194.0,5090
1990-08-10,316307.0,302114.0,316242.0,302114.0,1100
1990-08-11,316307.0,321551.0,323321.0,316242.0,4230
1990-08-13,316307.0,318012.0,318012.0,316242.0,3500
1990-08-14,309265.0,316344.0,316344.0,309297.0,3330
1990-08-16,309265.0,309297.0,311034.0,302216.0,15420
1990-08-17,309265.0,309297.0,309297.0,307526.0,11000
1990-08-18,309265.0,309297.0,309297.0,309297.0,0
1990-08-20,300427.0,309211.0,309211.0,300362.0,1120
1990-08-21,295096.0,295031.0,295031.0,295031.0,500
1990-08-22,288054.0,295134.0,295134.0,288054.0,4120
1990-08-23,288054.0,273926.0,288054.0,273926.0,4960
1990-08-24,288054.0,282776.0,288054.0,273926.0,10680
