date,close,open,high,low,volume
1990-01-03,7000.0,7000.0,7000.0,7000.0,12940
1990-01-04,7100.0,7100.0,7100.0,7100.0,4670
1990-01-05,7200.0,7200.0,7200.0,7200.0,8380
1990-01-06,7300.0,7300.0,7300.0,7300.0,6370
1990-01-08,7400.0,7400.0,7400.0,7400.0,18370
1990-01-09,7500.0,7500.0,7500.0,7500.0,9440
1990-01-10,7600.0,7600.0,7600.0,7600.0,18090
1990-01-11,7600.0,7600.0,7600.0,7600.0,0
1990-01-12,7600.0,7600.0,7600.0,7600.0,0
1990-01-13,7600.0,7600.0,7600.0,7600.0,0
1990-01-15,7700.0,7700.0,7700.0,7700.0,38400
1990-01-16,7800.0,7800.0,7800.0,7800.0,53660
1990-01-17,7900.0,7900.0,7900.0,7900.0,56850
1990-01-18,8000.0,8000.0,8000.0,8000.0,65520
1990-01-19,8100.0,8100.0,8100.0,8100.0,33230
1990-01-20,8200.0,8200.0,8200.0,8200.0,21030
1990-01-22,8300.0,8300.0,8300.0,8300.0,12050
1990-01-23,8400.0,8400.0,8400.0,8400.0,15770
1990-01-24,8500.0,8500.0,8500.0,8500.0,9340
1990-01-25,8600.0,8600.0,8600.0,8600.0,13060
1990-01-29,8700.0,8700.0,8700.0,8700.0,11450
1990-01-30,8800.0,8800.0,8800.0,8800.0,18510
1990-01-31,8900.0,8900.0,8900.0,8900.0,38800
1990-02-01,8900.0,8900.0,8900.0,8900.0,0
1990-02-02,8900.0,8900.0,8900.0,8900.0,0
1990-02-03,8900.0,8900.0,8900.0,8900.0,0
1990-02-05,9000.0,9000.0,9000.0,9000.0,11590
1990-02-06,9100.0,9100.0,9100.0,9100.0,6490
1990-02-07,9200.0,9200.0,9200.0,9200.0,9050
1990-02-08,9300.0,9300.0,9300.0,9300.0,10480
1990-02-09,9400.0,9400.0,9400.0,9400.0,9640
1990-02-10,9500.0,9500.0,9500.0,9500.0,16360
1990-02-12,9600.0,9600.0,9600.0,9600.0,70150
1990-02-13,9500.0,9700.0,9700.0,9500.0,179330
1990-02-14,9400.0,9400.0,9400.0,9400.0,13360
1990-02-15,9300.0,9300.0,9300.0,9300.0,3460
1990-02-16,9200.0,9200.0,9200.0,9200.0,4200
1990-02-17,9100.0,9100.0,9100.0,9100.0,12870
1990-02-19,9000.0,9000.0,9000.0,9000.0,270100
1990-02-20,9100.0,9100.0,9100.0,9100.0,64170
1990-02-21,9200.0,9200.0,9200.0,9200.0,19690
1990-02-22,9300.0,9300.0,9300.0,9300.0,38350
1990-02-23,9200.0,9400.0,9400.0,9200.0,115560
1990-02-24,9100.0,9100.0,9100.0,9100.0,3330
1990-02-26,9000.0,9000.0,9000.0,9000.0,5790
1990-02-27,8900.0,8900.0,8900.0,8900.0,1930
1990-02-28,8800.0,8800.0,8800.0,8800.0,42880
1990-03-02,4008.0,4008.0,4008.0,4008.0,35710
1990-03-03,3963.0,3963.0,3963.0,3963.0,18070
1990-03-05,3918.0,3918.0,3918.0,3918.0,5300
1990-03-06,3873.0,3873.0,3873.0,3873.0,4240
1990-03-07,3828.0,3828.0,3828.0,3828.0,6090
1990-03-08,3782.0,3783.0,3783.0,3783.0,10210
1990-03-09,3737.0,3738.0,3738.0,3738.0,30560
1990-03-12,3782.0,3783.0,3783.0,3783.0,17920
1990-03-13,3828.0,3828.0,3828.0,3828.0,31860
1990-03-14,3782.0,3828.0,3828.0,3783.0,28500
1990-03-15,3737.0,3738.0,3738.0,3738.0,7050
1990-03-16,3692.0,3693.0,3693.0,3693.0,5500
1990-03-17,3647.0,3648.0,3648.0,3648.0,4270
1990-03-19,3602.0,3603.0,3603.0,3603.0,17170
1990-03-20,3647.0,3648.0,3648.0,3648.0,13840
1990-03-21,3692.0,3693.0,3693.0,3693.0,11170
1990-03-22,3737.0,3738.0,3738.0,3738.0,10110
1990-03-23,3692.0,3783.0,3783.0,3693.0,20640
1990-03-24,3647.0,3648.0,3648.0,3648.0,8670
1990-03-26,3647.0,3603.0,3648.0,3603.0,12460
1990-03-27,3647.0,3693.0,3693.0,3648.0,19120
1990-03-28,3602.0,3603.0,3603.0,3603.0,9550
1990-03-29,3557.0,3558.0,3558.0,3558.0,7340
1990-03-30,3602.0,3603.0,3603.0,3603.0,6970
1990-03-31,3647.0,3648.0,3648.0,3648.0,6550
1990-04-02,3692.0,3693.0,3693.0,3693.0,23870
1990-04-03,3692.0,3693.0,3693.0,3693.0,15830
1990-04-04,3647.0,3693.0,3693.0,3648.0,16180
1990-04-06,3602.0,3603.0,3603.0,3603.0,13770
1990-04-07,3602.0,3603.0,3603.0,3603.0,9040
1990-04-09,3602.0,3603.0,3603.0,3603.0,15930
1990-04-10,3602.0,3603.0,3603.0,3603.0,19690
1990-04-11,3602.0,3603.0,3603.0,3603.0,16920
1990-04-12,3557.0,3598.0,3598.0,3558.0,8640
1990-04-13,3557.0,3558.0,3558.0,3558.0,15300
1990-04-14,3512.0,3513.0,3513.0,3513.0,5820
1990-04-16,3467.0,3468.0,3468.0,3468.0,10110
1990-04-17,3422.0,3423.0,3423.0,3423.0,8770
1990-04-18,3382.0,3423.0,3423.0,3382.0,24730
1990-04-19,3382.0,3382.0,3382.0,3382.0,18040
1990-04-20,3427.0,3427.0,3427.0,3427.0,9810
1990-04-21,3472.0,3472.0,3472.0,3472.0,3750
1990-04-23,3517.0,3517.0,3517.0,3517.0,8570
1990-04-24,3562.0,3562.0,3562.0,3562.0,8880
1990-04-25,3562.0,3607.0,3607.0,3562.0,27560
1990-04-26,3517.0,3517.0,3517.0,3517.0,4700
1990-04-27,3472.0,3472.0,3472.0,3472.0,4830
1990-04-28,3427.0,3427.0,3427.0,3427.0,1680
1990-04-30,3382.0,3382.0,3382.0,3382.0,1520
1990-05-01,3337.0,3337.0,3337.0,3337.0,12660
1990-05-03,3382.0,3382.0,3382.0,3382.0,27520
1990-05-04,3427.0,3427.0,3427.0,3427.0,21290
1990-05-07,3472.0,3472.0,3472.0,3472.0,7780
1990-05-08,3517.0,3517.0,3517.0,3517.0,27350
1990-05-09,3472.0,3472.0,3472.0,3472.0,30860
1990-05-10,3427.0,3427.0,3427.0,3427.0,4710
1990-05-11,3382.0,3382.0,3382.0,3382.0,3070
1990-05-12,3337.0,3337.0,3337.0,3337.0,14320
1990-05-14,3292.0,3292.0,3292.0,3292.0,7680
1990-05-15,3247.0,3247.0,3247.0,3247.0,15020
1990-05-16,3292.0,3292.0,3292.0,3292.0,2550
1990-05-17,3337.0,3337.0,3337.0,3337.0,6980
1990-05-18,3382.0,3382.0,3382.0,3382.0,34540
1990-05-19,3382.0,3382.0,3382.0,3382.0,16220
1990-05-21,3337.0,3382.0,3382.0,3337.0,6080
1990-05-22,3382.0,3337.0,3382.0,3337.0,11960
1990-05-23,3427.0,3427.0,3427.0,3427.0,17760
1990-05-24,3454.0,3468.0,3468.0,3454.0,11560
1990-05-25,3409.0,3445.0,3445.0,3409.0,5300
1990-05-26,3409.0,3409.0,3409.0,3409.0,7780
1990-05-28,3377.0,3400.0,3400.0,3378.0,9700
1990-05-29,3422.0,3423.0,3423.0,3423.0,11750
1990-05-30,3467.0,3468.0,3468.0,3468.0,9570
1990-05-31,3512.0,3513.0,3513.0,3513.0,7430
1990-06-01,3557.0,3558.0,3558.0,3558.0,10590
1990-06-02,3602.0,3603.0,3603.0,3603.0,15570
1990-06-04,3647.0,3648.0,3648.0,3648.0,10720
1990-06-05,3692.0,3693.0,3693.0,3693.0,14550
1990-06-07,3737.0,3738.0,3738.0,3738.0,34490
1990-06-08,3692.0,3738.0,3738.0,3693.0,38180
1990-06-09,3647.0,3648.0,3648.0,3648.0,3170
1990-06-11,3602.0,3603.0,3603.0,3603.0,2620
1990-06-12,3557.0,3558.0,3558.0,3558.0,1390
1990-06-13,3512.0,3513.0,3513.0,3513.0,9720
1990-06-14,3512.0,3468.0,3513.0,3468.0,24320
1990-06-15,3557.0,3558.0,3558.0,3558.0,1030
1990-06-16,3602.0,3603.0,3603.0,3603.0,2880
1990-06-18,3557.0,3648.0,3648.0,3558.0,15590
1990-06-19,3512.0,3513.0,3513.0,3513.0,3540
1990-06-20,3467.0,3468.0,3468.0,3468.0,5690
1990-06-21,3422.0,3423.0,3423.0,3423.0,8750
1990-06-22,3467.0,3468.0,3468.0,3468.0,7450
1990-06-23,3512.0,3513.0,3513.0,3513.0,5540
1990-06-25,3467.0,3513.0,3513.0,3468.0,11170
1990-06-26,3467.0,3468.0,3468.0,3468.0,13750
1990-06-27,3512.0,3513.0,3513.0,3513.0,10500
1990-06-28,3557.0,3558.0,3558.0,3558.0,34580
1990-06-29,3512.0,3558.0,3558.0,3513.0,18780
1990-06-30,3467.0,3468.0,3468.0,3468.0,3290
1990-07-02,3422.0,3423.0,3423.0,3423.0,3920
1990-07-03,3467.0,3468.0,3468.0,3468.0,11880
1990-07-04,3512.0,3513.0,3513.0,3513.0,26300
1990-07-05,3467.0,3468.0,3468.0,3468.0,6810
1990-07-06,3422.0,3423.0,3423.0,3423.0,10950
1990-07-07,3377.0,3378.0,3378.0,3378.0,7400
1990-07-09,3422.0,3423.0,3423.0,3423.0,5710
1990-07-10,3422.0,3423.0,3423.0,3423.0,6860
1990-07-11,3377.0,3423.0,3423.0,3378.0,7250
1990-07-12,3332.0,3333.0,3333.0,3333.0,4370
1990-07-13,3287.0,3288.0,3288.0,3288.0,4880
1990-07-14,3242.0,3243.0,3243.0,3243.0,4080
1990-07-16,3197.0,3198.0,3198.0,3198.0,3420
1990-07-18,3197.0,3152.0,3198.0,3152.0,11520
1990-07-19,3152.0,3152.0,3152.0,3152.0,18290
1990-07-20,3152.0,3152.0,3152.0,3152.0,12350
1990-07-21,3152.0,3152.0,3152.0,3152.0,6670
1990-07-23,3107.0,3152.0,3152.0,3107.0,7040
1990-07-24,3062.0,3062.0,3062.0,3062.0,9790
1990-07-25,3062.0,3017.0,3062.0,3017.0,7270
1990-07-26,3017.0,3017.0,3017.0,3017.0,6750
1990-07-27,2972.0,2972.0,2972.0,2972.0,4450
1990-07-28,2927.0,2927.0,2927.0,2927.0,2680
1990-07-30,2882.0,2882.0,2882.0,2882.0,3740
1990-07-31,2837.0,2837.0,2837.0,2837.0,11320
1990-08-01,2882.0,2882.0,2882.0,2882.0,2220
1990-08-02,2927.0,2927.0,2927.0,2927.0,1650
1990-08-03,2972.0,2972.0,2972.0,2972.0,8750
1990-08-04,3017.0,3017.0,3017.0,3017.0,7490
1990-08-06,2972.0,3017.0,3017.0,2972.0,7100
1990-08-07,2927.0,2927.0,2927.0,2927.0,620
1990-08-08,2882.0,2882.0,2882.0,2882.0,3620
1990-08-09,2837.0,2837.0,2837.0,2837.0,8040
1990-08-10,2882.0,2882.0,2882.0,2882.0,5460
1990-08-11,2927.0,2927.0,2927.0,2927.0,8260
1990-08-13,2882.0,2972.0,2972.0,2882.0,6000
1990-08-14,2837.0,2837.0,2837.0,2837.0,5500
1990-08-16,2792.0,2792.0,2792.0,2792.0,7850
1990-08-17,2792.0,2756.0,2792.0,2756.0,10910
1990-08-18,2837.0,2837.0,2837.0,2837.0,3260
1990-08-20,2882.0,2882.0,2882.0,2882.0,16670
1990-08-21,2927.0,2927.0,2927.0,2927.0,29880
1990-08-22,2882.0,2972.0,2972.0,2882.0,16220
1990-08-23,2837.0,2837.0,2837.0,2837.0,3670
1990-08-24,2792.0,2792.0,2792.0,2792.0,3300
1990-08-25,2747.0,2747.0,2747.0,2747.0,1940
1990-08-27,2792.0,2792.0,2792.0,2792.0,13930
1990-08-28,2837.0,2837.0,2837.0,2837.0,5870
1990-08-29,2882.0,2882.0,2882.0,2882.0,34790
1990-08-30,2837.0,2878.0,2878.0,2837.0,10290
1990-08-31,2792.0,2792.0,2792.0,2792.0,3900
1990-09-01,2747.0,2747.0,2747.0,2747.0,6050
