date,close,open,high,low,volume
1990-01-03,23747.0,22364.0,23746.0,22364.0,18450
1990-01-04,23747.0,23832.0,24091.0,23746.0,60330
1990-01-05,23315.0,23660.0,23660.0,23055.0,22170
1990-01-06,22969.0,23314.0,23314.0,22969.0,15900
1990-01-08,22969.0,23142.0,23228.0,22883.0,16680
1990-01-09,23056.0,23055.0,23142.0,22883.0,25180
1990-01-10,22883.0,23142.0,23228.0,22883.0,20440
1990-01-11,22624.0,22883.0,22883.0,22623.0,26240
1990-01-12,22710.0,22623.0,22710.0,22451.0,22040
1990-01-13,22451.0,22710.0,22710.0,22451.0,15820
1990-01-15,22192.0,22192.0,22451.0,22105.0,20880
1990-01-16,22365.0,22105.0,22364.0,21933.0,21530
1990-01-17,22020.0,22364.0,22364.0,22019.0,15150
1990-01-18,21933.0,22019.0,22192.0,21760.0,19490
1990-01-19,21933.0,21933.0,21933.0,21760.0,18400
1990-01-20,21933.0,21846.0,22019.0,21846.0,8920
1990-01-22,22365.0,22710.0,22710.0,22019.0,31750
1990-01-23,22279.0,22451.0,22710.0,22019.0,48420
1990-01-24,22883.0,22710.0,22969.0,22537.0,74670
1990-01-25,23142.0,23055.0,23142.0,22883.0,89910
1990-01-29,23142.0,23142.0,23142.0,22623.0,61860
1990-01-30,23056.0,23228.0,23314.0,22451.0,88570
1990-01-31,23315.0,22883.0,23314.0,22623.0,100000
1990-02-01,23056.0,22883.0,23228.0,22796.0,26170
1990-02-02,22451.0,22710.0,22883.0,22451.0,28870
1990-02-03,22538.0,22278.0,22623.0,22278.0,8220
1990-02-05,22365.0,22537.0,22537.0,22364.0,8350
1990-02-06,22624.0,22192.0,22623.0,22192.0,12320
1990-02-07,22365.0,22623.0,22623.0,22364.0,6900
1990-02-08,22710.0,22364.0,22710.0,22364.0,11640
1990-02-09,22797.0,22451.0,22796.0,22451.0,24450
1990-02-10,22624.0,22710.0,22796.0,22537.0,5920
1990-02-12,22538.0,22451.0,22623.0,22364.0,6750
1990-02-13,22279.0,22451.0,22451.0,22192.0,10350
1990-02-14,22365.0,22364.0,22364.0,22019.0,11590
1990-02-15,22451.0,22451.0,22537.0,22451.0,10840
1990-02-16,22538.0,22364.0,22623.0,22364.0,17420
1990-02-17,22451.0,22451.0,22451.0,22364.0,11800
1990-02-19,22538.0,22451.0,22537.0,22278.0,9840
1990-02-20,22538.0,22537.0,22537.0,22192.0,22440
1990-02-21,22365.0,22451.0,22537.0,22278.0,4650
1990-02-22,22020.0,22364.0,22451.0,22019.0,12000
1990-02-23,22279.0,22364.0,22364.0,22192.0,17570
1990-02-24,22192.0,22192.0,22192.0,22019.0,13160
1990-02-26,22020.0,22019.0,22019.0,21846.0,13830
1990-02-27,22451.0,21760.0,22623.0,21760.0,60190
1990-02-28,22106.0,22364.0,22364.0,22105.0,6860
1990-03-02,22538.0,22624.0,22711.0,22279.0,36090
1990-03-03,22451.0,22451.0,22451.0,22192.0,8550
1990-03-05,22279.0,22019.0,22451.0,22019.0,4240
1990-03-06,22106.0,22106.0,22451.0,22106.0,16030
1990-03-07,22279.0,22019.0,22279.0,21933.0,35160
1990-03-08,22451.0,22019.0,22451.0,22019.0,16880
1990-03-09,22451.0,22019.0,22451.0,22019.0,22530
1990-03-12,22279.0,22451.0,22451.0,22106.0,1224500
1990-03-13,22020.0,22279.0,22279.0,22019.0,11100
1990-03-14,21329.0,21587.0,21674.0,20638.0,38450
1990-03-15,21329.0,21328.0,21415.0,21155.0,16510
1990-03-16,21501.0,21416.0,21761.0,21156.0,16990
1990-03-17,21329.0,21587.0,21587.0,21328.0,14270
1990-03-19,21415.0,21329.0,21587.0,21329.0,23900
1990-03-20,21588.0,21415.0,21847.0,21415.0,63540
1990-03-21,21588.0,21760.0,21847.0,21587.0,31850
1990-03-22,21501.0,21588.0,21675.0,21329.0,6760
1990-03-23,21415.0,21501.0,21501.0,21329.0,31460
1990-03-24,21242.0,21416.0,21416.0,21243.0,7220
1990-03-26,21329.0,21242.0,21587.0,21155.0,20300
1990-03-27,21070.0,21329.0,21329.0,21070.0,15470
1990-03-28,20983.0,21070.0,21070.0,20724.0,20490
1990-03-29,21070.0,20897.0,21070.0,20897.0,38570
