date,close,open,high,low,volume
1990-01-03,15400.0,15000.0,15400.0,15000.0,1380
1990-01-04,16200.0,15500.0,16200.0,15500.0,1060
1990-01-05,16000.0,16100.0,16100.0,16000.0,1820
1990-01-06,16500.0,16000.0,16600.0,16000.0,4170
1990-01-08,17300.0,16900.0,17300.0,16700.0,7800
1990-01-09,18100.0,18100.0,18100.0,17800.0,20400
1990-01-10,18000.0,18400.0,18500.0,17800.0,13220
1990-01-11,17300.0,17700.0,17900.0,17300.0,5010
1990-01-12,17600.0,17000.0,17900.0,17000.0,1780
1990-01-13,17600.0,17800.0,17900.0,17600.0,1580
1990-01-15,17200.0,17600.0,17600.0,17200.0,790
1990-01-16,17800.0,17300.0,17800.0,16800.0,2310
1990-01-17,17300.0,17700.0,17700.0,17300.0,550
1990-01-18,17300.0,17300.0,17400.0,16900.0,570
1990-01-19,16800.0,17000.0,17000.0,16800.0,1650
1990-01-20,16600.0,16600.0,17000.0,16400.0,950
1990-01-22,17000.0,17000.0,17100.0,16500.0,2930
1990-01-23,16800.0,16600.0,17000.0,16600.0,1680
1990-01-24,17300.0,17000.0,17300.0,17000.0,4910
1990-01-25,17600.0,17300.0,17700.0,17300.0,4280
1990-01-29,17700.0,17600.0,18000.0,17600.0,9260
1990-01-30,17700.0,18000.0,18100.0,17500.0,9360
1990-01-31,18400.0,17700.0,18400.0,17700.0,20490
1990-02-01,18600.0,18500.0,18900.0,18100.0,31800
1990-02-02,18300.0,18300.0,19000.0,18000.0,12090
1990-02-03,17800.0,18300.0,18400.0,17800.0,6520
1990-02-05,17600.0,17800.0,18000.0,17500.0,3010
1990-02-06,17800.0,17600.0,17900.0,17400.0,2130
1990-02-07,17700.0,18000.0,18000.0,17600.0,2050
1990-02-08,18000.0,17800.0,18000.0,17700.0,2280
1990-02-09,18000.0,18100.0,18100.0,17900.0,4460
1990-02-10,18000.0,18100.0,18100.0,17600.0,2110
1990-02-12,17600.0,18000.0,18000.0,17600.0,2070
1990-02-13,17600.0,17800.0,17800.0,17600.0,1100
1990-02-14,17700.0,17800.0,17800.0,17600.0,1100
1990-02-15,17700.0,17500.0,17900.0,17500.0,2450
1990-02-16,17600.0,17700.0,17800.0,17600.0,2180
1990-02-17,18100.0,17700.0,18300.0,17700.0,5010
1990-02-19,17900.0,18100.0,18200.0,17800.0,5120
1990-02-20,17700.0,18000.0,18000.0,17700.0,2800
1990-02-21,17700.0,17600.0,17800.0,17600.0,1540
1990-02-22,17800.0,17700.0,17800.0,17600.0,3310
1990-02-23,18000.0,18000.0,18000.0,17800.0,1270
1990-02-24,17900.0,17900.0,18000.0,17900.0,1400
1990-02-26,17800.0,17600.0,17800.0,17600.0,680
1990-02-27,18000.0,17700.0,18000.0,17600.0,4530
1990-02-28,17700.0,18200.0,18300.0,17700.0,4040
1990-03-02,13393.0,13468.0,13468.0,13244.0,750
1990-03-03,13243.0,13468.0,13468.0,13244.0,220
1990-03-05,13019.0,13244.0,13244.0,12870.0,1900
1990-03-06,12869.0,12945.0,13019.0,12870.0,1460
1990-03-07,12720.0,12795.0,12795.0,12645.0,2860
1990-03-08,12720.0,12720.0,12720.0,12720.0,200
1990-03-09,12570.0,12720.0,12720.0,12496.0,1350
1990-03-12,12495.0,12496.0,12570.0,12421.0,990
1990-03-13,12495.0,12570.0,12645.0,12496.0,510
1990-03-14,12645.0,12570.0,12645.0,12421.0,960
1990-03-15,12645.0,12496.0,12645.0,12496.0,690
1990-03-16,12645.0,12645.0,12645.0,12570.0,670
1990-03-17,12720.0,12720.0,12720.0,12720.0,310
1990-03-19,12570.0,12645.0,12645.0,12496.0,800
1990-03-20,12570.0,12570.0,12795.0,12570.0,640
1990-03-21,12570.0,12720.0,12720.0,12570.0,1700
1990-03-22,12495.0,12346.0,12570.0,12346.0,910
1990-03-23,12495.0,12496.0,12645.0,12496.0,490
1990-03-24,12495.0,12645.0,12645.0,12346.0,50
1990-03-26,12495.0,12496.0,12720.0,12496.0,3520
1990-03-27,12346.0,12570.0,12570.0,12346.0,960
1990-03-28,12046.0,12346.0,12421.0,12047.0,650
1990-03-29,12196.0,12346.0,12570.0,12196.0,350
1990-03-30,12645.0,12346.0,12645.0,12271.0,2580
1990-03-31,12420.0,12720.0,12720.0,12421.0,720
1990-04-02,12196.0,12271.0,12346.0,12196.0,420
1990-04-03,12346.0,12122.0,12346.0,12122.0,180
1990-04-04,12495.0,12346.0,12720.0,12346.0,2630
1990-04-06,12720.0,12645.0,12795.0,12645.0,5850
1990-04-07,12645.0,12795.0,12795.0,12645.0,2800
1990-04-09,12645.0,12720.0,12720.0,12645.0,280
1990-04-10,12570.0,12421.0,12570.0,12196.0,840
1990-04-11,12346.0,12346.0,12346.0,12346.0,120
1990-04-12,12570.0,12346.0,12720.0,12346.0,6710
1990-04-13,13019.0,12645.0,13019.0,12645.0,13800
1990-04-14,13169.0,13169.0,13468.0,13169.0,18730
1990-04-16,13318.0,13244.0,13468.0,13094.0,14450
1990-04-17,13393.0,13319.0,13693.0,13319.0,15950
1990-04-18,12869.0,13394.0,13394.0,12870.0,2380
1990-04-19,12271.0,12496.0,12496.0,12271.0,1230
1990-04-20,11822.0,12346.0,12346.0,11822.0,3360
1990-04-21,12196.0,11822.0,12196.0,11822.0,1940
1990-04-23,12196.0,12346.0,12346.0,11972.0,1210
1990-04-24,11971.0,12196.0,12346.0,11972.0,680
1990-04-25,11373.0,11972.0,11972.0,11373.0,1260
1990-04-26,10774.0,11373.0,11373.0,10775.0,2950
1990-04-27,11148.0,10850.0,11149.0,10326.0,2520
1990-04-28,10924.0,10924.0,10924.0,10924.0,0
1990-04-30,10475.0,10475.0,10475.0,10475.0,0
1990-05-01,10924.0,10475.0,10924.0,10326.0,5630
1990-05-03,11373.0,10550.0,11373.0,10550.0,4570
1990-05-04,11822.0,11598.0,11822.0,11224.0,4930
1990-05-07,11223.0,11224.0,11673.0,11224.0,3020
1990-05-08,10999.0,11224.0,11298.0,10999.0,2670
1990-05-09,10924.0,11149.0,11149.0,10924.0,830
1990-05-10,10999.0,10924.0,10999.0,10924.0,1750
1990-05-11,10625.0,10999.0,10999.0,10625.0,950
1990-05-12,10325.0,10475.0,10475.0,10326.0,1000
1990-05-14,10101.0,10251.0,10475.0,10101.0,550
1990-05-15,9652.0,9727.0,9727.0,9652.0,800
1990-05-16,10101.0,9727.0,10101.0,9727.0,1020
1990-05-17,10101.0,10475.0,10550.0,10101.0,2640
1990-05-18,10026.0,10101.0,10176.0,10026.0,790
1990-05-19,10325.0,9877.0,10326.0,9877.0,1430
1990-05-21,10475.0,10326.0,10475.0,10326.0,440
1990-05-22,10849.0,10625.0,10924.0,10475.0,2440
1990-05-23,10924.0,10850.0,11074.0,10775.0,2710
1990-05-24,10849.0,10924.0,10924.0,10775.0,1890
1990-05-25,10924.0,10850.0,10999.0,10850.0,1280
1990-05-26,10999.0,10850.0,10999.0,10850.0,1290
1990-05-28,10625.0,10625.0,10625.0,10625.0,10
1990-05-29,10625.0,10700.0,10700.0,10475.0,1160
1990-05-30,10699.0,10625.0,10700.0,10625.0,450
1990-05-31,10774.0,10700.0,10850.0,10700.0,2510
1990-06-01,11223.0,11224.0,11224.0,11074.0,3170
1990-06-02,11822.0,11373.0,11822.0,11373.0,6310
1990-06-04,12420.0,11972.0,12421.0,11972.0,13840
1990-06-05,11822.0,12720.0,12720.0,11822.0,7520
1990-06-07,12196.0,11822.0,12421.0,11822.0,7610
1990-06-08,11897.0,12570.0,12570.0,11822.0,9310
1990-06-09,11747.0,11673.0,11747.0,11448.0,870
1990-06-11,11373.0,11523.0,11523.0,11224.0,5040
1990-06-12,11223.0,11224.0,11373.0,11224.0,1840
1990-06-13,11223.0,11224.0,11224.0,11224.0,740
1990-06-14,11148.0,10999.0,11149.0,10999.0,1500
1990-06-15,11448.0,11074.0,11598.0,11074.0,9180
1990-06-16,11373.0,11448.0,11448.0,11224.0,490
1990-06-18,11148.0,11598.0,11972.0,11074.0,4950
1990-06-19,10924.0,10924.0,11373.0,10850.0,3890
1990-06-20,10699.0,11224.0,11224.0,10700.0,1250
1990-06-21,10924.0,10550.0,10999.0,10550.0,3060
1990-06-22,11373.0,10850.0,11373.0,10850.0,4580
1990-06-23,11597.0,11523.0,11598.0,11074.0,6230
1990-06-25,11597.0,11298.0,11598.0,11298.0,3550
1990-06-26,11074.0,11523.0,11523.0,10999.0,11930
1990-06-27,11148.0,11074.0,11149.0,11074.0,550
1990-06-28,10849.0,11149.0,11224.0,10850.0,1710
1990-06-29,10475.0,10999.0,10999.0,10475.0,1390
1990-06-30,10176.0,10475.0,10475.0,10176.0,1590
1990-07-02,10176.0,10101.0,10251.0,9877.0,2420
1990-07-03,10625.0,10176.0,10625.0,10176.0,590
1990-07-04,10699.0,11074.0,11074.0,10700.0,6920
1990-07-05,10550.0,10700.0,10775.0,10550.0,3990
1990-07-06,10625.0,10625.0,10775.0,10550.0,1500
1990-07-07,10475.0,10550.0,10550.0,10475.0,500
1990-07-09,10250.0,10326.0,10401.0,10251.0,1890
1990-07-10,10475.0,10475.0,10475.0,10326.0,640
1990-07-11,10625.0,10550.0,10700.0,10550.0,2520
1990-07-12,10250.0,10550.0,10550.0,10176.0,2180
1990-07-13,9951.0,10700.0,10700.0,9952.0,840
1990-07-14,10101.0,9952.0,10251.0,9952.0,1410
1990-07-16,10026.0,9952.0,10026.0,9952.0,900
1990-07-18,10325.0,9877.0,10475.0,9877.0,6130
1990-07-19,10250.0,10251.0,10326.0,10101.0,860
1990-07-20,10400.0,10251.0,10401.0,10176.0,2590
1990-07-21,10400.0,10026.0,10401.0,10026.0,1650
1990-07-23,10250.0,10251.0,10251.0,10251.0,440
1990-07-24,10250.0,10101.0,10251.0,10026.0,1990
1990-07-25,10176.0,10251.0,10475.0,10176.0,3280
1990-07-26,9951.0,10026.0,10251.0,9952.0,3780
1990-07-27,9727.0,9952.0,9952.0,9727.0,1050
1990-07-28,9951.0,9952.0,9952.0,9802.0,200
1990-07-30,9876.0,9952.0,9952.0,9727.0,1420
1990-07-31,10026.0,9877.0,10026.0,9877.0,4230
1990-08-01,10325.0,10176.0,10401.0,10176.0,2170
1990-08-02,10325.0,10326.0,10401.0,10101.0,2020
1990-08-03,10625.0,10326.0,10775.0,10176.0,15050
1990-08-04,10625.0,10625.0,10775.0,10475.0,2630
1990-08-06,10400.0,10625.0,10700.0,10401.0,1650
1990-08-07,10400.0,10251.0,10700.0,9952.0,8840
1990-08-08,10475.0,10401.0,10700.0,10401.0,6070
1990-08-09,10625.0,10475.0,10700.0,10475.0,6220
1990-08-10,10699.0,10475.0,10850.0,10475.0,6310
1990-08-11,10625.0,10550.0,10700.0,10475.0,4370
1990-08-13,10625.0,10625.0,10700.0,10401.0,2350
1990-08-14,10250.0,10326.0,10550.0,10251.0,1280
1990-08-16,10026.0,10251.0,10475.0,10026.0,2460
1990-08-17,10101.0,9877.0,10251.0,9802.0,7920
1990-08-18,10250.0,10101.0,10251.0,10101.0,710
1990-08-20,10101.0,9877.0,10176.0,9877.0,2010
1990-08-21,9801.0,9802.0,9952.0,9652.0,1890
1990-08-22,9951.0,9952.0,10026.0,9652.0,4200
1990-08-23,9727.0,10026.0,10101.0,9727.0,6200
1990-08-24,9278.0,9652.0,9727.0,9278.0,2030
1990-08-25,9278.0,8979.0,9278.0,8829.0,490
1990-08-27,9727.0,9578.0,9727.0,9578.0,1410
1990-08-28,10176.0,10176.0,10176.0,10176.0,300
1990-08-29,10176.0,10475.0,10475.0,9727.0,1400
1990-08-30,9951.0,9877.0,9952.0,9727.0,3180
1990-08-31,9876.0,9727.0,9952.0,9727.0,2270
1990-09-01,9876.0,9877.0,9877.0,9428.0,560
1990-09-03,10325.0,9727.0,10326.0,9503.0,7360
1990-09-04,10325.0,10475.0,10625.0,10326.0,5200
1990-09-05,9951.0,9952.0,10101.0,9877.0,860
1990-09-06,9727.0,9952.0,10101.0,9727.0,1350
1990-09-07,9502.0,9578.0,9727.0,9503.0,1600
1990-09-08,9427.0,9428.0,9578.0,9428.0,940
1990-09-10,9353.0,9503.0,9503.0,9353.0,640
