date,close,open,high,low,volume
1990-01-03,20000.0,18800.0,20000.0,18800.0,7050
1990-01-04,21000.0,20500.0,21000.0,20400.0,18650
1990-01-05,21000.0,21500.0,21500.0,20000.0,27790
1990-01-06,20700.0,20900.0,21000.0,20700.0,4750
1990-01-08,21500.0,20900.0,21500.0,20700.0,22030
1990-01-09,21400.0,21700.0,21700.0,21200.0,16480
1990-01-10,21000.0,21200.0,21200.0,20600.0,12350
1990-01-11,20700.0,21000.0,21100.0,20600.0,6970
1990-01-12,20900.0,20500.0,20900.0,20300.0,6980
1990-01-13,20400.0,20800.0,20800.0,20400.0,1680
1990-01-15,20000.0,20000.0,20300.0,19900.0,3330
1990-01-16,20000.0,19600.0,20000.0,19600.0,5610
1990-01-17,19500.0,19700.0,19700.0,19500.0,1380
1990-01-18,19100.0,19400.0,19900.0,19100.0,3530
1990-01-19,18900.0,19100.0,19100.0,18900.0,4300
1990-01-20,19400.0,18900.0,19400.0,18800.0,4530
1990-01-22,20000.0,18600.0,20000.0,18600.0,12590
1990-01-23,19600.0,20000.0,20200.0,19100.0,6710
1990-01-24,20400.0,19800.0,20400.0,19800.0,8100
1990-01-25,21400.0,20700.0,21400.0,20500.0,32480
1990-01-29,21800.0,21700.0,21900.0,21000.0,24790
1990-01-30,21500.0,21900.0,21900.0,21200.0,9960
1990-01-31,21600.0,21400.0,21600.0,21000.0,8840
1990-02-01,21500.0,21200.0,21600.0,21000.0,10490
1990-02-02,21000.0,21300.0,21400.0,21000.0,3270
1990-02-03,21100.0,20700.0,21200.0,20700.0,3770
1990-02-05,20800.0,20700.0,21000.0,20700.0,2880
1990-02-06,21700.0,21000.0,21700.0,20700.0,10170
1990-02-07,21500.0,21600.0,21900.0,21200.0,16960
1990-02-08,21900.0,21500.0,21900.0,21500.0,39800
1990-02-09,22300.0,22000.0,22900.0,21300.0,142110
1990-02-10,21900.0,22200.0,22300.0,21800.0,22310
1990-02-12,21600.0,21400.0,22000.0,21200.0,73610
1990-02-13,21500.0,21600.0,21600.0,21500.0,13290
1990-02-14,21500.0,21500.0,21600.0,21500.0,4410
1990-02-15,21600.0,21700.0,21800.0,21500.0,15080
1990-02-16,21500.0,21600.0,21600.0,21300.0,14610
1990-02-17,21200.0,21300.0,21500.0,20800.0,68780
1990-02-19,21000.0,20900.0,21200.0,20900.0,25610
1990-02-20,21100.0,21000.0,21200.0,21000.0,8580
1990-02-21,20800.0,21000.0,21000.0,20600.0,5560
1990-02-22,20800.0,20700.0,20800.0,20500.0,8100
1990-02-23,21100.0,20800.0,21100.0,20800.0,14610
1990-02-24,21200.0,21100.0,21200.0,21000.0,12300
1990-02-26,21200.0,21200.0,21400.0,21200.0,14810
1990-02-27,21000.0,21400.0,21400.0,20800.0,10880
1990-02-28,21000.0,21200.0,21300.0,20700.0,10670
1990-03-02,1604.0,1611.0,1634.0,1603.0,8540
1990-03-03,1573.0,1611.0,1611.0,1573.0,2260
1990-03-05,1566.0,1573.0,1580.0,1557.0,6470
1990-03-06,1550.0,1565.0,1588.0,1550.0,10950
1990-03-07,1589.0,1565.0,1588.0,1565.0,14410
1990-03-08,1558.0,1588.0,1603.0,1550.0,9330
1990-03-09,1550.0,1557.0,1573.0,1542.0,10410
1990-03-12,1558.0,1542.0,1565.0,1542.0,8000
1990-03-13,1535.0,1557.0,1557.0,1534.0,5470
1990-03-14,1504.0,1504.0,1534.0,1504.0,3590
1990-03-15,1481.0,1504.0,1504.0,1473.0,9210
1990-03-16,1504.0,1496.0,1511.0,1496.0,3210
1990-03-17,1481.0,1504.0,1504.0,1481.0,2100
1990-03-19,1504.0,1496.0,1504.0,1488.0,8260
1990-03-20,1558.0,1534.0,1557.0,1527.0,11190
1990-03-21,1558.0,1573.0,1573.0,1534.0,11980
1990-03-22,1573.0,1557.0,1573.0,1534.0,10280
1990-03-23,1535.0,1557.0,1573.0,1527.0,4940
1990-03-24,1527.0,1527.0,1534.0,1527.0,810
1990-03-26,1520.0,1534.0,1534.0,1511.0,1590
1990-03-27,1543.0,1534.0,1542.0,1511.0,9230
1990-03-28,1520.0,1534.0,1542.0,1511.0,8350
1990-03-29,1512.0,1519.0,1527.0,1511.0,5870
1990-03-30,1535.0,1511.0,1573.0,1511.0,13670
1990-03-31,1581.0,1542.0,1580.0,1542.0,27850
1990-04-02,1604.0,1588.0,1627.0,1580.0,35030
1990-04-03,1658.0,1611.0,1657.0,1611.0,55100
1990-04-04,1704.0,1657.0,1703.0,1650.0,81860
1990-04-06,1704.0,1696.0,1726.0,1673.0,52330
1990-04-07,1727.0,1703.0,1734.0,1703.0,40220
1990-04-09,1734.0,1742.0,1749.0,1726.0,44390
1990-04-10,1780.0,1749.0,1811.0,1749.0,113060
1990-04-11,1857.0,1780.0,1857.0,1780.0,60870
1990-04-12,1934.0,1887.0,1933.0,1880.0,130650
1990-04-13,2011.0,1964.0,2010.0,1957.0,38070
1990-04-14,1980.0,2056.0,2064.0,1964.0,120090
1990-04-16,1919.0,1972.0,1972.0,1918.0,35150
1990-04-17,1934.0,1903.0,1964.0,1903.0,41230
1990-04-18,1888.0,1926.0,1926.0,1872.0,18000
1990-04-19,1819.0,1872.0,1872.0,1811.0,20330
1990-04-20,1803.0,1803.0,1834.0,1772.0,9830
1990-04-21,1842.0,1834.0,1841.0,1811.0,9940
1990-04-23,1834.0,1849.0,1849.0,1818.0,11040
1990-04-24,1826.0,1826.0,1841.0,1826.0,8300
1990-04-25,1796.0,1826.0,1826.0,1795.0,2940
1990-04-26,1727.0,1795.0,1795.0,1719.0,22140
1990-04-27,1803.0,1765.0,1803.0,1696.0,5340
1990-04-28,1750.0,1765.0,1765.0,1742.0,8470
1990-04-30,1673.0,1673.0,1673.0,1673.0,21750
1990-05-01,1750.0,1688.0,1749.0,1688.0,3320
1990-05-03,1826.0,1826.0,1826.0,1826.0,2360
1990-05-04,1903.0,1903.0,1903.0,1903.0,18670
1990-05-07,1896.0,1957.0,1957.0,1895.0,13020
1990-05-08,1865.0,1857.0,1918.0,1857.0,5340
1990-05-09,1865.0,1864.0,1903.0,1826.0,10200
1990-05-10,1826.0,1849.0,1849.0,1811.0,8960
1990-05-11,1788.0,1841.0,1841.0,1780.0,6970
1990-05-12,1765.0,1765.0,1803.0,1742.0,4120
1990-05-14,1734.0,1742.0,1772.0,1726.0,4270
1990-05-15,1727.0,1711.0,1726.0,1688.0,3130
1990-05-16,1803.0,1734.0,1803.0,1734.0,4330
1990-05-17,1819.0,1841.0,1857.0,1803.0,14900
1990-05-18,1765.0,1818.0,1818.0,1765.0,3430
1990-05-19,1765.0,1780.0,1803.0,1765.0,4150
1990-05-21,1803.0,1765.0,1803.0,1749.0,8520
1990-05-22,1880.0,1826.0,1880.0,1826.0,21710
1990-05-23,1911.0,1880.0,1926.0,1880.0,18550
1990-05-24,1949.0,1910.0,1949.0,1895.0,24900
1990-05-25,1949.0,1972.0,1972.0,1941.0,12490
1990-05-26,1949.0,1957.0,1964.0,1941.0,10180
1990-05-28,1934.0,1949.0,1949.0,1918.0,5480
1990-05-29,1942.0,1933.0,1949.0,1903.0,21930
1990-05-30,1957.0,1949.0,2010.0,1933.0,22740
1990-05-31,1980.0,1995.0,2003.0,1972.0,19080
1990-06-01,1949.0,1980.0,1987.0,1949.0,6120
1990-06-02,1934.0,1949.0,1949.0,1933.0,13230
1990-06-04,1934.0,1933.0,1957.0,1933.0,7210
1990-06-05,1995.0,1941.0,1995.0,1941.0,32310
1990-06-07,1988.0,1995.0,1995.0,1972.0,10870
1990-06-08,1965.0,1957.0,1987.0,1949.0,12190
1990-06-09,1972.0,1957.0,1972.0,1949.0,16020
1990-06-11,1942.0,1980.0,1980.0,1933.0,13520
1990-06-12,1942.0,1933.0,1957.0,1933.0,9930
1990-06-13,1942.0,1941.0,1941.0,1918.0,4070
1990-06-14,1926.0,1941.0,1941.0,1918.0,5170
1990-06-15,1949.0,1918.0,1949.0,1918.0,19440
1990-06-16,1972.0,1941.0,1972.0,1941.0,19070
1990-06-18,1942.0,1964.0,1964.0,1941.0,21260
1990-06-19,1926.0,1926.0,1949.0,1926.0,14770
1990-06-20,1896.0,1918.0,1918.0,1895.0,710
1990-06-21,1896.0,1903.0,1918.0,1895.0,1470
1990-06-22,1896.0,1895.0,1895.0,1872.0,1030
1990-06-23,1896.0,1895.0,1895.0,1880.0,1140
1990-06-25,1865.0,1895.0,1910.0,1864.0,1070
1990-06-26,1811.0,1864.0,1864.0,1811.0,1310
1990-06-27,1811.0,1803.0,1826.0,1803.0,1820
1990-06-28,1765.0,1826.0,1826.0,1765.0,2260
1990-06-29,1704.0,1734.0,1734.0,1703.0,2390
1990-06-30,1658.0,1688.0,1688.0,1650.0,2010
1990-07-02,1673.0,1657.0,1673.0,1657.0,12910
1990-07-03,1750.0,1688.0,1749.0,1688.0,7100
1990-07-04,1757.0,1765.0,1811.0,1726.0,16310
1990-07-05,1719.0,1734.0,1765.0,1711.0,11480
1990-07-06,1719.0,1726.0,1757.0,1711.0,8590
1990-07-07,1719.0,1726.0,1726.0,1688.0,5600
1990-07-09,1719.0,1719.0,1719.0,1688.0,820
1990-07-10,1727.0,1726.0,1726.0,1719.0,8720
1990-07-11,1719.0,1688.0,1719.0,1688.0,290
1990-07-12,1673.0,1688.0,1688.0,1642.0,3270
1990-07-13,1658.0,1642.0,1657.0,1627.0,3940
1990-07-14,1650.0,1650.0,1673.0,1650.0,5130
1990-07-16,1642.0,1642.0,1642.0,1642.0,0
1990-07-18,1681.0,1673.0,1688.0,1657.0,2670
1990-07-19,1635.0,1650.0,1688.0,1634.0,4640
1990-07-20,1650.0,1634.0,1673.0,1634.0,2860
1990-07-21,1627.0,1627.0,1627.0,1611.0,2970
1990-07-23,1612.0,1611.0,1611.0,1611.0,1000
