date,close,open,high,low,volume
1990-01-03,20700.0,20300.0,20700.0,20200.0,3540
1990-01-04,21700.0,20700.0,21700.0,20600.0,10850
1990-01-05,21400.0,21500.0,21600.0,21300.0,4270
1990-01-06,21200.0,21400.0,21400.0,21000.0,6420
1990-01-08,21500.0,21200.0,21700.0,21200.0,8560
1990-01-09,21900.0,21700.0,21900.0,21500.0,18430
1990-01-10,21400.0,21900.0,21900.0,21400.0,2140
1990-01-11,21300.0,21300.0,21500.0,21300.0,460
1990-01-12,21200.0,21200.0,21300.0,21000.0,2630
1990-01-13,20900.0,21200.0,21200.0,20900.0,350
1990-01-15,20900.0,20900.0,21500.0,20600.0,3250
1990-01-16,20300.0,20800.0,20800.0,20200.0,2720
1990-01-17,20500.0,20500.0,20800.0,20100.0,970
1990-01-18,20700.0,20300.0,20700.0,20200.0,3270
1990-01-19,20500.0,20500.0,20600.0,20500.0,1130
1990-01-20,20500.0,20500.0,20500.0,20500.0,470
1990-01-22,21200.0,20500.0,21200.0,20400.0,3200
1990-01-23,21000.0,21400.0,21400.0,21000.0,3410
1990-01-24,21400.0,20100.0,21400.0,20100.0,12500
1990-01-25,21000.0,21800.0,21800.0,21000.0,7470
1990-01-29,21100.0,21100.0,21100.0,20900.0,1880
1990-01-30,21300.0,21100.0,21300.0,20600.0,6040
1990-01-31,21400.0,21400.0,21400.0,20800.0,3660
1990-02-01,21100.0,21400.0,21400.0,21100.0,220
1990-02-02,21400.0,21200.0,21500.0,21200.0,9850
1990-02-03,21400.0,21300.0,21400.0,21300.0,5520
1990-02-05,21500.0,21300.0,21500.0,21000.0,4350
1990-02-06,21600.0,21500.0,21600.0,21300.0,3720
1990-02-07,20600.0,21600.0,21600.0,20600.0,1950
1990-02-08,21600.0,21000.0,21600.0,21000.0,10340
1990-02-09,21800.0,22000.0,22000.0,21600.0,13980
1990-02-10,21600.0,21800.0,21800.0,21500.0,580
1990-02-12,21700.0,21600.0,21700.0,21500.0,3890
1990-02-13,21400.0,21600.0,21600.0,21400.0,2600
1990-02-14,21600.0,21400.0,21600.0,21400.0,1750
1990-02-15,21800.0,21600.0,21900.0,21600.0,2070
1990-02-16,21400.0,21800.0,21800.0,21400.0,1130
1990-02-17,21200.0,21600.0,21600.0,21100.0,2170
1990-02-19,21300.0,21300.0,21300.0,21200.0,1610
1990-02-20,21300.0,21200.0,21500.0,21000.0,2380
1990-02-21,21400.0,21000.0,21500.0,21000.0,330
1990-02-22,21700.0,21000.0,21700.0,21000.0,5990
1990-02-23,21500.0,21500.0,21700.0,21500.0,900
1990-02-24,21200.0,21200.0,21200.0,21200.0,10
1990-02-26,21100.0,21000.0,21400.0,21000.0,2870
1990-02-27,21300.0,21000.0,21300.0,21000.0,1670
1990-02-28,21400.0,21300.0,21500.0,21200.0,2560
1990-03-02,929.0,917.0,933.0,912.0,4000
1990-03-03,920.0,920.0,925.0,920.0,1270
1990-03-05,908.0,917.0,921.0,887.0,730
1990-03-06,908.0,917.0,917.0,891.0,580
1990-03-07,908.0,891.0,908.0,891.0,2840
1990-03-08,894.0,902.0,907.0,893.0,1780
1990-03-09,890.0,894.0,894.0,891.0,1070
