date,close,open,high,low,volume
1990-01-03,22900.0,22400.0,22900.0,22400.0,610
1990-01-04,23900.0,23500.0,23900.0,23500.0,250
1990-01-05,23700.0,23700.0,23700.0,23700.0,200
1990-01-06,23500.0,23300.0,23500.0,23300.0,210
1990-01-08,23400.0,23000.0,23500.0,23000.0,1330
1990-01-09,23500.0,23500.0,23900.0,23500.0,110
1990-01-10,23000.0,23500.0,23500.0,23000.0,420
1990-01-11,23000.0,23300.0,23300.0,23000.0,1750
1990-01-12,23200.0,22800.0,23200.0,22700.0,950
1990-01-13,23000.0,23000.0,23000.0,23000.0,1100
1990-01-15,23000.0,23000.0,23000.0,23000.0,0
1990-01-16,23000.0,22600.0,23000.0,22000.0,2920
1990-01-17,22800.0,22500.0,22800.0,22500.0,500
1990-01-18,22500.0,22500.0,22700.0,22500.0,790
1990-01-19,22200.0,22300.0,22300.0,22200.0,270
1990-01-20,22600.0,22000.0,22600.0,22000.0,1590
1990-01-22,22800.0,22600.0,23300.0,22600.0,1960
1990-01-23,23000.0,22800.0,23000.0,22800.0,1780
1990-01-24,23100.0,22500.0,23200.0,22500.0,1290
1990-01-25,22800.0,23100.0,23100.0,22800.0,2020
1990-01-29,22600.0,22600.0,22600.0,22500.0,1280
1990-01-30,22500.0,22800.0,22800.0,22500.0,810
1990-01-31,23200.0,23400.0,23400.0,22700.0,18200
1990-02-01,23000.0,23100.0,23100.0,22900.0,3550
1990-02-02,22900.0,22500.0,22900.0,22500.0,7850
1990-02-03,22700.0,22700.0,22700.0,22700.0,10
1990-02-05,22900.0,22700.0,22900.0,22700.0,2460
1990-02-06,22900.0,21900.0,22900.0,21900.0,650
1990-02-07,22500.0,22700.0,22900.0,22500.0,1190
1990-02-08,22800.0,22600.0,22800.0,22600.0,490
1990-02-09,22700.0,22600.0,22700.0,22600.0,1550
1990-02-10,22500.0,22600.0,22600.0,22500.0,2470
1990-02-12,22600.0,22500.0,22600.0,22500.0,1620
1990-02-13,22500.0,22500.0,22500.0,22500.0,1710
1990-02-14,22500.0,22500.0,22500.0,22500.0,2800
1990-02-15,22500.0,22400.0,23000.0,22400.0,1950
1990-02-16,22500.0,22500.0,22500.0,22500.0,3400
1990-02-17,22500.0,22600.0,22600.0,22500.0,1190
1990-02-19,22300.0,22500.0,22500.0,22300.0,890
1990-02-20,22300.0,22300.0,22400.0,22300.0,1750
1990-02-21,22500.0,22200.0,23000.0,22200.0,3770
1990-02-22,22100.0,22500.0,22700.0,22100.0,3830
1990-02-23,22500.0,22300.0,22500.0,22300.0,490
1990-02-24,22400.0,22400.0,22400.0,22400.0,100
1990-02-26,22200.0,22200.0,22200.0,22200.0,0
1990-02-27,22300.0,21200.0,22500.0,21200.0,2440
1990-02-28,21600.0,22300.0,22500.0,21600.0,1620
1990-03-02,13504.0,13322.0,13565.0,13201.0,6180
1990-03-03,13504.0,13504.0,13565.0,13504.0,380
1990-03-05,13504.0,13141.0,13504.0,13080.0,620
1990-03-06,13140.0,12959.0,13504.0,12959.0,570
1990-03-07,13140.0,13262.0,13262.0,12898.0,2050
1990-03-08,13140.0,13020.0,13141.0,13020.0,1270
1990-03-09,13140.0,13020.0,13201.0,13020.0,810
1990-03-12,12959.0,13201.0,13201.0,12959.0,1220
1990-03-13,12959.0,12959.0,13262.0,12898.0,4450
1990-03-14,13019.0,13201.0,13201.0,13020.0,110
1990-03-15,12959.0,12838.0,12959.0,12838.0,2210
1990-03-16,13019.0,12898.0,13383.0,12898.0,1470
1990-03-17,12898.0,13080.0,13080.0,12898.0,400
1990-03-19,12837.0,13020.0,13020.0,12717.0,290
1990-03-20,12959.0,12838.0,13020.0,12838.0,1350
1990-03-21,13019.0,13141.0,13141.0,13020.0,2240
1990-03-22,12959.0,13080.0,13080.0,12959.0,1250
1990-03-23,12959.0,12898.0,12959.0,12898.0,1400
1990-03-24,12959.0,12959.0,12959.0,12959.0,1620
1990-03-26,13019.0,13141.0,13201.0,13020.0,2520
1990-03-27,12777.0,13020.0,13020.0,12777.0,520
1990-03-28,12474.0,12717.0,12717.0,12475.0,1200
1990-03-29,12716.0,12717.0,12717.0,12172.0,12840
1990-03-30,12837.0,12717.0,12959.0,12717.0,4310
1990-03-31,12716.0,12717.0,12717.0,12717.0,530
1990-04-02,12716.0,12717.0,12717.0,12535.0,790
1990-04-03,12837.0,12838.0,12838.0,12656.0,2330
1990-04-04,12716.0,12717.0,12959.0,12535.0,5450
1990-04-06,12474.0,12717.0,12717.0,12475.0,700
1990-04-07,12656.0,12656.0,12656.0,12656.0,30
1990-04-09,12414.0,12596.0,12596.0,12414.0,720
1990-04-10,12414.0,12414.0,12414.0,12232.0,1390
1990-04-11,12414.0,12414.0,12414.0,12172.0,260
1990-04-12,12595.0,12414.0,12777.0,12414.0,700
1990-04-13,12716.0,12414.0,12717.0,12414.0,8150
1990-04-14,12414.0,12838.0,12838.0,12414.0,750
1990-04-16,12292.0,12475.0,12475.0,12293.0,960
1990-04-17,12414.0,12051.0,12717.0,12051.0,1380
1990-04-18,12232.0,12475.0,12717.0,12232.0,990
1990-04-19,12232.0,11627.0,12232.0,11627.0,60
1990-04-20,12111.0,11808.0,12111.0,11808.0,40
1990-04-21,12111.0,11990.0,12111.0,11990.0,560
1990-04-23,12414.0,12414.0,12414.0,12414.0,50
1990-04-24,12232.0,12232.0,12232.0,12232.0,0
1990-04-25,12050.0,12232.0,12232.0,12051.0,190
1990-04-26,11808.0,11808.0,11808.0,11808.0,0
1990-04-27,11747.0,11808.0,11808.0,11748.0,1050
1990-04-28,11263.0,11263.0,11263.0,11263.0,360
1990-04-30,10779.0,10779.0,10779.0,10779.0,0
1990-05-01,11263.0,10295.0,11263.0,10295.0,2890
1990-05-03,11747.0,11748.0,11748.0,11748.0,1390
1990-05-04,12171.0,12111.0,12172.0,11566.0,5200
1990-05-07,11808.0,12111.0,12111.0,11808.0,280
1990-05-08,12232.0,12232.0,12232.0,12232.0,20
1990-05-09,11747.0,12111.0,12111.0,11748.0,470
1990-05-10,11324.0,11385.0,11385.0,11324.0,1090
1990-05-11,11021.0,11324.0,11324.0,10961.0,1490
1990-05-12,11021.0,11021.0,11021.0,11021.0,0
1990-05-14,10536.0,10900.0,10900.0,10537.0,2000
1990-05-15,10536.0,10416.0,10537.0,10234.0,5370
1990-05-16,11021.0,10779.0,11021.0,10537.0,1900
1990-05-17,11081.0,11082.0,11203.0,11082.0,3580
1990-05-18,10718.0,10658.0,10961.0,10658.0,410
1990-05-19,10779.0,10900.0,10900.0,10779.0,1100
1990-05-21,10900.0,10779.0,10900.0,10779.0,1090
1990-05-22,11202.0,10900.0,11263.0,10900.0,2360
1990-05-23,11142.0,11203.0,11203.0,11142.0,2330
1990-05-24,11142.0,11203.0,11203.0,11142.0,300
1990-05-25,11021.0,11142.0,11142.0,11021.0,600
1990-05-26,10900.0,11021.0,11021.0,10900.0,670
1990-05-28,10779.0,10779.0,10779.0,10779.0,0
1990-05-29,10960.0,10658.0,10961.0,10658.0,1650
1990-05-30,11021.0,10961.0,11142.0,10961.0,1740
1990-05-31,11202.0,11203.0,11203.0,11082.0,1580
1990-06-01,11324.0,11263.0,11324.0,11203.0,4290
1990-06-02,11505.0,11445.0,11627.0,11445.0,3360
1990-06-04,11990.0,11566.0,11990.0,11506.0,10750
1990-06-05,11626.0,12111.0,12172.0,11506.0,3650
1990-06-07,11687.0,11808.0,11808.0,11627.0,5400
1990-06-08,11445.0,11687.0,11687.0,11445.0,760
1990-06-09,11324.0,11324.0,11324.0,11324.0,500
1990-06-11,11324.0,11324.0,11324.0,11324.0,0
1990-06-12,11202.0,11203.0,11203.0,11203.0,500
