date,close,open,high,low,volume
1990-01-03,3050.0,3050.0,3050.0,3050.0,6000
1990-01-04,3090.0,3090.0,3090.0,3090.0,1000
1990-01-05,3040.0,3040.0,3040.0,3040.0,0
1990-01-06,3050.0,3000.0,3120.0,3000.0,28900
1990-01-08,3050.0,3050.0,3050.0,3050.0,0
1990-01-09,3050.0,3050.0,3050.0,3050.0,14600
1990-01-10,3030.0,3030.0,3030.0,3030.0,1500
1990-01-11,3010.0,3010.0,3010.0,3010.0,300
1990-01-12,2960.0,2900.0,2960.0,2900.0,6400
1990-01-13,2960.0,2860.0,2960.0,2860.0,300
1990-01-15,2900.0,2900.0,2900.0,2900.0,400
1990-01-16,2970.0,2810.0,2970.0,2810.0,200
1990-01-17,2900.0,2900.0,2900.0,2900.0,1000
1990-01-18,2870.0,2800.0,2890.0,2800.0,9000
1990-01-19,2830.0,2850.0,2850.0,2830.0,3800
1990-01-20,2820.0,2820.0,2820.0,2820.0,200
1990-01-22,2910.0,2910.0,2910.0,2910.0,30000
1990-01-23,2870.0,2810.0,2900.0,2810.0,10200
1990-01-24,2900.0,2900.0,2900.0,2900.0,8000
1990-01-25,2970.0,2910.0,2970.0,2900.0,29100
1990-01-29,2920.0,2950.0,2950.0,2920.0,1300
1990-01-30,2900.0,2900.0,2900.0,2870.0,3500
1990-01-31,2850.0,2800.0,2900.0,2800.0,4000
1990-02-01,2950.0,2830.0,2950.0,2810.0,12000
1990-02-02,2900.0,2900.0,2900.0,2900.0,10000
1990-02-03,2900.0,2900.0,2900.0,2900.0,3500
1990-02-05,2900.0,2900.0,2900.0,2850.0,3000
1990-02-06,2970.0,2890.0,2970.0,2850.0,37900
1990-02-07,2970.0,2970.0,3000.0,2950.0,29900
1990-02-08,3020.0,2970.0,3020.0,2950.0,48800
1990-02-09,3000.0,3030.0,3030.0,2990.0,48400
1990-02-10,3010.0,3010.0,3010.0,3010.0,8000
1990-02-12,2990.0,2950.0,3000.0,2950.0,18000
1990-02-13,2990.0,2990.0,2990.0,2990.0,0
1990-02-14,2980.0,2990.0,2990.0,2980.0,1400
1990-02-15,3080.0,2970.0,3080.0,2970.0,66600
1990-02-16,3080.0,3070.0,3110.0,3070.0,75000
1990-02-17,3080.0,3010.0,3080.0,3010.0,11100
1990-02-19,3100.0,3070.0,3110.0,3050.0,51800
1990-02-20,3080.0,3080.0,3120.0,3070.0,39100
1990-02-21,3060.0,3080.0,3080.0,3060.0,2000
1990-02-22,3100.0,3050.0,3100.0,3020.0,50500
1990-02-23,3080.0,3130.0,3130.0,3080.0,55300
1990-02-24,3080.0,3070.0,3090.0,3070.0,12300
1990-02-26,3050.0,3080.0,3100.0,3050.0,6900
1990-02-27,3090.0,3030.0,3090.0,3030.0,2900
1990-02-28,3050.0,3050.0,3050.0,3050.0,0
1990-03-02,1104.0,1089.0,1115.0,1089.0,51900
1990-03-03,1111.0,1111.0,1111.0,1111.0,3000
1990-03-05,1118.0,1081.0,1117.0,1081.0,9200
1990-03-06,1097.0,1089.0,1097.0,1086.0,21900
1990-03-07,1111.0,1111.0,1111.0,1111.0,100
1990-03-08,1082.0,1081.0,1081.0,1081.0,5100
1990-03-09,1082.0,1044.0,1081.0,1044.0,1500
1990-03-12,1082.0,1081.0,1081.0,1081.0,0
1990-03-13,1067.0,1068.0,1068.0,1046.0,1600
1990-03-14,1067.0,1068.0,1068.0,1068.0,800
1990-03-15,1067.0,1050.0,1068.0,1050.0,500
1990-03-16,1067.0,1068.0,1068.0,1060.0,29600
1990-03-17,1075.0,1078.0,1078.0,1074.0,14600
1990-03-19,1086.0,1062.0,1084.0,1062.0,10100
1990-03-20,1125.0,1089.0,1128.0,1089.0,55000
1990-03-21,1121.0,1121.0,1132.0,1121.0,23000
1990-03-22,1118.0,1117.0,1120.0,1117.0,2000
1990-03-23,1107.0,1118.0,1118.0,1091.0,16100
1990-03-24,1089.0,1091.0,1091.0,1088.0,3100
1990-03-26,1089.0,1066.0,1088.0,1066.0,600
1990-03-27,1086.0,1066.0,1084.0,1066.0,3700
1990-03-28,1086.0,1066.0,1084.0,1066.0,13200
1990-03-29,1089.0,1088.0,1095.0,1088.0,21900
1990-03-30,1136.0,1103.0,1136.0,1096.0,47800
1990-03-31,1147.0,1124.0,1153.0,1121.0,78200
1990-04-02,1136.0,1147.0,1147.0,1136.0,20100
1990-04-03,1140.0,1136.0,1140.0,1132.0,32900
1990-04-04,1133.0,1141.0,1144.0,1129.0,70500
1990-04-06,1121.0,1085.0,1121.0,1085.0,3900
1990-04-07,1118.0,1110.0,1131.0,1110.0,1300
1990-04-09,1121.0,1121.0,1121.0,1121.0,200
1990-04-10,1121.0,1121.0,1121.0,1121.0,0
1990-04-11,1151.0,1102.0,1150.0,1102.0,23600
1990-04-12,1157.0,1140.0,1157.0,1140.0,80200
1990-04-13,1205.0,1157.0,1205.0,1157.0,75900
1990-04-14,1190.0,1211.0,1222.0,1176.0,39100
1990-04-16,1147.0,1176.0,1180.0,1143.0,2100
1990-04-17,1144.0,1147.0,1169.0,1143.0,15700
1990-04-18,1121.0,1121.0,1143.0,1121.0,11000
1990-04-19,1121.0,1074.0,1121.0,1074.0,4400
1990-04-20,1086.0,1110.0,1110.0,1084.0,3000
1990-04-21,1097.0,1086.0,1119.0,1046.0,27800
1990-04-23,1097.0,1097.0,1097.0,1097.0,20000
1990-04-24,1097.0,1053.0,1097.0,1053.0,4400
1990-04-25,1053.0,1052.0,1095.0,1052.0,6100
1990-04-26,1017.0,1041.0,1041.0,1015.0,7700
1990-04-27,1049.0,994.0,1048.0,994.0,14100
1990-04-28,1031.0,1039.0,1039.0,1013.0,3700
1990-04-30,996.0,995.0,995.0,995.0,0
1990-05-01,1031.0,1013.0,1032.0,1013.0,25200
