date,close,open,high,low,volume
1990-01-03,2100.0,2030.0,2200.0,2030.0,9600
1990-01-04,2200.0,2170.0,2200.0,2170.0,2200
1990-01-05,2200.0,2250.0,2300.0,2200.0,29100
1990-01-06,2260.0,2250.0,2300.0,2250.0,12700
1990-01-08,2360.0,2300.0,2360.0,2300.0,27200
1990-01-09,2320.0,2360.0,2360.0,2310.0,34100
1990-01-10,2300.0,2330.0,2350.0,2300.0,30600
1990-01-11,2290.0,2300.0,2300.0,2250.0,16000
1990-01-12,2270.0,2270.0,2270.0,2250.0,9500
1990-01-13,2240.0,2270.0,2270.0,2240.0,7800
1990-01-15,2180.0,2200.0,2210.0,2180.0,10700
1990-01-16,2170.0,2150.0,2170.0,2150.0,9600
1990-01-17,2190.0,2190.0,2260.0,2190.0,2600
1990-01-18,2270.0,2190.0,2270.0,2190.0,1300
1990-01-19,2210.0,2220.0,2240.0,2210.0,14400
1990-01-20,2230.0,2200.0,2240.0,2200.0,13900
1990-01-22,2280.0,2310.0,2320.0,2250.0,21900
1990-01-23,2300.0,2300.0,2310.0,2280.0,34000
1990-01-24,2380.0,2330.0,2400.0,2330.0,79800
1990-01-25,2380.0,2330.0,2400.0,2330.0,72200
1990-01-29,2360.0,2380.0,2380.0,2320.0,9600
1990-01-30,2310.0,2310.0,2310.0,2300.0,3800
1990-01-31,2320.0,2300.0,2320.0,2280.0,18900
1990-02-01,2310.0,2300.0,2360.0,2300.0,30300
1990-02-02,2320.0,2300.0,2320.0,2290.0,20100
1990-02-03,2330.0,2330.0,2330.0,2300.0,9400
1990-02-05,2320.0,2330.0,2330.0,2310.0,23700
1990-02-06,2370.0,2380.0,2380.0,2320.0,24800
1990-02-07,2350.0,2400.0,2400.0,2350.0,35000
1990-02-08,2400.0,2350.0,2400.0,2350.0,30100
1990-02-09,2440.0,2400.0,2500.0,2400.0,144400
1990-02-10,2470.0,2440.0,2470.0,2420.0,39100
1990-02-12,2450.0,2470.0,2470.0,2450.0,26800
1990-02-13,2420.0,2450.0,2450.0,2420.0,20200
1990-02-14,2470.0,2400.0,2470.0,2400.0,38700
1990-02-15,2480.0,2400.0,2480.0,2400.0,12600
1990-02-16,2470.0,2470.0,2470.0,2460.0,4300
1990-02-17,2440.0,2460.0,2460.0,2440.0,2500
1990-02-19,2440.0,2420.0,2450.0,2400.0,22700
1990-02-20,2430.0,2440.0,2440.0,2420.0,4500
1990-02-21,2450.0,2430.0,2450.0,2410.0,28100
1990-02-22,2430.0,2440.0,2450.0,2430.0,3500
1990-02-23,2460.0,2440.0,2460.0,2430.0,25600
1990-02-24,2450.0,2450.0,2460.0,2450.0,22400
1990-02-26,2440.0,2450.0,2460.0,2440.0,21300
1990-02-27,2460.0,2470.0,2470.0,2440.0,6300
