date,close,open,high,low,volume
1990-01-03,23500.0,23500.0,23500.0,23500.0,0
1990-01-04,23800.0,23700.0,23800.0,23700.0,1100
1990-01-05,23300.0,23300.0,23300.0,23300.0,140
1990-01-06,23500.0,23500.0,23500.0,23500.0,100
1990-01-08,23500.0,23500.0,23500.0,23000.0,610
1990-01-09,23500.0,23500.0,23500.0,23500.0,280
1990-01-10,24500.0,23600.0,24500.0,23600.0,5550
1990-01-11,24000.0,24800.0,24800.0,24000.0,1420
1990-01-12,24200.0,23500.0,24200.0,23400.0,1240
1990-01-13,23500.0,23800.0,23800.0,23500.0,700
1990-01-15,23500.0,23500.0,23500.0,23500.0,270
1990-01-16,23500.0,23500.0,23500.0,23000.0,270
1990-01-17,23500.0,23000.0,23500.0,23000.0,340
1990-01-18,23000.0,23400.0,23400.0,23000.0,430
1990-01-19,22500.0,23000.0,23000.0,22500.0,570
1990-01-20,22500.0,22400.0,22500.0,22400.0,460
1990-01-22,23000.0,22600.0,23000.0,22500.0,1310
1990-01-23,22600.0,22500.0,23000.0,22500.0,700
1990-01-24,23500.0,22400.0,23500.0,22400.0,6690
1990-01-25,23700.0,23500.0,23700.0,23500.0,2510
1990-01-29,23600.0,23700.0,23700.0,22700.0,2010
1990-01-30,23300.0,23600.0,23600.0,23200.0,1980
1990-01-31,23800.0,23300.0,23800.0,23300.0,3440
1990-02-01,23500.0,23500.0,23500.0,23500.0,1480
1990-02-02,23600.0,23000.0,23600.0,23000.0,610
1990-02-03,23400.0,23400.0,23400.0,23400.0,0
1990-02-05,23000.0,23000.0,23400.0,23000.0,900
1990-02-06,23200.0,23000.0,23200.0,23000.0,1030
1990-02-07,23300.0,23300.0,23800.0,23300.0,3560
1990-02-08,23300.0,23400.0,23400.0,22300.0,910
1990-02-09,23600.0,23300.0,24000.0,23300.0,2970
1990-02-10,23600.0,23500.0,23600.0,23500.0,1420
1990-02-12,24000.0,23700.0,24000.0,23700.0,2040
1990-02-13,24300.0,24000.0,24300.0,24000.0,5760
1990-02-14,24100.0,24300.0,24300.0,23400.0,1670
1990-02-15,24000.0,24000.0,24000.0,24000.0,300
1990-02-16,23800.0,23300.0,23800.0,23300.0,730
1990-02-17,23900.0,23800.0,23900.0,23800.0,210
1990-02-19,23900.0,23900.0,23900.0,23900.0,0
1990-02-20,23800.0,23400.0,23800.0,23400.0,840
1990-02-21,23300.0,23800.0,24000.0,23300.0,470
1990-02-22,23800.0,23300.0,23800.0,23300.0,4610
1990-02-23,23400.0,23400.0,23400.0,23400.0,1340
1990-02-24,23300.0,23200.0,23400.0,23200.0,1390
1990-02-26,23200.0,23000.0,23800.0,23000.0,730
1990-02-27,23500.0,23000.0,23500.0,23000.0,900
1990-02-28,23500.0,23700.0,23700.0,23500.0,600
1990-03-02,2312.0,2350.0,2350.0,2300.0,1300
1990-03-03,2342.0,2320.0,2340.0,2320.0,170
1990-03-05,2262.0,2261.0,2261.0,2261.0,30
1990-03-06,2282.0,2261.0,2321.0,2261.0,480
1990-03-07,2282.0,2271.0,2291.0,2261.0,680
