date,close,open,high,low,volume
1990-01-03,28700.0,28700.0,28700.0,28700.0,0
1990-01-04,28700.0,28700.0,28700.0,28700.0,0
1990-01-05,28700.0,28700.0,28700.0,28700.0,0
1990-01-06,28700.0,28700.0,28700.0,28700.0,0
1990-01-08,28700.0,28700.0,28700.0,28700.0,150
1990-01-09,28900.0,28700.0,28900.0,28700.0,330
1990-01-10,29000.0,29000.0,29000.0,29000.0,30
1990-01-11,30000.0,30000.0,30000.0,30000.0,100
1990-01-12,29000.0,29500.0,29500.0,29000.0,120
1990-01-13,29000.0,29000.0,29000.0,29000.0,0
1990-01-15,29000.0,29000.0,29000.0,29000.0,0
1990-01-16,29000.0,29000.0,29000.0,29000.0,0
1990-01-17,29000.0,29000.0,29000.0,29000.0,0
1990-01-18,29000.0,29000.0,29000.0,29000.0,0
1990-01-19,29000.0,29000.0,29000.0,29000.0,0
1990-01-20,29000.0,29000.0,29000.0,29000.0,0
1990-01-22,28500.0,28500.0,28500.0,28500.0,30
1990-01-23,28000.0,28500.0,28500.0,28000.0,260
1990-01-24,28100.0,28100.0,28100.0,28100.0,10
1990-01-25,28300.0,28300.0,28300.0,28300.0,520
1990-01-29,28800.0,28600.0,28800.0,28600.0,130
1990-01-30,29000.0,29000.0,29000.0,29000.0,30
1990-01-31,28900.0,28900.0,28900.0,28900.0,50
1990-02-01,28900.0,28900.0,28900.0,28900.0,190
1990-02-02,28500.0,28500.0,28500.0,28500.0,20
1990-02-03,28000.0,28000.0,28000.0,28000.0,80
1990-02-05,28000.0,28000.0,28000.0,28000.0,0
1990-02-06,29000.0,28100.0,29000.0,28100.0,70
1990-02-07,28800.0,28900.0,28900.0,28800.0,220
1990-02-08,28800.0,28800.0,28800.0,28800.0,0
1990-02-09,28300.0,28300.0,28300.0,28300.0,50
1990-02-10,28300.0,28300.0,28300.0,28300.0,0
1990-02-12,28300.0,28300.0,28300.0,28300.0,320
1990-02-13,28300.0,28400.0,28400.0,28300.0,160
1990-02-14,28200.0,28200.0,28200.0,28200.0,10
1990-02-15,28200.0,28200.0,28200.0,28200.0,0
1990-02-16,28200.0,28200.0,28200.0,28200.0,120
1990-02-17,28600.0,28300.0,28600.0,28300.0,70
1990-02-19,29000.0,29000.0,29000.0,29000.0,350
1990-02-20,29000.0,29000.0,29000.0,29000.0,340
1990-02-21,29000.0,29000.0,29000.0,29000.0,0
1990-02-22,29000.0,29000.0,29000.0,29000.0,50
1990-02-23,29000.0,29000.0,29000.0,29000.0,0
1990-02-24,29000.0,29000.0,29000.0,29000.0,0
1990-02-26,29000.0,29000.0,29000.0,29000.0,100
1990-02-27,29000.0,29000.0,29000.0,29000.0,0
1990-02-28,29000.0,29000.0,29000.0,29000.0,0
1990-03-02,1161.0,1160.0,1160.0,1160.0,0
1990-03-03,1161.0,1160.0,1160.0,1160.0,0
1990-03-05,1161.0,1160.0,1160.0,1160.0,0
1990-03-06,1161.0,1160.0,1160.0,1160.0,0
1990-03-07,1161.0,1160.0,1160.0,1160.0,0
1990-03-08,1161.0,1160.0,1160.0,1160.0,0
1990-03-09,1157.0,1156.0,1156.0,1156.0,0
1990-03-12,1157.0,1156.0,1156.0,1156.0,0
1990-03-13,1157.0,1156.0,1156.0,1156.0,0
1990-03-14,1149.0,1148.0,1148.0,1148.0,0
1990-03-15,1141.0,1140.0,1140.0,1140.0,0
1990-03-16,1141.0,1140.0,1140.0,1140.0,0
1990-03-17,1141.0,1140.0,1140.0,1140.0,0
1990-03-19,1141.0,1140.0,1140.0,1140.0,0
1990-03-20,1137.0,1136.0,1136.0,1136.0,0
1990-03-21,1137.0,1136.0,1136.0,1136.0,0
1990-03-22,1133.0,1132.0,1132.0,1132.0,0
1990-03-23,1121.0,1120.0,1120.0,1120.0,10
1990-03-24,1121.0,1120.0,1120.0,1120.0,0
1990-03-26,1121.0,1120.0,1120.0,1120.0,0
1990-03-27,1081.0,1080.0,1080.0,1080.0,260
1990-03-28,1081.0,1080.0,1080.0,1080.0,0
1990-03-29,1081.0,1080.0,1080.0,1080.0,30
1990-03-30,1081.0,1080.0,1080.0,1080.0,50
1990-03-31,1101.0,1100.0,1100.0,1100.0,20
1990-04-02,1101.0,1100.0,1100.0,1100.0,0
1990-04-03,1081.0,1080.0,1080.0,1080.0,150
1990-04-04,1085.0,1080.0,1084.0,1080.0,150
1990-04-06,1085.0,1084.0,1084.0,1084.0,0
1990-04-07,1085.0,1084.0,1084.0,1084.0,0
1990-04-09,1097.0,1096.0,1096.0,1096.0,50
1990-04-10,1097.0,1096.0,1096.0,1096.0,0
1990-04-11,1097.0,1096.0,1096.0,1096.0,0
1990-04-12,1097.0,1096.0,1096.0,1096.0,0
1990-04-13,1093.0,1092.0,1092.0,1092.0,0
1990-04-14,1081.0,1080.0,1080.0,1080.0,90
1990-04-16,1081.0,1080.0,1080.0,1080.0,160
1990-04-17,1081.0,1080.0,1080.0,1080.0,0
1990-04-18,1081.0,1080.0,1080.0,1080.0,110
1990-04-19,1081.0,1080.0,1080.0,1080.0,50
1990-04-20,1081.0,1080.0,1080.0,1080.0,0
1990-04-21,1081.0,1080.0,1080.0,1080.0,0
1990-04-23,1081.0,1080.0,1080.0,1080.0,0
1990-04-24,1081.0,1080.0,1080.0,1080.0,0
1990-04-25,1081.0,1080.0,1080.0,1080.0,0
1990-04-26,1073.0,1072.0,1072.0,1072.0,0
1990-04-27,1073.0,1072.0,1072.0,1072.0,0
1990-04-28,1073.0,1072.0,1072.0,1072.0,0
1990-04-30,1073.0,1072.0,1072.0,1072.0,0
1990-05-01,1081.0,1060.0,1080.0,1060.0,100
1990-05-03,1121.0,1080.0,1120.0,1080.0,390
1990-05-04,1121.0,1120.0,1120.0,1120.0,290
1990-05-07,1113.0,1112.0,1112.0,1112.0,0
1990-05-08,1101.0,1100.0,1100.0,1100.0,0
1990-05-09,1101.0,1100.0,1100.0,1100.0,0
1990-05-10,1101.0,1100.0,1100.0,1100.0,0
1990-05-11,1141.0,1140.0,1140.0,1140.0,10
1990-05-12,1101.0,1100.0,1100.0,1100.0,0
1990-05-14,1101.0,1100.0,1100.0,1100.0,0
1990-05-15,1101.0,1100.0,1100.0,1100.0,0
1990-05-16,1121.0,1080.0,1120.0,1080.0,540
1990-05-17,1121.0,1116.0,1120.0,1116.0,400
1990-05-18,1097.0,1096.0,1096.0,1096.0,0
1990-05-19,1057.0,1056.0,1056.0,1056.0,20
1990-05-21,1061.0,1060.0,1060.0,1060.0,200
1990-05-22,1061.0,1060.0,1060.0,1060.0,0
1990-05-23,1057.0,1056.0,1056.0,1056.0,30
1990-05-24,1057.0,1056.0,1056.0,1056.0,40
1990-05-25,1057.0,1056.0,1056.0,1056.0,0
1990-05-26,1081.0,1080.0,1080.0,1080.0,80
