date,close,open,high,low,volume
1990-01-03,22400.0,21000.0,22400.0,21000.0,3410
1990-01-04,23400.0,22800.0,23400.0,22600.0,19830
1990-01-05,23400.0,23200.0,23900.0,23000.0,27080
1990-01-06,23000.0,23400.0,23500.0,23000.0,9100
1990-01-08,23100.0,22800.0,23300.0,22800.0,7220
1990-01-09,23000.0,23100.0,23200.0,23000.0,3900
1990-01-10,22800.0,23000.0,23000.0,22600.0,5420
1990-01-11,22600.0,22500.0,23200.0,22500.0,9790
1990-01-12,22400.0,22600.0,22600.0,22400.0,4350
1990-01-13,22100.0,22200.0,22200.0,22100.0,3320
1990-01-15,21800.0,21900.0,22000.0,21800.0,7470
1990-01-16,21800.0,21600.0,22000.0,21600.0,7650
1990-01-17,21600.0,21800.0,21900.0,21600.0,5040
1990-01-18,21700.0,21600.0,21800.0,21500.0,2280
1990-01-19,21300.0,21700.0,21700.0,21100.0,5090
1990-01-20,21700.0,21100.0,21700.0,21100.0,3540
1990-01-22,22400.0,21900.0,22500.0,21900.0,7200
1990-01-23,22000.0,22300.0,22700.0,22000.0,11570
1990-01-24,22000.0,22100.0,22400.0,22000.0,5650
1990-01-25,21800.0,22000.0,22000.0,21800.0,6810
1990-01-29,21500.0,21600.0,21800.0,21500.0,3130
1990-01-30,21400.0,21300.0,21500.0,21300.0,5680
1990-01-31,21900.0,21100.0,21900.0,20900.0,7560
1990-02-01,21300.0,21300.0,21500.0,21300.0,3440
1990-02-02,21300.0,21000.0,21500.0,21000.0,2290
1990-02-03,21200.0,21100.0,21300.0,21100.0,1870
1990-02-05,21300.0,21400.0,21400.0,21200.0,1040
1990-02-06,21200.0,21300.0,21500.0,21200.0,5210
1990-02-07,20900.0,21500.0,21500.0,20900.0,6470
1990-02-08,20900.0,20900.0,20900.0,20800.0,3540
1990-02-09,20900.0,20800.0,21100.0,20800.0,9230
1990-02-10,20700.0,20800.0,20800.0,20700.0,1120
1990-02-12,20700.0,20500.0,20700.0,20500.0,6190
1990-02-13,20600.0,19900.0,21000.0,19900.0,6600
1990-02-14,20700.0,20600.0,20700.0,20600.0,1190
1990-02-15,20700.0,20500.0,20700.0,20400.0,6010
1990-02-16,20700.0,20700.0,20700.0,20600.0,1930
1990-02-17,20500.0,20700.0,20700.0,20200.0,1710
1990-02-19,20000.0,20000.0,20100.0,20000.0,2970
1990-02-20,20000.0,20100.0,20200.0,20000.0,2880
1990-02-21,19400.0,19800.0,19800.0,19400.0,1680
1990-02-22,19400.0,19000.0,19400.0,18900.0,8120
1990-02-23,19500.0,19600.0,19700.0,19500.0,6790
1990-02-24,19000.0,19500.0,19500.0,19000.0,410
1990-02-26,18900.0,19000.0,19200.0,18900.0,5360
1990-02-27,19700.0,18700.0,19700.0,18700.0,12010
1990-02-28,20500.0,20000.0,20500.0,20000.0,18510
1990-03-02,178680.0,178680.0,178680.0,176187.0,14190
1990-03-03,177848.0,178679.0,182004.0,177848.0,6700
1990-03-05,172032.0,176186.0,176186.0,172031.0,8200
1990-03-06,169538.0,169537.0,172861.0,166212.0,9540
1990-03-07,165383.0,171200.0,171200.0,164551.0,4230
1990-03-08,167045.0,162057.0,172030.0,162057.0,12820
1990-03-09,169538.0,168705.0,169537.0,167043.0,5220
1990-03-12,169538.0,169537.0,172030.0,167875.0,9320
1990-03-13,166213.0,170368.0,170368.0,165382.0,8640
1990-03-14,166213.0,166213.0,168706.0,166213.0,6300
1990-03-15,165383.0,166213.0,166213.0,165382.0,2240
1990-03-16,167045.0,167043.0,167875.0,165381.0,4030
1990-03-17,162889.0,167043.0,167043.0,162888.0,1350
1990-03-19,164552.0,166213.0,166213.0,163719.0,930
1990-03-20,162889.0,164551.0,164551.0,158733.0,2940
1990-03-21,162889.0,163718.0,166212.0,162888.0,10430
1990-03-22,163720.0,162889.0,163719.0,162889.0,3360
1990-03-23,162059.0,162057.0,163719.0,162057.0,1050
1990-03-24,161227.0,162058.0,162058.0,160396.0,3200
1990-03-26,161227.0,163720.0,163720.0,160396.0,2830
1990-03-27,159566.0,161226.0,161226.0,159564.0,1890
1990-03-28,156241.0,159565.0,159565.0,155410.0,4070
1990-03-29,156241.0,156240.0,157903.0,155410.0,11270
1990-03-30,160396.0,157902.0,160395.0,156239.0,4230
1990-03-31,158734.0,162058.0,162058.0,158735.0,6560
1990-04-02,158734.0,158735.0,159565.0,158735.0,1050
1990-04-03,157072.0,157071.0,157071.0,156239.0,2010
1990-04-04,155410.0,155410.0,157903.0,155410.0,1870
1990-04-06,160396.0,153747.0,160395.0,151253.0,4270
1990-04-07,153748.0,155411.0,155411.0,153749.0,1410
1990-04-09,152085.0,153748.0,154578.0,152085.0,5120
1990-04-10,150424.0,149591.0,151254.0,149591.0,2310
1990-04-11,149592.0,149591.0,152085.0,147930.0,3960
1990-04-12,148761.0,152085.0,152085.0,146267.0,3540
1990-04-13,147931.0,148761.0,151254.0,144605.0,9260
1990-04-14,143775.0,147099.0,147099.0,142112.0,2020
1990-04-16,138788.0,141280.0,142942.0,137956.0,5470
1990-04-17,145437.0,138787.0,145436.0,137956.0,10020
1990-04-18,142944.0,143774.0,148760.0,142942.0,11890
1990-04-19,141282.0,143775.0,145437.0,141281.0,4050
1990-04-20,142944.0,141280.0,143774.0,141280.0,6510
1990-04-21,143775.0,142112.0,144605.0,142112.0,1110
1990-04-23,141282.0,143775.0,143775.0,140450.0,1240
1990-04-24,141282.0,141281.0,141281.0,141281.0,3880
1990-04-25,139619.0,141281.0,141281.0,139618.0,1680
1990-04-26,132970.0,139617.0,139617.0,132969.0,3290
1990-04-27,139619.0,135464.0,139618.0,131309.0,6740
1990-04-28,132970.0,137125.0,137125.0,132969.0,970
1990-04-30,126323.0,126323.0,128815.0,126323.0,2980
1990-05-01,132970.0,132969.0,132969.0,132138.0,4770
1990-05-03,139619.0,139618.0,139618.0,139618.0,1580
1990-05-04,146268.0,146267.0,146267.0,146267.0,4980
1990-05-07,147099.0,148762.0,152917.0,147100.0,21260
1990-05-08,147099.0,144606.0,151255.0,144606.0,8020
1990-05-09,142944.0,147929.0,147929.0,142111.0,1520
1990-05-10,140451.0,142112.0,142112.0,137126.0,6300
