date,close,open,high,low,volume
1990-01-03,20100.0,20100.0,20100.0,20100.0,100
1990-01-04,21100.0,20400.0,21100.0,20200.0,7750
1990-01-05,21100.0,21300.0,21400.0,20900.0,3460
1990-01-06,20900.0,21200.0,21200.0,20900.0,2220
1990-01-08,21100.0,21100.0,21100.0,20800.0,9830
1990-01-09,21400.0,21300.0,21400.0,21100.0,19310
1990-01-10,21700.0,21900.0,21900.0,21400.0,10880
1990-01-11,21500.0,21900.0,21900.0,21500.0,6090
1990-01-12,21300.0,21500.0,21500.0,21000.0,5300
1990-01-13,21000.0,21400.0,21400.0,20800.0,2980
1990-01-15,20800.0,21000.0,21000.0,20700.0,1470
1990-01-16,20600.0,20800.0,20800.0,20500.0,7810
1990-01-17,20300.0,20600.0,20600.0,20300.0,2430
1990-01-18,20300.0,20300.0,20400.0,20300.0,3650
1990-01-19,20300.0,20300.0,20300.0,20200.0,720
1990-01-20,20300.0,20200.0,20300.0,20100.0,1520
1990-01-22,21200.0,20500.0,21200.0,20500.0,5550
1990-01-23,20900.0,21400.0,21400.0,20900.0,4380
1990-01-24,21900.0,21200.0,21900.0,21200.0,19190
1990-01-25,22000.0,22400.0,22500.0,22000.0,31850
1990-01-29,22000.0,21900.0,22000.0,21700.0,19100
1990-01-30,22000.0,22200.0,22300.0,21800.0,29890
1990-01-31,21500.0,22000.0,22000.0,21200.0,12700
1990-02-01,21400.0,21500.0,21500.0,21300.0,4500
1990-02-02,21400.0,21400.0,21500.0,21400.0,2450
1990-02-03,21100.0,21400.0,21400.0,21100.0,930
1990-02-05,21200.0,21400.0,21500.0,21200.0,2870
1990-02-06,21500.0,21400.0,21900.0,21200.0,12980
1990-02-07,21700.0,21600.0,21800.0,21600.0,7390
1990-02-08,21900.0,21700.0,21900.0,21500.0,6520
1990-02-09,22300.0,22000.0,22300.0,21900.0,18300
1990-02-10,22300.0,22300.0,22300.0,22200.0,8540
1990-02-12,22300.0,22300.0,22300.0,22000.0,7690
1990-02-13,22300.0,22300.0,22300.0,22000.0,9400
1990-02-14,22300.0,22300.0,22500.0,22100.0,7000
1990-02-15,22300.0,22400.0,22400.0,22200.0,2890
1990-02-16,22600.0,22300.0,23000.0,22200.0,10460
