date,close,open,high,low,volume
1990-01-03,1950.0,1820.0,1950.0,1820.0,1000
1990-01-04,2000.0,1950.0,2020.0,1950.0,7900
1990-01-05,1950.0,1950.0,1950.0,1950.0,3200
1990-01-06,2000.0,2000.0,2000.0,1980.0,3300
1990-01-08,2030.0,2000.0,2030.0,1980.0,26100
1990-01-09,2130.0,2130.0,2130.0,2070.0,46600
1990-01-10,2180.0,2230.0,2230.0,2150.0,59900
1990-01-11,2140.0,2140.0,2140.0,2140.0,0
1990-01-12,2100.0,2050.0,2100.0,2050.0,20100
1990-01-13,2080.0,2080.0,2080.0,2080.0,17800
1990-01-15,2010.0,2000.0,2100.0,2000.0,6200
1990-01-16,2010.0,2030.0,2030.0,2010.0,11600
1990-01-17,2020.0,2010.0,2020.0,2000.0,4500
1990-01-18,2090.0,2020.0,2090.0,2020.0,2200
1990-01-19,2020.0,2060.0,2060.0,2020.0,1700
1990-01-20,2050.0,2020.0,2050.0,2020.0,1600
1990-01-22,2080.0,2080.0,2080.0,2050.0,17500
1990-01-23,2050.0,2000.0,2080.0,2000.0,19200
1990-01-24,2070.0,2070.0,2070.0,2030.0,12800
1990-01-25,2130.0,2100.0,2150.0,2070.0,39600
1990-01-29,2120.0,2120.0,2150.0,2120.0,11000
1990-01-30,2100.0,2080.0,2100.0,2070.0,8200
1990-01-31,2130.0,2080.0,2130.0,2080.0,20100
1990-02-01,2100.0,2100.0,2130.0,2100.0,1900
1990-02-02,2060.0,2110.0,2110.0,2060.0,6000
1990-02-03,2130.0,2130.0,2130.0,2130.0,100
1990-02-05,2100.0,2100.0,2120.0,2100.0,5300
1990-02-06,2190.0,2080.0,2190.0,2080.0,23100
1990-02-07,2200.0,2200.0,2240.0,2190.0,51700
1990-02-08,2250.0,2200.0,2250.0,2160.0,61500
1990-02-09,2280.0,2280.0,2320.0,2230.0,117200
1990-02-10,2260.0,2290.0,2290.0,2260.0,11900
1990-02-12,2250.0,2310.0,2310.0,2250.0,13900
1990-02-13,2330.0,2260.0,2330.0,2260.0,60500
1990-02-14,2400.0,2340.0,2420.0,2340.0,120800
1990-02-15,2350.0,2430.0,2430.0,2330.0,11200
1990-02-16,2310.0,2320.0,2320.0,2300.0,4000
1990-02-17,2370.0,2300.0,2370.0,2300.0,18700
1990-02-19,2360.0,2370.0,2390.0,2360.0,11800
1990-02-20,2340.0,2310.0,2340.0,2310.0,3000
1990-02-21,2340.0,2320.0,2350.0,2320.0,6500
1990-02-22,2330.0,2360.0,2360.0,2320.0,21100
1990-02-23,2390.0,2350.0,2390.0,2340.0,56500
1990-02-24,2370.0,2370.0,2380.0,2320.0,22900
1990-02-26,2360.0,2350.0,2390.0,2350.0,29200
1990-02-27,2450.0,2310.0,2450.0,2310.0,32200
1990-02-28,2380.0,2400.0,2400.0,2370.0,6900
1990-03-02,10275.0,10275.0,10362.0,10275.0,11300
1990-03-03,10016.0,10275.0,10275.0,10017.0,3100
1990-03-05,9714.0,10017.0,10017.0,9628.0,14800
1990-03-06,9757.0,9931.0,9931.0,9758.0,17600
1990-03-07,9757.0,9801.0,9801.0,9758.0,4500
1990-03-08,9757.0,9758.0,9758.0,9758.0,1500
1990-03-09,9670.0,9584.0,9757.0,9584.0,4000
1990-03-12,9584.0,9628.0,9628.0,9584.0,2600
1990-03-13,9497.0,9497.0,9497.0,9497.0,1000
1990-03-14,9497.0,9584.0,9584.0,9282.0,11200
1990-03-15,9541.0,9541.0,9541.0,9498.0,12500
1990-03-16,9714.0,9714.0,9714.0,9714.0,12200
1990-03-17,9627.0,9714.0,9714.0,9627.0,8000
1990-03-19,9800.0,9801.0,9801.0,9542.0,8400
1990-03-20,10103.0,9801.0,10104.0,9758.0,36800
1990-03-21,9930.0,9931.0,9931.0,9931.0,10200
1990-03-22,9930.0,9931.0,9931.0,9888.0,2000
1990-03-23,9843.0,9844.0,9844.0,9844.0,100
1990-03-24,9843.0,9844.0,9844.0,9844.0,0
1990-03-26,9843.0,9844.0,9844.0,9844.0,100
1990-03-27,9757.0,9758.0,9758.0,9758.0,0
1990-03-28,9757.0,9758.0,9758.0,9758.0,500
1990-03-29,9757.0,9412.0,9758.0,9412.0,2800
1990-03-30,10059.0,9757.0,10060.0,9757.0,15000
1990-03-31,10016.0,9974.0,10060.0,9974.0,3500
1990-04-02,9757.0,9758.0,9758.0,9758.0,800
1990-04-03,10059.0,9757.0,10146.0,9757.0,27000
1990-04-04,10016.0,10060.0,10060.0,9628.0,20900
1990-04-06,9757.0,9715.0,9758.0,9715.0,14900
1990-04-07,9757.0,9672.0,9758.0,9672.0,15500
1990-04-09,9714.0,9801.0,9801.0,9714.0,14600
1990-04-10,9497.0,9497.0,9497.0,9497.0,300
1990-04-11,9757.0,9499.0,9758.0,9499.0,16400
1990-04-12,9843.0,9930.0,9930.0,9671.0,21800
1990-04-13,9843.0,9844.0,9844.0,9758.0,5100
1990-04-14,9757.0,9844.0,9844.0,9758.0,5000
1990-04-16,9584.0,9498.0,9584.0,9498.0,9100
1990-04-17,9584.0,9584.0,9584.0,9498.0,5000
1990-04-18,9497.0,9497.0,9497.0,9497.0,0
1990-04-19,9152.0,9283.0,9283.0,9067.0,10900
1990-04-20,9067.0,9067.0,9067.0,9067.0,2000
1990-04-21,9109.0,9067.0,9498.0,9067.0,5500
1990-04-23,9109.0,9110.0,9110.0,9110.0,0
1990-04-24,9024.0,8851.0,9024.0,8851.0,700
1990-04-25,8894.0,8894.0,8894.0,8894.0,1000
1990-04-26,8635.0,8635.0,8635.0,8635.0,500
1990-04-27,8635.0,8203.0,8635.0,8203.0,8700
1990-04-28,8635.0,8635.0,8635.0,8635.0,0
1990-04-30,8203.0,8203.0,8203.0,8203.0,2000
1990-05-01,8419.0,7858.0,8505.0,7858.0,17400
1990-05-03,8764.0,8720.0,8764.0,8677.0,26800
1990-05-04,8894.0,8419.0,8980.0,8419.0,15900
1990-05-07,8548.0,8634.0,8634.0,8548.0,3000
1990-05-08,8203.0,8548.0,8548.0,8203.0,6600
1990-05-09,8333.0,8333.0,8420.0,8333.0,9600
1990-05-10,8203.0,8419.0,8419.0,8203.0,700
1990-05-11,8030.0,8159.0,8159.0,7987.0,3400
1990-05-12,8030.0,8030.0,8030.0,8030.0,0
1990-05-14,7814.0,7814.0,7814.0,7814.0,1000
1990-05-15,7469.0,7470.0,7470.0,7470.0,3600
1990-05-16,7814.0,7598.0,7814.0,7555.0,4600
1990-05-17,7814.0,7987.0,7987.0,7469.0,7300
1990-05-18,7771.0,7512.0,7771.0,7512.0,2700
1990-05-19,7814.0,7642.0,7814.0,7642.0,6200
1990-05-21,7901.0,7814.0,7901.0,7814.0,2600
1990-05-22,8203.0,7901.0,8203.0,7901.0,4500
1990-05-23,8203.0,8203.0,8203.0,8203.0,0
1990-05-24,8203.0,7944.0,8203.0,7944.0,2500
1990-05-25,8203.0,8203.0,8203.0,8203.0,13100
1990-05-26,8203.0,8203.0,8419.0,8203.0,9700
1990-05-28,8117.0,8117.0,8117.0,8117.0,1000
1990-05-29,8117.0,7988.0,8117.0,7988.0,7700
1990-05-30,8419.0,8203.0,8419.0,8203.0,16400
1990-05-31,8376.0,8420.0,8420.0,8290.0,11100
1990-06-01,8376.0,8333.0,8420.0,8333.0,8900
1990-06-02,8376.0,8376.0,8376.0,8376.0,0
1990-06-04,8635.0,8635.0,8635.0,8635.0,100
1990-06-05,8635.0,8635.0,8635.0,8635.0,100
1990-06-07,8376.0,8420.0,8420.0,8203.0,14100
1990-06-08,8290.0,8204.0,8377.0,8204.0,9600
