date,close,open,high,low,volume
1990-01-03,2760.0,2700.0,2760.0,2700.0,200
1990-01-04,2800.0,2800.0,2800.0,2800.0,2000
1990-01-05,2700.0,2710.0,2710.0,2700.0,1600
1990-01-06,2700.0,2800.0,2800.0,2700.0,5600
1990-01-08,2700.0,2700.0,2700.0,2700.0,1300
1990-01-09,2700.0,2700.0,2700.0,2700.0,0
1990-01-10,2800.0,2800.0,2800.0,2800.0,100
1990-01-11,2800.0,2800.0,2800.0,2800.0,0
1990-01-12,2800.0,2800.0,2800.0,2800.0,0
1990-01-13,2750.0,2750.0,2750.0,2750.0,0
1990-01-15,2650.0,2650.0,2650.0,2650.0,1000
1990-01-16,2750.0,2750.0,2750.0,2750.0,100
1990-01-17,2730.0,2730.0,2730.0,2730.0,0
1990-01-18,2730.0,2730.0,2730.0,2730.0,0
1990-01-19,2630.0,2630.0,2630.0,2630.0,10300
1990-01-20,2670.0,2560.0,2670.0,2560.0,300
1990-01-22,2740.0,2690.0,2740.0,2690.0,5000
1990-01-23,2770.0,2740.0,2770.0,2690.0,28600
1990-01-24,2820.0,2800.0,2820.0,2800.0,22300
1990-01-25,2870.0,2840.0,2900.0,2830.0,18400
1990-01-29,2870.0,2840.0,2870.0,2840.0,17500
1990-01-30,2870.0,2800.0,2870.0,2800.0,8600
1990-01-31,2850.0,2850.0,2850.0,2850.0,300
1990-02-01,2880.0,2880.0,2880.0,2880.0,22500
1990-02-02,2850.0,2850.0,2850.0,2850.0,0
1990-02-03,2760.0,2760.0,2760.0,2760.0,100
1990-02-05,2660.0,2840.0,2840.0,2660.0,300
1990-02-06,2710.0,2710.0,2710.0,2710.0,100
1990-02-07,2740.0,2740.0,2740.0,2740.0,2000
1990-02-08,2700.0,2800.0,2800.0,2700.0,200
1990-02-09,2790.0,2700.0,2790.0,2700.0,2300
1990-02-10,2700.0,2830.0,2830.0,2700.0,200
1990-02-12,2700.0,2700.0,2700.0,2700.0,0
1990-02-13,2700.0,2700.0,2700.0,2700.0,300
1990-02-14,2750.0,2750.0,2750.0,2750.0,0
1990-02-15,2750.0,2750.0,2750.0,2750.0,0
1990-02-16,2650.0,2650.0,2650.0,2650.0,100
1990-02-17,2730.0,2670.0,2730.0,2670.0,300
1990-02-19,2780.0,2750.0,2780.0,2750.0,1100
1990-02-20,2790.0,2790.0,2790.0,2790.0,300
1990-02-21,2770.0,2770.0,2770.0,2770.0,0
1990-02-22,2820.0,2770.0,2820.0,2770.0,300
1990-02-23,2820.0,2720.0,2820.0,2720.0,6900
1990-02-24,2770.0,2770.0,2770.0,2770.0,600
1990-02-26,2770.0,2770.0,2770.0,2770.0,0
1990-02-27,2850.0,2850.0,2850.0,2850.0,100
1990-02-28,2900.0,2900.0,2900.0,2900.0,23000
1990-03-02,2866.0,2867.0,2867.0,2867.0,10300
1990-03-03,2818.0,2818.0,2818.0,2818.0,0
1990-03-05,2789.0,2789.0,2789.0,2789.0,0
1990-03-06,2886.0,2886.0,2886.0,2886.0,100
1990-03-07,2886.0,2789.0,2886.0,2789.0,30200
1990-03-08,2857.0,2857.0,2857.0,2857.0,300
1990-03-09,2857.0,2857.0,2857.0,2857.0,0
1990-03-12,2857.0,2857.0,2857.0,2857.0,0
1990-03-13,2857.0,2857.0,2857.0,2857.0,1800
1990-03-14,2857.0,2857.0,2857.0,2857.0,0
1990-03-15,2847.0,2847.0,2847.0,2847.0,0
1990-03-16,2837.0,2838.0,2838.0,2838.0,0
1990-03-17,2837.0,2838.0,2838.0,2838.0,0
1990-03-19,2837.0,2838.0,2838.0,2838.0,2000
1990-03-20,2837.0,2838.0,2838.0,2818.0,9100
1990-03-21,2866.0,2867.0,2867.0,2867.0,4900
1990-03-22,2818.0,2857.0,2857.0,2818.0,3500
1990-03-23,2808.0,2818.0,2818.0,2721.0,1100
1990-03-24,2721.0,2721.0,2721.0,2721.0,100
1990-03-26,2721.0,2721.0,2721.0,2721.0,0
1990-03-27,2633.0,2634.0,2634.0,2634.0,0
1990-03-28,2623.0,2624.0,2624.0,2624.0,500
1990-03-29,2623.0,2624.0,2624.0,2624.0,0
1990-03-30,2672.0,2624.0,2672.0,2624.0,1500
1990-03-31,2633.0,2585.0,2634.0,2585.0,400
1990-04-02,2730.0,2585.0,2731.0,2585.0,600
1990-04-03,2730.0,2731.0,2731.0,2731.0,0
1990-04-04,2740.0,2740.0,2740.0,2740.0,900
1990-04-06,2691.0,2721.0,2721.0,2692.0,1200
1990-04-07,2672.0,2672.0,2672.0,2672.0,1000
1990-04-09,2575.0,2575.0,2575.0,2575.0,1000
1990-04-10,2623.0,2595.0,2624.0,2585.0,1300
1990-04-11,2604.0,2604.0,2604.0,2604.0,1700
1990-04-12,2614.0,2614.0,2614.0,2614.0,0
1990-04-13,2662.0,2663.0,2663.0,2663.0,1400
1990-04-14,2721.0,2721.0,2721.0,2721.0,100
1990-04-16,2701.0,2702.0,2702.0,2702.0,600
1990-04-17,2623.0,2663.0,2663.0,2624.0,1400
1990-04-18,2575.0,2634.0,2634.0,2575.0,5200
1990-04-19,2497.0,2498.0,2498.0,2498.0,500
1990-04-20,2400.0,2400.0,2400.0,2400.0,2200
1990-04-21,2400.0,2400.0,2400.0,2400.0,0
1990-04-23,2429.0,2430.0,2430.0,2430.0,700
1990-04-24,2448.0,2430.0,2449.0,2430.0,1400
1990-04-25,2429.0,2430.0,2430.0,2430.0,4000
1990-04-26,2342.0,2430.0,2430.0,2342.0,200
1990-04-27,2342.0,2342.0,2342.0,2342.0,0
1990-04-28,2342.0,2342.0,2342.0,2342.0,0
1990-04-30,2244.0,2245.0,2245.0,2245.0,0
1990-05-01,2332.0,2332.0,2332.0,2332.0,1200
1990-05-03,2429.0,2430.0,2430.0,2430.0,100
1990-05-04,2429.0,2430.0,2527.0,2430.0,1900
1990-05-07,2380.0,2332.0,2381.0,2332.0,1100
1990-05-08,2332.0,2332.0,2332.0,2332.0,600
1990-05-09,2429.0,2332.0,2430.0,2332.0,1800
1990-05-10,2429.0,2430.0,2430.0,2430.0,0
1990-05-11,2380.0,2381.0,2381.0,2381.0,0
1990-05-12,2312.0,2313.0,2313.0,2313.0,0
1990-05-14,2264.0,2264.0,2264.0,2264.0,0
1990-05-15,2235.0,2235.0,2235.0,2235.0,0
1990-05-16,2332.0,2332.0,2332.0,2332.0,3300
1990-05-17,2332.0,2332.0,2420.0,2332.0,2200
1990-05-18,2283.0,2284.0,2284.0,2284.0,1000
1990-05-19,2312.0,2313.0,2313.0,2313.0,900
1990-05-21,2312.0,2313.0,2313.0,2313.0,0
1990-05-22,2332.0,2332.0,2332.0,2332.0,1800
1990-05-23,2332.0,2332.0,2332.0,2332.0,4300
1990-05-24,2342.0,2342.0,2342.0,2342.0,0
1990-05-25,2361.0,2371.0,2371.0,2361.0,1100
1990-05-26,2361.0,2361.0,2361.0,2361.0,0
1990-05-28,2361.0,2361.0,2361.0,2361.0,0
1990-05-29,2361.0,2361.0,2361.0,2361.0,0
1990-05-30,2380.0,2332.0,2381.0,2332.0,1500
1990-05-31,2380.0,2381.0,2381.0,2381.0,0
1990-06-01,2380.0,2381.0,2381.0,2381.0,400
1990-06-02,2380.0,2430.0,2430.0,2381.0,300
1990-06-04,2380.0,2381.0,2381.0,2381.0,0
1990-06-05,2380.0,2381.0,2381.0,2381.0,0
1990-06-07,2380.0,2381.0,2381.0,2381.0,100
1990-06-08,2380.0,2381.0,2381.0,2381.0,0
1990-06-09,2380.0,2381.0,2381.0,2381.0,0
1990-06-11,2293.0,2293.0,2293.0,2293.0,1000
1990-06-12,2390.0,2391.0,2391.0,2391.0,200
1990-06-13,2332.0,2332.0,2332.0,2332.0,0
1990-06-14,2322.0,2323.0,2323.0,2323.0,100
1990-06-15,2235.0,2235.0,2235.0,2235.0,2900
1990-06-16,2235.0,2235.0,2235.0,2235.0,1200
1990-06-18,2332.0,2255.0,2332.0,2255.0,1300
1990-06-19,2322.0,2323.0,2323.0,2323.0,0
1990-06-20,2419.0,2420.0,2420.0,2420.0,100
1990-06-21,2351.0,2352.0,2352.0,2352.0,0
1990-06-22,2351.0,2352.0,2352.0,2352.0,0
1990-06-23,2351.0,2352.0,2352.0,2352.0,0
1990-06-25,2361.0,2361.0,2361.0,2361.0,3300
1990-06-26,2361.0,2361.0,2361.0,2361.0,0
1990-06-27,2361.0,2361.0,2361.0,2361.0,0
1990-06-28,2361.0,2361.0,2361.0,2361.0,0
1990-06-29,2361.0,2361.0,2361.0,2361.0,0
1990-06-30,2361.0,2361.0,2361.0,2361.0,0
1990-07-02,2361.0,2361.0,2361.0,2361.0,0
1990-07-03,2448.0,2361.0,2459.0,2361.0,6600
1990-07-04,2439.0,2439.0,2439.0,2439.0,0
1990-07-05,2419.0,2420.0,2420.0,2420.0,0
1990-07-06,2410.0,2410.0,2410.0,2410.0,0
1990-07-07,2410.0,2410.0,2410.0,2410.0,0
1990-07-09,2400.0,2400.0,2400.0,2400.0,0
1990-07-10,2380.0,2381.0,2381.0,2381.0,0
1990-07-11,2332.0,2332.0,2332.0,2332.0,0
1990-07-12,2235.0,2235.0,2235.0,2235.0,0
1990-07-13,2186.0,2187.0,2187.0,2187.0,0
1990-07-14,2283.0,2284.0,2284.0,2284.0,100
1990-07-16,2244.0,2245.0,2245.0,2245.0,0
1990-07-18,2283.0,2206.0,2284.0,2206.0,1500
1990-07-19,2235.0,2235.0,2235.0,2235.0,2000
1990-07-20,2235.0,2235.0,2235.0,2235.0,0
1990-07-21,2235.0,2235.0,2235.0,2235.0,0
1990-07-23,2235.0,2235.0,2235.0,2235.0,100
1990-07-24,2137.0,2138.0,2138.0,2138.0,500
1990-07-25,2089.0,2089.0,2089.0,2089.0,1100
1990-07-26,2060.0,2060.0,2060.0,2060.0,0
1990-07-27,2060.0,2060.0,2060.0,2060.0,0
1990-07-28,2060.0,2060.0,2060.0,2060.0,0
1990-07-30,2040.0,2041.0,2041.0,2041.0,1000
1990-07-31,2040.0,2041.0,2041.0,2041.0,0
1990-08-01,2060.0,2060.0,2128.0,2060.0,2900
1990-08-02,2060.0,2060.0,2060.0,2060.0,0
1990-08-03,2089.0,2089.0,2089.0,2089.0,2300
1990-08-04,2089.0,2089.0,2089.0,2089.0,0
1990-08-06,2089.0,2089.0,2089.0,2089.0,0
1990-08-07,2089.0,2051.0,2089.0,2051.0,1300
1990-08-08,2089.0,2089.0,2089.0,2089.0,0
