date,close,open,high,low,volume
1990-01-03,2330.0,2230.0,2330.0,2230.0,22600
1990-01-04,2350.0,2350.0,2370.0,2340.0,76700
1990-01-05,2290.0,2350.0,2350.0,2250.0,3200
1990-01-06,2270.0,2210.0,2290.0,2210.0,7500
1990-01-08,2260.0,2270.0,2280.0,2240.0,8300
1990-01-09,2270.0,2260.0,2300.0,2250.0,27800
1990-01-10,2250.0,2270.0,2270.0,2250.0,19500
1990-01-11,2270.0,2250.0,2290.0,2240.0,68400
1990-01-12,2310.0,2250.0,2320.0,2200.0,89800
1990-01-13,2330.0,2300.0,2330.0,2300.0,136200
1990-01-15,2300.0,2300.0,2330.0,2270.0,103500
1990-01-16,2250.0,2300.0,2300.0,2250.0,33000
1990-01-17,2200.0,2230.0,2230.0,2200.0,10400
1990-01-18,2200.0,2100.0,2250.0,2100.0,16100
1990-01-19,2200.0,2200.0,2200.0,2200.0,1000
1990-01-20,2240.0,2150.0,2240.0,2150.0,2400
1990-01-22,2330.0,2280.0,2340.0,2260.0,147400
1990-01-23,2300.0,2300.0,2330.0,2260.0,29500
1990-01-24,2380.0,2260.0,2380.0,2260.0,169300
1990-01-25,2340.0,2400.0,2400.0,2320.0,172700
1990-01-29,2330.0,2360.0,2360.0,2330.0,15000
1990-01-30,2330.0,2340.0,2340.0,2320.0,89500
1990-01-31,2320.0,2330.0,2330.0,2320.0,37800
1990-02-01,2260.0,2300.0,2300.0,2260.0,6500
1990-02-02,2310.0,2260.0,2360.0,2250.0,26200
1990-02-03,2260.0,2260.0,2260.0,2260.0,700
1990-02-05,2260.0,2260.0,2300.0,2260.0,3000
1990-02-06,2290.0,2270.0,2290.0,2270.0,11500
1990-02-07,2280.0,2290.0,2290.0,2280.0,6500
1990-02-08,2260.0,2280.0,2280.0,2260.0,22700
1990-02-09,2260.0,2260.0,2310.0,2260.0,42700
1990-02-10,2280.0,2260.0,2280.0,2260.0,14700
1990-02-12,2290.0,2260.0,2290.0,2260.0,10300
1990-02-13,2260.0,2260.0,2260.0,2260.0,2000
1990-02-14,2280.0,2260.0,2280.0,2260.0,10100
1990-02-15,2280.0,2280.0,2280.0,2280.0,200
1990-02-16,2280.0,2270.0,2280.0,2270.0,7300
1990-02-17,2260.0,2260.0,2260.0,2260.0,4500
1990-02-19,2250.0,2250.0,2250.0,2250.0,0
1990-02-20,2280.0,2240.0,2280.0,2240.0,14700
1990-02-21,2280.0,2280.0,2280.0,2260.0,9100
1990-02-22,2260.0,2260.0,2260.0,2250.0,15700
1990-02-23,2280.0,2250.0,2280.0,2250.0,12700
1990-02-24,2330.0,2300.0,2330.0,2280.0,137800
1990-02-26,2300.0,2310.0,2310.0,2300.0,15200
1990-02-27,2320.0,2270.0,2320.0,2270.0,19600
1990-02-28,2320.0,2330.0,2340.0,2300.0,65600
1990-03-02,116253.0,116254.0,117256.0,113748.0,63900
1990-03-03,115251.0,116755.0,116755.0,115252.0,5500
1990-03-05,113247.0,113247.0,113247.0,113247.0,400
1990-03-06,111743.0,112245.0,112746.0,111744.0,11800
1990-03-07,113247.0,112245.0,114751.0,112245.0,7300
1990-03-08,114249.0,113748.0,114249.0,110241.0,14000
1990-03-09,110741.0,110742.0,110742.0,110742.0,500
1990-03-12,112245.0,112746.0,112746.0,111744.0,4400
1990-03-13,110240.0,112245.0,112245.0,110241.0,18900
1990-03-14,110240.0,110241.0,110742.0,110241.0,7500
1990-03-15,110240.0,110241.0,110241.0,110241.0,2000
1990-03-16,110240.0,111243.0,111243.0,109740.0,4300
1990-03-17,109739.0,110241.0,110241.0,109740.0,2600
1990-03-19,109739.0,110241.0,110241.0,109238.0,11100
1990-03-20,111242.0,109740.0,111243.0,109740.0,16100
1990-03-21,112746.0,112746.0,112746.0,112746.0,1000
1990-03-22,112245.0,112245.0,112245.0,112245.0,0
1990-03-23,109739.0,109238.0,109740.0,109238.0,1600
1990-03-24,108737.0,112245.0,112245.0,108737.0,7600
1990-03-26,108737.0,108737.0,108737.0,108737.0,900
1990-03-27,108236.0,108737.0,108737.0,108236.0,13100
1990-03-28,110240.0,107735.0,110241.0,107735.0,7900
1990-03-29,110240.0,108236.0,110241.0,108236.0,1100
1990-03-30,111743.0,110241.0,112245.0,110241.0,34700
1990-03-31,112245.0,112746.0,112746.0,108737.0,26300
1990-04-02,113247.0,111744.0,113247.0,111744.0,19800
1990-04-03,116754.0,112245.0,116755.0,112245.0,127900
1990-04-04,118258.0,116755.0,119260.0,114249.0,312000
1990-04-06,119260.0,119761.0,121265.0,118759.0,394200
1990-04-07,117757.0,119260.0,119260.0,117757.0,11400
1990-04-09,114750.0,115252.0,115753.0,114249.0,26400
1990-04-10,114249.0,114751.0,114751.0,111243.0,4400
1990-04-11,112746.0,110742.0,113748.0,110742.0,28900
1990-04-12,113748.0,113247.0,114249.0,111744.0,16600
1990-04-13,113748.0,110241.0,113748.0,110241.0,7300
1990-04-14,113748.0,113748.0,113748.0,113748.0,3000
1990-04-16,111743.0,113748.0,113748.0,111744.0,18100
1990-04-17,111242.0,110241.0,111243.0,110241.0,30700
1990-04-18,108236.0,114249.0,114249.0,108236.0,9500
1990-04-19,105229.0,108236.0,108737.0,105230.0,20100
1990-04-20,105229.0,100219.0,105230.0,100219.0,28100
1990-04-21,105229.0,105230.0,105230.0,105230.0,10900
1990-04-23,107735.0,105230.0,107735.0,105230.0,62200
1990-04-24,106733.0,107735.0,107735.0,106733.0,3500
1990-04-25,103726.0,104228.0,104228.0,103726.0,6500
1990-04-26,98715.0,103726.0,103726.0,98716.0,6600
1990-04-27,101722.0,98716.0,101722.0,95208.0,21400
1990-04-28,96711.0,96711.0,96711.0,96711.0,1000
1990-04-30,92702.0,94206.0,94206.0,92702.0,2600
1990-05-01,96711.0,96210.0,96711.0,94206.0,8000
1990-05-03,100719.0,99217.0,100720.0,98716.0,3400
1990-05-04,105730.0,105230.0,105731.0,102223.0,35400
1990-05-07,107735.0,105230.0,108737.0,105230.0,40700
1990-05-08,106231.0,106232.0,106232.0,106232.0,2000
1990-05-09,105229.0,105230.0,105230.0,105230.0,0
1990-05-10,103726.0,103726.0,103726.0,103726.0,0
1990-05-11,100218.0,100219.0,100219.0,100219.0,0
1990-05-12,100218.0,102724.0,102724.0,95709.0,1500
1990-05-14,99216.0,99217.0,99217.0,99217.0,3000
1990-05-15,95207.0,95208.0,95208.0,95208.0,6100
1990-05-16,99216.0,96711.0,99217.0,96210.0,33800
1990-05-17,100218.0,100219.0,101722.0,99217.0,70200
1990-05-18,95207.0,97713.0,97713.0,95208.0,4400
1990-05-19,98214.0,97713.0,99217.0,97713.0,20400
1990-05-21,101220.0,100219.0,101221.0,98214.0,21900
1990-05-22,101722.0,101221.0,102724.0,101221.0,6000
1990-05-23,101722.0,101722.0,102724.0,101722.0,6800
1990-05-24,106733.0,101722.0,106733.0,100720.0,104300
1990-05-25,105229.0,106733.0,106733.0,105230.0,61500
1990-05-26,104227.0,106232.0,106232.0,104228.0,6900
1990-05-28,102724.0,104228.0,104228.0,102724.0,4400
1990-05-29,102724.0,105230.0,105230.0,101722.0,23800
1990-05-30,105229.0,101722.0,105731.0,101722.0,33900
1990-05-31,106733.0,105230.0,107735.0,105230.0,49400
1990-06-01,105730.0,106733.0,107735.0,105731.0,3200
1990-06-02,105229.0,105230.0,105230.0,105230.0,0
1990-06-04,105229.0,104228.0,105230.0,102724.0,14400
1990-06-05,104227.0,106232.0,106232.0,104228.0,3400
1990-06-07,103726.0,104228.0,104228.0,102223.0,24100
1990-06-08,103726.0,102724.0,103726.0,102724.0,12900
1990-06-09,103225.0,102724.0,103225.0,102724.0,19300
1990-06-11,101722.0,102223.0,102223.0,101722.0,11200
1990-06-12,105229.0,105230.0,105230.0,105230.0,100
1990-06-13,104728.0,100720.0,104729.0,100720.0,600
1990-06-14,102223.0,102223.0,102223.0,102223.0,1000
1990-06-15,101220.0,101221.0,101722.0,101221.0,8300
1990-06-16,100218.0,100219.0,100219.0,100219.0,1200
1990-06-18,99216.0,99718.0,99718.0,99217.0,12100
1990-06-19,99216.0,96210.0,101221.0,96210.0,4100
1990-06-20,97713.0,99217.0,99217.0,97713.0,6100
1990-06-21,100218.0,100219.0,100219.0,100219.0,100
1990-06-22,100218.0,100219.0,100219.0,97212.0,3400
1990-06-23,100218.0,100219.0,100219.0,100219.0,100
1990-06-25,99216.0,99217.0,99217.0,99217.0,100
1990-06-26,99216.0,95709.0,99217.0,95709.0,3300
1990-06-27,97713.0,97713.0,97713.0,97713.0,400
1990-06-28,99216.0,99217.0,99217.0,99217.0,100
1990-06-29,97212.0,97212.0,97212.0,97212.0,0
1990-06-30,95207.0,95208.0,95208.0,95208.0,100
1990-07-02,94706.0,95208.0,95208.0,94707.0,900
1990-07-03,98715.0,98716.0,98716.0,96711.0,15000
1990-07-04,99717.0,98716.0,99718.0,98716.0,12200
1990-07-05,100218.0,98716.0,102724.0,95709.0,103000
1990-07-06,99216.0,100219.0,100219.0,98214.0,26200
1990-07-07,98715.0,98716.0,98716.0,98716.0,0
1990-07-09,97713.0,98214.0,98214.0,95208.0,10900
1990-07-10,97212.0,97713.0,97713.0,97212.0,2400
1990-07-11,96711.0,96711.0,96711.0,96711.0,500
1990-07-12,94706.0,94707.0,94707.0,94707.0,400
1990-07-13,90698.0,90698.0,90698.0,90698.0,100
1990-07-14,89695.0,90197.0,90197.0,89696.0,10200
1990-07-16,89695.0,85687.0,93203.0,85687.0,2400
1990-07-18,90196.0,89696.0,91700.0,89696.0,40300
1990-07-19,90196.0,89696.0,90197.0,89696.0,1100
1990-07-20,87691.0,88193.0,88193.0,86188.0,8200
1990-07-21,87691.0,87691.0,87691.0,87691.0,0
1990-07-23,84183.0,87190.0,87190.0,84184.0,6200
1990-07-24,81678.0,82680.0,82680.0,80175.0,5300
1990-07-25,80175.0,80175.0,82680.0,80175.0,7500
1990-07-26,79673.0,79674.0,79674.0,79674.0,3100
1990-07-27,77669.0,78672.0,78672.0,76166.0,16400
1990-07-28,80175.0,80175.0,80175.0,76166.0,1700
1990-07-30,78170.0,79173.0,79173.0,78171.0,1900
1990-07-31,77669.0,76166.0,77670.0,76166.0,11800
1990-08-01,80175.0,77670.0,80175.0,77670.0,21000
1990-08-02,79673.0,80175.0,81177.0,79674.0,4800
