date,close,open,high,low,volume
1990-01-03,23400.0,22800.0,23400.0,22500.0,10430
1990-01-04,23800.0,23500.0,24200.0,23400.0,16840
1990-01-05,23200.0,23600.0,23600.0,23200.0,6930
1990-01-06,23100.0,23000.0,23200.0,22900.0,5930
1990-01-08,23500.0,23100.0,23500.0,22900.0,8280
1990-01-09,23600.0,23500.0,23600.0,23000.0,13090
1990-01-10,23400.0,23800.0,23800.0,23000.0,8880
1990-01-11,23000.0,23200.0,23300.0,23000.0,5160
1990-01-12,23000.0,22700.0,23000.0,22600.0,8370
1990-01-13,22700.0,23000.0,23000.0,22700.0,5310
1990-01-15,22300.0,22700.0,22700.0,22300.0,6880
1990-01-16,22300.0,22300.0,22300.0,21900.0,10290
1990-01-17,21900.0,22300.0,22300.0,21900.0,2030
1990-01-18,22000.0,22100.0,22200.0,22000.0,8530
1990-01-19,21700.0,22100.0,22200.0,21700.0,3200
1990-01-20,22000.0,21500.0,22200.0,21500.0,6350
1990-01-22,22500.0,22500.0,22700.0,22200.0,14180
1990-01-23,22400.0,22400.0,22800.0,22400.0,14840
1990-01-24,22900.0,22700.0,22900.0,22500.0,34780
1990-01-25,23300.0,23000.0,23500.0,22900.0,61070
1990-01-29,23000.0,23300.0,23300.0,22900.0,16790
1990-01-30,22700.0,23000.0,23000.0,22500.0,9910
1990-01-31,22900.0,22500.0,22900.0,22100.0,18280
1990-02-01,22400.0,22800.0,22800.0,22400.0,4110
1990-02-02,22100.0,21900.0,22500.0,21900.0,7370
1990-02-03,22000.0,21900.0,22200.0,21900.0,3800
1990-02-05,22400.0,22000.0,22400.0,22000.0,15670
1990-02-06,23300.0,22600.0,23300.0,22500.0,32450
1990-02-07,23200.0,23300.0,23700.0,23100.0,104800
1990-02-08,23900.0,23600.0,23900.0,23100.0,64490
1990-02-09,23700.0,23900.0,24100.0,23700.0,67430
1990-02-10,23700.0,23500.0,23700.0,23400.0,21540
1990-02-12,23400.0,23100.0,23900.0,23100.0,17830
1990-02-13,23400.0,23400.0,23600.0,23300.0,15530
1990-02-14,23300.0,23600.0,23700.0,23200.0,14360
1990-02-15,23500.0,23500.0,23700.0,23400.0,19250
1990-02-16,23600.0,23500.0,23700.0,23500.0,15000
1990-02-17,23500.0,23500.0,23600.0,23500.0,6560
1990-02-19,23500.0,23200.0,23800.0,23200.0,27450
1990-02-20,23300.0,23600.0,23800.0,23200.0,12090
1990-02-21,23100.0,23100.0,23400.0,23000.0,7090
1990-02-22,23000.0,22900.0,23400.0,22900.0,17420
1990-02-23,23000.0,23300.0,23400.0,23000.0,25510
1990-02-24,23100.0,23000.0,23100.0,23000.0,8960
1990-02-26,23000.0,23200.0,23200.0,23000.0,8300
1990-02-27,23700.0,23000.0,23700.0,22800.0,14230
1990-02-28,23400.0,23100.0,23600.0,23100.0,12740
1990-03-02,226446.0,229348.0,233219.0,226445.0,24140
1990-03-03,226446.0,228380.0,228380.0,224509.0,8020
1990-03-05,223543.0,224509.0,226444.0,223541.0,5660
1990-03-06,223543.0,222574.0,226444.0,222574.0,5730
1990-03-07,221607.0,223541.0,223541.0,219670.0,5960
