date,close,open,high,low,volume
1990-01-03,2000.0,2000.0,2000.0,2000.0,12100
1990-01-04,2100.0,2100.0,2100.0,2070.0,24100
1990-01-05,2160.0,2120.0,2160.0,2120.0,58200
1990-01-06,2260.0,2230.0,2260.0,2220.0,40300
1990-01-08,2300.0,2260.0,2300.0,2220.0,52100
1990-01-09,2250.0,2250.0,2250.0,2250.0,0
1990-01-10,2200.0,2200.0,2200.0,2200.0,1400
1990-01-11,2180.0,2180.0,2180.0,2180.0,0
1990-01-12,2210.0,2190.0,2210.0,2190.0,18000
1990-01-13,2240.0,2210.0,2240.0,2210.0,71600
1990-01-15,2250.0,2200.0,2290.0,2200.0,37900
1990-01-16,2200.0,2200.0,2200.0,2200.0,13000
1990-01-17,2180.0,2190.0,2190.0,2180.0,2700
1990-01-18,2150.0,2150.0,2150.0,2150.0,600
1990-01-19,2130.0,2130.0,2130.0,2130.0,2000
1990-01-20,2110.0,2110.0,2110.0,2110.0,7000
1990-01-22,2200.0,2210.0,2210.0,2100.0,15700
1990-01-23,2100.0,2200.0,2200.0,2100.0,15600
1990-01-24,2150.0,2150.0,2160.0,2150.0,8100
1990-01-25,2190.0,2190.0,2200.0,2190.0,16300
1990-01-29,2250.0,2200.0,2290.0,2190.0,243100
1990-01-30,2350.0,2280.0,2350.0,2280.0,255800
1990-01-31,2300.0,2350.0,2430.0,2250.0,437900
1990-02-01,2250.0,2250.0,2280.0,2250.0,52500
1990-02-02,2230.0,2240.0,2240.0,2200.0,39600
1990-02-03,2130.0,2200.0,2200.0,2130.0,18200
1990-02-05,2210.0,2160.0,2210.0,2160.0,20100
1990-02-06,2240.0,2270.0,2270.0,2220.0,64600
1990-02-07,2200.0,2230.0,2230.0,2200.0,6600
1990-02-08,2240.0,2240.0,2240.0,2240.0,3000
1990-02-09,2240.0,2250.0,2260.0,2230.0,77700
1990-02-10,2230.0,2230.0,2230.0,2230.0,0
1990-02-12,2200.0,2200.0,2200.0,2200.0,1900
1990-02-13,2180.0,2200.0,2200.0,2180.0,7600
1990-02-14,2190.0,2180.0,2190.0,2180.0,18600
1990-02-15,2200.0,2190.0,2230.0,2190.0,20000
1990-02-16,2220.0,2200.0,2230.0,2190.0,9500
1990-02-17,2210.0,2210.0,2210.0,2210.0,5000
1990-02-19,2220.0,2200.0,2220.0,2200.0,21200
1990-02-20,2190.0,2220.0,2220.0,2190.0,10600
1990-02-21,2190.0,2180.0,2200.0,2150.0,6000
1990-02-22,2190.0,2130.0,2200.0,2130.0,13900
1990-02-23,2230.0,2200.0,2250.0,2200.0,55100
1990-02-24,2250.0,2230.0,2250.0,2200.0,24800
1990-02-26,2200.0,2220.0,2220.0,2200.0,2400
1990-02-27,2250.0,2160.0,2300.0,2160.0,9600
1990-02-28,2210.0,2180.0,2210.0,2180.0,6800
1990-03-02,10481.0,10298.0,10481.0,10298.0,2000
1990-03-03,10248.0,10248.0,10248.0,10248.0,3300
1990-03-05,10062.0,10022.0,10068.0,10022.0,5200
1990-03-06,10016.0,10021.0,10066.0,10021.0,9500
1990-03-07,10155.0,10017.0,10155.0,10017.0,3300
1990-03-08,10016.0,10112.0,10158.0,10021.0,8500
1990-03-09,10016.0,10021.0,10021.0,10021.0,5000
1990-03-12,9922.0,10020.0,10020.0,9928.0,6900
1990-03-13,9829.0,9829.0,9829.0,9829.0,2700
1990-03-14,9876.0,9783.0,9874.0,9645.0,62200
1990-03-15,10016.0,9877.0,10021.0,9877.0,5000
1990-03-16,10016.0,10021.0,10021.0,10021.0,0
1990-03-17,9922.0,9928.0,9928.0,9928.0,1000
1990-03-19,9829.0,9783.0,9829.0,9783.0,3600
1990-03-20,9783.0,9781.0,9781.0,9735.0,11400
1990-03-21,9736.0,9827.0,9827.0,9736.0,9800
1990-03-22,9689.0,9741.0,9741.0,9696.0,3200
1990-03-23,9783.0,9781.0,9781.0,9781.0,7000
1990-03-24,9643.0,9648.0,9648.0,9648.0,300
1990-03-26,9596.0,9602.0,9602.0,9602.0,0
1990-03-27,9689.0,9787.0,9787.0,9696.0,1600
1990-03-28,9689.0,9696.0,9696.0,9696.0,100
1990-03-29,9503.0,9555.0,9555.0,9503.0,6000
1990-03-30,9922.0,9503.0,9928.0,9503.0,18900
1990-03-31,9783.0,9781.0,9781.0,9781.0,0
1990-04-02,9689.0,9506.0,9696.0,9506.0,500
1990-04-03,9969.0,9601.0,9974.0,9601.0,2800
1990-04-04,9969.0,9974.0,9974.0,9974.0,4700
1990-04-06,9736.0,9736.0,9736.0,9736.0,1900
1990-04-07,9503.0,9503.0,9503.0,9503.0,2000
1990-04-09,9363.0,9409.0,9409.0,9317.0,14500
1990-04-10,9550.0,9365.0,9555.0,9319.0,24100
1990-04-11,9550.0,9555.0,9555.0,9555.0,0
1990-04-12,9643.0,9648.0,9648.0,9648.0,200
1990-04-13,9783.0,9644.0,9781.0,9644.0,10500
1990-04-14,9736.0,9827.0,9827.0,9736.0,7700
1990-04-16,9317.0,9649.0,9649.0,9322.0,1400
1990-04-17,9317.0,9322.0,9322.0,9322.0,7400
1990-04-18,9410.0,9408.0,9408.0,9408.0,2000
1990-04-19,9270.0,9322.0,9322.0,9276.0,2200
1990-04-20,9317.0,9276.0,9322.0,9086.0,19500
1990-04-21,9410.0,9408.0,9408.0,9408.0,2000
1990-04-23,9410.0,9408.0,9408.0,9408.0,0
1990-04-24,9224.0,9320.0,9320.0,9229.0,800
1990-04-25,9177.0,9183.0,9183.0,9183.0,0
1990-04-26,8804.0,8810.0,8810.0,8810.0,0
1990-04-27,8711.0,8855.0,8855.0,8436.0,16200
1990-04-28,8339.0,8337.0,8337.0,8337.0,0
1990-04-30,7966.0,7964.0,7964.0,7964.0,0
1990-05-01,8245.0,8108.0,8245.0,7964.0,23600
1990-05-03,8618.0,8618.0,8618.0,8618.0,12900
1990-05-04,8804.0,8948.0,8948.0,8810.0,900
1990-05-07,8478.0,8759.0,8759.0,8484.0,1000
1990-05-08,8292.0,8290.0,8290.0,8290.0,12000
1990-05-09,8478.0,8157.0,8484.0,8066.0,15500
1990-05-10,8385.0,8385.0,8385.0,8385.0,2100
1990-05-11,8385.0,8385.0,8385.0,8385.0,0
1990-05-12,8385.0,8385.0,8385.0,8385.0,0
1990-05-14,8152.0,8158.0,8158.0,8158.0,2800
1990-05-15,8106.0,7921.0,8111.0,7921.0,5000
1990-05-16,8478.0,7922.0,8484.0,7922.0,36800
1990-05-17,8385.0,8483.0,8483.0,8156.0,17200
1990-05-18,8385.0,8293.0,8385.0,8293.0,3000
1990-05-19,8385.0,8293.0,8385.0,8293.0,19100
1990-05-21,8385.0,8385.0,8385.0,8385.0,2000
1990-05-22,8711.0,8384.0,8711.0,8384.0,51400
1990-05-23,8618.0,8572.0,8709.0,8480.0,22700
1990-05-24,8711.0,8528.0,8711.0,8528.0,6500
1990-05-25,8665.0,8663.0,8755.0,8617.0,23100
1990-05-26,8618.0,8618.0,8618.0,8618.0,3300
1990-05-28,8618.0,8526.0,8618.0,8526.0,700
1990-05-29,8758.0,8619.0,8756.0,8482.0,25200
1990-05-30,8851.0,8620.0,8856.0,8620.0,11500
1990-05-31,8758.0,8756.0,8854.0,8756.0,16700
1990-06-01,8618.0,8663.0,8709.0,8618.0,11500
1990-06-02,8571.0,8577.0,8577.0,8486.0,3500
1990-06-04,8851.0,8666.0,8856.0,8666.0,16500
1990-06-05,8851.0,8948.0,8948.0,8810.0,18000
1990-06-07,8711.0,8711.0,8711.0,8711.0,0
1990-06-08,8804.0,8712.0,8810.0,8621.0,30000
1990-06-09,8711.0,8711.0,8711.0,8711.0,4700
1990-06-11,8851.0,8856.0,8856.0,8856.0,100
1990-06-12,8711.0,8711.0,8711.0,8711.0,1000
1990-06-13,8711.0,8711.0,8711.0,8711.0,0
1990-06-14,8618.0,8618.0,8618.0,8618.0,0
1990-06-15,8478.0,8484.0,8484.0,8484.0,8000
1990-06-16,8385.0,8385.0,8385.0,8385.0,5800
1990-06-18,8012.0,8339.0,8339.0,8012.0,1200
1990-06-19,7919.0,8337.0,8337.0,7919.0,2300
1990-06-20,8245.0,7918.0,8245.0,7918.0,400
1990-06-21,8199.0,8204.0,8204.0,8204.0,0
1990-06-22,8106.0,8156.0,8156.0,8111.0,2600
