date,close,open,high,low,volume
1999-08-24,51706.0,51705.0,51705.0,51705.0,160810
1999-08-25,55303.0,53578.0,58299.0,52455.0,2846830
1999-08-26,53205.0,55453.0,56202.0,53205.0,1089420
1999-08-27,52531.0,53578.0,54253.0,51705.0,877370
1999-08-30,50956.0,52679.0,53578.0,50806.0,732670
1999-08-31,49608.0,49532.0,50956.0,48933.0,641250
1999-09-01,49608.0,50956.0,51481.0,49532.0,756080
1999-09-02,46235.0,45336.0,47958.0,45186.0,692830
1999-09-03,44588.0,46235.0,46834.0,42788.0,944810
1999-09-06,46835.0,44961.0,47658.0,44662.0,639310
1999-09-07,47060.0,47210.0,48558.0,46160.0,393900
1999-09-08,45561.0,46535.0,47060.0,45336.0,342000
1999-09-09,45861.0,45635.0,46085.0,45111.0,281160
1999-09-10,47135.0,46385.0,47808.0,46160.0,620990
1999-09-13,46461.0,46685.0,47134.0,44961.0,755490
1999-09-14,45861.0,45711.0,46685.0,45635.0,375040
1999-09-15,45337.0,46085.0,46085.0,45111.0,235750
1999-09-16,44212.0,45037.0,45336.0,44213.0,322440
1999-09-17,43763.0,43089.0,43838.0,41815.0,578610
1999-09-20,44062.0,44213.0,44737.0,43463.0,258370
1999-09-21,43913.0,43763.0,44363.0,43388.0,326600
1999-09-22,42189.0,43462.0,43612.0,42189.0,522500
1999-09-27,40840.0,42114.0,42114.0,40840.0,307930
1999-09-28,41290.0,40840.0,42113.0,40465.0,429860
1999-09-29,41664.0,41964.0,42489.0,41214.0,567020
1999-09-30,40840.0,41739.0,42339.0,40764.0,371690
1999-10-01,39717.0,40465.0,40764.0,36119.0,524270
1999-10-04,38142.0,39715.0,40015.0,37992.0,393900
1999-10-05,33721.0,37542.0,38442.0,33721.0,502660
1999-10-06,35595.0,33721.0,35594.0,33721.0,583970
1999-10-07,39717.0,36943.0,39865.0,36119.0,914340
1999-10-08,39641.0,39492.0,40615.0,38592.0,509300
1999-10-11,39341.0,39792.0,40391.0,39192.0,240030
1999-10-12,39867.0,39041.0,40015.0,38966.0,192220
1999-10-13,39717.0,39491.0,39865.0,38442.0,205590
1999-10-14,39717.0,38667.0,40465.0,38667.0,258600
1999-10-15,39341.0,39716.0,39792.0,38592.0,261350
1999-10-18,37918.0,38067.0,38966.0,37842.0,194760
1999-10-19,37169.0,37917.0,38517.0,36756.0,278110
1999-10-20,37468.0,38142.0,38217.0,37242.0,278620
1999-10-21,38667.0,38292.0,40390.0,38217.0,539850
1999-10-22,37843.0,39341.0,39415.0,37318.0,307940
1999-10-25,35932.0,37468.0,37468.0,35294.0,246920
1999-10-26,35895.0,33946.0,36531.0,33946.0,189090
1999-10-27,35595.0,36193.0,36343.0,35594.0,141340
1999-10-28,36719.0,35932.0,36793.0,35594.0,236530
1999-10-29,35969.0,37243.0,37918.0,35969.0,276680
1999-11-01,37243.0,36643.0,37468.0,36156.0,392170
1999-11-02,38142.0,37093.0,38142.0,36718.0,445950
1999-11-03,38068.0,37842.0,38591.0,37168.0,376790
