date,close,open,high,low,volume
1990-01-03,2394.0,2329.0,2394.0,2329.0,510
1990-01-04,2435.0,2353.0,2434.0,2353.0,2170
1990-01-05,2337.0,2329.0,2361.0,2329.0,50
1990-01-06,2321.0,2321.0,2321.0,2321.0,0
1990-01-08,2297.0,2272.0,2320.0,2272.0,830
1990-01-09,2337.0,2320.0,2337.0,2320.0,2310
1990-01-10,2354.0,2329.0,2353.0,2329.0,2060
1990-01-11,2313.0,2353.0,2353.0,2312.0,1850
1990-01-12,2354.0,2272.0,2353.0,2272.0,130
1990-01-13,2280.0,2280.0,2280.0,2280.0,100
1990-01-15,2264.0,2280.0,2288.0,2264.0,560
1990-01-16,2232.0,2231.0,2280.0,2231.0,270
1990-01-17,2232.0,2231.0,2231.0,2231.0,260
1990-01-18,2313.0,2231.0,2312.0,2231.0,60
1990-01-19,2313.0,2312.0,2312.0,2312.0,50
1990-01-20,2272.0,2272.0,2272.0,2272.0,0
1990-01-22,2297.0,2264.0,2296.0,2264.0,210
1990-01-23,2313.0,2288.0,2312.0,2288.0,1110
1990-01-24,2345.0,2312.0,2353.0,2312.0,650
1990-01-25,2394.0,2361.0,2410.0,2361.0,9480
1990-01-29,2394.0,2394.0,2426.0,2385.0,1120
1990-01-30,2394.0,2394.0,2426.0,2394.0,5580
1990-01-31,2435.0,2353.0,2434.0,2353.0,650
1990-02-01,2435.0,2434.0,2434.0,2434.0,60
1990-02-02,2354.0,2394.0,2394.0,2329.0,440
1990-02-03,2313.0,2353.0,2353.0,2272.0,340
1990-02-05,2313.0,2312.0,2312.0,2312.0,0
1990-02-06,2354.0,2272.0,2353.0,2272.0,160
1990-02-07,2329.0,2320.0,2345.0,2320.0,510
1990-02-08,2329.0,2312.0,2329.0,2312.0,400
1990-02-09,2337.0,2337.0,2337.0,2337.0,380
1990-02-10,2337.0,2337.0,2337.0,2337.0,120
1990-02-12,2345.0,2337.0,2353.0,2337.0,170
1990-02-13,2345.0,2345.0,2345.0,2337.0,260
1990-02-14,2378.0,2345.0,2377.0,2345.0,580
1990-02-15,2370.0,2312.0,2369.0,2312.0,1110
1990-02-16,2321.0,2353.0,2353.0,2312.0,510
1990-02-17,2337.0,2288.0,2337.0,2288.0,60
1990-02-19,2313.0,2296.0,2345.0,2272.0,420
1990-02-20,2313.0,2337.0,2337.0,2312.0,630
1990-02-21,2313.0,2296.0,2321.0,2296.0,1800
1990-02-22,2297.0,2231.0,2312.0,2231.0,700
1990-02-23,2313.0,2312.0,2329.0,2312.0,470
1990-02-24,2386.0,2312.0,2385.0,2312.0,140
1990-02-26,2305.0,2304.0,2304.0,2304.0,250
1990-02-27,2289.0,2320.0,2320.0,2272.0,340
1990-02-28,2313.0,2296.0,2312.0,2296.0,1030
1990-03-02,2329.0,2329.0,2329.0,2329.0,130
1990-03-03,2329.0,2329.0,2329.0,2329.0,10
1990-03-05,2264.0,2272.0,2272.0,2264.0,830
1990-03-06,2272.0,2272.0,2272.0,2272.0,760
1990-03-07,2272.0,2280.0,2280.0,2272.0,90
1990-03-08,2232.0,2207.0,2272.0,2207.0,510
1990-03-09,2224.0,2231.0,2231.0,2223.0,250
1990-03-12,2305.0,2231.0,2304.0,2231.0,100
1990-03-13,2264.0,2272.0,2272.0,2231.0,520
1990-03-14,2272.0,2272.0,2272.0,2272.0,380
1990-03-15,2297.0,2231.0,2296.0,2231.0,30
1990-03-16,2272.0,2296.0,2296.0,2272.0,570
1990-03-17,2256.0,2256.0,2256.0,2256.0,10
1990-03-19,2256.0,2231.0,2256.0,2231.0,110
1990-03-20,2289.0,2256.0,2288.0,2239.0,28860
1990-03-21,2313.0,2288.0,2321.0,2288.0,4890
1990-03-22,2378.0,2312.0,2377.0,2312.0,19870
