date,close,open,high,low,volume
1994-01-14,1122.0,1123.0,1123.0,1123.0,1100
1994-01-15,1166.0,1166.0,1166.0,1166.0,2000
1994-01-17,1209.0,1209.0,1209.0,1209.0,1900
1994-01-18,1252.0,1252.0,1252.0,1252.0,1000
1994-01-19,1295.0,1296.0,1296.0,1296.0,2400
1994-01-20,1351.0,1352.0,1352.0,1352.0,2400
1994-01-21,1407.0,1408.0,1408.0,1408.0,2500
1994-01-22,1463.0,1464.0,1464.0,1464.0,1700
1994-01-24,1520.0,1520.0,1520.0,1520.0,2400
1994-01-25,1576.0,1576.0,1576.0,1576.0,3300
1994-01-26,1632.0,1632.0,1632.0,1632.0,9600
1994-01-27,1688.0,1689.0,1689.0,1689.0,4000
1994-01-28,1744.0,1745.0,1745.0,1745.0,2200
1994-01-29,1813.0,1814.0,1814.0,1814.0,4100
1994-01-31,1882.0,1883.0,1883.0,1883.0,22600
1994-02-01,1951.0,1952.0,1952.0,1952.0,31300
1994-02-02,2021.0,2021.0,2021.0,2021.0,22500
1994-02-03,2090.0,2090.0,2090.0,2090.0,121700
1994-02-04,2021.0,2159.0,2159.0,2021.0,378600
1994-02-05,1951.0,1952.0,1952.0,1952.0,1100
1994-02-07,1882.0,1883.0,1883.0,1883.0,0
1994-02-08,1813.0,1814.0,1814.0,1814.0,100400
1994-02-12,1744.0,1745.0,1745.0,1745.0,231700
1994-02-14,1675.0,1684.0,1745.0,1676.0,80400
1994-02-15,1619.0,1619.0,1619.0,1619.0,14400
1994-02-16,1675.0,1563.0,1676.0,1563.0,98800
1994-02-17,1619.0,1676.0,1676.0,1619.0,19500
1994-02-18,1576.0,1585.0,1624.0,1563.0,46200
1994-02-19,1619.0,1619.0,1632.0,1585.0,70300
1994-02-21,1563.0,1598.0,1619.0,1563.0,63900
1994-02-22,1507.0,1550.0,1550.0,1507.0,41800
1994-02-23,1485.0,1486.0,1490.0,1451.0,62900
1994-02-24,1485.0,1486.0,1511.0,1477.0,60400
