date,close,open,high,low,volume
1990-01-03,1370.0,1370.0,1370.0,1370.0,200
1990-01-04,1430.0,1370.0,1430.0,1370.0,30400
1990-01-05,1460.0,1460.0,1490.0,1460.0,23200
1990-01-06,1510.0,1500.0,1510.0,1500.0,4000
1990-01-08,1590.0,1550.0,1590.0,1550.0,45200
1990-01-09,1670.0,1670.0,1670.0,1620.0,125700
1990-01-10,1740.0,1750.0,1750.0,1700.0,148600
1990-01-11,1710.0,1680.0,1740.0,1680.0,103500
1990-01-12,1700.0,1700.0,1730.0,1690.0,50600
1990-01-13,1710.0,1720.0,1720.0,1690.0,28300
1990-01-15,1700.0,1700.0,1710.0,1700.0,24600
1990-01-16,1680.0,1700.0,1700.0,1650.0,16800
1990-01-17,1660.0,1680.0,1680.0,1660.0,7500
1990-01-18,1690.0,1660.0,1690.0,1660.0,16000
1990-01-19,1650.0,1610.0,1650.0,1610.0,1200
1990-01-20,1680.0,1630.0,1680.0,1630.0,2600
1990-01-22,1700.0,1700.0,1730.0,1690.0,15300
1990-01-23,1650.0,1700.0,1700.0,1620.0,14800
1990-01-24,1680.0,1630.0,1700.0,1630.0,11200
1990-01-25,1730.0,1680.0,1730.0,1660.0,154100
1990-01-29,1790.0,1710.0,1790.0,1710.0,50000
1990-01-30,1780.0,1780.0,1790.0,1750.0,51600
1990-01-31,1810.0,1780.0,1830.0,1750.0,57000
1990-02-01,1810.0,1810.0,1820.0,1790.0,216900
1990-02-02,1800.0,1800.0,1830.0,1780.0,108600
1990-02-03,1810.0,1780.0,1810.0,1780.0,15700
1990-02-05,1800.0,1800.0,1800.0,1770.0,22600
1990-02-06,1840.0,1820.0,1840.0,1810.0,46300
1990-02-07,1800.0,1840.0,1840.0,1800.0,5000
1990-02-08,1810.0,1800.0,1810.0,1800.0,18300
1990-02-09,1800.0,1810.0,1810.0,1780.0,13200
1990-02-10,1780.0,1780.0,1780.0,1780.0,0
1990-02-12,1750.0,1750.0,1750.0,1750.0,5000
1990-02-13,1750.0,1760.0,1760.0,1700.0,5200
1990-02-14,1750.0,1750.0,1750.0,1750.0,0
1990-02-15,1760.0,1750.0,1770.0,1750.0,8300
1990-02-16,1760.0,1750.0,1760.0,1750.0,9200
1990-02-17,1800.0,1750.0,1800.0,1750.0,14300
1990-02-19,1790.0,1780.0,1790.0,1780.0,800
1990-02-20,1770.0,1780.0,1800.0,1770.0,5400
1990-02-21,1740.0,1750.0,1750.0,1730.0,3000
1990-02-22,1740.0,1720.0,1740.0,1720.0,2300
1990-02-23,1740.0,1730.0,1740.0,1730.0,300
1990-02-24,1750.0,1740.0,1760.0,1730.0,7000
1990-02-26,1730.0,1740.0,1740.0,1730.0,2600
1990-02-27,1760.0,1730.0,1800.0,1700.0,9000
1990-02-28,1750.0,1740.0,1750.0,1740.0,800
1990-03-02,11043.0,11359.0,11359.0,11043.0,51100
1990-03-03,10854.0,10854.0,10854.0,10854.0,1400
1990-03-05,10727.0,10854.0,10854.0,10728.0,1900
1990-03-06,10727.0,10728.0,10728.0,10728.0,2800
1990-03-07,10727.0,10854.0,10854.0,10728.0,2700
1990-03-08,10727.0,10728.0,10728.0,10728.0,3100
1990-03-09,10538.0,10728.0,10728.0,10539.0,2400
1990-03-12,10917.0,10539.0,10917.0,10475.0,3400
1990-03-13,10854.0,10412.0,11107.0,10412.0,13000
1990-03-14,10854.0,10854.0,10854.0,10854.0,0
1990-03-15,10601.0,10602.0,10791.0,10602.0,3800
1990-03-16,10664.0,10602.0,10728.0,10602.0,14200
1990-03-17,10664.0,10728.0,10728.0,10665.0,3300
1990-03-19,10917.0,10665.0,10917.0,10665.0,1000
1990-03-20,10917.0,10917.0,10917.0,10917.0,7600
1990-03-21,10538.0,10791.0,10791.0,10539.0,2100
1990-03-22,10601.0,10539.0,10602.0,10539.0,9300
1990-03-23,10538.0,10539.0,10539.0,10539.0,0
1990-03-24,10286.0,10286.0,10286.0,10286.0,1000
1990-03-26,10601.0,10160.0,10665.0,10097.0,2400
1990-03-27,10601.0,10665.0,10728.0,10602.0,7900
1990-03-28,10601.0,10539.0,10602.0,10539.0,1100
1990-03-29,10917.0,10475.0,11043.0,10475.0,60800
1990-03-30,10727.0,11107.0,11107.0,10728.0,52500
1990-03-31,11043.0,10917.0,11043.0,10917.0,26400
1990-04-02,11106.0,11107.0,11296.0,11107.0,33300
1990-04-03,11169.0,11170.0,11233.0,11107.0,38000
1990-04-04,11611.0,11170.0,11611.0,11170.0,183200
1990-04-06,11800.0,11611.0,11927.0,11611.0,184900
1990-04-07,11611.0,11801.0,11801.0,11611.0,12900
1990-04-09,11611.0,11801.0,11801.0,11611.0,37400
1990-04-10,11737.0,11611.0,11801.0,11611.0,113900
1990-04-11,12242.0,11738.0,12242.0,11738.0,261500
1990-04-12,12747.0,12369.0,12747.0,12369.0,524400
1990-04-13,12873.0,12873.0,13000.0,12747.0,332000
1990-04-14,12810.0,13000.0,13000.0,12810.0,90900
1990-04-16,12368.0,12621.0,12621.0,12242.0,10200
1990-04-17,12242.0,12306.0,12369.0,11990.0,33300
1990-04-18,12179.0,11990.0,12179.0,11801.0,10900
1990-04-19,11674.0,11990.0,11990.0,11674.0,25900
1990-04-20,11169.0,11674.0,11674.0,11170.0,30300
1990-04-21,11674.0,11170.0,11674.0,11170.0,57300
1990-04-23,11169.0,11611.0,11611.0,11170.0,40000
1990-04-24,11485.0,11359.0,11611.0,11296.0,76400
1990-04-25,11674.0,11738.0,11738.0,11233.0,199500
1990-04-26,11169.0,11548.0,11548.0,11170.0,43900
1990-04-27,11674.0,11485.0,11674.0,11359.0,132000
1990-04-28,11485.0,11738.0,11738.0,11422.0,65900
1990-04-30,10980.0,11359.0,11359.0,10980.0,67900
1990-05-01,11485.0,11107.0,11485.0,11107.0,65200
1990-05-03,11990.0,11801.0,11990.0,11801.0,60600
1990-05-04,12368.0,12369.0,12495.0,11864.0,252300
1990-05-07,12116.0,12053.0,12306.0,12053.0,23800
1990-05-08,11800.0,11990.0,12053.0,11801.0,21300
1990-05-09,11674.0,11359.0,11674.0,11359.0,14800
1990-05-10,11548.0,11674.0,11674.0,11548.0,29500
1990-05-11,11169.0,11422.0,11422.0,11170.0,7100
1990-05-12,10980.0,11107.0,11107.0,10728.0,12100
1990-05-14,10475.0,10980.0,10980.0,10475.0,36000
1990-05-15,10223.0,10034.0,10791.0,9971.0,35300
1990-05-16,10727.0,10665.0,10728.0,10539.0,15400
1990-05-17,10917.0,10917.0,11233.0,10349.0,60100
1990-05-18,11169.0,10917.0,11170.0,10917.0,28800
1990-05-19,10980.0,11170.0,11233.0,10980.0,13900
1990-05-21,11232.0,11233.0,11233.0,10980.0,17500
1990-05-22,11358.0,11296.0,11485.0,11233.0,61500
1990-05-23,11295.0,11485.0,11485.0,11296.0,15200
1990-05-24,11295.0,11296.0,11359.0,11233.0,19300
1990-05-25,11485.0,11359.0,11485.0,11359.0,26000
1990-05-26,11422.0,11485.0,11548.0,11359.0,17500
1990-05-28,11548.0,11548.0,11611.0,11485.0,74000
1990-05-29,11548.0,11611.0,11611.0,11422.0,12100
1990-05-30,11611.0,11548.0,11864.0,11548.0,28600
1990-05-31,11674.0,11801.0,11801.0,11674.0,17600
1990-06-01,11422.0,11674.0,11674.0,11422.0,19600
1990-06-02,11358.0,11422.0,11422.0,11296.0,6000
1990-06-04,11485.0,11359.0,11738.0,11359.0,14800
1990-06-05,11485.0,11611.0,11611.0,11485.0,35400
1990-06-07,11422.0,11485.0,11485.0,11422.0,31800
1990-06-08,11358.0,11422.0,11422.0,11359.0,7500
1990-06-09,11358.0,11359.0,11359.0,11359.0,8000
1990-06-11,11295.0,11359.0,11359.0,11296.0,12500
1990-06-12,11169.0,11233.0,11233.0,11170.0,9000
1990-06-13,11169.0,11170.0,11359.0,11043.0,15800
1990-06-14,11106.0,11359.0,11359.0,10980.0,28400
1990-06-15,11106.0,11107.0,11107.0,11107.0,10000
1990-06-16,11106.0,11107.0,11233.0,11107.0,7000
1990-06-18,10727.0,11107.0,11107.0,10728.0,11500
1990-06-19,10601.0,10728.0,10917.0,10602.0,13900
1990-06-20,10538.0,10665.0,10665.0,10539.0,7400
1990-06-21,10727.0,10539.0,10728.0,10539.0,27400
1990-06-22,10538.0,10854.0,10854.0,10539.0,20200
1990-06-23,10601.0,10665.0,10665.0,10602.0,10700
1990-06-25,10601.0,10665.0,10728.0,10602.0,19100
1990-06-26,10601.0,10665.0,10665.0,10475.0,12900
1990-06-27,10664.0,10728.0,10728.0,10602.0,10800
1990-06-28,10601.0,10665.0,10665.0,10539.0,6800
1990-06-29,10349.0,10475.0,10475.0,10349.0,7100
1990-06-30,10286.0,10286.0,10286.0,10286.0,5000
1990-07-02,10033.0,10034.0,10097.0,10034.0,2100
1990-07-03,10538.0,10223.0,10539.0,10223.0,7500
1990-07-04,10601.0,10728.0,10854.0,10539.0,31700
1990-07-05,10601.0,10412.0,10602.0,10412.0,1000
1990-07-06,10538.0,10602.0,10602.0,10349.0,14500
1990-07-07,10412.0,10539.0,10539.0,10097.0,6700
1990-07-09,10286.0,10412.0,10475.0,10286.0,20100
1990-07-10,10223.0,10286.0,10286.0,10223.0,10500
1990-07-11,10223.0,10223.0,10223.0,10097.0,28900
1990-07-12,9970.0,10223.0,10223.0,9971.0,51000
1990-07-13,9844.0,9971.0,9971.0,9844.0,50100
1990-07-14,7572.0,8014.0,8014.0,7573.0,4500
1990-07-16,7194.0,7446.0,7446.0,7194.0,19900
1990-07-18,7257.0,7257.0,7446.0,7194.0,51300
1990-07-19,7257.0,7257.0,7257.0,7194.0,6500
1990-07-20,6941.0,6942.0,6942.0,6942.0,2000
1990-07-21,7257.0,6942.0,7257.0,6626.0,11800
1990-07-23,6941.0,6878.0,7131.0,6878.0,2800
1990-07-24,6626.0,6626.0,6626.0,6626.0,900
1990-07-25,6626.0,6752.0,6752.0,6626.0,13000
1990-07-26,6562.0,6626.0,6626.0,6563.0,4600
1990-07-27,6436.0,6500.0,6500.0,6437.0,3000
1990-07-28,6626.0,6374.0,6626.0,6374.0,7600
1990-07-30,6499.0,6500.0,6500.0,6500.0,0
1990-07-31,6499.0,6437.0,6500.0,6437.0,15500
1990-08-01,6689.0,6500.0,6752.0,6500.0,34400
1990-08-02,6752.0,6689.0,6752.0,6500.0,19500
1990-08-03,6815.0,6689.0,6942.0,6626.0,38900
1990-08-04,6752.0,6815.0,6815.0,6752.0,1600
1990-08-06,6562.0,6500.0,6689.0,6500.0,11200
1990-08-07,6562.0,6437.0,6563.0,6374.0,14500
1990-08-08,6499.0,6437.0,6563.0,6437.0,11500
1990-08-09,6689.0,6689.0,6689.0,6689.0,3000
1990-08-10,6941.0,6689.0,6942.0,6689.0,35800
1990-08-11,6878.0,6942.0,7194.0,6878.0,42800
1990-08-13,7004.0,7005.0,7194.0,6942.0,59900
1990-08-14,6752.0,6815.0,6815.0,6752.0,2300
1990-08-16,6689.0,6752.0,6942.0,6689.0,14100
1990-08-17,6689.0,6689.0,6689.0,6626.0,19900
1990-08-18,6689.0,6878.0,6878.0,6689.0,2200
1990-08-20,6626.0,6626.0,6689.0,6626.0,7000
1990-08-21,6436.0,6437.0,6437.0,6437.0,8000
1990-08-22,6310.0,6247.0,6626.0,6247.0,19500
1990-08-23,5931.0,6247.0,6247.0,5932.0,28400
1990-08-24,5679.0,5679.0,5806.0,5679.0,19700
1990-08-25,5427.0,5427.0,5427.0,5427.0,47200
1990-08-27,5679.0,5616.0,5679.0,5616.0,25400
1990-08-28,5931.0,5932.0,5932.0,5932.0,6800
1990-08-29,5868.0,6184.0,6184.0,5743.0,94000
1990-08-30,5805.0,5995.0,5995.0,5743.0,31000
1990-08-31,5679.0,5768.0,5869.0,5553.0,89200
1990-09-01,5679.0,5553.0,5679.0,5553.0,41900
1990-09-03,5931.0,5806.0,5932.0,5806.0,7600
1990-09-04,5995.0,6121.0,6121.0,5995.0,12800
1990-09-05,5868.0,5869.0,5869.0,5869.0,3300
1990-09-06,5868.0,5869.0,5869.0,5869.0,18300
1990-09-07,5931.0,5679.0,5932.0,5679.0,5300
1990-09-08,5805.0,5995.0,5995.0,5806.0,22100
1990-09-10,5805.0,5932.0,5995.0,5806.0,23000
1990-09-11,5805.0,5869.0,5869.0,5806.0,17000
1990-09-12,5805.0,5869.0,5995.0,5743.0,4300
1990-09-13,5805.0,5806.0,5806.0,5743.0,7000
1990-09-14,5931.0,5932.0,5932.0,5806.0,51100
1990-09-15,5805.0,5995.0,5995.0,5806.0,21100
1990-09-17,5742.0,5553.0,5743.0,5553.0,11900
1990-09-18,5995.0,5490.0,5995.0,5490.0,13400
1990-09-19,6058.0,6058.0,6058.0,5932.0,19200
1990-09-20,5805.0,5806.0,5812.0,5806.0,13500
1990-09-21,5553.0,5553.0,5679.0,5553.0,18600
1990-09-22,5427.0,5553.0,5553.0,5427.0,9000
