date,close,open,high,low,volume
2003-01-09,1060.0,1225.0,1405.0,1046.0,605970
2003-01-10,1042.0,1123.0,1165.0,939.0,271720
2003-01-13,1042.0,1068.0,1128.0,1022.0,116442
2003-01-14,1042.0,1026.0,1114.0,1008.0,212937
2003-01-15,1005.0,1068.0,1100.0,994.0,138227
2003-01-16,949.0,963.0,986.0,949.0,76141
2003-01-17,890.0,931.0,940.0,890.0,74817
2003-01-20,882.0,880.0,894.0,878.0,31025
2003-01-21,878.0,879.0,890.0,877.0,16363
2003-01-22,880.0,872.0,912.0,872.0,41231
2003-01-23,878.0,876.0,907.0,873.0,35449
2003-01-24,871.0,877.0,881.0,871.0,39139
2003-01-27,871.0,871.0,872.0,871.0,32614
2003-01-28,871.0,871.0,872.0,871.0,17910
2003-01-29,871.0,872.0,874.0,871.0,52845
2003-01-30,867.0,870.0,870.0,867.0,11799
2003-02-03,871.0,871.0,872.0,871.0,16030
2003-02-04,871.0,871.0,872.0,871.0,6200
2003-02-05,871.0,871.0,872.0,871.0,6810
2003-02-06,871.0,871.0,872.0,871.0,9100
2003-02-07,871.0,871.0,871.0,871.0,37610
2003-02-10,871.0,871.0,872.0,829.0,130920
2003-02-11,832.0,871.0,871.0,783.0,2260
2003-02-12,839.0,847.0,847.0,813.0,2020
2003-02-13,816.0,910.0,910.0,812.0,4223
2003-02-14,820.0,825.0,829.0,787.0,1720
2003-02-17,839.0,822.0,837.0,787.0,2390
2003-02-18,811.0,829.0,829.0,811.0,710
2003-02-19,830.0,812.0,828.0,812.0,510
2003-02-20,820.0,817.0,820.0,815.0,150
2003-02-21,817.0,812.0,815.0,793.0,290
2003-02-24,802.0,810.0,810.0,791.0,370
2003-02-25,784.0,798.0,798.0,681.0,5930
2003-02-26,760.0,740.0,760.0,738.0,1740
2003-02-27,760.0,748.0,764.0,736.0,500
2003-02-28,772.0,763.0,778.0,759.0,590
2003-03-03,772.0,742.0,772.0,742.0,80
2003-03-04,742.0,742.0,755.0,742.0,210
2003-03-05,737.0,739.0,746.0,737.0,440
2003-03-06,737.0,746.0,765.0,719.0,1606
2003-03-07,701.0,727.0,729.0,699.0,1714
2003-03-10,682.0,682.0,682.0,682.0,600
2003-03-11,599.0,682.0,682.0,599.0,2580
2003-03-12,627.0,598.0,647.0,598.0,4590
2003-03-13,672.0,625.0,685.0,612.0,540
2003-03-14,656.0,671.0,682.0,656.0,2030
2003-03-17,636.0,646.0,646.0,636.0,130
2003-03-18,677.0,645.0,675.0,645.0,190
2003-03-19,701.0,699.0,699.0,699.0,110
2003-03-20,708.0,706.0,706.0,706.0,10
2003-03-21,723.0,721.0,721.0,718.0,40
2003-03-24,722.0,720.0,720.0,720.0,0
2003-03-25,722.0,720.0,720.0,720.0,10
2003-03-26,668.0,721.0,721.0,663.0,640
2003-03-27,651.0,649.0,681.0,647.0,280
2003-03-28,670.0,645.0,670.0,645.0,200
2003-03-31,701.0,665.0,699.0,665.0,880
2003-04-01,628.0,644.0,652.0,607.0,10210
2003-04-02,626.0,644.0,644.0,613.0,1070
2003-04-03,583.0,620.0,627.0,579.0,11840
2003-04-04,599.0,582.0,602.0,582.0,1980
2003-04-07,607.0,608.0,608.0,594.0,2390
2003-04-08,606.0,622.0,622.0,598.0,2580
2003-04-09,627.0,606.0,635.0,598.0,11090
2003-04-10,623.0,609.0,629.0,603.0,1590
2003-04-11,613.0,609.0,625.0,598.0,2010
2003-04-14,620.0,612.0,624.0,612.0,1090
2003-04-15,612.0,624.0,624.0,611.0,2060
2003-04-16,627.0,612.0,629.0,611.0,9080
2003-04-17,616.0,625.0,625.0,612.0,3760
2003-04-18,627.0,616.0,629.0,614.0,5820
2003-04-21,652.0,635.0,671.0,631.0,13600
2003-04-22,662.0,670.0,674.0,647.0,6400
2003-04-23,673.0,670.0,699.0,658.0,8015
2003-04-24,697.0,671.0,699.0,671.0,6470
2003-04-25,636.0,675.0,675.0,636.0,5390
2003-04-28,637.0,635.0,637.0,599.0,1860
2003-04-29,658.0,624.0,661.0,624.0,1420
2003-04-30,653.0,662.0,671.0,644.0,1910
2003-05-02,651.0,649.0,649.0,617.0,5480
2003-05-06,676.0,635.0,674.0,635.0,370
2003-05-07,649.0,664.0,686.0,644.0,3490
2003-05-09,664.0,671.0,671.0,636.0,510
2003-05-12,671.0,681.0,681.0,651.0,1340
2003-05-13,667.0,663.0,676.0,663.0,6080
2003-05-14,667.0,652.0,683.0,652.0,1410
2003-05-15,690.0,645.0,690.0,645.0,2480
2003-05-16,681.0,672.0,689.0,667.0,960
2003-05-19,673.0,680.0,686.0,663.0,1410
2003-05-20,679.0,671.0,679.0,657.0,150
2003-05-21,664.0,684.0,690.0,662.0,6124
2003-05-22,673.0,662.0,675.0,662.0,330
2003-05-23,662.0,670.0,674.0,658.0,1840
2003-05-26,673.0,662.0,677.0,662.0,3790
2003-05-27,677.0,707.0,707.0,668.0,3650
2003-05-28,666.0,691.0,691.0,663.0,5810
2003-05-29,665.0,682.0,682.0,663.0,1130
2003-05-30,672.0,663.0,671.0,663.0,1130
2003-06-02,663.0,661.0,666.0,649.0,5500
2003-06-03,664.0,662.0,665.0,658.0,2840
2003-06-04,661.0,659.0,661.0,653.0,2650
2003-06-05,666.0,662.0,668.0,649.0,6210
2003-06-09,687.0,665.0,694.0,664.0,6170
2003-06-10,678.0,691.0,691.0,645.0,10390
2003-06-11,666.0,662.0,683.0,654.0,12570
2003-06-12,654.0,664.0,664.0,654.0,12779
2003-06-13,662.0,655.0,667.0,650.0,3980
2003-06-16,656.0,671.0,671.0,656.0,3730
2003-06-17,657.0,659.0,663.0,656.0,2220
2003-06-18,654.0,654.0,660.0,645.0,8620
2003-06-19,668.0,654.0,684.0,652.0,12910
2003-06-20,666.0,672.0,672.0,654.0,5100
2003-06-23,653.0,663.0,663.0,639.0,13260
2003-06-24,653.0,651.0,652.0,644.0,13360
2003-06-25,660.0,648.0,663.0,648.0,2580
2003-06-26,661.0,648.0,659.0,648.0,3600
2003-06-27,663.0,661.0,661.0,658.0,3860
2003-06-30,671.0,671.0,671.0,660.0,1690
2003-07-01,690.0,659.0,699.0,659.0,10210
2003-07-02,690.0,704.0,708.0,678.0,5240
2003-07-03,701.0,691.0,782.0,688.0,11089
2003-07-04,806.0,715.0,804.0,703.0,39457
2003-07-07,839.0,874.0,925.0,831.0,102207
2003-07-08,756.0,847.0,847.0,754.0,40610
2003-07-09,707.0,739.0,754.0,704.0,27354
2003-07-10,719.0,707.0,736.0,705.0,18930
2003-07-11,716.0,719.0,731.0,714.0,7310
2003-07-14,700.0,704.0,722.0,694.0,15065
2003-07-15,685.0,702.0,710.0,683.0,10810
2003-07-16,690.0,697.0,697.0,671.0,12390
2003-07-18,673.0,676.0,696.0,671.0,3614
2003-07-21,668.0,665.0,686.0,663.0,2580
2003-07-22,670.0,677.0,682.0,663.0,4210
2003-07-23,690.0,671.0,693.0,664.0,10196
2003-07-24,693.0,677.0,718.0,677.0,3680
2003-07-25,666.0,692.0,700.0,666.0,6750
2003-07-28,664.0,656.0,670.0,653.0,4640
2003-07-29,655.0,663.0,666.0,655.0,5620
2003-07-30,659.0,650.0,659.0,650.0,2610
2003-07-31,682.0,667.0,737.0,659.0,11120
2003-08-01,669.0,704.0,704.0,665.0,1674
2003-08-04,672.0,651.0,678.0,651.0,2704
2003-08-05,667.0,656.0,669.0,654.0,550
2003-08-06,657.0,664.0,664.0,657.0,470
2003-08-07,666.0,648.0,670.0,648.0,640
2003-08-08,684.0,665.0,682.0,665.0,420
2003-08-11,678.0,705.0,705.0,660.0,1270
2003-08-12,679.0,677.0,679.0,671.0,170
2003-08-13,658.0,690.0,690.0,658.0,110
2003-08-14,663.0,657.0,668.0,649.0,586
2003-08-18,644.0,665.0,665.0,644.0,1436
2003-08-19,657.0,645.0,657.0,642.0,3410
2003-08-20,648.0,645.0,658.0,643.0,4560
2003-08-21,658.0,646.0,659.0,646.0,1910
2003-08-22,648.0,653.0,672.0,647.0,780
2003-08-25,645.0,645.0,649.0,645.0,1880
2003-08-26,661.0,648.0,667.0,644.0,1780
2003-08-27,647.0,650.0,666.0,645.0,1320
2003-08-28,654.0,645.0,662.0,644.0,1260
2003-08-29,646.0,653.0,653.0,646.0,440
2003-09-01,656.0,652.0,659.0,652.0,240
2003-09-02,645.0,650.0,655.0,645.0,4250
2003-09-03,649.0,644.0,652.0,642.0,4450
2003-09-04,661.0,659.0,659.0,659.0,10
2003-09-05,645.0,645.0,657.0,645.0,580
2003-09-08,644.0,655.0,655.0,638.0,1980
2003-09-09,633.0,646.0,649.0,614.0,1200
2003-09-15,648.0,652.0,652.0,636.0,280
2003-09-16,647.0,637.0,649.0,627.0,500
2003-09-17,643.0,643.0,643.0,643.0,75
2003-09-18,645.0,640.0,645.0,633.0,1060
2003-09-19,640.0,650.0,650.0,636.0,1440
2003-09-22,646.0,647.0,647.0,631.0,410
2003-09-23,618.0,635.0,635.0,616.0,1035
2003-09-24,630.0,627.0,628.0,627.0,70
2003-09-25,624.0,610.0,624.0,604.0,740
2003-09-26,626.0,621.0,624.0,608.0,210
2003-09-29,618.0,615.0,631.0,611.0,2170
2003-09-30,628.0,617.0,627.0,608.0,760
2003-10-01,619.0,619.0,620.0,611.0,340
2003-10-02,621.0,615.0,621.0,615.0,130
2003-10-06,631.0,620.0,629.0,617.0,1545
2003-10-07,647.0,626.0,649.0,626.0,4530
2003-10-08,687.0,647.0,688.0,644.0,8850
2003-10-09,668.0,668.0,668.0,654.0,6820
2003-10-10,687.0,653.0,694.0,653.0,11710
2003-10-13,724.0,685.0,722.0,663.0,10630
