date,close,open,high,low,volume
1993-01-06,917.0,917.0,917.0,917.0,1460
1993-01-07,957.0,957.0,957.0,957.0,6140
1993-01-08,997.0,997.0,997.0,997.0,15730
1993-01-09,1037.0,1037.0,1037.0,1037.0,57430
1993-01-11,1087.0,1087.0,1087.0,1087.0,134100
1993-01-12,1138.0,1137.0,1137.0,1137.0,53750
1993-01-13,1188.0,1187.0,1187.0,1187.0,17970
1993-01-14,1238.0,1237.0,1237.0,1237.0,13200
1993-01-15,1288.0,1287.0,1287.0,1287.0,9540
1993-01-16,1338.0,1338.0,1338.0,1338.0,7650
1993-01-18,1288.0,1388.0,1388.0,1287.0,72000
1993-01-19,1258.0,1257.0,1287.0,1257.0,40710
1993-01-20,1308.0,1257.0,1308.0,1242.0,26930
1993-01-21,1273.0,1358.0,1358.0,1272.0,29010
1993-01-25,1228.0,1257.0,1272.0,1222.0,12140
1993-01-26,1228.0,1242.0,1247.0,1187.0,21700
1993-01-27,1188.0,1227.0,1227.0,1187.0,8750
1993-01-28,1173.0,1187.0,1207.0,1172.0,13840
1993-01-29,1218.0,1172.0,1222.0,1172.0,14210
1993-01-30,1168.0,1217.0,1227.0,1167.0,7000
1993-02-01,1118.0,1152.0,1152.0,1117.0,7320
1993-02-02,1153.0,1102.0,1152.0,1092.0,5150
1993-02-03,1138.0,1152.0,1167.0,1117.0,7950
1993-02-04,1183.0,1127.0,1187.0,1127.0,8170
1993-02-05,1133.0,1187.0,1197.0,1132.0,3990
1993-02-06,1158.0,1147.0,1157.0,1147.0,3400
1993-02-08,1143.0,1137.0,1152.0,1137.0,4150
1993-02-09,1133.0,1137.0,1142.0,1122.0,12110
1993-02-10,1183.0,1137.0,1182.0,1137.0,10250
1993-02-11,1168.0,1197.0,1202.0,1162.0,10750
1993-02-12,1178.0,1162.0,1202.0,1162.0,16160
1993-02-13,1173.0,1152.0,1177.0,1152.0,1070
1993-02-15,1178.0,1162.0,1187.0,1162.0,6050
1993-02-16,1178.0,1187.0,1202.0,1177.0,23270
