date,close,open,high,low,volume
1990-01-03,17500.0,17000.0,17500.0,17000.0,7360
1990-01-04,18300.0,18300.0,18300.0,18300.0,10740
1990-01-05,19100.0,19100.0,19100.0,18800.0,43460
1990-01-06,19900.0,19900.0,19900.0,19900.0,11280
1990-01-08,20700.0,20700.0,20700.0,20700.0,39360
1990-01-09,21000.0,21700.0,21700.0,20900.0,159150
1990-01-10,21700.0,20900.0,22000.0,20800.0,122840
1990-01-11,22100.0,21600.0,22600.0,21300.0,144320
1990-01-12,22300.0,22200.0,22400.0,21800.0,72100
1990-01-13,22000.0,22300.0,22300.0,21800.0,22620
1990-01-15,21500.0,21600.0,22000.0,21500.0,18660
1990-01-16,21500.0,21500.0,21800.0,21100.0,32890
1990-01-17,21200.0,21400.0,21400.0,21200.0,14990
1990-01-18,21400.0,21300.0,21600.0,21000.0,29100
1990-01-19,21300.0,21300.0,21500.0,21100.0,11340
1990-01-20,22100.0,21300.0,22300.0,21300.0,67970
1990-01-22,23100.0,22500.0,23100.0,22300.0,144690
1990-01-23,23600.0,23500.0,24100.0,23100.0,164960
1990-01-24,24600.0,24600.0,24600.0,24200.0,72600
1990-01-25,24900.0,25000.0,25500.0,24000.0,117180
1990-01-29,24800.0,24900.0,25200.0,24600.0,61320
1990-01-30,24300.0,25100.0,25200.0,24200.0,52810
1990-01-31,24600.0,24100.0,24600.0,23800.0,48850
1990-02-01,24200.0,24400.0,24500.0,24100.0,25830
1990-02-02,23700.0,24000.0,24300.0,23700.0,28960
1990-02-03,23700.0,23600.0,24000.0,23600.0,14760
1990-02-05,23900.0,24000.0,24200.0,23700.0,13630
1990-02-06,24900.0,24100.0,24900.0,24000.0,46400
1990-02-07,24500.0,24900.0,25200.0,24500.0,35390
1990-02-08,24700.0,24400.0,24800.0,24200.0,23300
1990-02-09,24300.0,24600.0,24700.0,24300.0,8260
1990-02-10,24100.0,24000.0,24300.0,24000.0,13410
