date,close,open,high,low,volume
1990-01-03,12664.0,12113.0,12663.0,12113.0,980
1990-01-04,13014.0,12864.0,13114.0,12864.0,1450
1990-01-05,12864.0,13014.0,13114.0,12864.0,2660
1990-01-06,12864.0,12613.0,12864.0,12613.0,330
1990-01-08,12664.0,12613.0,12713.0,12613.0,680
1990-01-09,12764.0,12663.0,12864.0,12563.0,2050
1990-01-10,12714.0,12713.0,12713.0,12713.0,710
1990-01-11,12514.0,12563.0,12563.0,12513.0,90
1990-01-12,12464.0,12513.0,12513.0,12113.0,390
1990-01-13,12213.0,12463.0,12463.0,12113.0,320
1990-01-15,12263.0,12213.0,12263.0,12213.0,200
1990-01-16,12363.0,12263.0,12363.0,12263.0,620
1990-01-17,12213.0,12213.0,12213.0,12213.0,1090
1990-01-18,12213.0,12213.0,12213.0,12113.0,1270
1990-01-19,12213.0,12213.0,12213.0,12213.0,0
1990-01-20,11963.0,12013.0,12013.0,11963.0,340
1990-01-22,12363.0,12013.0,12363.0,12013.0,530
1990-01-23,12514.0,12463.0,12613.0,12013.0,6950
1990-01-24,12914.0,12863.0,12964.0,12763.0,3260
1990-01-25,13064.0,12914.0,13064.0,12914.0,8220
1990-01-29,13064.0,13064.0,13114.0,12863.0,4320
1990-01-30,13014.0,13164.0,13164.0,12763.0,1310
1990-01-31,12914.0,12563.0,12913.0,12563.0,1650
1990-02-01,12914.0,12863.0,12913.0,12863.0,1370
1990-02-02,12814.0,12814.0,12814.0,12814.0,400
1990-02-03,12564.0,12563.0,12563.0,12563.0,130
1990-02-05,12564.0,12563.0,12563.0,12563.0,120
1990-02-06,12764.0,12763.0,12763.0,12763.0,80
1990-02-07,12864.0,12513.0,12864.0,12513.0,1700
1990-02-08,12914.0,12863.0,12913.0,12763.0,1900
1990-02-09,13114.0,12913.0,13214.0,12913.0,4880
1990-02-10,13014.0,13014.0,13014.0,13014.0,1100
1990-02-12,12814.0,12814.0,12814.0,12814.0,80
1990-02-13,12514.0,12613.0,12763.0,12513.0,730
1990-02-14,12714.0,13014.0,13014.0,12563.0,320
1990-02-15,12714.0,12563.0,12713.0,12563.0,560
1990-02-16,12714.0,12613.0,12763.0,12613.0,580
