date,close,open,high,low,volume
1996-07-31,927.0,927.0,927.0,927.0,0
1996-08-01,978.0,979.0,979.0,979.0,0
1996-08-02,1035.0,1035.0,1035.0,1035.0,0
1996-08-03,1097.0,1097.0,1097.0,1097.0,0
1996-08-05,1097.0,1097.0,1097.0,1097.0,0
1996-08-06,1158.0,1159.0,1159.0,1159.0,0
1996-08-07,1225.0,1226.0,1226.0,1226.0,505000
1996-08-08,1297.0,1298.0,1298.0,1298.0,500100
1996-08-09,1375.0,1375.0,1375.0,1375.0,500200
1996-08-10,1457.0,1458.0,1458.0,1458.0,610000
1996-08-12,1462.0,1540.0,1540.0,1391.0,387400
1996-08-13,1375.0,1452.0,1452.0,1375.0,13700
1996-08-14,1390.0,1324.0,1416.0,1308.0,76200
1996-08-16,1313.0,1308.0,1385.0,1308.0,30100
1996-08-17,1287.0,1288.0,1288.0,1288.0,0
1996-08-19,1282.0,1288.0,1288.0,1210.0,26200
1996-08-20,1354.0,1339.0,1355.0,1339.0,30900
1996-08-21,1406.0,1406.0,1406.0,1406.0,100
1996-08-22,1364.0,1365.0,1365.0,1365.0,0
1996-08-23,1390.0,1365.0,1391.0,1313.0,19200
1996-08-24,1472.0,1416.0,1473.0,1416.0,20100
1996-08-26,1472.0,1473.0,1473.0,1473.0,0
1996-08-27,1416.0,1385.0,1416.0,1385.0,1900
1996-08-28,1416.0,1416.0,1416.0,1416.0,0
1996-08-29,1406.0,1334.0,1406.0,1334.0,1100
1996-08-30,1406.0,1406.0,1406.0,1406.0,0
1996-08-31,1478.0,1329.0,1478.0,1329.0,38300
1996-09-02,1493.0,1468.0,1494.0,1416.0,50000
1996-09-03,1406.0,1406.0,1514.0,1406.0,800
1996-09-04,1436.0,1406.0,1437.0,1406.0,8300
1996-09-05,1519.0,1437.0,1519.0,1437.0,285500
1996-09-06,1606.0,1591.0,1607.0,1571.0,138600
1996-09-07,1622.0,1622.0,1648.0,1545.0,60300
1996-09-09,1622.0,1633.0,1633.0,1597.0,52100
1996-09-10,1539.0,1550.0,1597.0,1540.0,120900
1996-09-11,1493.0,1535.0,1535.0,1452.0,11200
1996-09-12,1570.0,1519.0,1571.0,1519.0,76100
1996-09-13,1586.0,1597.0,1597.0,1586.0,46300
1996-09-14,1493.0,1545.0,1545.0,1494.0,3000
1996-09-16,1467.0,1488.0,1488.0,1406.0,45800
1996-09-17,1555.0,1396.0,1555.0,1391.0,129000
1996-09-18,1462.0,1494.0,1514.0,1463.0,19600
1996-09-19,1498.0,1463.0,1504.0,1411.0,7000
1996-09-20,1514.0,1494.0,1514.0,1494.0,1200
1996-09-21,1493.0,1494.0,1494.0,1494.0,600
1996-09-23,1467.0,1406.0,1468.0,1406.0,21300
1996-09-24,1539.0,1380.0,1540.0,1380.0,32100
1996-09-25,1545.0,1494.0,1561.0,1494.0,30700
1996-09-30,1596.0,1458.0,1597.0,1458.0,22300
1996-10-01,1581.0,1545.0,1591.0,1545.0,7100
1996-10-02,1570.0,1571.0,1597.0,1571.0,103200
1996-10-04,1555.0,1571.0,1571.0,1555.0,14800
1996-10-05,1545.0,1509.0,1545.0,1504.0,3100
1996-10-07,1503.0,1504.0,1504.0,1504.0,7000
1996-10-08,1483.0,1494.0,1494.0,1483.0,3100
1996-10-09,1483.0,1483.0,1483.0,1483.0,13500
1996-10-10,1545.0,1488.0,1571.0,1488.0,462500
1996-10-11,1637.0,1622.0,1638.0,1622.0,294400
1996-10-12,1735.0,1736.0,1736.0,1658.0,220800
1996-10-14,1838.0,1839.0,1839.0,1803.0,328600
1996-10-15,1854.0,1926.0,1926.0,1839.0,422100
1996-10-16,1895.0,1854.0,1906.0,1813.0,258900
1996-10-17,1910.0,1931.0,2009.0,1906.0,320600
1996-10-18,1807.0,1957.0,1957.0,1808.0,25800
1996-10-19,1781.0,1700.0,1797.0,1700.0,35300
1996-10-21,1781.0,1782.0,1808.0,1751.0,40600
1996-10-22,1781.0,1792.0,1792.0,1700.0,28500
1996-10-23,1745.0,1751.0,1777.0,1746.0,48100
1996-10-24,1699.0,1705.0,1725.0,1700.0,5400
1996-10-25,1601.0,1674.0,1746.0,1602.0,58200
1996-10-26,1694.0,1648.0,1694.0,1607.0,26100
1996-10-28,1673.0,1725.0,1725.0,1674.0,32900
1996-10-29,1658.0,1658.0,1658.0,1658.0,0
1996-10-30,1642.0,1643.0,1643.0,1643.0,0
1996-10-31,1648.0,1545.0,1736.0,1545.0,2800
1996-11-01,1648.0,1648.0,1648.0,1648.0,0
1996-11-02,1622.0,1622.0,1622.0,1622.0,2400
1996-11-04,1570.0,1622.0,1622.0,1530.0,22700
1996-11-05,1478.0,1478.0,1483.0,1478.0,74400
1996-11-06,1529.0,1545.0,1566.0,1494.0,9500
1996-11-07,1514.0,1571.0,1571.0,1494.0,28200
1996-11-08,1488.0,1488.0,1488.0,1488.0,20000
1996-11-09,1416.0,1416.0,1416.0,1416.0,2200
1996-11-11,1333.0,1334.0,1334.0,1334.0,500
1996-11-12,1406.0,1257.0,1406.0,1257.0,78100
1996-11-13,1390.0,1324.0,1391.0,1324.0,21100
1996-11-14,1472.0,1365.0,1473.0,1365.0,13300
1996-11-15,1493.0,1437.0,1494.0,1385.0,10700
1996-11-16,1488.0,1494.0,1545.0,1483.0,7000
1996-11-18,1565.0,1566.0,1566.0,1566.0,1000
1996-11-19,1488.0,1473.0,1540.0,1473.0,8100
1996-11-20,1416.0,1416.0,1416.0,1416.0,2000
1996-11-21,1483.0,1416.0,1483.0,1365.0,6600
1996-11-22,1467.0,1468.0,1468.0,1468.0,100
1996-11-25,1514.0,1514.0,1514.0,1514.0,1600
1996-11-26,1452.0,1401.0,1463.0,1401.0,12100
1996-11-27,1442.0,1339.0,1442.0,1339.0,1700
1996-11-28,1431.0,1427.0,1432.0,1427.0,18100
1996-11-29,1442.0,1421.0,1442.0,1421.0,8400
1996-11-30,1416.0,1416.0,1416.0,1416.0,0
1996-12-02,1442.0,1416.0,1442.0,1416.0,15600
1996-12-03,1493.0,1329.0,1494.0,1329.0,4900
1996-12-04,1472.0,1483.0,1483.0,1391.0,1100
1996-12-05,1442.0,1442.0,1442.0,1437.0,6700
1996-12-06,1411.0,1411.0,1411.0,1411.0,0
1996-12-07,1390.0,1391.0,1391.0,1391.0,200
1996-12-09,1395.0,1360.0,1401.0,1282.0,12200
1996-12-10,1318.0,1391.0,1391.0,1318.0,7600
1996-12-11,1369.0,1262.0,1385.0,1262.0,44600
1996-12-12,1478.0,1416.0,1478.0,1416.0,44100
1996-12-13,1591.0,1591.0,1591.0,1591.0,163700
1996-12-14,1715.0,1622.0,1715.0,1622.0,251100
1996-12-16,1766.0,1777.0,1803.0,1700.0,325300
1996-12-17,1678.0,1797.0,1797.0,1658.0,50900
1996-12-18,1591.0,1602.0,1679.0,1550.0,67600
1996-12-19,1627.0,1494.0,1627.0,1468.0,38200
1996-12-20,1612.0,1597.0,1617.0,1597.0,17900
1996-12-21,1596.0,1597.0,1597.0,1509.0,10700
1996-12-23,1575.0,1483.0,1597.0,1483.0,79100
1996-12-24,1539.0,1545.0,1545.0,1468.0,14300
1996-12-26,1421.0,1427.0,1427.0,1421.0,15400
1996-12-27,1421.0,1447.0,1447.0,1313.0,8600
1997-01-03,1416.0,1320.0,1416.0,1320.0,22400
1997-01-04,1341.0,1342.0,1384.0,1331.0,9100
1997-01-06,1277.0,1240.0,1278.0,1235.0,72400
1997-01-07,1176.0,1304.0,1304.0,1177.0,19600
1997-01-08,1107.0,1091.0,1171.0,1086.0,262900
1997-01-09,1192.0,1038.0,1193.0,1038.0,27200
1997-01-10,1197.0,1102.0,1224.0,1102.0,44900
1997-01-11,1288.0,1198.0,1294.0,1171.0,34300
1997-01-13,1288.0,1235.0,1326.0,1209.0,97500
1997-01-14,1341.0,1209.0,1358.0,1209.0,24900
1997-01-15,1330.0,1358.0,1358.0,1251.0,65100
1997-01-16,1437.0,1251.0,1437.0,1251.0,60600
1997-01-17,1437.0,1464.0,1469.0,1384.0,128900
1997-01-18,1442.0,1411.0,1443.0,1411.0,22900
1997-01-20,1480.0,1491.0,1533.0,1443.0,19600
1997-01-21,1362.0,1491.0,1491.0,1363.0,53900
1997-01-22,1357.0,1363.0,1363.0,1278.0,29400
1997-01-23,1330.0,1358.0,1384.0,1326.0,56400
1997-01-24,1437.0,1304.0,1437.0,1278.0,124600
1997-01-25,1442.0,1448.0,1485.0,1437.0,25900
1997-01-27,1362.0,1336.0,1432.0,1336.0,16000
1997-01-28,1277.0,1304.0,1368.0,1262.0,24300
1997-01-29,1330.0,1224.0,1358.0,1224.0,63000
1997-01-30,1437.0,1437.0,1437.0,1363.0,76400
1997-01-31,1437.0,1395.0,1437.0,1395.0,75700
1997-02-01,1400.0,1437.0,1437.0,1400.0,25100
1997-02-03,1421.0,1331.0,1427.0,1331.0,40700
1997-02-04,1357.0,1421.0,1421.0,1358.0,65900
1997-02-05,1330.0,1390.0,1390.0,1331.0,40300
1997-02-06,1384.0,1384.0,1411.0,1320.0,69300
1997-02-10,1490.0,1384.0,1491.0,1384.0,97500
1997-02-11,1533.0,1597.0,1597.0,1517.0,143400
1997-02-12,1554.0,1544.0,1571.0,1501.0,65300
1997-02-13,1597.0,1523.0,1677.0,1523.0,340600
1997-02-14,1602.0,1597.0,1618.0,1565.0,254400
1997-02-15,1730.0,1645.0,1730.0,1608.0,338300
1997-02-17,1730.0,1757.0,1783.0,1677.0,276000
1997-02-18,1682.0,1730.0,1789.0,1677.0,235900
1997-02-19,1687.0,1693.0,1757.0,1672.0,496900
1997-02-20,1820.0,1704.0,1821.0,1704.0,383900
1997-02-21,1677.0,1853.0,1863.0,1677.0,311500
1997-02-22,1618.0,1602.0,1650.0,1544.0,230500
1997-02-24,1623.0,1597.0,1677.0,1597.0,203000
1997-02-25,1629.0,1576.0,1650.0,1576.0,142200
1997-02-26,1650.0,1645.0,1720.0,1629.0,169000
1997-02-27,1613.0,1650.0,1650.0,1597.0,30800
1997-02-28,1740.0,1629.0,1741.0,1618.0,268300
1997-03-03,1756.0,1778.0,1837.0,1757.0,431000
1997-03-04,1895.0,1783.0,1895.0,1757.0,324700
1997-03-05,1858.0,1917.0,1938.0,1853.0,358900
1997-03-06,1836.0,1847.0,1863.0,1757.0,166500
1997-03-07,1810.0,1847.0,1943.0,1810.0,312900
1997-03-08,1767.0,1810.0,1837.0,1757.0,110300
1997-03-10,1714.0,1783.0,1810.0,1704.0,179800
1997-03-11,1613.0,1698.0,1757.0,1613.0,107400
1997-03-12,1618.0,1613.0,1677.0,1597.0,160600
1997-03-13,1613.0,1624.0,1650.0,1613.0,76800
1997-03-14,1517.0,1544.0,1608.0,1485.0,137000
1997-03-15,1517.0,1485.0,1517.0,1485.0,54200
1997-03-17,1607.0,1528.0,1608.0,1528.0,64600
1997-03-18,1565.0,1624.0,1624.0,1517.0,30300
1997-03-19,1517.0,1517.0,1560.0,1491.0,42100
1997-03-20,1575.0,1485.0,1581.0,1485.0,96300
1997-03-21,1549.0,1560.0,1571.0,1517.0,54300
1997-03-22,1543.0,1549.0,1587.0,1544.0,65600
1997-03-24,1480.0,1485.0,1485.0,1421.0,115600
1997-03-25,1554.0,1464.0,1581.0,1464.0,36800
1997-03-26,1575.0,1496.0,1592.0,1496.0,76900
1997-03-27,1575.0,1576.0,1650.0,1576.0,105400
1997-03-28,1549.0,1592.0,1624.0,1544.0,24200
1997-03-29,1543.0,1517.0,1549.0,1517.0,13000
1997-03-31,1549.0,1544.0,1581.0,1491.0,24300
1997-04-01,1586.0,1571.0,1587.0,1517.0,31800
1997-04-02,1586.0,1624.0,1629.0,1587.0,22300
1997-04-03,1650.0,1592.0,1709.0,1581.0,120400
1997-04-04,1597.0,1650.0,1650.0,1544.0,68100
1997-04-07,1549.0,1597.0,1597.0,1549.0,37000
1997-04-08,1496.0,1549.0,1549.0,1443.0,37100
1997-04-09,1517.0,1496.0,1539.0,1496.0,30200
1997-04-10,1517.0,1501.0,1624.0,1501.0,12100
1997-04-11,1570.0,1517.0,1597.0,1501.0,114700
1997-04-12,1650.0,1597.0,1650.0,1597.0,87100
1997-04-14,1623.0,1661.0,1661.0,1597.0,41800
1997-04-15,1639.0,1608.0,1741.0,1597.0,262500
