date,close,open,high,low,volume
2008-03-28,31404.0,31832.0,32023.0,31165.0,224877
2008-03-31,32025.0,31641.0,32261.0,31641.0,172015
2008-04-01,32454.0,32358.0,33024.0,32071.0,210954
2008-04-02,32932.0,33122.0,33169.0,32453.0,204094
2008-04-03,32311.0,33265.0,33313.0,32168.0,208341
2008-04-04,31834.0,32452.0,32500.0,31737.0,191205
2008-04-07,31882.0,32070.0,32118.0,31737.0,99452
2008-04-08,31977.0,31929.0,32262.0,31690.0,172460
2008-04-10,31404.0,31880.0,31880.0,31212.0,179316
2008-04-11,31500.0,31498.0,31831.0,31259.0,122158
2008-04-14,30497.0,31354.0,31354.0,30401.0,179550
2008-04-15,30259.0,30543.0,30829.0,30210.0,119542
2008-04-16,30307.0,30352.0,30591.0,30019.0,251784
2008-04-17,30736.0,30545.0,31404.0,30497.0,205685
2008-04-18,30832.0,31164.0,31164.0,30735.0,95203
2008-04-21,30736.0,30879.0,31308.0,30736.0,223518
2008-04-22,30211.0,30783.0,30830.0,30211.0,245336
2008-04-23,30163.0,30067.0,30449.0,29924.0,164442
2008-04-24,30259.0,30210.0,30973.0,30114.0,254519
2008-04-25,30927.0,30877.0,31117.0,30449.0,321885
2008-04-28,30354.0,30926.0,30974.0,30306.0,179838
2008-04-29,29495.0,30304.0,30352.0,29351.0,251647
2008-04-30,30020.0,29972.0,30163.0,29685.0,111142
2008-05-02,30450.0,30782.0,30782.0,30353.0,160241
2008-05-06,29686.0,30304.0,30304.0,29590.0,298988
2008-05-07,29352.0,29683.0,29731.0,29256.0,227126
2008-05-08,29257.0,29017.0,29351.0,28778.0,218121
2008-05-09,29066.0,29160.0,29208.0,28921.0,142090
2008-05-13,29018.0,29256.0,29399.0,28921.0,186792
2008-05-14,28684.0,28968.0,29064.0,28587.0,227637
2008-05-15,28970.0,28922.0,29209.0,28779.0,217592
2008-05-16,29018.0,29160.0,29208.0,28873.0,187270
2008-05-19,28779.0,28922.0,28970.0,28683.0,212973
2008-05-20,28732.0,28777.0,28872.0,28682.0,157879
2008-05-21,28302.0,28538.0,28586.0,28158.0,210386
2008-05-22,27300.0,27681.0,27918.0,27108.0,358083
2008-05-23,27061.0,27394.0,27490.0,27012.0,190949
2008-05-26,25963.0,26963.0,26963.0,25771.0,235833
2008-05-27,26727.0,25867.0,26725.0,25771.0,186573
2008-05-28,27729.0,27346.0,28061.0,27155.0,358617
2008-05-29,28111.0,27681.0,28299.0,27203.0,230390
2008-05-30,27586.0,28729.0,28729.0,27346.0,342558
2008-06-02,28063.0,27824.0,28301.0,27346.0,111868
2008-06-03,27204.0,27679.0,27726.0,27203.0,146531
2008-06-04,28063.0,27727.0,28110.0,27584.0,107722
2008-06-05,28445.0,28636.0,28827.0,28300.0,147133
2008-06-09,27348.0,26725.0,27394.0,26582.0,145757
2008-06-10,26870.0,27490.0,27681.0,26774.0,111631
2008-06-11,27252.0,27109.0,27300.0,26870.0,105475
2008-06-12,26679.0,26583.0,26918.0,26344.0,130267
2008-06-13,26775.0,26820.0,27202.0,26391.0,83493
2008-06-16,27586.0,27346.0,27631.0,27299.0,135557
2008-06-17,27491.0,27203.0,27633.0,26964.0,99460
2008-06-18,27825.0,27491.0,27919.0,27443.0,97856
2008-06-19,27348.0,27441.0,27489.0,27251.0,64121
2008-06-20,27729.0,28108.0,28252.0,27633.0,136218
2008-06-23,27538.0,27442.0,27871.0,27203.0,87357
2008-06-24,27252.0,27394.0,27537.0,27061.0,79844
2008-06-25,27395.0,27251.0,27489.0,26964.0,61107
2008-06-26,27395.0,27583.0,27774.0,27346.0,89735
2008-06-27,27013.0,26439.0,27012.0,26391.0,87471
2008-06-30,26250.0,26822.0,26822.0,26248.0,100034
2008-07-01,25868.0,25915.0,26152.0,25866.0,101882
2008-07-02,24627.0,25818.0,25914.0,24483.0,144926
2008-07-03,23625.0,23623.0,24148.0,23004.0,161950
2008-07-04,23076.0,22669.0,23577.0,22669.0,130010
