date,close,open,high,low,volume
2011-07-22,9200.0,8000.0,9200.0,8000.0,1675580
2011-07-25,9100.0,9280.0,10200.0,8910.0,10307310
2011-07-26,8330.0,9430.0,9570.0,8100.0,3304192
2011-07-27,8020.0,8380.0,8400.0,7760.0,1892942
2011-07-28,8260.0,7800.0,8920.0,7800.0,2296808
2011-07-29,8080.0,8260.0,8490.0,8080.0,731220
2011-08-01,8030.0,8230.0,8300.0,7920.0,612336
2011-08-02,7440.0,7960.0,8020.0,7350.0,826105
2011-08-03,7050.0,7190.0,7280.0,6930.0,804198
2011-08-04,6420.0,7170.0,7210.0,6180.0,615723
2011-08-05,5460.0,5630.0,5800.0,5460.0,1308181
2011-08-08,5360.0,5160.0,5670.0,4650.0,982876
2011-08-09,5610.0,5000.0,5900.0,4650.0,881291
2011-08-10,5720.0,6200.0,6200.0,5720.0,682752
2011-08-11,6310.0,5250.0,6430.0,5240.0,963016
2011-08-12,6080.0,6560.0,6750.0,6020.0,696227
2011-08-16,6210.0,6370.0,6480.0,6210.0,314984
2011-08-17,6390.0,6230.0,6410.0,6110.0,386078
2011-08-18,6840.0,6580.0,7110.0,6520.0,1334154
2011-08-19,5820.0,6490.0,6640.0,5820.0,538794
2011-08-22,4950.0,5420.0,5770.0,4950.0,2498727
2011-08-23,5200.0,5080.0,5310.0,4910.0,794223
2011-08-24,5020.0,5360.0,5420.0,5020.0,575947
2011-08-25,5010.0,5200.0,5280.0,5010.0,462139
2011-08-26,5120.0,5010.0,5120.0,4950.0,239414
2011-08-29,5330.0,5250.0,5360.0,5180.0,410889
2011-08-30,5330.0,5450.0,5540.0,5300.0,485794
2011-08-31,5800.0,5330.0,5810.0,5290.0,1020980
2011-09-01,5510.0,5900.0,5970.0,5430.0,840317
2011-09-02,5390.0,5480.0,5570.0,5300.0,387308
2011-09-05,5080.0,5200.0,5250.0,5080.0,326590
2011-09-06,5040.0,4910.0,5200.0,4905.0,287188
2011-09-07,5160.0,5150.0,5290.0,5110.0,209020
2011-09-08,5060.0,5230.0,5260.0,5050.0,236071
2011-09-09,5030.0,5060.0,5130.0,5000.0,166571
2011-09-14,4750.0,5050.0,5080.0,4750.0,188442
2011-09-15,4650.0,4860.0,4960.0,4520.0,233948
2011-09-16,4720.0,4870.0,4870.0,4705.0,307052
