date,close,open,high,low,volume
2003-12-24,6700.0,6750.0,6770.0,6670.0,3888433
2003-12-26,6700.0,6670.0,6710.0,6640.0,1427373
2003-12-29,6430.0,6600.0,6600.0,6390.0,1798088
2003-12-30,6600.0,6520.0,6680.0,6510.0,2590073
2004-01-02,6790.0,6680.0,6790.0,6680.0,2735106
2004-01-05,6940.0,6790.0,6940.0,6710.0,3260701
2004-01-06,7290.0,7020.0,7320.0,7000.0,8015364
2004-01-07,7340.0,7350.0,7430.0,7200.0,4004566
2004-01-08,7130.0,7330.0,7330.0,7130.0,2068246
2004-01-09,7330.0,7200.0,7330.0,7150.0,3194960
2004-01-12,7590.0,7270.0,7590.0,7270.0,2963200
2004-01-13,7600.0,7610.0,7780.0,7550.0,3910366
2004-01-14,7490.0,7570.0,7600.0,7390.0,1644610
2004-01-15,7270.0,7470.0,7470.0,7220.0,1165955
2004-01-16,7250.0,7310.0,7380.0,7220.0,922724
2004-01-19,7350.0,7260.0,7430.0,7260.0,1188600
2004-01-20,7400.0,7320.0,7490.0,7320.0,969956
2004-01-26,7510.0,7380.0,7510.0,7270.0,1122771
2004-01-27,7400.0,7580.0,7590.0,7390.0,957522
2004-01-28,7210.0,7350.0,7390.0,7200.0,981293
2004-01-29,7060.0,7130.0,7230.0,7010.0,1513666
2004-01-30,7070.0,7040.0,7200.0,7040.0,1369111
2004-02-02,7100.0,7060.0,7100.0,7020.0,786109
2004-02-03,7090.0,7050.0,7090.0,6850.0,1743732
2004-02-04,7050.0,7040.0,7130.0,6990.0,1011280
2004-02-05,6990.0,7050.0,7060.0,6970.0,799160
2004-02-06,6920.0,7000.0,7020.0,6920.0,730440
2004-02-09,7100.0,7000.0,7110.0,6970.0,1295064
2004-02-10,7100.0,7150.0,7200.0,7050.0,1062224
2004-02-11,7080.0,7100.0,7140.0,7000.0,743420
2004-02-12,7100.0,7120.0,7140.0,7020.0,1052185
2004-02-13,7300.0,7060.0,7300.0,7060.0,2117110
2004-02-16,7750.0,7500.0,7870.0,7490.0,7455454
2004-02-17,8040.0,7830.0,8080.0,7770.0,6467575
