date,close,open,high,low,volume
2007-06-27,61200.0,62200.0,63200.0,58300.0,6559871
2007-06-28,58000.0,60500.0,60800.0,57700.0,1761128
2007-06-29,56800.0,58000.0,59800.0,56600.0,1161880
2007-07-02,57000.0,56500.0,57500.0,56200.0,605419
2007-07-03,59700.0,57600.0,59800.0,57000.0,1067955
2007-07-04,59500.0,60400.0,60500.0,59300.0,606237
2007-07-05,58800.0,58700.0,59200.0,58200.0,570849
2007-07-06,57700.0,59000.0,59300.0,57700.0,508565
2007-07-09,58000.0,57500.0,58400.0,57500.0,451870
2007-07-10,58100.0,58300.0,59000.0,58000.0,529867
2007-07-11,58800.0,58100.0,58800.0,58000.0,391310
2007-07-12,62000.0,58800.0,62000.0,58500.0,1260237
2007-07-13,65000.0,63000.0,65500.0,61300.0,2134277
2007-07-16,66400.0,65400.0,68100.0,64000.0,1212094
2007-07-18,66900.0,66400.0,68100.0,65600.0,1038298
2007-07-19,68000.0,66900.0,68000.0,66200.0,523756
2007-07-20,67900.0,68200.0,68400.0,66700.0,484453
2007-07-23,67700.0,67800.0,67900.0,66200.0,378322
2007-07-24,66200.0,67300.0,67600.0,66000.0,402467
2007-07-25,64700.0,65200.0,66200.0,64100.0,590451
2007-07-26,63600.0,65000.0,65900.0,62800.0,489630
2007-07-27,61700.0,61500.0,62500.0,60100.0,504882
2007-07-30,61700.0,60800.0,62100.0,60300.0,318672
2007-07-31,66900.0,62200.0,66900.0,62000.0,589377
2007-08-01,63100.0,65600.0,66000.0,62600.0,359886
2007-08-02,62300.0,64200.0,64500.0,60500.0,409772
2007-08-03,61800.0,63500.0,63600.0,61400.0,330542
2007-08-06,61700.0,60300.0,62800.0,60300.0,263706
2007-08-07,61400.0,62500.0,62700.0,61100.0,238743
2007-08-08,62800.0,61800.0,62900.0,61300.0,433847
2007-08-09,61900.0,63600.0,63600.0,61500.0,239450
2007-08-10,59700.0,60600.0,61000.0,59100.0,295459
2007-08-13,58600.0,59800.0,59900.0,57800.0,290282
2007-08-14,58400.0,58600.0,59500.0,57500.0,198740
2007-08-16,54200.0,55900.0,55900.0,53000.0,636446
2007-08-17,52000.0,54500.0,55000.0,52000.0,419749
2007-08-20,55000.0,53500.0,55600.0,53300.0,222529
2007-08-21,53900.0,55300.0,55400.0,53800.0,196233
2007-08-22,55100.0,54300.0,55100.0,53900.0,215969
2007-08-23,57200.0,56300.0,57400.0,55900.0,222411
2007-08-24,57200.0,56900.0,57200.0,55800.0,99427
2007-08-27,56000.0,58200.0,58500.0,55400.0,189409
2007-08-28,55600.0,55400.0,56300.0,54800.0,150396
2007-08-29,55000.0,53400.0,55200.0,53200.0,377098
2007-08-30,57300.0,55500.0,57500.0,55500.0,346507
2007-08-31,57600.0,56800.0,57800.0,56700.0,206368
2007-09-03,58500.0,57800.0,58500.0,57500.0,148795
2007-09-04,57200.0,58300.0,59200.0,57200.0,104149
2007-09-05,57400.0,57800.0,57900.0,57100.0,162479
2007-09-06,56400.0,56900.0,57200.0,56000.0,149504
2007-09-07,56000.0,56700.0,56900.0,55700.0,157393
2007-09-10,54500.0,54800.0,55100.0,54000.0,183951
2007-09-11,53800.0,54700.0,54900.0,53100.0,243300
2007-09-12,53700.0,54100.0,54400.0,53600.0,105313
2007-09-13,54300.0,53300.0,54300.0,53100.0,179978
2007-09-14,53300.0,54700.0,54700.0,53300.0,258121
2007-09-17,55200.0,53600.0,55200.0,53500.0,205565
2007-09-18,55500.0,55400.0,56100.0,54500.0,172476
2007-09-19,57000.0,56600.0,57600.0,56200.0,384351
2007-09-20,54400.0,56000.0,56400.0,54200.0,357752
2007-09-21,56200.0,54500.0,56200.0,54200.0,219063
2007-09-27,56700.0,56800.0,57000.0,55600.0,254613
2007-09-28,56500.0,57100.0,57200.0,55900.0,145710
2007-10-01,55500.0,56800.0,56800.0,55100.0,224051
2007-10-02,57200.0,56400.0,57900.0,56100.0,542217
2007-10-04,58700.0,57000.0,58700.0,56800.0,562953
2007-10-05,60600.0,58700.0,60600.0,58700.0,604122
2007-10-08,60400.0,61100.0,61300.0,59900.0,531584
2007-10-09,60000.0,60500.0,60500.0,59400.0,271325
2007-10-10,60800.0,60700.0,61000.0,60200.0,300761
2007-10-11,61500.0,60800.0,62200.0,60100.0,492726
2007-10-12,60100.0,61000.0,61300.0,59700.0,556076
2007-10-15,64000.0,61200.0,64700.0,61000.0,1058335
2007-10-16,61000.0,63500.0,64600.0,61000.0,583676
2007-10-17,61800.0,61700.0,62500.0,60100.0,519807
2007-10-18,64900.0,61900.0,65200.0,61900.0,794433
2007-10-19,63600.0,65800.0,66200.0,63400.0,841072
2007-10-22,62000.0,59100.0,62400.0,59000.0,392732
2007-10-23,63200.0,63000.0,64400.0,62300.0,352945
2007-10-24,60600.0,63700.0,63800.0,60600.0,397837
2007-10-25,60600.0,61900.0,62000.0,58800.0,369152
2007-10-26,61000.0,60800.0,62300.0,59300.0,349374
2007-10-29,64500.0,62000.0,65000.0,61300.0,782485
2007-10-30,63600.0,64800.0,64900.0,62500.0,463194
