date,close,open,high,low,volume
1996-11-22,8972.0,8973.0,8973.0,8973.0,0
1996-11-25,9627.0,9628.0,9628.0,9628.0,190
1996-11-26,9693.0,10348.0,10348.0,9693.0,80
1996-11-27,10086.0,10086.0,10086.0,10086.0,0
1996-11-28,10086.0,10086.0,10086.0,10086.0,0
1996-11-29,10086.0,10086.0,10086.0,10086.0,0
1996-11-30,10086.0,10086.0,10086.0,10086.0,0
1996-12-02,10086.0,10086.0,10086.0,10086.0,0
1996-12-03,10086.0,10086.0,10086.0,10086.0,0
1996-12-04,10086.0,10086.0,10086.0,10086.0,0
1996-12-05,10086.0,10086.0,10086.0,10086.0,0
1996-12-06,10086.0,10086.0,10086.0,10086.0,0
1996-12-07,10479.0,10479.0,10479.0,10479.0,0
1996-12-09,10479.0,10479.0,10479.0,10479.0,0
1996-12-10,10479.0,10479.0,10479.0,10479.0,0
1996-12-11,10479.0,10479.0,10479.0,10479.0,0
1996-12-12,10479.0,10479.0,10479.0,10479.0,0
1996-12-13,10479.0,10479.0,10479.0,10479.0,0
1996-12-14,10610.0,10610.0,10610.0,10610.0,0
1996-12-16,10610.0,10610.0,10610.0,10610.0,0
1996-12-17,10610.0,10610.0,10610.0,10610.0,0
1996-12-18,10610.0,10610.0,10610.0,10610.0,0
1996-12-19,10610.0,10610.0,10610.0,10610.0,0
1996-12-20,10610.0,10610.0,10610.0,10610.0,0
1996-12-21,10610.0,10610.0,10610.0,10610.0,0
1996-12-23,10544.0,10545.0,10545.0,10545.0,10
1996-12-24,10544.0,10545.0,10545.0,10545.0,0
1996-12-26,10544.0,10545.0,10545.0,10545.0,0
1996-12-27,10544.0,10545.0,10545.0,10545.0,0
1997-01-03,10984.0,10545.0,10984.0,10369.0,1430
1997-01-04,10720.0,10633.0,10808.0,10633.0,4940
1997-01-06,10281.0,10545.0,10545.0,10193.0,5290
1997-01-07,9929.0,10018.0,10105.0,9842.0,12160
1997-01-08,10281.0,9930.0,10281.0,9842.0,6790
1997-01-09,10369.0,9930.0,10369.0,9930.0,6400
1997-01-10,10808.0,10281.0,11072.0,10018.0,18330
1997-01-11,11599.0,10808.0,11599.0,10808.0,15960
1997-01-13,11775.0,11687.0,12039.0,11687.0,23540
1997-01-14,11775.0,11775.0,11775.0,11072.0,35440
1997-01-15,12653.0,11775.0,12654.0,11775.0,47570
1997-01-16,12917.0,12654.0,13181.0,12478.0,65880
1997-01-17,12653.0,12390.0,13357.0,12390.0,27420
1997-01-18,13181.0,12478.0,13357.0,12478.0,39020
1997-01-20,13532.0,13357.0,13884.0,13181.0,29500
1997-01-21,13356.0,13533.0,13708.0,13005.0,41210
1997-01-22,13708.0,13269.0,14060.0,13181.0,47480
1997-01-23,14762.0,13708.0,14763.0,13708.0,60810
1997-01-24,14938.0,14499.0,15378.0,14411.0,50800
1997-01-25,14499.0,14763.0,14763.0,14148.0,13190
1997-01-27,13356.0,14499.0,14499.0,13357.0,24860
1997-01-28,12741.0,12742.0,13093.0,12478.0,15920
1997-01-29,12565.0,12830.0,13533.0,12302.0,26530
1997-01-30,13005.0,12566.0,13005.0,12566.0,12520
1997-01-31,12917.0,13005.0,13181.0,12566.0,4670
1997-02-01,12478.0,12742.0,12917.0,12127.0,4470
1997-02-03,12653.0,12478.0,13181.0,12478.0,17940
1997-02-04,12653.0,12742.0,13093.0,12654.0,12840
1997-02-05,12653.0,12742.0,12742.0,12654.0,8700
1997-02-06,12653.0,12742.0,12830.0,12654.0,6500
1997-02-10,12741.0,12390.0,12742.0,12390.0,7710
1997-02-11,13268.0,12742.0,13445.0,12742.0,19710
1997-02-12,13884.0,14060.0,14060.0,13445.0,19490
1997-02-13,13181.0,13181.0,13884.0,13181.0,6420
1997-02-14,13005.0,12742.0,13181.0,12742.0,7530
1997-02-15,13181.0,12830.0,13445.0,12830.0,13320
1997-02-17,12741.0,12742.0,13269.0,12742.0,12350
1997-02-18,12741.0,12742.0,13005.0,12742.0,14560
1997-02-19,12829.0,12830.0,13005.0,12742.0,9640
1997-02-20,13005.0,12830.0,13005.0,12478.0,11520
1997-02-21,13181.0,13005.0,13708.0,13005.0,27430
1997-02-22,12917.0,13181.0,13181.0,12830.0,4040
1997-02-24,12917.0,13093.0,13445.0,12917.0,14010
1997-02-25,12917.0,12917.0,13005.0,12917.0,13750
1997-02-26,13884.0,12917.0,13884.0,12917.0,26400
1997-02-27,14235.0,14236.0,14939.0,13620.0,67080
1997-02-28,14147.0,14060.0,14939.0,14060.0,53070
1997-03-03,13971.0,14236.0,14323.0,13796.0,22030
1997-03-04,13796.0,13972.0,13972.0,13533.0,16900
1997-03-05,14850.0,13796.0,14851.0,13708.0,40940
1997-03-06,14059.0,14763.0,14763.0,14060.0,14870
1997-03-07,13708.0,14060.0,14060.0,13005.0,13060
1997-03-08,13620.0,13357.0,13972.0,13357.0,5710
1997-03-10,13708.0,13181.0,13796.0,13181.0,10310
1997-03-11,13620.0,13796.0,14236.0,13620.0,18710
1997-03-12,13532.0,13708.0,13884.0,13181.0,18520
1997-03-13,13620.0,13620.0,13796.0,13357.0,15190
1997-03-14,13181.0,13620.0,13708.0,12742.0,13880
1997-03-15,13356.0,13269.0,13533.0,13269.0,3630
1997-03-17,13884.0,13357.0,13972.0,13357.0,13630
1997-03-18,13532.0,13972.0,14060.0,13181.0,6090
1997-03-19,14059.0,13620.0,14323.0,13620.0,27380
1997-03-20,13620.0,14236.0,14236.0,13357.0,7120
1997-03-21,14059.0,13620.0,14587.0,13620.0,64100
1997-03-22,14059.0,14236.0,14587.0,14060.0,38460
1997-03-24,13268.0,13972.0,14323.0,13181.0,36490
1997-03-25,13620.0,13269.0,13884.0,13269.0,11270
1997-03-26,13532.0,13620.0,13796.0,13533.0,9020
1997-03-27,13620.0,13533.0,13796.0,13533.0,19670
1997-03-28,13796.0,13620.0,13884.0,13620.0,9090
1997-03-29,13444.0,13357.0,13708.0,13357.0,2270
1997-03-31,13532.0,13533.0,13708.0,13357.0,15820
1997-04-01,13884.0,13972.0,14323.0,13796.0,35730
1997-04-02,13884.0,13972.0,14236.0,13708.0,14330
1997-04-03,13971.0,13884.0,14587.0,13884.0,38840
1997-04-04,14059.0,14060.0,14323.0,13972.0,32920
1997-04-07,14235.0,14323.0,14763.0,14236.0,59600
1997-04-08,15290.0,14499.0,15290.0,14236.0,67500
1997-04-09,15729.0,15290.0,16257.0,15114.0,110690
1997-04-10,15465.0,15817.0,15905.0,15290.0,36740
1997-04-11,15729.0,15642.0,16257.0,15290.0,44220
1997-04-12,15641.0,15905.0,16169.0,15378.0,17430
1997-04-14,15114.0,15642.0,15642.0,14587.0,22530
1997-04-15,14762.0,15202.0,15202.0,14587.0,21290
1997-04-16,14938.0,14851.0,14939.0,14587.0,17770
1997-04-17,14938.0,14939.0,14939.0,14939.0,0
1997-04-18,14411.0,14499.0,15026.0,14236.0,38720
1997-04-19,14938.0,14411.0,15378.0,14148.0,18600
1997-04-21,14235.0,15114.0,15202.0,14236.0,8400
1997-04-22,13971.0,14236.0,14236.0,13796.0,12720
1997-04-23,14059.0,14236.0,14236.0,13884.0,3620
1997-04-24,13971.0,14236.0,14323.0,13796.0,11830
1997-04-25,14674.0,13972.0,14939.0,13972.0,12220
1997-04-26,14499.0,14060.0,14675.0,14060.0,10000
1997-04-28,14938.0,14499.0,15290.0,14323.0,23220
1997-04-29,14499.0,14587.0,14939.0,14499.0,12270
1997-04-30,14235.0,14587.0,14587.0,13884.0,7030
1997-05-02,13971.0,14060.0,14236.0,13884.0,4380
1997-05-03,14059.0,13445.0,14060.0,13445.0,4920
1997-05-06,15114.0,13884.0,15114.0,13884.0,50480
1997-05-07,15114.0,15466.0,15817.0,14939.0,129300
1997-05-08,14587.0,15114.0,15114.0,14499.0,9030
1997-05-09,14059.0,14763.0,14939.0,14060.0,19040
1997-05-10,13620.0,13972.0,14236.0,13620.0,12080
1997-05-12,12741.0,13620.0,13884.0,12742.0,9800
1997-05-13,12478.0,12830.0,12917.0,12127.0,9180
1997-05-15,13444.0,12654.0,13445.0,12566.0,12920
1997-05-16,13093.0,13445.0,13445.0,12917.0,5050
1997-05-17,12917.0,12917.0,13005.0,12830.0,6020
1997-05-19,13444.0,13005.0,13533.0,13005.0,8530
1997-05-20,13181.0,13445.0,13445.0,13005.0,8920
1997-05-21,13181.0,13181.0,13357.0,13005.0,13880
1997-05-22,12653.0,13181.0,13181.0,12566.0,9590
1997-05-23,12390.0,12302.0,13093.0,12302.0,4600
1997-05-24,12741.0,13357.0,13357.0,12566.0,3220
1997-05-26,12829.0,12566.0,13269.0,12566.0,2120
1997-05-27,13005.0,13005.0,13357.0,13005.0,105480
1997-05-28,12741.0,13005.0,13005.0,12302.0,12870
1997-05-29,12126.0,12654.0,12654.0,12039.0,30000
1997-05-30,12214.0,12127.0,12302.0,11863.0,14930
1997-05-31,12214.0,12214.0,12566.0,12039.0,7400
1997-06-02,11950.0,12302.0,12302.0,11863.0,9730
1997-06-03,11687.0,11951.0,11951.0,11599.0,9090
1997-06-04,11599.0,11687.0,11687.0,11424.0,10420
1997-06-05,11687.0,11511.0,11951.0,11511.0,5970
1997-06-07,12038.0,11863.0,12039.0,11687.0,10450
1997-06-09,12038.0,12127.0,12127.0,11863.0,6600
1997-06-10,11950.0,12039.0,12039.0,11775.0,8660
1997-06-11,12038.0,11951.0,12039.0,11687.0,4470
1997-06-12,11950.0,12039.0,12039.0,11775.0,1700
1997-06-13,11775.0,11775.0,11951.0,11599.0,4290
1997-06-14,11511.0,11599.0,11687.0,11424.0,5630
1997-06-16,11423.0,11511.0,11511.0,10721.0,8870
1997-06-17,11950.0,11511.0,12302.0,11424.0,22270
1997-06-18,11862.0,11511.0,12039.0,11511.0,10830
1997-06-19,12214.0,11511.0,12302.0,11511.0,24840
1997-06-20,12741.0,12214.0,13093.0,12127.0,34880
1997-06-21,12829.0,12742.0,13005.0,12742.0,15610
1997-06-23,12126.0,12830.0,12830.0,12127.0,19030
1997-06-24,12829.0,12214.0,12830.0,11951.0,22100
1997-06-25,12653.0,12566.0,12742.0,12478.0,14810
1997-06-26,12653.0,12654.0,12742.0,12566.0,10710
1997-06-27,12653.0,12654.0,12654.0,12302.0,6740
1997-06-28,12653.0,12390.0,12654.0,11775.0,8850
1997-06-30,12829.0,12654.0,13181.0,12302.0,26150
