date,close,open,high,low,volume
2010-04-29,81100.0,88500.0,88500.0,81100.0,12124
2010-04-30,80500.0,81200.0,82900.0,79100.0,9254
2010-05-03,79000.0,80500.0,80500.0,78200.0,5458
2010-05-04,78500.0,79000.0,79300.0,78200.0,3309
2010-05-06,76900.0,78000.0,78900.0,76700.0,8671
2010-05-07,78200.0,76900.0,79100.0,75200.0,6850
2010-05-10,78100.0,78000.0,78200.0,77500.0,4120
2010-05-11,78100.0,77100.0,78800.0,77100.0,3338
2010-05-12,77900.0,78000.0,78000.0,77400.0,1612
2010-05-13,77900.0,77800.0,78500.0,77000.0,4012
2010-05-14,77800.0,77800.0,77900.0,77200.0,5586
2010-05-17,76900.0,77800.0,77800.0,75000.0,6946
2010-05-18,74600.0,77000.0,77000.0,73700.0,11508
2010-05-19,74800.0,74600.0,76000.0,74000.0,6862
2010-05-20,74800.0,74600.0,75000.0,73500.0,7408
2010-05-24,74000.0,74100.0,74800.0,73700.0,5833
2010-05-25,72200.0,73900.0,73900.0,71500.0,10255
2010-05-26,72500.0,71100.0,74000.0,71100.0,3171
2010-05-27,72500.0,74000.0,74000.0,71900.0,2207
2010-05-28,72000.0,72200.0,72500.0,71500.0,4513
2010-05-31,72200.0,72000.0,72800.0,71200.0,3248
2010-06-01,72000.0,72000.0,72500.0,71500.0,3194
2010-06-03,71600.0,73000.0,73300.0,71600.0,8114
2010-06-04,72000.0,71200.0,72000.0,71100.0,2391
2010-06-07,71300.0,71500.0,72000.0,71000.0,1694
2010-06-08,72000.0,72400.0,72400.0,71400.0,15073
2010-06-09,72000.0,72000.0,72100.0,71500.0,6124
2010-06-10,73200.0,72300.0,73300.0,71700.0,1347
2010-06-11,73400.0,73700.0,73700.0,73000.0,1674
2010-06-14,73500.0,74600.0,74600.0,73300.0,2005
2010-06-15,76500.0,72700.0,76700.0,72700.0,5949
2010-06-16,75800.0,76500.0,76500.0,74300.0,3139
2010-06-17,76700.0,76100.0,76700.0,74800.0,5993
2010-06-18,75900.0,76700.0,77700.0,75900.0,2409
2010-06-21,75000.0,77700.0,77700.0,75000.0,2449
2010-06-22,78200.0,75800.0,78700.0,75000.0,6216
2010-06-23,77900.0,78200.0,78200.0,76800.0,1307
2010-06-24,75800.0,78000.0,78400.0,75800.0,2224
