date,close,open,high,low,volume
2000-10-25,3833.0,3976.0,4474.0,3824.0,7139513
2000-10-26,3283.0,3755.0,3770.0,3257.0,4280466
2000-10-27,3286.0,3327.0,3468.0,3250.0,3143226
2000-10-30,3309.0,3289.0,3475.0,3289.0,1700566
2000-10-31,3213.0,3280.0,3303.0,3097.0,1430373
2000-11-01,3328.0,3234.0,3365.0,3189.0,1764013
2000-11-02,3328.0,3250.0,3365.0,3231.0,1001509
2000-11-03,3343.0,3342.0,3502.0,3303.0,1134901
2000-11-06,3313.0,3311.0,3376.0,3289.0,826435
2000-11-07,3252.0,3292.0,3311.0,3250.0,636316
2000-11-08,3229.0,3213.0,3273.0,3181.0,485828
2000-11-09,3186.0,3250.0,3250.0,3181.0,390094
2000-11-10,3137.0,3204.0,3227.0,3120.0,470076
2000-11-13,3083.0,3067.0,3089.0,3013.0,895934
2000-11-14,3114.0,3067.0,3124.0,3021.0,454092
2000-11-15,3114.0,3097.0,3135.0,3085.0,550399
2000-11-16,3094.0,3085.0,3105.0,3071.0,229751
2000-11-17,3030.0,3067.0,3071.0,3027.0,409060
2000-11-20,2995.0,3027.0,3048.0,2995.0,285460
2000-11-21,2930.0,2983.0,2983.0,2802.0,717200
2000-11-22,3060.0,2929.0,3059.0,2929.0,548582
2000-11-23,3034.0,2990.0,3081.0,2955.0,334503
2000-11-24,3037.0,2986.0,3036.0,2971.0,346699
2000-11-27,3018.0,3059.0,3059.0,3017.0,150488
2000-11-28,3037.0,3013.0,3048.0,3001.0,329994
2000-11-29,2999.0,3013.0,3013.0,2944.0,172081
2000-11-30,3007.0,2978.0,3005.0,2944.0,201256
2000-12-01,3037.0,2983.0,3039.0,2921.0,282925
2000-12-04,2983.0,3036.0,3036.0,2937.0,246836
2000-12-05,2983.0,2974.0,3013.0,2948.0,122411
2000-12-06,2983.0,3013.0,3013.0,2974.0,192590
2000-12-07,2907.0,2951.0,3001.0,2906.0,300701
2000-12-08,2892.0,2913.0,2937.0,2883.0,200759
2000-12-11,2907.0,2890.0,2913.0,2890.0,230157
2000-12-12,2907.0,2913.0,2921.0,2867.0,576514
2000-12-13,3343.0,3128.0,3342.0,3059.0,2472978
2000-12-14,3519.0,3507.0,3747.0,3391.0,3199798
2000-12-15,3362.0,3289.0,3525.0,3257.0,1219588
2000-12-18,3229.0,3196.0,3289.0,3071.0,756413
2000-12-19,3183.0,3081.0,3181.0,2944.0,708886
2000-12-20,2831.0,3067.0,3074.0,2795.0,586985
2000-12-21,2968.0,2913.0,2967.0,2570.0,452574
2000-12-22,2677.0,2913.0,2983.0,2677.0,307707
2000-12-26,2892.0,2691.0,2890.0,2592.0,583861
2001-01-02,2870.0,2791.0,2944.0,2753.0,173624
2001-01-03,2796.0,2753.0,2867.0,2753.0,260926
2001-01-04,2865.0,2906.0,3048.0,2829.0,818618
2001-01-05,2946.0,2853.0,2963.0,2837.0,568084
2001-01-08,3060.0,2974.0,3120.0,2921.0,604788
2001-01-09,3266.0,3013.0,3266.0,2967.0,616447
2001-01-10,3060.0,3213.0,3266.0,3021.0,533969
2001-01-11,3060.0,3085.0,3108.0,3027.0,291943
2001-01-12,3053.0,2944.0,3120.0,2944.0,521368
2001-01-15,3041.0,3059.0,3089.0,2983.0,464352
2001-01-16,3065.0,3067.0,3208.0,2955.0,1140691
2001-01-17,2946.0,3081.0,3097.0,2925.0,430170
2001-01-18,3007.0,2906.0,3021.0,2890.0,537472
2001-01-19,2907.0,2967.0,3005.0,2906.0,511186
2001-01-22,2983.0,2910.0,2983.0,2906.0,369912
2001-01-26,2946.0,2983.0,3021.0,2925.0,287552
2001-01-29,2946.0,2944.0,2983.0,2917.0,230379
2001-01-30,2946.0,2951.0,2974.0,2940.0,290270
2001-01-31,2960.0,2967.0,2967.0,2929.0,401689
2001-02-01,2954.0,2944.0,2963.0,2917.0,187688
2001-02-02,2930.0,2944.0,2944.0,2906.0,136855
2001-02-05,2804.0,2906.0,2906.0,2791.0,171650
2001-02-06,2838.0,2799.0,2864.0,2768.0,118150
2001-02-07,2831.0,2791.0,2837.0,2772.0,89851
2001-02-08,2823.0,2776.0,2860.0,2776.0,61800
2001-02-09,2843.0,2791.0,2841.0,2791.0,131130
2001-02-12,2907.0,2867.0,2944.0,2853.0,232260
2001-02-13,2899.0,2872.0,2929.0,2872.0,146475
2001-02-14,2954.0,2886.0,2960.0,2886.0,167546
2001-02-15,2960.0,2960.0,3021.0,2937.0,263370
2001-02-16,2983.0,2983.0,3013.0,2951.0,154265
2001-02-19,2991.0,2967.0,2995.0,2951.0,100583
2001-02-20,3175.0,3005.0,3173.0,2974.0,380435
2001-02-21,3289.0,3213.0,3330.0,3097.0,534715
2001-02-22,3332.0,3365.0,3365.0,3213.0,432720
2001-02-23,3262.0,3289.0,3356.0,3219.0,260533
2001-02-26,3229.0,3219.0,3277.0,3213.0,308949
2001-02-27,3289.0,3250.0,3319.0,3227.0,275814
2001-02-28,3306.0,3227.0,3319.0,3227.0,213046
2001-03-02,3297.0,3327.0,3327.0,3234.0,371128
2001-03-05,3359.0,3250.0,3356.0,3243.0,230667
2001-03-06,3367.0,3396.0,3586.0,3334.0,599573
2001-03-07,3595.0,3403.0,3633.0,3387.0,862629
2001-03-08,3818.0,3670.0,3885.0,3648.0,867857
2001-03-09,3733.0,3740.0,3778.0,3594.0,347796
2001-03-12,3595.0,3663.0,3675.0,3533.0,229804
2001-03-13,3595.0,3081.0,3679.0,3081.0,300074
2001-03-14,3722.0,3603.0,3744.0,3603.0,268546
2001-03-15,3649.0,3572.0,3693.0,3556.0,232196
2001-03-16,3710.0,3603.0,3720.0,3603.0,209582
2001-03-19,3741.0,3663.0,3786.0,3663.0,164174
2001-03-20,3733.0,3747.0,3755.0,3679.0,168082
2001-03-21,3757.0,3670.0,3755.0,3670.0,300636
2001-03-22,3825.0,3702.0,3824.0,3702.0,468025
2001-03-23,3749.0,3809.0,3809.0,3709.0,350672
2001-03-26,3749.0,3716.0,3751.0,3709.0,170722
2001-03-27,3825.0,3709.0,3824.0,3709.0,2875386
2001-03-28,3786.0,3831.0,3831.0,3716.0,94557
2001-03-29,3665.0,3747.0,3786.0,3663.0,57055
2001-03-30,3634.0,3648.0,3663.0,3510.0,117143
2001-04-02,3557.0,3609.0,3609.0,3518.0,32390
2001-04-03,3313.0,3376.0,3549.0,3311.0,130449
2001-04-04,3420.0,3311.0,3502.0,3311.0,55827
2001-04-06,3512.0,3633.0,3633.0,3457.0,35776
2001-04-09,3496.0,3556.0,3556.0,3491.0,36168
2001-04-10,3496.0,3445.0,3533.0,3441.0,16405
2001-04-11,3519.0,3480.0,3594.0,3464.0,54794
2001-04-12,3515.0,3502.0,3518.0,3449.0,18770
2001-04-13,3542.0,3480.0,3633.0,3449.0,87615
2001-04-16,3519.0,3541.0,3594.0,3457.0,54559
2001-04-17,3519.0,3518.0,3541.0,3311.0,36612
2001-04-18,3557.0,3472.0,3583.0,3472.0,34716
2001-04-19,3634.0,3594.0,3740.0,3579.0,212158
2001-04-20,3702.0,3633.0,3786.0,3563.0,134921
2001-04-23,3673.0,3687.0,3724.0,3609.0,99158
2001-04-24,3710.0,3670.0,3709.0,3603.0,44508
2001-04-25,3642.0,3640.0,3702.0,3633.0,58441
2001-04-26,3656.0,3640.0,3732.0,3603.0,63394
2001-04-27,3679.0,3656.0,3687.0,3609.0,50716
2001-04-30,3710.0,3679.0,3724.0,3656.0,134933
2001-05-02,3679.0,3687.0,3763.0,3670.0,48820
2001-05-03,3679.0,3679.0,3702.0,3633.0,55552
2001-05-04,3696.0,3687.0,3702.0,3652.0,67786
2001-05-07,3665.0,3687.0,3709.0,3648.0,49017
2001-05-08,3642.0,3693.0,3693.0,3633.0,55120
2001-05-09,3702.0,3640.0,3800.0,3614.0,266480
2001-05-10,3722.0,3778.0,3892.0,3709.0,275004
2001-05-11,3719.0,3744.0,3824.0,3709.0,110569
2001-05-14,3848.0,3800.0,3854.0,3716.0,438171
2001-05-15,3955.0,3862.0,4053.0,3809.0,584567
2001-05-16,3863.0,4053.0,4053.0,3862.0,343561
2001-05-17,3856.0,3909.0,3954.0,3854.0,186421
2001-05-18,3795.0,3831.0,3839.0,3770.0,116568
2001-05-21,3902.0,3786.0,3900.0,3786.0,235253
2001-05-22,3940.0,3976.0,3999.0,3900.0,244574
