date,close,open,high,low,volume
1999-08-11,5750.0,5750.0,5750.0,5750.0,124900
1999-08-12,4890.0,5740.0,5740.0,4890.0,1666300
1999-08-13,4160.0,4500.0,4640.0,4160.0,676800
1999-08-16,4000.0,4080.0,4480.0,3850.0,925600
1999-08-17,3780.0,3850.0,4090.0,3400.0,593400
1999-08-18,3540.0,3510.0,3800.0,3510.0,390100
1999-08-19,3675.0,3540.0,3850.0,3425.0,335100
1999-08-20,3600.0,3750.0,3780.0,3520.0,259400
1999-08-23,3620.0,3620.0,3700.0,3510.0,210500
1999-08-24,3700.0,3620.0,3800.0,3550.0,433800
1999-08-25,3910.0,3700.0,3930.0,3700.0,365000
1999-08-26,3855.0,3910.0,3950.0,3850.0,168300
1999-08-27,3730.0,3750.0,3850.0,3700.0,142700
1999-08-30,3600.0,3680.0,3700.0,3570.0,137100
1999-08-31,3320.0,3070.0,3410.0,3070.0,274700
1999-09-01,3230.0,3200.0,3320.0,3200.0,139300
1999-09-02,3200.0,3230.0,3270.0,3120.0,183000
1999-09-03,3300.0,3100.0,3400.0,3100.0,154500
1999-09-06,3300.0,3250.0,3380.0,3200.0,107700
1999-09-07,3550.0,3320.0,3750.0,3320.0,343000
1999-09-08,3350.0,3450.0,3650.0,3350.0,118800
1999-09-09,3450.0,3600.0,3600.0,3380.0,90800
1999-09-10,3510.0,3450.0,3640.0,3420.0,150500
1999-09-13,3490.0,3460.0,3555.0,3460.0,140400
1999-09-14,3530.0,3495.0,3600.0,3450.0,207600
1999-09-15,3670.0,3540.0,3670.0,3540.0,154800
1999-09-16,3620.0,3715.0,3740.0,3610.0,195000
1999-09-17,3610.0,3620.0,3620.0,3520.0,107900
1999-09-20,3535.0,3610.0,3630.0,3470.0,101300
1999-09-21,3560.0,3500.0,3590.0,3500.0,69200
1999-09-22,3560.0,3515.0,3590.0,3460.0,115500
1999-09-27,3650.0,3560.0,3745.0,3500.0,185300
1999-09-28,3650.0,3630.0,3730.0,3630.0,169000
1999-09-29,3690.0,3645.0,3690.0,3550.0,190900
1999-09-30,3600.0,3690.0,3730.0,3550.0,218600
1999-10-01,3540.0,3520.0,3630.0,3450.0,151000
1999-10-04,3570.0,3505.0,3650.0,3300.0,173500
1999-10-05,3550.0,3570.0,3650.0,3550.0,103400
1999-10-06,3550.0,3510.0,3590.0,3510.0,94900
1999-10-07,3530.0,3510.0,3600.0,3470.0,61000
1999-10-08,3565.0,3510.0,3600.0,3505.0,158600
