date,close,open,high,low,volume
2003-09-04,12259.0,12867.0,13008.0,12259.0,160067
2003-09-05,13148.0,12306.0,13476.0,12306.0,332456
2003-09-08,13335.0,13242.0,13569.0,13008.0,212603
2003-09-09,13569.0,13476.0,13710.0,13289.0,145017
2003-09-15,13428.0,13476.0,13663.0,13289.0,108175
2003-09-16,13943.0,13382.0,14037.0,13289.0,136527
2003-09-17,14037.0,14037.0,14224.0,13850.0,163234
2003-09-18,14037.0,14037.0,14224.0,13897.0,95667
2003-09-19,14037.0,14271.0,14318.0,13990.0,116902
2003-09-22,13148.0,13569.0,13663.0,13008.0,166336
2003-09-23,13054.0,13008.0,13195.0,12680.0,72149
2003-09-24,13148.0,13148.0,13242.0,13055.0,78902
2003-09-25,13148.0,12914.0,13242.0,12821.0,55991
2003-09-26,13101.0,13101.0,13242.0,13008.0,43079
2003-09-29,13288.0,13101.0,13382.0,13101.0,41583
2003-09-30,12914.0,13148.0,13569.0,12727.0,119116
2003-10-01,12493.0,12774.0,12774.0,12399.0,84119
2003-10-02,12914.0,12680.0,12961.0,12633.0,63203
2003-10-06,12914.0,13101.0,13195.0,12821.0,35215
2003-10-07,13241.0,12914.0,13289.0,12914.0,48165
2003-10-08,13148.0,13195.0,13429.0,13101.0,33575
2003-10-09,13194.0,13148.0,13289.0,13148.0,20349
2003-10-10,13428.0,13289.0,13522.0,13242.0,68167
2003-10-13,13335.0,13289.0,13476.0,13242.0,29852
2003-10-14,13054.0,13335.0,13569.0,13008.0,79807
2003-10-15,13007.0,13055.0,13242.0,12961.0,35512
2003-10-16,13054.0,12961.0,13148.0,12914.0,39755
2003-10-17,12960.0,12867.0,13101.0,12821.0,67326
2003-10-20,13007.0,12821.0,13101.0,12821.0,23131
2003-10-21,13475.0,13055.0,13522.0,13055.0,61697
2003-10-22,13522.0,13429.0,13569.0,13242.0,33700
2003-10-23,13382.0,13382.0,13616.0,13195.0,63233
2003-10-24,13475.0,13569.0,13569.0,13289.0,34696
2003-10-27,13428.0,13476.0,13522.0,13335.0,21902
2003-10-28,13896.0,13382.0,13944.0,13382.0,79350
2003-10-29,13990.0,14037.0,14037.0,13756.0,79543
2003-10-30,13990.0,13990.0,13990.0,13990.0,0
2003-10-31,13990.0,13990.0,13990.0,13990.0,0
2003-11-03,13990.0,13990.0,13990.0,13990.0,0
2003-11-04,14739.0,14833.0,15301.0,14365.0,1864492
2003-11-05,14832.0,14973.0,15909.0,14411.0,2575465
2003-11-06,13943.0,15160.0,15160.0,13944.0,908955
2003-11-07,14083.0,13710.0,14084.0,13710.0,452860
2003-11-10,14317.0,13897.0,14458.0,13710.0,508863
2003-11-11,14224.0,13944.0,14411.0,13944.0,276250
2003-11-12,13943.0,14224.0,14458.0,13944.0,779919
2003-11-13,13709.0,13990.0,14084.0,13663.0,761588
2003-11-14,13662.0,13710.0,13850.0,13429.0,541172
2003-11-17,13990.0,13756.0,13990.0,13663.0,692905
2003-11-18,13756.0,13944.0,13990.0,13569.0,414594
2003-11-19,13709.0,13850.0,13944.0,13710.0,957314
2003-11-20,13522.0,13710.0,13850.0,13429.0,498000
2003-11-21,13475.0,13382.0,13663.0,13335.0,487188
2003-11-24,12727.0,13335.0,13429.0,12727.0,412980
2003-11-25,12633.0,12914.0,13055.0,12633.0,566520
2003-11-26,12914.0,12633.0,13101.0,12633.0,601820
2003-11-27,12633.0,12914.0,13008.0,12587.0,342280
2003-11-28,12914.0,12727.0,13008.0,12680.0,501635
2003-12-01,13241.0,12961.0,13289.0,12867.0,461836
2003-12-02,13662.0,13382.0,13850.0,13382.0,1030516
2003-12-03,13943.0,13803.0,13944.0,13569.0,713149
2003-12-04,13569.0,13990.0,13990.0,13569.0,293922
2003-12-05,13850.0,13850.0,14599.0,13756.0,1401237
2003-12-08,13756.0,13756.0,14131.0,13756.0,520520
2003-12-09,13569.0,13897.0,13944.0,13569.0,418035
2003-12-10,14130.0,13429.0,14178.0,13382.0,841330
2003-12-11,14224.0,14224.0,14318.0,13990.0,522624
2003-12-12,14317.0,14458.0,14458.0,14131.0,801277
2003-12-15,14364.0,14505.0,14599.0,14224.0,1121756
2003-12-16,14224.0,14365.0,14458.0,14178.0,574520
2003-12-17,13662.0,14224.0,14318.0,13663.0,539875
2003-12-18,13709.0,13663.0,13850.0,13522.0,1147740
2003-12-19,13756.0,13897.0,13944.0,13710.0,513519
2003-12-22,13943.0,13663.0,14037.0,13663.0,408291
2003-12-23,13990.0,14037.0,14131.0,13850.0,343953
2003-12-24,13756.0,14037.0,14084.0,13663.0,326877
2003-12-26,13850.0,13803.0,13850.0,13663.0,316450
2003-12-29,13850.0,13650.0,13900.0,13500.0,218869
2003-12-30,14200.0,13900.0,14250.0,13700.0,372292
2004-01-02,14200.0,14350.0,14350.0,14000.0,202865
2004-01-05,14400.0,14100.0,14400.0,14100.0,338290
2004-01-06,14850.0,14450.0,14850.0,14300.0,699963
2004-01-07,15000.0,14850.0,15000.0,14800.0,558780
2004-01-08,14750.0,15000.0,15050.0,14650.0,373494
2004-01-09,14750.0,14700.0,14900.0,14550.0,583311
2004-01-12,14700.0,14700.0,14750.0,14600.0,269201
2004-01-13,14700.0,14750.0,14900.0,14650.0,318301
2004-01-14,14200.0,14450.0,14650.0,14200.0,465109
2004-01-15,14450.0,14250.0,14650.0,14250.0,697785
2004-01-16,14250.0,14300.0,14450.0,14000.0,1124467
2004-01-19,14050.0,14200.0,14250.0,14000.0,564508
2004-01-20,14000.0,14050.0,14100.0,13900.0,548870
2004-01-26,14450.0,14050.0,14450.0,14050.0,633450
2004-01-27,14200.0,14450.0,14650.0,14100.0,355043
2004-01-28,14500.0,14500.0,14700.0,14300.0,582016
2004-01-29,14700.0,14650.0,15050.0,14500.0,1306889
2004-01-30,15000.0,14750.0,15100.0,14750.0,965584
2004-02-02,14700.0,15000.0,15050.0,14650.0,341758
2004-02-03,14350.0,14800.0,14850.0,14350.0,399801
2004-02-04,14250.0,14350.0,14600.0,14250.0,284104
2004-02-05,14250.0,14100.0,14400.0,14100.0,336893
2004-02-06,14150.0,14250.0,14450.0,14150.0,636920
2004-02-09,14500.0,14400.0,14650.0,14250.0,374010
2004-02-10,14700.0,14600.0,14700.0,14500.0,364580
2004-02-11,14900.0,14700.0,14950.0,14700.0,581201
2004-02-12,14450.0,14950.0,14950.0,14400.0,529690
2004-02-13,14450.0,14500.0,14550.0,14400.0,516990
2004-02-16,14300.0,14400.0,14400.0,14150.0,600830
2004-02-17,14650.0,14400.0,14650.0,14250.0,570661
2004-02-18,14300.0,14600.0,14600.0,14250.0,364753
2004-02-19,14100.0,14300.0,14300.0,14050.0,643360
2004-02-20,13900.0,14300.0,14300.0,13750.0,725310
2004-02-23,13500.0,13800.0,13850.0,13300.0,799700
2004-02-24,13150.0,13450.0,13550.0,13000.0,854377
2004-02-25,13750.0,13200.0,13800.0,13200.0,1052283
2004-02-26,13800.0,13850.0,14100.0,13800.0,505487
2004-02-27,14050.0,13750.0,14050.0,13750.0,437856
2004-03-02,13800.0,14100.0,14100.0,13750.0,623034
2004-03-03,13900.0,13800.0,13950.0,13800.0,462876
2004-03-04,14100.0,14000.0,14100.0,13900.0,549354
2004-03-05,14000.0,14250.0,14250.0,13950.0,455176
2004-03-08,13850.0,13900.0,14000.0,13800.0,436942
2004-03-09,14000.0,13750.0,14000.0,13750.0,478958
2004-03-10,13800.0,14150.0,14150.0,13750.0,316349
2004-03-11,14000.0,13700.0,14000.0,13600.0,522833
2004-03-12,13650.0,13900.0,13900.0,13050.0,713980
2004-03-15,13800.0,13600.0,13800.0,13400.0,684770
2004-03-16,13500.0,13650.0,13650.0,13400.0,568618
2004-03-17,13750.0,13650.0,13800.0,13600.0,567267
2004-03-18,14150.0,13900.0,14150.0,13800.0,620281
2004-03-19,14600.0,14150.0,14600.0,14150.0,1038268
2004-03-22,14200.0,14500.0,14550.0,14100.0,275730
2004-03-23,14350.0,14100.0,14350.0,13900.0,263969
2004-03-24,14350.0,14350.0,14500.0,14200.0,187191
2004-03-25,14350.0,14450.0,14650.0,14200.0,524710
2004-03-26,14150.0,14550.0,14600.0,14150.0,270680
2004-03-29,14150.0,14150.0,14500.0,14150.0,336584
2004-03-30,14600.0,14350.0,14600.0,14300.0,885209
2004-03-31,15050.0,14800.0,15400.0,14650.0,1863082
2004-04-01,15100.0,15150.0,15150.0,14850.0,495126
2004-04-02,15100.0,15200.0,15300.0,14950.0,652752
2004-04-06,15300.0,15200.0,15450.0,15100.0,1040005
2004-04-07,14950.0,15100.0,15200.0,14850.0,804707
2004-04-08,14600.0,14900.0,14950.0,14550.0,639730
2004-04-09,14600.0,14550.0,14800.0,14450.0,387103
2004-04-12,14400.0,14650.0,14800.0,14400.0,509843
2004-04-13,14350.0,14500.0,14700.0,14200.0,374885
2004-04-14,14400.0,14300.0,14450.0,14150.0,253341
2004-04-16,14250.0,14400.0,14500.0,14150.0,357255
2004-04-19,14200.0,14250.0,14450.0,14200.0,290908
2004-04-20,14300.0,14300.0,14300.0,14100.0,439043
2004-04-21,14350.0,14300.0,14400.0,14200.0,436280
2004-04-22,13950.0,14300.0,14350.0,13900.0,600106
2004-04-23,14000.0,14100.0,14250.0,13900.0,524604
2004-04-26,13750.0,13950.0,14000.0,13750.0,508761
2004-04-27,13850.0,13700.0,14000.0,13700.0,220282
2004-04-28,13800.0,13950.0,14050.0,13750.0,328088
2004-04-29,13400.0,13550.0,13750.0,13250.0,535689
2004-04-30,13350.0,13300.0,13450.0,13100.0,597435
2004-05-03,13250.0,13200.0,13400.0,13200.0,332205
2004-05-04,13200.0,13250.0,13400.0,13200.0,398111
2004-05-06,12300.0,13250.0,13300.0,12300.0,707947
2004-05-07,12800.0,12350.0,12900.0,12100.0,722415
2004-05-10,12350.0,12500.0,13100.0,12200.0,514036
2004-05-11,12750.0,12300.0,12800.0,12200.0,627654
2004-05-12,13100.0,13100.0,13200.0,12800.0,448289
2004-05-13,12750.0,13000.0,13100.0,12600.0,269246
2004-05-14,12400.0,12900.0,12900.0,12250.0,287206
2004-05-17,11000.0,12450.0,12450.0,11000.0,723620
2004-05-18,11750.0,11000.0,11800.0,11000.0,647726
2004-05-19,12500.0,11950.0,12650.0,11900.0,485950
2004-05-20,12500.0,12450.0,12650.0,12300.0,480667
2004-05-21,13000.0,12850.0,13000.0,12600.0,343440
2004-05-24,12800.0,13050.0,13150.0,12750.0,204350
2004-05-25,12500.0,12800.0,12800.0,12450.0,357803
2004-05-27,12950.0,12700.0,12950.0,12400.0,713018
2004-05-28,12750.0,12900.0,13000.0,12750.0,288181
2004-05-31,12600.0,12700.0,12850.0,12600.0,131045
2004-06-01,13050.0,12700.0,13050.0,12700.0,548627
2004-06-02,13050.0,13000.0,13250.0,12900.0,296489
2004-06-03,12950.0,13200.0,13500.0,12850.0,489726
2004-06-04,13000.0,13150.0,13250.0,12800.0,709203
2004-06-07,12900.0,13000.0,13150.0,12800.0,1390913
2004-06-08,13050.0,13000.0,13200.0,12900.0,654569
2004-06-09,13000.0,12900.0,13200.0,12900.0,458152
2004-06-10,13150.0,13000.0,13150.0,12700.0,1307843
2004-06-11,12500.0,13050.0,13100.0,12500.0,775956
2004-06-14,12150.0,12250.0,12500.0,12050.0,894704
2004-06-15,12100.0,12300.0,12300.0,11700.0,1042699
2004-06-16,12000.0,11900.0,12250.0,11900.0,398238
2004-06-17,12050.0,12000.0,12100.0,11750.0,308855
2004-06-18,11650.0,11850.0,11950.0,11550.0,453877
2004-06-21,12100.0,11550.0,12100.0,11550.0,477272
2004-06-22,12250.0,11950.0,12400.0,11800.0,327066
2004-06-23,11850.0,12300.0,12450.0,11850.0,310160
2004-06-24,12350.0,12050.0,12350.0,12050.0,388141
2004-06-25,12150.0,12150.0,12350.0,11900.0,429816
2004-06-28,11900.0,12050.0,12250.0,11850.0,349949
2004-06-29,12150.0,11900.0,12150.0,11850.0,316069
2004-06-30,12800.0,12150.0,13050.0,12100.0,839230
2004-07-01,13000.0,13150.0,13150.0,12800.0,459258
2004-07-02,12350.0,12750.0,12800.0,12350.0,256490
2004-07-05,12450.0,12250.0,12600.0,12150.0,267680
2004-07-06,12550.0,12300.0,12650.0,12300.0,225314
2004-07-07,12550.0,12200.0,12550.0,12000.0,351014
2004-07-08,12200.0,12500.0,12500.0,12200.0,402180
2004-07-09,12350.0,12350.0,12400.0,12200.0,266586
2004-07-12,12350.0,12400.0,12550.0,12200.0,247392
2004-07-13,12250.0,12400.0,12450.0,12200.0,157540
2004-07-14,12050.0,12200.0,12350.0,12050.0,289100
2004-07-15,12200.0,12150.0,12200.0,11900.0,269964
2004-07-16,12050.0,12150.0,12300.0,11900.0,226571
2004-07-19,12300.0,12050.0,12350.0,12000.0,194412
2004-07-20,12000.0,12150.0,12300.0,12000.0,328583
2004-07-21,12150.0,12200.0,12450.0,12150.0,334190
2004-07-22,12100.0,12050.0,12200.0,12000.0,238626
2004-07-23,12000.0,12100.0,12200.0,12000.0,307752
2004-07-26,12100.0,12050.0,12150.0,12000.0,118944
2004-07-27,12350.0,12200.0,12350.0,12050.0,222320
2004-07-28,12450.0,12450.0,12500.0,12300.0,195717
2004-07-29,12300.0,12500.0,12500.0,12200.0,179603
2004-07-30,12200.0,12350.0,12400.0,12200.0,154309
2004-08-02,12050.0,12100.0,12250.0,11950.0,410195
2004-08-03,11950.0,12300.0,12300.0,11950.0,238694
2004-08-04,12100.0,11800.0,12100.0,11600.0,381215
2004-08-05,12050.0,11900.0,12100.0,11850.0,197959
2004-08-06,11800.0,12100.0,12150.0,11800.0,346654
2004-08-09,12100.0,11900.0,12100.0,11700.0,307960
2004-08-10,12050.0,11950.0,12100.0,11950.0,211486
2004-08-11,11900.0,12050.0,12100.0,11850.0,291511
2004-08-12,12100.0,12000.0,12100.0,11900.0,305387
2004-08-13,12050.0,12000.0,12100.0,11900.0,248424
2004-08-16,11900.0,12050.0,12050.0,11900.0,165051
2004-08-17,12050.0,11950.0,12100.0,11850.0,402090
2004-08-18,12100.0,12100.0,12250.0,12050.0,312051
2004-08-19,12400.0,12150.0,12400.0,12100.0,445743
2004-08-20,12400.0,12300.0,12450.0,12300.0,169438
2004-08-23,12350.0,12350.0,12550.0,12350.0,261808
2004-08-24,12450.0,12450.0,12500.0,12300.0,134210
2004-08-25,12600.0,12350.0,12600.0,12300.0,289357
2004-08-26,12550.0,12600.0,12700.0,12500.0,318047
2004-08-27,12650.0,12650.0,12750.0,12550.0,296711
2004-08-30,12650.0,12550.0,12750.0,12500.0,216710
2004-08-31,12600.0,12500.0,12650.0,12500.0,166002
2004-09-01,12700.0,12650.0,12800.0,12600.0,215410
2004-09-02,12700.0,12700.0,12800.0,12650.0,217592
2004-09-03,12350.0,12750.0,12750.0,12350.0,540867
2004-09-06,12550.0,12500.0,12550.0,12400.0,317759
2004-09-07,12950.0,12450.0,12950.0,12450.0,525166
2004-09-08,12950.0,12900.0,13000.0,12800.0,315981
2004-09-09,13200.0,13050.0,13200.0,12900.0,777075
2004-09-10,13000.0,13200.0,13200.0,12850.0,302974
2004-09-13,13050.0,13050.0,13150.0,13000.0,245572
2004-09-14,13100.0,13100.0,13200.0,13050.0,317852
2004-09-15,13100.0,13100.0,13150.0,13000.0,270808
2004-09-16,13200.0,13050.0,13300.0,13000.0,364680
2004-09-17,13000.0,13100.0,13200.0,12850.0,215032
2004-09-20,13200.0,13000.0,13300.0,13000.0,243543
2004-09-21,13100.0,13200.0,13300.0,13100.0,130211
2004-09-22,13000.0,13200.0,13300.0,13000.0,336522
2004-09-23,12750.0,13000.0,13150.0,12750.0,374628
2004-09-24,12350.0,12750.0,12800.0,12300.0,442667
2004-09-30,12400.0,12400.0,12650.0,12350.0,327595
2004-10-01,12300.0,12250.0,12450.0,12250.0,430983
2004-10-04,12550.0,12500.0,12600.0,12400.0,579511
2004-10-05,13100.0,12700.0,13150.0,12650.0,874483
2004-10-06,13000.0,13100.0,13150.0,12950.0,473713
