date,close,open,high,low,volume
1999-10-25,2501.0,2501.0,2501.0,2501.0,75520
1999-10-26,2875.0,2875.0,2875.0,2875.0,224650
1999-10-27,3306.0,3306.0,3306.0,3306.0,171350
1999-10-28,3801.0,3802.0,3802.0,3802.0,150990
1999-10-29,4367.0,4367.0,4367.0,4367.0,114620
1999-11-01,5019.0,5020.0,5020.0,5020.0,85500
1999-11-02,5133.0,5768.0,5768.0,4620.0,4789660
1999-11-03,4663.0,5037.0,5342.0,4611.0,1225450
1999-11-04,4350.0,4663.0,4742.0,4263.0,1290130
1999-11-05,4323.0,4350.0,4733.0,4228.0,1336020
1999-11-08,3828.0,4350.0,4437.0,3793.0,870000
1999-11-09,3910.0,3924.0,4046.0,3698.0,842330
1999-11-10,3623.0,3367.0,3898.0,3367.0,685780
1999-11-11,3506.0,3654.0,3798.0,3393.0,832660
1999-11-12,3306.0,3402.0,3567.0,3306.0,689450
1999-11-15,3654.0,3393.0,3689.0,3141.0,930510
1999-11-16,3384.0,3654.0,3811.0,3384.0,591370
1999-11-17,3201.0,3437.0,3524.0,3202.0,409340
1999-11-18,3058.0,3202.0,3263.0,3010.0,242530
1999-11-19,3062.0,2980.0,3202.0,2967.0,366010
1999-11-22,2984.0,2741.0,3176.0,2741.0,275480
1999-11-23,3158.0,3115.0,3376.0,3115.0,616520
1999-11-24,2958.0,3376.0,3376.0,2897.0,245040
1999-11-25,2705.0,2958.0,3002.0,2706.0,287930
1999-11-26,2523.0,2754.0,2754.0,2514.0,259800
1999-11-29,2444.0,2575.0,2680.0,2393.0,154160
1999-11-30,2488.0,2375.0,2601.0,2375.0,233180
1999-12-01,2383.0,2445.0,2488.0,2384.0,195030
1999-12-02,2740.0,2384.0,2741.0,2384.0,685380
1999-12-03,2470.0,2741.0,2767.0,2436.0,299140
1999-12-06,2414.0,2480.0,2562.0,2410.0,154220
1999-12-07,2201.0,2393.0,2462.0,2188.0,184090
1999-12-08,2140.0,2071.0,2436.0,1949.0,259060
1999-12-09,2105.0,2184.0,2245.0,2071.0,253530
1999-12-10,2201.0,2088.0,2262.0,2014.0,418790
1999-12-13,2270.0,2219.0,2475.0,2210.0,695640
1999-12-14,2514.0,2445.0,2610.0,2349.0,653100
1999-12-15,2244.0,2506.0,2506.0,2184.0,333130
1999-12-16,2235.0,2175.0,2349.0,2158.0,208110
1999-12-17,2518.0,2175.0,2571.0,2175.0,1037530
1999-12-20,2349.0,2601.0,2697.0,2284.0,392070
1999-12-21,2044.0,2262.0,2306.0,2001.0,305450
1999-12-22,1870.0,1958.0,1992.0,1866.0,205340
1999-12-23,1827.0,1818.0,1984.0,1805.0,310160
1999-12-24,1748.0,1792.0,1914.0,1749.0,169320
1999-12-27,1696.0,1740.0,1844.0,1697.0,228950
1999-12-28,1618.0,1653.0,1714.0,1579.0,134930
2000-01-04,1818.0,1523.0,1818.0,1523.0,180470
2000-01-05,1735.0,1784.0,1827.0,1714.0,181670
2000-01-06,1653.0,1818.0,1818.0,1636.0,101400
2000-01-07,1783.0,1731.0,1901.0,1653.0,179250
2000-01-10,1774.0,1818.0,1923.0,1740.0,203280
2000-01-11,1696.0,1766.0,1766.0,1653.0,136500
2000-01-12,1644.0,1670.0,1740.0,1644.0,100210
2000-01-13,1579.0,1588.0,1610.0,1553.0,77780
2000-01-14,1566.0,1566.0,1649.0,1540.0,115840
2000-01-17,1566.0,1566.0,1618.0,1523.0,103960
2000-01-18,1539.0,1570.0,1605.0,1488.0,108520
2000-01-19,1378.0,1436.0,1514.0,1375.0,99150
2000-01-20,1348.0,1322.0,1366.0,1305.0,108720
2000-01-21,1392.0,1296.0,1479.0,1296.0,117580
2000-01-24,1396.0,1392.0,1462.0,1357.0,81190
2000-01-25,1605.0,1383.0,1605.0,1331.0,607450
2000-01-26,1609.0,1566.0,1679.0,1479.0,288410
2000-01-27,1696.0,1649.0,1849.0,1583.0,486360
2000-01-28,1687.0,1801.0,1801.0,1653.0,199820
2000-01-31,1635.0,1636.0,1705.0,1627.0,184890
2000-02-01,1618.0,1653.0,1705.0,1610.0,92180
2000-02-02,1626.0,1610.0,1653.0,1601.0,101460
2000-02-03,1687.0,1640.0,1697.0,1627.0,145760
2000-02-07,1870.0,1701.0,1905.0,1701.0,258230
2000-02-08,1753.0,1879.0,1897.0,1710.0,237150
2000-02-09,1696.0,1823.0,1823.0,1679.0,169960
2000-02-10,1609.0,1636.0,1683.0,1566.0,143010
2000-02-11,1487.0,1610.0,1697.0,1488.0,156370
2000-02-14,1496.0,1557.0,1557.0,1401.0,68480
2000-02-15,1505.0,1436.0,1523.0,1436.0,78600
2000-02-16,1600.0,1549.0,1670.0,1488.0,111270
2000-02-17,1548.0,1627.0,1627.0,1496.0,66090
2000-02-18,1487.0,1566.0,1566.0,1462.0,108960
2000-02-21,1374.0,1488.0,1488.0,1340.0,86740
2000-02-22,1392.0,1305.0,1418.0,1305.0,120980
2000-02-23,1600.0,1392.0,1601.0,1392.0,255670
2000-02-24,1670.0,1592.0,1692.0,1523.0,209670
2000-02-25,1827.0,1670.0,1914.0,1592.0,647040
2000-02-28,1740.0,1757.0,1931.0,1653.0,847970
2000-02-29,2000.0,1770.0,2000.0,1770.0,616360
2000-03-02,2300.0,2300.0,2300.0,2300.0,111600
2000-03-03,2645.0,2645.0,2645.0,2645.0,193420
2000-03-06,2600.0,2760.0,3040.0,2250.0,1921930
2000-03-07,2990.0,2600.0,2990.0,2410.0,1419980
2000-03-08,3250.0,2900.0,3435.0,2800.0,1021580
2000-03-09,3055.0,3260.0,3500.0,3030.0,908880
2000-03-10,2930.0,3200.0,3230.0,2755.0,843630
2000-03-13,3100.0,2950.0,3300.0,2865.0,892700
2000-03-14,3000.0,3100.0,3180.0,2715.0,623970
2000-03-15,3100.0,3010.0,3300.0,2870.0,445900
2000-03-16,3270.0,3100.0,3550.0,3020.0,917620
2000-03-17,3100.0,3350.0,3480.0,2820.0,565250
2000-03-20,2635.0,3010.0,3140.0,2635.0,609790
2000-03-21,2240.0,2635.0,2650.0,2240.0,689750
2000-03-22,2245.0,2350.0,2390.0,2225.0,346380
2000-03-23,2100.0,2260.0,2340.0,2015.0,353100
2000-03-24,2250.0,2150.0,2330.0,2130.0,501110
2000-03-27,2090.0,2220.0,2300.0,2020.0,535960
2000-03-28,2080.0,2070.0,2140.0,1960.0,329720
2000-03-29,1850.0,2000.0,2130.0,1810.0,354130
2000-03-30,1600.0,1815.0,1830.0,1575.0,1055870
2000-03-31,1670.0,1695.0,1750.0,1600.0,462340
2000-04-03,1420.0,1420.0,1500.0,1420.0,1104280
2000-04-04,1380.0,1300.0,1420.0,1230.0,714780
2000-04-06,1375.0,1300.0,1430.0,1250.0,366970
2000-04-07,1580.0,1410.0,1580.0,1410.0,1109040
2000-04-10,1680.0,1600.0,1780.0,1510.0,1040410
2000-04-11,1550.0,1680.0,1740.0,1540.0,385840
2000-04-12,1430.0,1550.0,1620.0,1430.0,360220
2000-04-14,1500.0,1410.0,1540.0,1400.0,344270
2000-04-17,1285.0,1310.0,1425.0,1275.0,287720
2000-04-18,1350.0,1350.0,1390.0,1305.0,257680
2000-04-19,1380.0,1450.0,1450.0,1360.0,218590
2000-04-20,1320.0,1320.0,1410.0,1310.0,191720
2000-04-21,1365.0,1355.0,1390.0,1320.0,250020
2000-04-24,1350.0,1450.0,1450.0,1320.0,144500
2000-04-25,1315.0,1310.0,1350.0,1305.0,118560
2000-04-26,1280.0,1330.0,1360.0,1250.0,161780
2000-04-27,1210.0,1250.0,1265.0,1200.0,179040
2000-04-28,1235.0,1200.0,1245.0,1190.0,227180
2000-05-02,1200.0,1205.0,1225.0,1160.0,492490
2000-05-03,1150.0,1180.0,1195.0,1120.0,403940
2000-05-04,1165.0,1175.0,1185.0,1140.0,354350
2000-05-08,1175.0,1165.0,1200.0,1150.0,366660
2000-05-09,1350.0,1180.0,1350.0,1155.0,1170530
2000-05-10,1375.0,1330.0,1530.0,1265.0,2016000
2000-05-12,1220.0,1300.0,1335.0,1220.0,564610
2000-05-15,1200.0,1310.0,1310.0,1130.0,408310
2000-05-16,1190.0,1220.0,1290.0,1160.0,588200
2000-05-17,1040.0,1210.0,1245.0,1025.0,504330
2000-05-18,1025.0,1000.0,1035.0,985.0,415560
2000-05-19,1010.0,1010.0,1050.0,960.0,258950
2000-05-22,950.0,1010.0,1010.0,950.0,311740
2000-05-23,950.0,950.0,975.0,930.0,196140
2000-05-24,1000.0,915.0,1020.0,915.0,354790
2000-05-25,1120.0,1035.0,1150.0,990.0,437820
2000-05-26,1000.0,1125.0,1130.0,1000.0,303340
2000-05-29,1040.0,980.0,1050.0,960.0,230560
2000-05-30,1055.0,1020.0,1100.0,1020.0,301120
2000-05-31,1120.0,1090.0,1145.0,1070.0,656990
2000-06-01,1065.0,1090.0,1115.0,1050.0,431340
2000-06-02,1075.0,1100.0,1120.0,1070.0,414570
2000-06-05,1200.0,1105.0,1220.0,1090.0,971570
2000-06-07,1370.0,1250.0,1375.0,1175.0,1089270
2000-06-08,1190.0,1320.0,1370.0,1170.0,593400
2000-06-09,1190.0,1250.0,1250.0,1180.0,353010
2000-06-12,1270.0,1190.0,1340.0,1190.0,782550
2000-06-13,1210.0,1300.0,1320.0,1205.0,420390
2000-06-14,1160.0,1165.0,1230.0,1155.0,251860
2000-06-15,1035.0,1120.0,1195.0,1035.0,233970
2000-06-16,1050.0,1005.0,1075.0,1005.0,235490
2000-06-19,995.0,960.0,1050.0,960.0,225620
2000-06-20,1030.0,1010.0,1045.0,1010.0,204710
2000-06-21,1040.0,1080.0,1080.0,1030.0,349760
2000-06-22,1045.0,1060.0,1075.0,1010.0,222180
2000-06-23,1030.0,1020.0,1035.0,1010.0,198640
2000-06-26,1050.0,1030.0,1060.0,1030.0,175760
2000-06-27,1060.0,1060.0,1080.0,1030.0,297720
2000-06-28,1060.0,1075.0,1110.0,1050.0,376840
2000-06-29,1035.0,1070.0,1090.0,1030.0,223640
2000-06-30,1030.0,1050.0,1050.0,1015.0,161190
2000-07-03,1070.0,1050.0,1090.0,1045.0,326200
2000-07-04,1080.0,1130.0,1130.0,1070.0,395590
2000-07-05,1070.0,1075.0,1095.0,1045.0,290730
2000-07-06,1100.0,1085.0,1130.0,1050.0,482820
2000-07-07,1195.0,1105.0,1220.0,1105.0,891620
2000-07-10,1200.0,1290.0,1290.0,1200.0,744490
2000-07-11,1150.0,1210.0,1240.0,1150.0,500550
2000-07-12,1140.0,1160.0,1190.0,1120.0,306670
2000-07-13,1185.0,1115.0,1240.0,1110.0,688490
2000-07-14,1140.0,1175.0,1190.0,1140.0,289210
2000-07-18,1090.0,1125.0,1135.0,1085.0,176620
2000-07-19,1060.0,1045.0,1065.0,1025.0,262960
2000-07-20,1035.0,1020.0,1050.0,1010.0,211130
2000-07-21,1045.0,1015.0,1055.0,1015.0,135540
2000-07-24,1000.0,1020.0,1040.0,980.0,133130
2000-07-25,995.0,965.0,1010.0,965.0,161270
2000-07-26,1015.0,1005.0,1015.0,990.0,147500
2000-07-27,995.0,1000.0,1010.0,985.0,108970
2000-07-28,975.0,1020.0,1020.0,960.0,199290
2000-07-31,980.0,970.0,1000.0,970.0,82020
2000-08-01,1005.0,990.0,1015.0,980.0,136730
2000-08-02,1040.0,1015.0,1080.0,1000.0,363320
2000-08-03,1055.0,1075.0,1075.0,1015.0,367810
2000-08-04,1030.0,1050.0,1050.0,1010.0,144240
2000-08-07,995.0,1000.0,1020.0,990.0,142520
