date,close,open,high,low,volume
2003-08-01,2465.0,2900.0,2950.0,2465.0,451426
2003-08-04,2380.0,2405.0,2460.0,2235.0,256390
2003-08-05,2735.0,2450.0,2735.0,2445.0,332467
2003-08-06,2550.0,2880.0,2945.0,2515.0,361313
2003-08-07,2545.0,2480.0,2585.0,2400.0,129972
2003-08-08,2505.0,2510.0,2635.0,2505.0,121841
2003-08-11,2430.0,2510.0,2540.0,2410.0,83715
2003-08-12,2390.0,2490.0,2490.0,2390.0,58583
2003-08-13,2430.0,2390.0,2475.0,2330.0,82083
2003-08-14,2320.0,2430.0,2480.0,2320.0,70806
2003-08-18,2250.0,2280.0,2300.0,2240.0,69728
2003-08-19,2380.0,2300.0,2430.0,2255.0,110530
2003-08-20,2265.0,2360.0,2380.0,2265.0,61057
2003-08-21,2255.0,2245.0,2300.0,2240.0,36497
2003-08-22,2115.0,2250.0,2280.0,2115.0,66192
2003-08-25,2100.0,2115.0,2140.0,2080.0,37903
2003-08-26,2200.0,2075.0,2250.0,2075.0,72576
2003-08-27,2195.0,2160.0,2245.0,2155.0,41270
2003-08-28,2140.0,2170.0,2180.0,2100.0,29782
2003-08-29,2180.0,2130.0,2220.0,2130.0,30853
2003-09-01,2235.0,2200.0,2300.0,2190.0,56855
2003-09-02,2220.0,2235.0,2235.0,2205.0,31256
2003-09-03,2180.0,2200.0,2270.0,2180.0,37630
2003-09-04,2200.0,2170.0,2200.0,2140.0,36087
2003-09-05,2210.0,2175.0,2265.0,2150.0,27481
2003-09-08,2145.0,2190.0,2190.0,2140.0,11120
2003-09-09,2175.0,2125.0,2175.0,2115.0,22850
2003-09-15,2115.0,2170.0,2170.0,2115.0,11186
2003-09-16,2090.0,2090.0,2135.0,2085.0,13514
2003-09-17,2120.0,2090.0,2130.0,2080.0,15540
2003-09-18,2120.0,2105.0,2120.0,2090.0,11457
2003-09-19,2120.0,2145.0,2145.0,2070.0,19770
2003-09-22,2060.0,2090.0,2100.0,2020.0,23660
2003-09-23,2090.0,2010.0,2090.0,2010.0,21350
2003-09-24,2100.0,2040.0,2100.0,2035.0,17683
2003-09-25,2035.0,2040.0,2080.0,2035.0,11202
2003-09-26,1965.0,2035.0,2040.0,1965.0,17880
2003-09-29,1980.0,1925.0,1990.0,1840.0,37600
2003-09-30,1975.0,1975.0,2040.0,1930.0,16140
2003-10-01,1790.0,1915.0,1915.0,1790.0,64198
2003-10-02,1660.0,1825.0,1825.0,1640.0,63970
2003-10-06,1615.0,1665.0,1675.0,1600.0,24937
2003-10-07,1630.0,1620.0,1685.0,1615.0,34916
2003-10-08,1605.0,1660.0,1685.0,1605.0,34602
2003-10-09,1610.0,1585.0,1620.0,1580.0,20590
2003-10-10,1600.0,1605.0,1640.0,1600.0,16190
2003-10-13,1560.0,1600.0,1600.0,1540.0,22170
2003-10-14,1585.0,1565.0,1625.0,1550.0,24043
2003-10-15,1625.0,1600.0,1635.0,1600.0,17292
2003-10-16,1865.0,1650.0,1865.0,1645.0,148488
2003-10-17,1855.0,1900.0,1920.0,1765.0,50461
2003-10-20,1845.0,1820.0,1920.0,1820.0,33253
2003-10-21,1790.0,1850.0,1875.0,1770.0,25147
2003-10-22,1770.0,1800.0,1820.0,1720.0,26190
2003-10-23,1775.0,1725.0,1775.0,1715.0,22091
2003-10-24,1800.0,1775.0,1835.0,1760.0,17345
2003-10-27,1875.0,1775.0,1900.0,1775.0,25240
2003-10-28,1845.0,1865.0,1895.0,1810.0,12975
2003-10-29,1815.0,1850.0,1850.0,1815.0,18399
2003-10-30,1780.0,1840.0,1840.0,1765.0,15758
2003-10-31,1730.0,1760.0,1760.0,1725.0,8142
2003-11-03,1760.0,1740.0,1980.0,1690.0,29191
2003-11-04,1780.0,1785.0,1805.0,1755.0,13794
2003-11-05,1720.0,1790.0,1790.0,1715.0,7080
2003-11-06,1650.0,1700.0,1735.0,1650.0,14335
2003-11-07,1650.0,1635.0,1680.0,1635.0,5810
2003-11-10,1620.0,1625.0,1640.0,1605.0,10444
2003-11-11,1615.0,1620.0,1650.0,1600.0,3194
2003-11-12,1690.0,1640.0,1690.0,1630.0,7980
2003-11-13,1675.0,1700.0,1725.0,1675.0,7267
2003-11-14,1750.0,1700.0,1790.0,1700.0,15760
2003-11-17,1745.0,1750.0,1780.0,1715.0,5399
2003-11-18,1735.0,1725.0,1750.0,1715.0,6750
2003-11-19,1720.0,1690.0,1730.0,1690.0,5550
2003-11-20,1780.0,1695.0,1785.0,1695.0,8468
2003-11-21,1785.0,1780.0,1790.0,1760.0,4540
2003-11-24,1675.0,1730.0,1735.0,1670.0,4910
2003-11-25,1720.0,1675.0,1730.0,1675.0,6120
2003-11-26,1690.0,1715.0,1720.0,1685.0,9280
2003-11-27,1715.0,1690.0,1720.0,1670.0,3240
2003-11-28,1730.0,1695.0,1745.0,1695.0,1950
2003-12-01,1695.0,1700.0,1730.0,1695.0,8666
2003-12-02,1695.0,1720.0,1725.0,1695.0,2650
2003-12-03,1650.0,1665.0,1720.0,1650.0,18370
2003-12-04,1675.0,1680.0,1680.0,1640.0,3701
2003-12-05,1670.0,1695.0,1700.0,1650.0,3590
