date,close,open,high,low,volume
2007-10-26,7479.0,6503.0,7479.0,6503.0,15337
2007-10-29,8580.0,8579.0,8579.0,8579.0,7551
2007-10-30,9856.0,9855.0,9855.0,9855.0,10952
2007-10-31,9305.0,11331.0,11331.0,8704.0,266341
2007-11-01,7929.0,9505.0,9505.0,7929.0,77990
2007-11-02,8155.0,7504.0,8404.0,7278.0,51999
2007-11-05,7354.0,8129.0,8304.0,6978.0,27292
2007-11-06,6854.0,7304.0,7579.0,6828.0,30654
2007-11-07,7879.0,6953.0,7879.0,6803.0,40526
2007-11-08,8005.0,7779.0,8804.0,7454.0,75085
2007-11-09,7104.0,8404.0,8404.0,7003.0,28703
2007-11-12,7004.0,7053.0,7429.0,6803.0,12232
2007-11-13,7054.0,7003.0,7404.0,6753.0,18201
2007-11-14,6954.0,7354.0,7404.0,6903.0,13974
2007-11-15,6404.0,6903.0,6903.0,6403.0,21193
2007-11-16,5803.0,6253.0,6278.0,5553.0,26289
2007-11-19,6203.0,5903.0,6653.0,5653.0,61176
2007-11-20,5878.0,5952.0,6053.0,5653.0,16280
2007-11-21,5453.0,5903.0,6128.0,5428.0,15622
2007-11-22,4998.0,5252.0,5428.0,4982.0,14844
2007-11-23,4603.0,4902.0,5202.0,4252.0,31406
2007-11-26,4743.0,4652.0,4877.0,4542.0,17988
2007-11-27,4603.0,4527.0,4602.0,4277.0,24623
2007-11-28,4402.0,4737.0,4852.0,4352.0,18329
2007-11-29,4357.0,4602.0,4647.0,4357.0,16533
2007-11-30,4503.0,4387.0,4752.0,4387.0,24901
2007-12-03,4503.0,4642.0,4642.0,4502.0,12346
2007-12-04,5178.0,4552.0,5177.0,4452.0,38230
2007-12-05,5303.0,5403.0,5728.0,5152.0,74334
2007-12-06,4968.0,5353.0,5453.0,4927.0,31481
2007-12-07,4773.0,5052.0,5328.0,4727.0,24688
2007-12-10,4513.0,4802.0,4802.0,4452.0,13943
2007-12-11,4432.0,4527.0,4577.0,4352.0,9871
2007-12-12,4392.0,4377.0,4412.0,4257.0,8561
2007-12-13,4508.0,4417.0,4757.0,4327.0,9824
2007-12-14,4533.0,4572.0,4722.0,4507.0,10094
2007-12-17,4427.0,4502.0,4602.0,4407.0,5387
2007-12-18,4362.0,4287.0,4462.0,4287.0,10400
2007-12-20,4277.0,4477.0,4477.0,4277.0,4488
2007-12-21,4112.0,4132.0,4272.0,4042.0,11233
2007-12-24,4112.0,4167.0,4237.0,4002.0,15565
2007-12-26,3977.0,4127.0,4157.0,3952.0,16223
2007-12-27,3902.0,4002.0,4002.0,3827.0,10490
2007-12-28,4032.0,3892.0,4087.0,3892.0,7295
