date,close,open,high,low,volume
2009-09-29,1360.0,1575.0,1575.0,1340.0,1135439
2009-09-30,1260.0,1385.0,1420.0,1245.0,290969
2009-10-01,1230.0,1280.0,1295.0,1180.0,108300
2009-10-05,1210.0,1205.0,1265.0,1205.0,38480
2009-10-06,1160.0,1225.0,1235.0,1145.0,85271
2009-10-07,1205.0,1180.0,1305.0,1160.0,179044
2009-10-08,1185.0,1210.0,1215.0,1175.0,35828
2009-10-09,1185.0,1190.0,1220.0,1180.0,53384
2009-10-12,1210.0,1215.0,1230.0,1185.0,46685
2009-10-13,1205.0,1215.0,1245.0,1190.0,48340
2009-10-14,1195.0,1215.0,1215.0,1175.0,37577
2009-10-15,1195.0,1195.0,1210.0,1185.0,28646
2009-10-16,1195.0,1200.0,1200.0,1180.0,23870
2009-10-19,1160.0,1180.0,1180.0,1150.0,36813
2009-10-20,1150.0,1160.0,1170.0,1150.0,16514
2009-10-21,1105.0,1145.0,1150.0,1100.0,69713
2009-10-22,1100.0,1090.0,1125.0,1090.0,21102
2009-10-23,1120.0,1115.0,1160.0,1115.0,32081
2009-10-26,1130.0,1125.0,1160.0,1105.0,48150
2009-10-27,1110.0,1125.0,1150.0,1095.0,30645
2009-10-28,1035.0,1100.0,1100.0,1030.0,66200
2009-10-29,1010.0,1020.0,1030.0,998.0,42348
2009-10-30,1020.0,1045.0,1045.0,1000.0,20560
2009-11-02,983.0,995.0,1000.0,980.0,33726
2009-11-03,966.0,986.0,992.0,963.0,24320
2009-11-04,982.0,962.0,990.0,962.0,19420
2009-11-05,979.0,987.0,987.0,965.0,7980
2009-11-06,1000.0,980.0,1080.0,977.0,101434
2009-11-09,1020.0,1020.0,1055.0,1010.0,42521
2009-11-10,1010.0,1030.0,1030.0,997.0,19393
2009-11-11,997.0,1025.0,1025.0,996.0,36505
2009-11-12,1000.0,1000.0,1010.0,987.0,14790
2009-11-13,986.0,1000.0,1030.0,986.0,24122
2009-11-16,986.0,984.0,998.0,978.0,15098
2009-11-17,972.0,987.0,993.0,970.0,15610
2009-11-18,964.0,989.0,989.0,963.0,26052
2009-11-19,950.0,975.0,975.0,939.0,38471
2009-11-20,973.0,951.0,975.0,942.0,25500
