date,close,open,high,low,volume
2001-04-25,13650.0,11900.0,13650.0,11900.0,26150
2001-04-26,15650.0,15650.0,15650.0,15650.0,87500
2001-04-27,17950.0,17950.0,17950.0,16600.0,2002100
2001-04-30,18000.0,18900.0,19500.0,17500.0,1296800
2001-05-02,20700.0,18500.0,20700.0,17750.0,1081050
2001-05-03,20250.0,20700.0,20700.0,19750.0,698750
2001-05-04,18850.0,19500.0,19700.0,18600.0,463860
2001-05-07,18700.0,18900.0,19550.0,18400.0,438060
2001-05-08,19000.0,18300.0,19000.0,18300.0,396410
2001-05-09,18950.0,19000.0,19350.0,18700.0,136030
2001-05-10,21750.0,18950.0,21750.0,18800.0,1047100
2001-05-11,24000.0,22200.0,24700.0,22100.0,866480
2001-05-14,23200.0,23150.0,23800.0,22250.0,644860
2001-05-15,23800.0,23300.0,24350.0,22700.0,431160
2001-05-16,23700.0,24000.0,24700.0,23300.0,240360
2001-05-17,24800.0,24100.0,26600.0,23300.0,541670
2001-05-18,25950.0,24550.0,26800.0,24550.0,703620
2001-05-21,26800.0,26900.0,27900.0,26450.0,294630
2001-05-22,26400.0,26800.0,27500.0,25600.0,389230
2001-05-23,25900.0,26200.0,26200.0,25200.0,358410
2001-05-24,27150.0,25200.0,27500.0,25200.0,544850
2001-05-25,27950.0,27000.0,28150.0,27000.0,442350
2001-05-28,27500.0,27950.0,28400.0,27000.0,153070
2001-05-29,28900.0,27500.0,30000.0,27500.0,552730
2001-05-30,31600.0,28550.0,32800.0,28550.0,626950
2001-05-31,31600.0,31500.0,34500.0,30500.0,432820
2001-06-01,30000.0,31600.0,32700.0,29400.0,489550
2001-06-04,28150.0,30000.0,30850.0,27700.0,256260
2001-06-05,27300.0,27700.0,28650.0,27200.0,332650
2001-06-07,28300.0,27600.0,28800.0,27600.0,325340
2001-06-08,30000.0,29000.0,30400.0,28300.0,383800
2001-06-11,30000.0,29300.0,30350.0,29300.0,129920
2001-06-12,29600.0,29550.0,30100.0,29200.0,89400
2001-06-13,29500.0,29100.0,29500.0,29100.0,111760
2001-06-14,30750.0,29300.0,31200.0,29050.0,223420
2001-06-15,30300.0,31000.0,31500.0,29800.0,205900
2001-06-18,29500.0,30700.0,30850.0,29500.0,69510
2001-06-19,29500.0,29000.0,29900.0,29000.0,83810
2001-06-20,31000.0,29800.0,31500.0,29500.0,370480
2001-06-21,29000.0,31000.0,31400.0,29000.0,176370
2001-06-22,29250.0,29050.0,29300.0,27700.0,88450
2001-06-25,30700.0,29300.0,31200.0,29300.0,207320
2001-06-26,29500.0,30900.0,30900.0,29300.0,60130
2001-06-27,29500.0,29700.0,30400.0,29300.0,50700
2001-06-28,29500.0,29000.0,29800.0,29000.0,34720
2001-06-29,29450.0,29550.0,30000.0,29050.0,60320
2001-07-02,28200.0,29100.0,29300.0,28200.0,221130
2001-07-03,28250.0,28500.0,28800.0,28000.0,121320
2001-07-04,28400.0,28300.0,28600.0,27300.0,127390
2001-07-05,28000.0,29300.0,29300.0,28000.0,53820
2001-07-06,27300.0,27000.0,27800.0,27000.0,84750
2001-07-09,27000.0,27000.0,27000.0,26100.0,82320
2001-07-10,26650.0,26550.0,27300.0,26150.0,57170
2001-07-11,26000.0,25700.0,26200.0,25700.0,123980
2001-07-12,26300.0,26050.0,27000.0,26050.0,71980
2001-07-13,26500.0,26800.0,27000.0,26400.0,64370
2001-07-16,26550.0,26500.0,27150.0,26000.0,60990
2001-07-18,26400.0,26600.0,26900.0,26100.0,40510
2001-07-19,26000.0,26200.0,26600.0,25800.0,47170
2001-07-20,26300.0,26000.0,26750.0,26000.0,99850
2001-07-23,23800.0,26200.0,26250.0,23500.0,124700
2001-07-24,23100.0,23500.0,23500.0,22100.0,86480
2001-07-25,22900.0,23100.0,23100.0,22150.0,58430
2001-07-26,23050.0,23500.0,23600.0,22550.0,64340
2001-07-27,23400.0,23200.0,23700.0,22900.0,97620
2001-07-30,23000.0,23400.0,23400.0,22600.0,50110
2001-07-31,23100.0,22500.0,23100.0,22500.0,56240
2001-08-01,24800.0,23400.0,25050.0,23200.0,154890
2001-08-02,24800.0,25000.0,25050.0,24000.0,100720
2001-08-03,25200.0,25000.0,25800.0,24500.0,56600
2001-08-06,25500.0,25200.0,25800.0,24750.0,55150
2001-08-07,25800.0,25700.0,25900.0,25450.0,94860
2001-08-08,25900.0,25800.0,26200.0,25600.0,97600
2001-08-09,26000.0,25900.0,26450.0,25850.0,559420
2001-08-10,25700.0,25800.0,26100.0,25000.0,73620
2001-08-13,25700.0,26000.0,26000.0,25000.0,97400
2001-08-14,25800.0,25100.0,25850.0,25000.0,121200
2001-08-16,25700.0,25600.0,26100.0,25200.0,92880
2001-08-17,25600.0,25500.0,25700.0,25300.0,35990
2001-08-20,25200.0,24700.0,25200.0,24700.0,16990
2001-08-21,24650.0,25150.0,25200.0,24450.0,34930
2001-08-22,24200.0,24650.0,24650.0,24200.0,41830
2001-08-23,24300.0,24300.0,24600.0,24150.0,168070
2001-08-24,24200.0,24050.0,24400.0,23800.0,45880
2001-08-27,25200.0,24200.0,25600.0,24200.0,135330
2001-08-28,25250.0,25000.0,25250.0,24900.0,109380
2001-08-29,25250.0,25000.0,25600.0,25000.0,66550
2001-08-30,25200.0,25150.0,25250.0,24400.0,30460
2001-08-31,24600.0,25000.0,25000.0,24200.0,91020
2001-09-03,25750.0,26200.0,26200.0,24700.0,213270
2001-09-04,25300.0,25500.0,26000.0,25150.0,141450
2001-09-05,25450.0,25200.0,25550.0,25200.0,27530
2001-09-06,25800.0,25700.0,25900.0,25500.0,75020
2001-09-07,25850.0,25200.0,26000.0,25200.0,53580
2001-09-10,25800.0,25400.0,26150.0,25400.0,21390
