date,close,open,high,low,volume
2002-08-05,2655.0,3120.0,3585.0,2655.0,134356
2002-08-06,2260.0,2260.0,2450.0,2260.0,59636
2002-08-07,2595.0,2200.0,2595.0,2105.0,468274
2002-08-08,2980.0,2750.0,2980.0,2750.0,240970
2002-08-09,2685.0,3210.0,3260.0,2615.0,384912
2002-08-12,2550.0,2700.0,2850.0,2450.0,188113
2002-08-13,2420.0,2550.0,2630.0,2415.0,103793
2002-08-14,2295.0,2360.0,2445.0,2260.0,124966
2002-08-16,2215.0,2295.0,2405.0,2215.0,94264
2002-08-19,2270.0,2255.0,2350.0,2230.0,117892
2002-08-20,2200.0,2305.0,2330.0,2200.0,68240
2002-08-21,2095.0,2175.0,2230.0,2075.0,71789
2002-08-22,2225.0,2085.0,2405.0,2050.0,231306
2002-08-23,2130.0,2270.0,2280.0,2120.0,80075
2002-08-26,2120.0,2100.0,2210.0,2075.0,54626
2002-08-27,2100.0,2125.0,2170.0,2095.0,40100
2002-08-28,2070.0,2055.0,2140.0,2055.0,39602
2002-08-29,2090.0,2110.0,2230.0,2070.0,99673
2002-08-30,2075.0,2105.0,2120.0,2075.0,36758
2002-09-02,2020.0,2055.0,2085.0,2005.0,49113
2002-09-03,2020.0,2020.0,2100.0,2005.0,48431
2002-09-04,1950.0,2005.0,2030.0,1910.0,50301
2002-09-05,1930.0,1995.0,1995.0,1915.0,35473
2002-09-06,1845.0,1880.0,2040.0,1820.0,110517
2002-09-09,1630.0,1845.0,1880.0,1630.0,39086
2002-09-10,1660.0,1610.0,1730.0,1610.0,36330
2002-09-11,1760.0,1690.0,1870.0,1670.0,112857
2002-09-12,1715.0,1770.0,1840.0,1715.0,41558
2002-09-13,1670.0,1715.0,1715.0,1665.0,31215
2002-09-16,1660.0,1690.0,1750.0,1660.0,37070
2002-09-17,1675.0,1680.0,1700.0,1660.0,29932
2002-09-18,1580.0,1630.0,1650.0,1530.0,25131
2002-09-19,1555.0,1600.0,1610.0,1540.0,16776
2002-09-23,1500.0,1555.0,1555.0,1495.0,20727
2002-09-24,1495.0,1450.0,1525.0,1450.0,16200
2002-09-25,1400.0,1505.0,1505.0,1380.0,17977
2002-09-26,1455.0,1410.0,1500.0,1410.0,32560
2002-09-27,1370.0,1465.0,1480.0,1370.0,24023
2002-09-30,1320.0,1300.0,1320.0,1270.0,22318
2002-10-01,1365.0,1305.0,1370.0,1305.0,25206
2002-10-02,1365.0,1385.0,1450.0,1330.0,17863
2002-10-04,1370.0,1370.0,1425.0,1340.0,24350
2002-10-07,1450.0,1380.0,1560.0,1360.0,80162
2002-10-08,1450.0,1480.0,1480.0,1380.0,31305
2002-10-09,1540.0,1460.0,1560.0,1415.0,92010
2002-10-10,1470.0,1500.0,1595.0,1460.0,86150
2002-10-11,1395.0,1510.0,1510.0,1360.0,64790
2002-10-14,1500.0,1420.0,1500.0,1400.0,41951
2002-10-15,1470.0,1515.0,1515.0,1450.0,39660
