date,close,open,high,low,volume
2002-11-25,28600.0,29500.0,29900.0,27100.0,4018662
2002-11-26,29000.0,28800.0,29500.0,28100.0,628567
2002-11-27,28650.0,28700.0,28950.0,27900.0,494132
2002-11-28,28650.0,28650.0,29200.0,28100.0,528764
2002-11-29,29700.0,28550.0,29700.0,28550.0,528838
2002-12-02,29150.0,30150.0,30150.0,29000.0,345866
2002-12-03,29500.0,29400.0,29650.0,29100.0,276740
2002-12-04,28750.0,29100.0,29200.0,28500.0,299760
2002-12-05,28900.0,28750.0,28900.0,28400.0,120696
2002-12-06,28200.0,28300.0,28850.0,28200.0,110996
2002-12-09,28000.0,28000.0,28500.0,27100.0,176650
2002-12-10,27500.0,27100.0,27600.0,27100.0,247690
2002-12-11,27000.0,27000.0,27600.0,26600.0,194336
2002-12-12,26450.0,26700.0,26850.0,26250.0,220413
2002-12-13,25100.0,26100.0,26200.0,24900.0,302994
2002-12-16,22900.0,24450.0,24700.0,22850.0,328068
2002-12-17,23000.0,23400.0,23700.0,22850.0,288789
2002-12-18,22500.0,22500.0,23300.0,22400.0,318430
2002-12-20,22700.0,21850.0,22750.0,21250.0,471490
2002-12-23,22000.0,22300.0,23200.0,21850.0,469396
2002-12-24,20700.0,21600.0,22300.0,20550.0,304328
2002-12-26,20550.0,20550.0,20700.0,19950.0,204942
2002-12-27,19400.0,19800.0,20600.0,19400.0,210692
2002-12-30,19100.0,19050.0,19100.0,17600.0,393280
2003-01-02,20000.0,18900.0,20000.0,18600.0,310862
2003-01-03,20050.0,20100.0,21050.0,20050.0,377936
2003-01-06,19350.0,20250.0,20250.0,19050.0,225245
2003-01-07,18800.0,19800.0,19800.0,18450.0,205200
2003-01-08,18250.0,18600.0,18800.0,18100.0,157114
2003-01-09,18500.0,17750.0,18600.0,17600.0,154790
2003-01-10,17050.0,18500.0,18900.0,16800.0,536002
2003-01-13,17400.0,16750.0,17450.0,16750.0,244158
2003-01-14,19400.0,17250.0,19900.0,17250.0,666167
2003-01-15,19800.0,19600.0,19900.0,19100.0,282587
2003-01-16,20900.0,19200.0,21450.0,19200.0,839927
2003-01-17,21100.0,21000.0,21800.0,20450.0,457200
2003-01-20,21800.0,21100.0,22200.0,20900.0,431961
2003-01-21,21300.0,22000.0,22200.0,21100.0,192486
2003-01-22,20600.0,20550.0,22000.0,20300.0,157887
2003-01-23,20600.0,20550.0,20700.0,19750.0,216639
2003-01-24,20650.0,20400.0,21300.0,20350.0,231074
2003-01-27,20550.0,20200.0,20550.0,19900.0,241089
2003-01-28,20450.0,20550.0,21100.0,20200.0,107960
2003-01-29,19500.0,20700.0,20750.0,19500.0,288404
2003-01-30,20100.0,20000.0,20100.0,19200.0,86588
2003-02-03,20800.0,20350.0,20800.0,19750.0,91090
2003-02-04,21850.0,21000.0,22300.0,20600.0,273327
2003-02-05,22700.0,21650.0,23650.0,21450.0,412943
2003-02-06,22300.0,23100.0,23300.0,22100.0,224645
2003-02-07,21100.0,22000.0,22100.0,20550.0,425417
2003-02-10,20750.0,20600.0,21000.0,20600.0,101912
2003-02-11,20350.0,20900.0,21200.0,19000.0,275950
2003-02-12,21000.0,20200.0,21000.0,20000.0,124876
2003-02-13,20600.0,20900.0,20900.0,20350.0,252232
